Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.8978073832400834,0.0023869418210038596,0.0684593586724683,0.0348665524668988,8.322443223746604e-05,0.08322443223746603
NSC,25,0.5047531881084613,0.012201011530106234,0.44069207499827556,0.027686024374624793,0.0003377975026175994,0.3377975026175994
TRV,25,0.5469282560289881,0.002220475305682681,0.09205740217260543,0.024120551452444235,5.3559088859600945e-05,0.053559088859600944
CHD,25,0.29203831201124225,0.005121286664267563,0.2659377118637597,0.019257466827011002,9.862300804874642e-05,0.09862300804874642
JPM,25,0.9810190779634039,0.0017145991469796453,0.10541351164103423,0.016265458955758805,2.788874205077648e-05,0.027888742050776478
MMC,25,0.5554064608842401,0.005228186414503533,0.3030695131306879,0.017250783031578187,9.019030948524515e-05,0.09019030948524515
ORLY,25,0.19948153716603773,0.005707649186849212,0.20165922667107158,0.02830343684774224,0.000161546088309054,0.161546088309054
BWA,25,0.8671760602390866,-0.00030778530253830916,-0.00800402337702797,0.03845382353850584,-1.1835521711553774e-05,-0.011835521711553774
FE,25,0.19028629275015452,-0.002443962502301967,-0.055543644195981845,0.04400075900095098,-0.00010753620507114996,-0.10753620507114996
ECL,25,0.7165440753992325,0.0027304457012103578,0.11074567174403854,0.02465510081081194,6.731941402178946e-05,0.06731941402178947
WHR,25,0.8765142412599244,-0.002509248726941342,-0.059589497613106765,0.042108908909301336,-0.00010566172607355332,-0.10566172607355333
AAPL,25,-0.06519463040134706,0.015991351708287325,0.4562346271686652,0.03505071898537743,0.0005605083749235144,0.5605083749235144
AEE,25,0.4441825642116103,0.0025806289997961193,0.09073320985592365,0.028441945390160133,7.339810908446479e-05,0.07339810908446479
SLG,25,0.002788592224088394,0.0059486473558367035,0.2145275178469307,0.027729064390150507,0.0001649504255642945,0.16495042556429448
SCHW,25,0.8009235139145596,0.00934630646659516,0.3217363920642153,0.029049578155056,0.00027150626016246137,0.2715062601624614
CRM,25,0.5285991967880197,-8.057969318723277e-05,-0.0014863940428585748,0.05421152861475754,-4.3683483429880525e-06,-0.004368348342988052
WY,25,0.5106919314499914,0.00251126349772861,0.07383602206230441,0.034011359599106686,8.54114858693582e-05,0.0854114858693582
BBY,25,1.503375411059013,-0.013186641609664497,-0.13516278398970982,0.09756118674404057,-0.0012865044046072138,-1.2865044046072138
FB,25,0.5370399925333923,0.014847432739469625,0.22983360427421548,0.06460079145674054,0.0009591559060704592,0.9591559060704592
LRCX,25,0.6845945421011921,0.011451236749173054,0.3145663179437676,0.03640325138440313,0.000416862250042462,0.41686225004246197
DLR,25,-0.12485730734262292,0.008530218461003857,0.1577113452327004,0.05408753852436973,0.00046137851963083605,0.46137851963083604
RHI,25,0.1659992305817831,0.009043479935409035,0.3618442538832112,0.024992741596299904,0.00022602135715700096,0.22602135715700097
STZ,25,0.7616100155477854,0.011796851585053066,0.32695379733113533,0.036081096721765064,0.00042564334305260717,0.42564334305260715
IPG,25,0.4745841423468195,0.0009802545076981108,0.034110585928767985,0.028737545281255036,2.8170108302128824e-05,0.028170108302128825
IPGP,25,0.8064441534741829,0.002195008609415073,0.04659596556787154,0.04710726739244904,0.00010340085749244358,0.10340085749244358
IQV,25,0.2357666103940906,0.008373023208717736,0.2152716501134086,0.038895150403254176,0.00032566999703301426,0.32566999703301425
HRB,25,0.36782899460535684,0.003612980119592071,0.0903868278148821,0.03997241862488726,0.0001444195538237295,0.1444195538237295
ALXN,25,0.5087303602245872,0.011405166457234443,0.14415146708963075,0.07911932280330465,0.0009023690465553544,0.9023690465553544
INCY,25,0.960393122187668,0.0033049052722454097,0.03672830846185159,0.08998250697219283,0.0002973836617022594,0.29738366170225944
CAG,25,0.36397735132156,0.0026672550736249042,0.0732766582935202,0.03639979136249404,9.70875281905002e-05,0.09708752819050019
CME,25,0.7358849703243896,0.0008493789372045453,0.027589660724817763,0.030786132010695674,2.6149092087883526e-05,0.026149092087883526
GPC,25,0.28762986985982225,0.0027460268248917273,0.12760465663802212,0.02151980105774211,5.90939509708932e-05,0.059093950970893205
HSY,25,0.3977266291922633,-0.001142070295290116,-0.041623054454558515,0.02743840667764923,-3.1336589216633146e-05,-0.03133658921663315
AIV,25,-0.14411349685100933,0.007113569025325731,0.1914985529706487,0.037146855237157016,0.00026424671880329905,0.26424671880329903
