Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.6340674352396218,0.002532539581089708,0.07579194684977637,0.03341436242704432,8.46231954233665e-05,0.0846231954233665
NSC,25,0.3520826846074096,0.012350632487624458,0.38374045212481084,0.03218485937366707,0.00039750336979003714,0.39750336979003714
TRV,25,0.3558221632768269,0.0024385850869550856,0.07306798734974858,0.03337419265816792,8.138580850537419e-05,0.08138580850537419
CHD,25,0.0455110315331154,0.008759706412648284,0.28987342148216133,0.03021907413193918,0.00026471021745784153,0.2647102174578415
JPM,25,0.4451048896204215,0.007409305508598771,0.27835582255071384,0.026618108580246654,0.00019722169853210176,0.19722169853210175
MMC,25,0.06609697207558114,0.00055160597162501,0.024589973701673692,0.022432149717486905,1.2373707740552058e-05,0.012373707740552058
ORLY,25,-0.29555116616570287,0.019923601307325838,0.3895910244387711,0.05113978520430999,0.001018888691352953,1.0188886913529531
BWA,25,0.5219071590956669,-0.007123397408616295,-0.16956822791901524,0.04200903374433085,-0.0002992470421128409,-0.29924704211284087
FE,25,-0.23450538811180416,0.010136428137635779,0.27427298569525616,0.0369574426440172,0.0003746164615118764,0.3746164615118764
ECL,25,0.17329782884427938,0.007822217184928251,0.3168787209239804,0.024685208151937758,0.00019309305941961848,0.1930930594196185
WHR,25,0.06985099869965795,-0.015165317502052954,-0.28291483192276007,0.05360382627869192,-0.0008129190448412526,-0.8129190448412527
AAPL,25,0.06605979309743258,0.014981260539091138,0.3762768284063436,0.03981446479854132,0.0005964708703714202,0.5964708703714202
AEE,25,-0.3791671887924042,0.005893427833227495,0.20344966660510874,0.02896749811178854,0.00017071785963097952,0.17071785963097952
SLG,25,-0.07407637977859476,9.886297652980251e-05,0.0031659783084404675,0.03122667526376753,3.087162063705614e-06,0.003087162063705614
SCHW,25,0.41662370988072195,0.0052718534394781726,0.13467843353857223,0.03914400621513244,0.00020636146380020092,0.20636146380020093
CRM,25,0.19392383485855957,0.02067562666375091,0.5798281226639804,0.03565819913797586,0.0007372556128784735,0.7372556128784735
WY,25,0.11931228287496287,-0.0002643968558122847,-0.010031235762398448,0.02635735636912874,-6.968802151521536e-06,-0.006968802151521536
BBY,25,0.48421222404554254,0.012020605818447699,0.22755271213424286,0.052825587995436595,0.000634995570420866,0.634995570420866
FB,25,0.21400756191327916,-0.0013876159706145042,-0.0249475892224791,0.0556212449323235,-7.718092777355315e-05,-0.07718092777355315
LRCX,25,0.7606515544241618,-0.008675368069164385,-0.11885005113505753,0.0729942308506537,-0.0006332518195549749,-0.6332518195549749
DLR,25,-0.11309737754951836,0.00120703169006205,0.03333746513904301,0.03620646275977476,4.37023479360996e-05,0.043702347936099596
RHI,25,0.257518369410402,0.014574692911103162,0.3729583756966905,0.03907860464020273,0.0005695586620253658,0.5695586620253658
STZ,25,0.053972409054362874,0.003124017367726469,0.11807895527063425,0.0264570207330027,8.265219226819971e-05,0.08265219226819971
IPG,25,0.5014878535462991,0.0030878092390981683,0.06751334282987952,0.045736281298925555,0.0001412249119568151,0.14122491195681508
IPGP,25,1.1226793323038073,-0.00906110166189865,-0.10993682094370684,0.08242099038445352,-0.0007468249729479045,-0.7468249729479045
IQV,25,0.1909517237953874,0.011758953668132132,0.3124049800924865,0.03764009672525365,0.0004426081534562696,0.4426081534562696
HRB,25,0.334836677757244,-0.0013825396647547323,-0.02613189749302331,0.05290621031725088,-7.31449342754554e-05,-0.0731449342754554
ALXN,25,0.8137759402896193,-0.005861689682503998,-0.12152437890653267,0.04823468126516709,-0.00028273673351089884,-0.28273673351089884
INCY,25,0.4861542473266235,-0.022269118972207878,-0.33952673689452234,0.06558870496000443,-0.0014606026739873797,-1.4606026739873796
CAG,25,0.21139893316823952,0.0035077543767862646,0.10936968202657632,0.032072456569215375,0.00011250229990495261,0.11250229990495261
CME,25,0.1378061250543486,0.011346368085308993,0.4105562003062769,0.02763657710404702,0.00031357477644054034,0.3135747764405403
GPC,25,0.08403273913067734,0.002699151030597984,0.0700652197125038,0.038523407785964525,0.00010398049582763255,0.10398049582763255
HSY,25,0.10431276550169233,-0.0015237851498983962,-0.0449580332442279,0.0338935011151546,-5.164641367733731e-05,-0.05164641367733731
AIV,25,-0.23085281221203133,0.0023357225825061615,0.08440882129445015,0.027671546014820782,6.463305491967528e-05,0.06463305491967528
CNC,25,-0.04125352910273498,0.016821586796931635,0.4661158676149967,0.036088852505716376,0.0006070717648265717,0.6070717648265717
WFC,25,0.37024243358187797,-0.00012180874915041504,-0.0032229526503034425,0.03779414790314921,-4.603657881288386e-06,-0.004603657881288387
AOS,25,0.41477672138765054,-0.0031836405435817106,-0.10990299862839287,0.028967731393265493,-9.222284411918473e-05,-0.09222284411918473
VFC,25,0.1567657283882429,0.01506404212239856,0.42587944704825437,0.03537161097302666,0.0005328394376347687,0.5328394376347687
TAP,25,0.7007186635218364,-0.012641921045353102,-0.2936915281701121,0.04304489518005655,-0.0005441701662717753,-0.5441701662717753
AET,25,0.16687471212834357,0.010621250989939098,0.34379234872328235,0.030894378625302445,0.00032813694955754694,0.3281369495575469
DGX,25,0.2041829883025823,0.005862525038077079,0.22871426065302006,0.025632529521064946,0.00015027134610649313,0.15027134610649312
AMG,25,0.5824276648115254,-0.013449988223824759,-0.35945876331155935,0.03741733293664909,-0.0005032626873648605,-0.5032626873648606
IRM,25,-0.2156316817311525,-0.00037564312322657526,-0.009877553840703131,0.0380299747573773,-1.4285698494089028e-05,-0.014285698494089028
ORCL,25,0.3778251648593177,0.002216221786579815,0.060865918917398856,0.0364115391010107,8.069604623856273e-05,0.08069604623856273
CAT,25,0.9464775752405407,0.006203035029252542,0.21340173892643458,0.029067406200428844,0.00018030613887077266,0.18030613887077265
GILD,25,0.4994853957015424,-0.004967674683312225,-0.12434045147421174,0.0399522007875492,-0.00019846953639491492,-0.1984695363949149
NCLH,25,0.334859461939948,0.0015011294917402533,0.030849728447928788,0.04865940697902763,7.304407086680988e-05,0.07304407086680989
BRK.B,25,0.34060063627600096,0.005802558717707492,0.2135764431500816,0.027168533346301656,0.00015764701001590937,0.15764701001590936
ILMN,25,0.3861395220184176,0.022550357549020815,0.4970232947900258,0.04537082624778687,0.0010231283541820924,1.0231283541820924
NOC,25,0.35257218974904536,0.003051950940817546,0.08145180745072608,0.03746940720331848,0.00011435479256604358,0.11435479256604358
ABC,25,0.9313401348213722,0.0008586566567384446,0.01638471291173347,0.05240596288529053,4.499872888424258e-05,0.04499872888424258
PRU,25,0.6928221832117164,-0.002628132076648604,-0.08058012506268317,0.03261514020491013,-8.571689615691585e-05,-0.08571689615691586
ETN,25,0.40328225969294235,0.004518172749057264,0.1702409768001619,0.02653986621776108,0.00011991170030871359,0.11991170030871359
ISRG,25,0.4531711422689289,0.019273015266369424,0.4101897153799291,0.046985613104702596,0.0009055544386666604,0.9055544386666604
SYMC,25,0.09810500120744722,-0.01809147932715786,-0.29294748977413415,0.0617567310138298,-0.0011172706224495505,-1.1172706224495506
FTI,25,0.8540791515704117,0.004666281148798549,0.07478181399436297,0.062398608693154896,0.000291169451456126,0.291169451456126
CNP,25,0.007362347273223403,-0.0004303950233141224,-0.015432650959061708,0.027888599596779196,-1.2003114473654007e-05,-0.012003114473654007
WELL,25,-0.5002205715433972,0.0008065148070774476,0.023535883330278208,0.034267454327490246,2.763720931597104e-05,0.02763720931597104
HII,25,0.7617328540013829,0.003313928800304944,0.05370217602779627,0.06170939513865608,0.0002045005417993903,0.2045005417993903
BAC,25,0.4588055728966168,0.006645367478293163,0.213952921594242,0.03105995201549987,0.00020640479500114902,0.20640479500114903
KR,25,0.12686522146711554,0.015131335691709009,0.28884035417401077,0.05238650165410472,0.0007926777422425277,0.7926777422425277
ACN,25,0.316549647053759,0.009065462019950087,0.3764172352614023,0.024083546582702547,0.00021832847685118864,0.21832847685118864
HOLX,25,0.5347797426959641,0.002344087879662984,0.06970204684233096,0.03363011541060497,7.883194592566644e-05,0.07883194592566645
XOM,25,0.5336442592269214,0.0022078597386555833,0.0781174190454851,0.028263347223108106,6.240150641354347e-05,0.062401506413543466
NEE,25,-0.2152774371002061,0.007068445847965738,0.33148229049863126,0.021323751073799597,0.0001507257797406537,0.1507257797406537
RE,25,0.28391515522847777,0.001363326681997343,0.035339356518511465,0.03857814109555744,5.259460909743166e-05,0.05259460909743166
GPN,25,0.14902004674431824,0.011614717835020914,0.3717812962517683,0.0312407266102905,0.0003628522245395535,0.3628522245395535
OXY,25,0.6551814508826637,0.008316572087163264,0.2307520925529721,0.03604115566256062,0.00029973886917235786,0.29973886917235787
BIIB,25,0.1794949490034613,0.0029239237135432372,0.04881888885045362,0.05989328684845863,0.00017512340169825548,0.1751234016982555
AVY,25,0.4645058969366952,0.003226860071235293,0.12150528039984851,0.026557364919585144,8.56969004562342e-05,0.0856969004562342
ZTS,25,0.3266041360752218,0.013390959569320317,0.38510909992003395,0.03477185964211411,0.00046562856661763085,0.46562856661763086
UNP,25,0.5236657094619588,0.012528297009679144,0.35271919328093565,0.03551918140077095,0.00044499485412952973,0.4449948541295297
RCL,25,0.25766951726323745,0.004431726639284463,0.09666095282498004,0.045848158017941384,0.00020318650325023435,0.20318650325023435
INTU,25,0.11831373936305428,0.017179180729263104,0.5101900313896673,0.03367212150827419,0.0005784594609283497,0.5784594609283497
CVS,25,0.4699759756453836,-0.002404140087955254,-0.04604836941018186,0.05220901670893192,-0.0001255177900226689,-0.1255177900226689
PPL,25,-0.4056251219080854,-0.007587088632763979,-0.22119117881596553,0.034301045246820414,-0.0002602450704840741,-0.2602450704840741
AZO,25,0.011200900440657805,0.010874934968484604,0.24830382677223442,0.04379688831159267,0.00047628831221055375,0.47628831221055373
BKNG,25,0.5453572942844725,0.0010464241669609375,0.02172514215016263,0.048166504952102424,5.040259481992365e-05,0.05040259481992365
CPB,25,-0.16100433884046295,-0.005639070260021462,-0.11410810701799401,0.049418664522514796,-0.00027867532139889094,-0.27867532139889095
EL,25,0.4381208299402248,0.00974193147632858,0.2242341760984828,0.0434453464937029,0.00042324158850700575,0.4232415885070058
IBM,25,0.3342926521987356,0.0014146328382821842,0.05221716087218439,0.027091339602796104,3.832429863516999e-05,0.03832429863516999
PSX,25,0.462486527116049,0.008560913075211295,0.1943049445320599,0.04405916224020106,0.00037718665810499303,0.377186658104993
ADBE,25,0.21291544304750415,0.023436059115395903,0.5919730611236785,0.03958973922041277,0.0009278274687327014,0.9278274687327014
NFLX,25,0.6023870424274086,0.026294424692511184,0.3766296782833841,0.06981506293491482,0.0018357469147450467,1.8357469147450467
SNPS,25,0.06984878784365878,0.008308691600705562,0.22197756142489192,0.037430321999085844,0.0003109970020055092,0.31099700200550917
CB,25,0.32489747474181574,-0.0019237130465250048,-0.06646230849521494,0.02894442113252063,-5.5680760556744e-05,-0.055680760556743994
CDNS,25,0.15324475338848578,0.005661258409280127,0.1279662923156354,0.04424023160189985,0.0002504553831847559,0.2504553831847559
MLM,25,0.36773162463838366,-0.00359765638610329,-0.08660184972780945,0.04154248895850104,-0.00014945560069617666,-0.14945560069617667
GS,25,0.476730461371287,-0.0014840747683196498,-0.046464737900773136,0.0319398071606244,-4.740106191207795e-05,-0.04740106191207795
SRCL,25,0.5863257735836327,-0.008756111977242707,-0.17464139335048084,0.050137666730993236,-0.0004390110241742531,-0.4390110241742531
TJX,25,0.04349898046580478,0.01642420885301528,0.4908432413664088,0.03346121015600335,0.0005495739040768349,0.5495739040768349
EIX,25,-0.3375333817944218,-0.0035761767688352584,-0.0943740560196931,0.03789364280463918,-0.00013551436508449198,-0.13551436508449197
MKC,25,0.004541988979616134,0.01246927916308874,0.36692020273517245,0.03398362660365295,0.0004237513270951179,0.4237513270951179
