Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,-0.3665347565085164,0.004588076247632829,0.10935926573160756,0.041954161057491085,0.00019248888983723706,0.19248888983723705
NSC,25,-0.3533623822922117,0.013458668877758704,0.3905666021335475,0.03445934394860712,0.0004637768999491014,0.46377689994910143
TRV,25,-0.41596893718647215,0.0035452885814551906,0.1005539305936066,0.03525758327422963,0.00012499830739183182,0.12499830739183182
CHD,25,0.22055262065731776,0.008962199053638467,0.3004857074948771,0.029825708278625074,0.00026730393450879065,0.26730393450879064
JPM,25,-0.5813281619432022,0.008780126750511073,0.29715359522666557,0.029547435708505182,0.0002594302306732524,0.25943023067325244
MMC,25,0.08018851442572465,0.0007922372826267089,0.035170501501281655,0.022525618026738654,1.784563441499064e-05,0.01784563441499064
ORLY,25,0.0681297953921402,0.018942609358099848,0.35998601196087293,0.05262040392880246,0.0009967677558887274,0.9967677558887275
BWA,25,-0.550792765569388,-0.005486915820608649,-0.12026398291437679,0.04562393234984673,-0.00025033467620875274,-0.2503346762087527
FE,25,0.9075635548067764,0.009548058014404812,0.3017043871423957,0.03164706388541313,0.0003021680019634999,0.3021680019634999
ECL,25,0.06410988664786402,0.008420590851457374,0.32758082099509495,0.02570538417321892,0.0002164545228022044,0.2164545228022044
WHR,25,-0.6579159800977209,-0.015076342679051884,-0.2934811489901755,0.051370736181616125,-0.000774482822349214,-0.774482822349214
AAPL,25,0.2797302415045395,0.015266186530699295,0.3878813466799921,0.0393578775091088,0.0006008446995064695,0.6008446995064695
AEE,25,1.355957022592935,0.00491729047327168,0.6172567877748575,0.007966361116899126,3.9172911626770014e-05,0.039172911626770016
SLG,25,0.5588887191195615,-2.6398000982846468e-05,-0.0009278397233347779,0.02845103558184444,-7.510504652525294e-07,-0.0007510504652525294
SCHW,25,-0.7604036613498156,0.006506814559479688,0.1670108043332007,0.03896044082572072,0.00025350836360854643,0.25350836360854645
CRM,25,0.08903917963880792,0.021349070012343985,0.5844527266245668,0.0365283093735277,0.0007798454342480038,0.7798454342480038
