Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.04760358869561259,0.005481670265082124,0.1314266405104764,0.0417089734911482,0.00022863483977352564,0.22863483977352564
NSC,25,0.03375819034543685,0.01509352220986378,0.4011771209408984,0.03762308821216992,0.0005678649175340509,0.5678649175340509
TRV,25,0.18771035328265512,0.0012102642879887036,0.0356747876124737,0.03392491922125793,4.1058118206390015e-05,0.041058118206390014
CHD,25,0.028298265921780686,0.005409501704400028,0.14090392570160995,0.038391419383556745,0.00020767844858968646,0.20767844858968645
JPM,25,0.0821659162144708,0.009167554422682741,0.2895066594636809,0.03166612622889535,0.0002903009355589395,0.29030093555893954
MMC,25,0.32803438971204785,-0.0011230630322684072,-0.050096730113780547,0.022417890942536316,-2.5176704578987298e-05,-0.025176704578987297
ORLY,25,9.333179726109589e-05,0.02065866453911809,0.36390384483170407,0.056769569303869755,0.0011727834882788609,1.1727834882788608
BWA,25,0.14403208231218645,-0.0006092968885175547,-0.013688640460015175,0.044511132445718374,-2.712049450356898e-05,-0.02712049450356898
FE,25,-0.03202800554531205,0.0074728704310954314,0.1892812819496832,0.03948023995886688,0.00029503071780116865,0.29503071780116863
ECL,25,0.31209044062242164,0.0007726024501413607,0.033910531275286954,0.022783554874718573,1.760263031913771e-05,0.01760263031913771
WHR,25,0.5747312768678554,-0.01884466485008652,-0.4185042046613067,0.04502861534052545,-0.0008485491647556666,-0.8485491647556666
AAPL,25,0.4625615108478346,0.005063837506204033,0.11543608511995934,0.04386702391147252,0.00022213548096846372,0.22213548096846372
AEE,25,-0.23336712245646601,0.006863827777377455,0.2377586269856081,0.028868890539954766,0.00019815109279021077,0.19815109279021076
SLG,25,0.12580392569727095,0.0020816127658303137,0.06389003841523455,0.03258117881071666,6.782139773818793e-05,0.06782139773818792
SCHW,25,0.6629699731393789,6.625249685947472e-05,0.001542914424831601,0.04293983891342888,2.8448715427582973e-06,0.002844871542758297
CRM,25,0.9165481691413092,0.004483748510371737,0.19039066572691718,0.023550253859624122,0.00010559341566196591,0.10559341566196591
WY,25,0.3595095905303216,-5.2730041106581645e-05,-0.0019054983952409583,0.02767257177349326,-1.4591758471411304e-06,-0.0014591758471411303
BBY,25,0.28397119724967007,0.010765886994754767,0.1987105083789982,0.054178750195843284,0.0005832823021254965,0.5832823021254965
FB,25,1.0272919962261988,-0.014938084941605268,-0.3671209211866525,0.04068982201646419,-0.0006078280175407422,-0.6078280175407422
LRCX,25,0.72975522922908,-0.008961192358077366,-0.11760234582478435,0.07619909530910753,-0.0006828347505763833,-0.6828347505763833
DLR,25,-0.04721812014133283,0.004212676057473415,0.11913926381034456,0.03535925875939179,0.00014895710278569694,0.14895710278569693
RHI,25,0.18535240511542592,0.020332034818878943,0.5139162792587268,0.03956293201726531,0.0008043949113119788,0.8043949113119788
STZ,25,0.35720531736665057,-0.003737081673444013,-0.12340731433794015,0.03028249738269436,-0.00011316816599498338,-0.11316816599498339
IPG,25,0.04046309773749939,0.006977007575295296,0.16270998922975358,0.04288001989505056,0.00029917422363658075,0.29917422363658075
IPGP,25,1.9836270448033186,-0.032007524290717716,-0.4577912064402365,0.06991729819278697,-0.002237879620246983,-2.237879620246983
IQV,25,0.37196712174965124,0.005202906947726986,0.12746996879288822,0.040816727241697305,0.00021236563374930423,0.21236563374930423
HRB,25,0.08473094487220366,-0.000905365076026993,-0.01726484557665099,0.05243980156135369,-4.74771649274354e-05,-0.0474771649274354
ALXN,25,0.2388651345964507,-0.009434926790552911,-0.1747251513637986,0.053998675731052985,-0.0005094735523092911,-0.509473552309291
