Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,-0.05913850609857519,0.00686976202459861,0.21897740445382757,0.03137201320717605,0.0002155182649658641,0.2155182649658641
NSC,25,0.06539016482446756,0.010354090747905706,0.21747777094970952,0.04760988078317222,0.0004929570261259372,0.49295702612593717
TRV,25,0.1777273221183018,0.004129243791735218,0.15005124961823288,0.027518889727616565,0.00011363220456320676,0.11363220456320676
CHD,25,0.022088462490312554,0.000846094623882742,0.027989676057717884,0.030228810870765316,2.5576434364122724e-05,0.025576434364122724
JPM,25,0.22740926028055,0.015276329508464399,0.5208544555249381,0.029329363215427038,0.00044804501675229833,0.44804501675229835
MMC,25,0.03538336527103134,0.006477391217349708,0.2663815092534399,0.02431621937837663,0.00015750566584064556,0.15750566584064557
ORLY,25,0.05108224720166524,-0.013084717746308308,-0.27851426561150305,0.04698042205335384,-0.0006147255621705732,-0.6147255621705732
BWA,25,0.28025987064593205,0.013238822518525657,0.24961725360548817,0.053036488172605166,0.0007021406539230049,0.702140653923005
FE,25,-0.23258651327009186,0.00044778737475122685,0.012921428691028556,0.0346546334355526,1.5517907329072187e-05,0.015517907329072187
ECL,25,0.06325941092485994,0.003397324195834767,0.16099263142355186,0.021102358324070272,7.169155252353914e-05,0.07169155252353915
WHR,25,0.11314616696522435,-0.0005373251688773834,-0.010991615449489706,0.048885004333219205,-2.626714320891863e-05,-0.02626714320891863
AAPL,25,-0.11880015941226131,0.016433289538177125,0.4823406892449857,0.034069880282960104,0.0005598802072209154,0.5598802072209154
AEE,25,-0.08743485390340312,0.008765758368914408,0.3497845904875654,0.025060447507695524,0.00021967382746932226,0.21967382746932226
SLG,25,0.261937840913205,-0.0033957015366784956,-0.11847093311604716,0.02866273985832682,-9.733010978233634e-05,-0.09733010978233635
SCHW,25,0.34017845476900027,0.012426342158468117,0.30540445696940627,0.0406881493537369,0.0005056048656643881,0.5056048656643881
CRM,25,-0.0910960519253469,0.005547345233114397,0.1688557817442139,0.032852563150710626,0.00018224450958968428,0.18224450958968427
WY,25,0.3291940700711151,0.004489557479949856,0.14086475176628221,0.03187140447596692,0.00014308850236158458,0.14308850236158457
BBY,25,0.22688563914681822,0.02213034044833743,0.369479805066724,0.059895940576078124,0.0013255175564219968,1.3255175564219968
FB,25,-0.15309617702558903,0.009959110206051992,0.35569467769893154,0.027999041960593014,0.00027884554454941983,0.27884554454941984
LRCX,25,0.0805974815389284,0.023195656277699976,0.5707681662494403,0.04063936576932863,0.0009426567597290732,0.9426567597290733
DLR,25,0.13155335667878007,0.009508210030868698,0.25282202239452434,0.037608314104976594,0.0003575877494169992,0.35758774941699917
RHI,25,0.3580021102847233,0.009429531926210766,0.266596889233066,0.035369999827594464,0.00033352254260437126,0.33352254260437125
STZ,25,-0.08543355979742287,0.006631007804477716,0.20651449152879078,0.032109164617889624,0.00021291612117648582,0.2129161211764858
IPG,25,0.2632047205282603,-0.002106842272192291,-0.04971593602172076,0.04237760446211487,-8.928292847502827e-05,-0.08928292847502826
IPGP,25,-0.23746146610410296,0.024363711156835555,0.5604904082714098,0.043468560384422775,0.0010590554496095412,1.0590554496095412
IQV,25,-0.15740350854702434,0.007103589879088426,0.23085754047103355,0.03077044771678028,0.00021858064097593995,0.21858064097593996
HRB,25,-0.1018255872061631,0.008639234934150114,0.14908119308330733,0.05794986446964149,0.0005006424935553913,0.5006424935553913
ALXN,25,-0.10317752804467076,0.002279410372469301,0.0331704834554015,0.06871803287202678,0.00015663659690418424,0.15663659690418424
INCY,25,0.20167765953395536,0.01876199918663696,0.26480125034683555,0.07085313669048984,0.001329346492957648,1.329346492957648
