Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,1.0731613523589312,6.04948881936301e-05,0.0018114235469706497,0.03339632428583545,2.0203069037498293e-06,0.0020203069037498292
NSC,25,0.5139231481021276,0.012161655435237865,0.4950800615109753,0.02456502772121486,0.0002987514029024815,0.2987514029024815
TRV,25,0.6866239069181868,0.0024398041879363968,0.11787826990043897,0.02069765860999722,5.049823415714904e-05,0.05049823415714904
CHD,25,0.6872165061272252,0.0027567478387382814,0.17667221935927524,0.015603742618596097,4.30155837400432e-05,0.0430155837400432
JPM,25,0.2673187293386633,0.004701210158057641,0.16852603861860063,0.027896046193177156,0.00013114517573300962,0.13114517573300963
MMC,25,0.4644773870794742,0.0074936342656512596,0.516106418420059,0.014519552553892461,0.0001088042165397728,0.1088042165397728
ORLY,25,0.02789581419839522,0.009050152563272556,0.2792992713025787,0.03240306543251979,0.00029325268568200735,0.29325268568200735
BWA,25,0.7284831875084824,0.004306232843071684,0.13870845167903242,0.03104520878825891,0.0001336878977040182,0.1336878977040182
FE,25,0.698108847601911,-0.0057287248506389995,-0.14251418686848727,0.04019757595028411,-0.00023028085228184115,-0.23028085228184114
ECL,25,0.5390236777700772,0.0048078121511782364,0.2358432143147449,0.02038562849962672,9.801027240991071e-05,0.09801027240991071
WHR,25,0.9772931492706246,-5.666197976294737e-07,-1.493147758635257e-05,0.03794800577187126,-2.1502091350899795e-08,-2.1502091350899794e-05
AAPL,25,-0.12658301486902293,0.016327786885353343,0.42518938346064294,0.038401210191234,0.0006270067761421276,0.6270067761421276
AEE,25,0.5782216988265136,0.005405228664340975,0.2802046315272101,0.019290290224257357,0.00010426842966361237,0.10426842966361237
SLG,25,0.5175580708080569,0.006637729074333567,0.2906307695222899,0.022839044486734867,0.0001515993896195978,0.1515993896195978
SCHW,25,-0.010148103282986543,0.011090235818693239,0.3446519382078747,0.032178074716075526,0.0003568624367928081,0.3568624367928081
CRM,25,0.5080994425157547,0.0041759439789306775,0.0757617760951946,0.05511940445645846,0.00023017554516219246,0.23017554516219246
WY,25,0.611524385853272,0.0060097404530860925,0.2200777697449112,0.027307348943293508,0.00016411007961104876,0.16411007961104876
BBY,25,1.1291222509710752,-0.013041381509033048,-0.13815971101321406,0.09439352046549754,-0.0012310219123712722,-1.2310219123712722
FB,25,0.29423787492694625,0.02127876046595019,0.33622833816911946,0.063286636045672,0.0013466611691116237,1.3466611691116237
LRCX,25,0.404449100174547,0.012279435679536002,0.39747800586885007,0.03089337145257709,0.0003793531676759341,0.3793531676759341
DLR,25,0.21803834095672733,0.009440826719334865,0.2058338969647087,0.04586623903328005,0.00043301521498079003,0.43301521498079004
RHI,25,0.2791369774820208,0.012053078679397915,0.4157902357386458,0.028988363947474092,0.00034939903144592715,0.34939903144592716
STZ,25,0.2773403922263355,0.01574352748358641,0.4017561229917168,0.039186776710086385,0.0006169380961284089,0.6169380961284089
IPG,25,0.5525060110642321,0.004528083567429008,0.18111190032300162,0.025001579461942904,0.00011320924112139423,0.11320924112139423
IPGP,25,0.7165042576969499,0.0028775032078537594,0.05727084866857724,0.05024376754927603,0.0001445766022977004,0.1445766022977004
IQV,25,0.50397653734853,0.006964807880132511,0.19338836209151872,0.036014617450643174,0.00025083489142019744,0.25083489142019744
HRB,25,0.226336928814495,0.00718647363763687,0.23202653248068722,0.03097263731351516,0.00022258404154166473,0.22258404154166472
ALXN,25,0.9630459067880036,0.009655622798978976,0.1352883302445768,0.07137069976045501,0.0006891285557861327,0.6891285557861327
INCY,25,0.6429074900586865,0.013545185670457607,0.16550248733724016,0.08184279214400525,0.0011085758153792204,1.1085758153792205
CAG,25,0.04888260590658193,-0.0010834298399121183,-0.02354178099946008,0.04602157500050511,-4.98611476353008e-05,-0.0498611476353008
CME,25,-0.2819050266008864,0.005755345509089634,0.16592726588457785,0.03468595398355543,0.00019962964948774546,0.19962964948774545
GPC,25,0.6650330198206005,0.0013804536793637434,0.08462349752667785,0.016312888496821474,2.251918694648769e-05,0.02251918694648769
HSY,25,0.45565862448833605,-0.002132456494785981,-0.08704537242618007,0.024498217829953425,-5.2241383722165896e-05,-0.0522413837221659
AIV,25,-0.00449077843465336,0.009976446747078357,0.2776948669509193,0.0359259314247304,0.0003584131416980117,0.3584131416980117
CNC,25,0.13347546356221202,0.010083681562596048,0.19390790250973614,0.05200242709081826,0.0005243759152659293,0.5243759152659293
WFC,25,0.3610740555634322,0.007219860463994465,0.37739649119346547,0.01913070373591082,0.00013812101155129375,0.13812101155129375
