Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.26600514332177394,0.013765709703887088,0.42840309234737906,0.032132610501151314,0.0004423281881869228,0.44232818818692277
NSC,25,0.7386263509314827,0.008363956028878218,0.15687237550985395,0.05331694635014203,0.00044594059486664697,0.44594059486664694
TRV,25,0.41991905152181047,0.007663892677480646,0.27540804610823144,0.027827410221954247,0.00021326628543328523,0.21326628543328524
CHD,25,0.18536461452313854,0.006261295826314157,0.20355609742845174,0.03075955918498069,0.00019259469954418287,0.19259469954418287
JPM,25,0.5913094762298375,0.0027917333691493125,0.08351237487380607,0.03342897832049258,9.332479427388808e-05,0.09332479427388808
MMC,25,0.2856091444584896,0.009994657502226558,0.42071278322408034,0.02375648637446606,0.0002374379447691002,0.2374379447691002
ORLY,25,0.5408888952031711,0.006207502471002573,0.20736813370677415,0.029934698065905346,0.00018581971221282338,0.18581971221282337
BWA,25,1.196877062709315,-0.009225491193710189,-0.14119842458606258,0.06533706888554633,-0.0006027665536264436,-0.6027665536264436
FE,25,0.24837428557792937,0.002359008628281093,0.07215600818799853,0.03269316980693867,7.712346966042723e-05,0.07712346966042724
ECL,25,0.5294344570194379,0.00554844903796629,0.20378910079901397,0.027226426811895212,0.0001510644416517196,0.15106444165171962
WHR,25,1.0612681891089355,0.004479626659369233,0.1174204917692908,0.03815029720852181,0.00017089908843815395,0.17089908843815396
AAPL,25,0.6930866746393399,-0.0008830271132577883,-0.024402742308436923,0.03618556890438061,-3.1952838451226005e-05,-0.031952838451226005
AEE,25,-0.04941595141500845,0.009644241892126607,0.29357986521580287,0.032850488179894,0.00031681805428134365,0.31681805428134363
SLG,25,0.5810559755401693,0.005355203004623175,0.11151093456998272,0.04802401688475065,0.0002571783595152908,0.2571783595152908
SCHW,25,0.9140116331263373,0.001633542213685434,0.028960901322733164,0.056405088898361315,9.214009378215283e-05,0.09214009378215283
CRM,25,1.041033469860084,0.006308605792155724,0.11733337318132764,0.053766508377854016,0.0003391917061765191,0.3391917061765191
WY,25,0.8991404965102009,0.006528797462495735,0.1564499445926466,0.04173090300220278,0.00027245261362843714,0.27245261362843715
BBY,25,0.5153628318199824,0.0049720129421614275,0.091063327132884,0.05459950892092957,0.00027146946499052014,0.27146946499052016
FB,25,0.4093652564671835,0.013611522275219327,0.38569254065935726,0.03529112139931426,0.0004803658850442355,0.4803658850442355
LRCX,25,1.0387470251997133,0.011370898394527863,0.25177965120077567,0.045162102418913955,0.0005135336778887316,0.5135336778887316
DLR,25,0.11250375261987176,0.0199236962709937,0.5782663052533941,0.03445418847681816,0.0006864547864756961,0.686454786475696
RHI,25,0.8465890518591948,-0.010128610908030623,-0.2533667378810391,0.03997608759831062,-0.0004049022369086366,-0.4049022369086366
STZ,25,0.3217642642852588,0.01085781003560146,0.32320209816738854,0.03359449117801867,0.0003647626034536159,0.3647626034536159
IPG,25,0.534787514780119,0.008451984614099203,0.25602782828588116,0.03301197635696734,0.00027901671625009465,0.27901671625009467
IPGP,25,0.8050698092408448,0.0016795047713027958,0.03570279484911121,0.04704126885306307,7.900603548685702e-05,0.07900603548685702
IQV,25,0.8859161923267642,0.0011263053156654733,0.029851859959379196,0.037729820426535866,4.24952973055111e-05,0.042495297305511104
HRB,25,0.11442446453986488,-0.012358359447439961,-0.18972937799830583,0.06513677311243973,-0.0008049836553698728,-0.8049836553698728
ALXN,25,0.8292872556866473,-0.010890593972936029,-0.15024766603028827,0.07248428052613214,-0.0007893968686304991,-0.7893968686304991
INCY,25,1.2945488281189212,-0.013683948997223942,-0.15440090152591732,0.08862609519755292,-0.001212754966506428,-1.212754966506428
CAG,25,0.4175908874769853,0.005162352633618784,0.2500337292288873,0.020646624955519638,0.0001065851587144661,0.1065851587144661
CME,25,0.2301178206936154,0.006872249373111216,0.24282271419320875,0.02830150958465573,0.0001944950315012514,0.19449503150125141
GPC,25,0.4321018356423457,0.009901485085944113,0.36847731746130574,0.026871355757152895,0.00026606632826854784,0.2660663282685478
HSY,25,0.17086748554449996,0.009667598336718082,0.2153900898501991,0.044884137164536056,0.000433921809796895,0.433921809796895
AIV,25,0.24274769632096502,0.009743842654881376,0.2567947879171142,0.037944082642465474,0.00036972117095199913,0.36972117095199913
CNC,25,0.7813918522216163,0.004114551249447124,0.06946490546956917,0.059232085923583463,0.00024371345314423972,0.24371345314423973
WFC,25,0.5580076317692878,-0.0022603557334648916,-0.08185613035604239,0.02761376238570308,-6.241692613106112e-05,-0.06241692613106112
AOS,25,0.9199064934546841,0.016603269040255025,0.6465379754338072,0.02568026886450829,0.00042637641298351556,0.4263764129835156
VFC,25,0.561875514486293,-0.0037737971399191376,-0.14105286843207243,0.026754487036444105,-0.00010096600665813641,-0.10096600665813642
TAP,25,0.238033289894541,0.0167806175312663,0.4589096210785021,0.03656627963438529,0.0006136047530859516,0.6136047530859515
AET,25,0.6742520002064951,0.001678406335204223,0.043464899216970644,0.038615212860056466,6.481201789957836e-05,0.06481201789957836
DGX,25,0.6143067828586987,0.009317153808634468,0.30346750774929154,0.030702311024123866,0.0002860581540922957,0.2860581540922957
AMG,25,1.0897089495548777,-0.010141601477320022,-0.2218633225957395,0.045711032173619735,-0.000463583071421805,-0.463583071421805
IRM,25,0.3578632430761415,0.014736089121088758,0.3285561573049022,0.04485105146702083,0.0006609290915925576,0.6609290915925576
ORCL,25,0.5079588591388463,0.005169530387146367,0.18504610230235546,0.027936445690164444,0.00014441830490416927,0.14441830490416926
CAT,25,0.8225445193090196,0.0053064610520794095,0.11179427360203772,0.04746630467826293,0.0002518780970613369,0.2518780970613369
GILD,25,0.8727294548034471,-0.009785874501526544,-0.21262499632973775,0.04602410191862231,-0.00045038608542110497,-0.450386085421105
NCLH,25,0.9702758372688799,-0.018477787881786396,-0.25515223770322315,0.07241867854311583,-0.0013381369807989702,-1.3381369807989703
BRK.B,25,0.33654318526037463,0.00412773261468812,0.24179343938856468,0.01707131767150559,7.046583472837528e-05,0.07046583472837528
ILMN,25,0.9460327376995036,-0.004971651136475974,-0.0535808193897178,0.09278788926901028,-0.00046130901513548187,-0.4613090151354819
NOC,25,0.24805354976917018,0.011132789741555443,0.45691892093980285,0.024364912966740856,0.0002712494531300238,0.2712494531300238
ABC,25,0.6704145209527644,-0.005156545939227308,-0.12460133372530105,0.04138435588976557,-0.0002134003323109084,-0.2134003323109084
PRU,25,0.8194850842623879,0.0003536982376098708,0.009334470870599808,0.037891621551243114,1.3402199762854888e-05,0.013402199762854889
ETN,25,0.5749003174641213,0.008438017367029189,0.16607718888010953,0.050807804635473214,0.0004287171378947491,0.42871713789474913
