Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.0685981871203797,0.013652505368955035,0.395405048071363,0.03452789850697865,0.00047139231974526054,0.4713923197452605
NSC,25,0.563885943848064,0.008247017501344482,0.13537080426359138,0.06092168504285496,0.0005024222027598212,0.5024222027598212
TRV,25,0.24305404516763549,0.007556429439619684,0.2266674942889137,0.03333706698141794,0.0002519091943689598,0.2519091943689598
CHD,25,-0.018430069853288544,0.0061473963025045295,0.19190118888379934,0.03203417518286936,0.00019692677007295345,0.19692677007295345
JPM,25,0.29322968650672493,0.0026144908756097767,0.061187203429461906,0.042729373611981224,0.00011171555742904607,0.11171555742904607
MMC,25,0.12832748930406057,0.009902013340116068,0.36543066558066334,0.02709683196505124,0.0002683131915928209,0.26831319159282085
ORLY,25,0.841750947652543,0.006348565108831976,0.2452955750783544,0.02588128671625676,0.00016430903381850416,0.16430903381850417
BWA,25,0.9438231893834398,-0.009399068747016584,-0.11677773651863577,0.0804868207521444,-0.0007565011614782063,-0.7565011614782062
FE,25,0.27890010514192987,0.0023668864292087275,0.07093782525424176,0.033365646898897545,7.897269684677087e-05,0.07897269684677087
ECL,25,0.33134846017072767,0.005426125521023617,0.15307413906851441,0.03544769582924088,0.00019234364700052635,0.19234364700052636
WHR,25,1.0699026078259972,0.0044488992722014975,0.08690260764146006,0.051194082582154736,0.00022775731674077156,0.22775731674077157
AAPL,25,0.6896593823669341,-0.0009078871884198676,-0.02126583000189151,0.04269229972867811,-3.875979196784784e-05,-0.03875979196784784
AEE,25,0.12251378040455273,0.009736775220415004,0.2982805922179391,0.032643006197670466,0.0003178376138653312,0.3178376138653312
SLG,25,0.901827153462492,0.005505454792913597,0.12156953634277579,0.045286466976319564,0.00024932259666890185,0.24932259666890186
SCHW,25,0.6299702122045346,0.0014529897542991358,0.021359054556041885,0.06802687593155313,9.884235374552517e-05,0.09884235374552516
CRM,25,0.9246026765143464,0.006212436032237497,0.09441667515068035,0.06579808092503808,0.00040876636879078537,0.4087663687907854
WY,25,0.8672820489739381,0.006482055144347908,0.1255079183968251,0.05164658315703435,0.0003347760000410465,0.3347760000410465
BBY,25,0.8601931267407738,0.005137168087430673,0.09976800312039279,0.05149113870938673,0.0002645186345633277,0.2645186345633277
FB,25,0.5284605139171984,0.013660868312473212,0.3820259139453352,0.03575900956925129,0.0004884991207100113,0.48849912071001134
LRCX,25,0.8994229735827066,0.011262702231696798,0.18966828676266062,0.05938105111789332,0.0006687910969459987,0.6687910969459987
DLR,25,0.05483321484737245,0.019889467695707774,0.5711056494921655,0.03482624924721677,0.0006926755593651852,0.6926755593651852
RHI,25,0.5894602699285507,-0.010292693994866913,-0.1934888799196078,0.053195274059901515,-0.000547522677871648,-0.547522677871648
STZ,25,0.3963873082610876,0.010886559126453494,0.3184137685191716,0.034189976071333165,0.00037221119603259863,0.3722111960325986
IPG,25,0.378909078229884,0.008351795956707883,0.21044949057053466,0.039685512823366416,0.00033144530553807047,0.33144530553807044
IPGP,25,0.7916222603307226,0.0016456235810649955,0.03042883630570284,0.054081055369067134,8.899706000421856e-05,0.08899706000421856
IQV,25,0.9402870274679741,0.0011255875608871288,0.024420866387462492,0.04609122145907968,5.187970554043399e-05,0.05187970554043399
HRB,25,-0.1740251201159254,-0.012514652396413705,-0.19231686645488588,0.06507308811289009,-0.0008143670780940202,-0.8143670780940202
ALXN,25,0.7057867833162988,-0.010983459578777284,-0.1392221111433103,0.07889163214506424,-0.0008665030527690797,-0.8665030527690797
