Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.9701284794480746,0.001784266761928996,0.047914014068479165,0.037238933047415004,6.644419048620185e-05,0.06644419048620184
NSC,25,1.1664856791945815,0.010272824601405578,0.3419997864051362,0.030037517594342273,0.0003085701497083122,0.3085701497083122
TRV,25,1.0398393841463867,-0.0005702767958551368,-0.020267228442367776,0.028137877730878953,-1.6046378754529258e-05,-0.01604637875452926
CHD,25,0.38123413725386357,0.004109673346760553,0.10905775889735692,0.03768345680593436,0.00015486669804915098,0.15486669804915099
JPM,25,1.1296189621741946,0.005289205901938403,0.2298595050480015,0.023010603371976544,0.00012170781916222206,0.12170781916222205
MMC,25,0.5861099093297403,0.001421816354691039,0.062041931530841796,0.02291702272332119,3.258379770884424e-05,0.03258379770884424
ORLY,25,1.1981929133039049,0.01515473262034443,0.29276359772194704,0.0517644021943523,0.0007844756745073795,0.7844756745073795
BWA,25,1.1099769706903688,-0.0034095410704293085,-0.0867571311181688,0.03929983652623661,-0.0001339944066973616,-0.1339944066973616
FE,25,-0.6765390005647111,0.010070002076752882,0.27039465920264494,0.03724186752226495,0.0003750256832913638,0.37502568329136377
ECL,25,0.524091637682259,0.0033478550795253046,0.1423271380638168,0.023522253907924357,7.87490972275285e-05,0.0787490972275285
WHR,25,0.7742921924086389,-0.01322528400612311,-0.2776318935502006,0.04763604007092129,-0.0006300001588649949,-0.6300001588649948
AAPL,25,0.51287410663398,0.010093293229578538,0.21878769549980068,0.046132819336669385,0.000465632073072175,0.465632073072175
AEE,25,-0.30558466835381176,0.004541607694477993,0.15350661632292228,0.029585745574145783,0.0001343668497464087,0.1343668497464087
SLG,25,0.3807717074148954,0.0023408400514325035,0.07296910593585591,0.03207987848296014,7.509386439800088e-05,0.07509386439800088
SCHW,25,1.7377297551244641,0.002667818008601391,0.07330209499852855,0.036394839856281655,9.709480918875187e-05,0.09709480918875187
CRM,25,0.6881559112743932,0.01595689954651752,0.40312237942097806,0.03958326394440591,0.0006316261664841739,0.6316261664841739
WY,25,0.7466310018942541,0.0022571749231125216,0.08307974361451843,0.02716877574376714,6.132467930049893e-05,0.06132467930049893
BBY,25,1.475501259539195,0.008520633473853793,0.18059950460385826,0.04717971675804786,0.0004020010738955633,0.40200107389556333
FB,25,0.6233419600946014,-0.0013988160560258406,-0.025516038906865813,0.05482105044327431,-7.668456556825464e-05,-0.07668456556825463
LRCX,25,1.8104145605276063,-0.005627196971441799,-0.0771399980363001,0.07294784955521758,-0.0004104919180903123,-0.41049191809031227
DLR,25,0.307405080020803,0.002046260253040405,0.058639973655297564,0.034895313307419004,7.140489263836342e-05,0.07140489263836343
RHI,25,0.7746497293563186,0.019732328742823102,0.5298554692546595,0.037240964541859496,0.0007348509550397901,0.7348509550397901
STZ,25,0.3217293543458601,0.0004883554123071459,0.015008041430539432,0.03253958316728827,1.5890881553963727e-05,0.015890881553963728
IPG,25,0.9418439385641614,0.003295548596339515,0.08493889127379194,0.03879905361275139,0.00012786416667280443,0.12786416667280442
IPGP,25,0.7982825763103131,-0.004001696772594607,-0.039568903657754395,0.1011323641212482,-0.0004047010551088615,-0.4047010551088615
IQV,25,1.130638789551938,0.005947300829531601,0.16018133126424192,0.03712855163952085,0.00022081466596502925,0.22081466596502924
HRB,25,1.1797692525828787,-0.00497318536444246,-0.1052314191451214,0.04725951056104351,-0.00023503030625289547,-0.23503030625289548
ALXN,25,1.1551632201830755,-0.010928535676992226,-0.21892729939880065,0.04991856066832794,-0.0005455367712079228,-0.5455367712079229
INCY,25,1.8443469354222115,-0.03356124574515678,-0.4498586263704055,0.07460398395811366,-0.0025038026391859865,-2.5038026391859867
CAG,25,0.9151997461630127,0.0008837437729241329,0.030320803768979252,0.02914644940343823,2.5757993163136842e-05,0.02575799316313684
CME,25,0.5698184129061097,0.010908886764664666,0.3269989400003312,0.03336061812510346,0.00036392720552597325,0.36392720552597324
GPC,25,1.4110615456641906,0.002087384870496236,0.05902990188649359,0.03536148297366293,7.381302455753425e-05,0.07381302455753425
HSY,25,0.9062420336898893,-0.005302968378650857,-0.1634218858934741,0.03244956053259339,-0.0001720789934054596,-0.1720789934054596
AIV,25,0.10299911057162951,-6.0952427856860586e-05,-0.0017986736826591549,0.03388742963467874,-2.065521110062195e-06,-0.0020655211100621953
CNC,25,0.6376588225707357,0.01814495044230302,0.46994072935068887,0.03861114670221002,0.0007005973434320925,0.7005973434320925
WFC,25,1.6557653254087368,-0.000904861312543445,-0.03698995819342795,0.024462350236021967,-2.2135034342464288e-05,-0.022135034342464287
AOS,25,1.1346270488539862,-0.0018586509005369548,-0.07596251745825731,0.024468000307629547,-4.5477470806114145e-05,-0.04547747080611415
VFC,25,0.5999157900425909,0.014358748754854381,0.4107529683477259,0.03495713935461783,0.00050194078118139,0.50194078118139
TAP,25,1.119977200169133,-0.01608917141414219,-0.3700261775752885,0.043481170763569985,-0.0006995760097026653,-0.6995760097026652
AET,25,0.859334532437564,0.005990196472308135,0.16206895722567424,0.036960788634969974,0.00022140238569492375,0.22140238569492374
DGX,25,0.5500688929393028,-0.0005561896744220546,-0.014122882634691846,0.0393821635999307,-2.1903952750681544e-05,-0.021903952750681546
AMG,25,1.7345904542730546,-0.014482347870616346,-0.4585095009233998,0.031585709437754524,-0.00045743523181777083,-0.45743523181777085
IRM,25,0.11102628890773622,-0.0014329033376324451,-0.03866499724692756,0.03705944496727743,-5.310260238441775e-05,-0.05310260238441775
ORCL,25,1.4134470771725545,-0.006808122630789159,-0.180788124739749,0.037658018968832696,-0.0002563804111723973,-0.2563804111723973
CAT,25,1.8890841159164844,-0.0002528947888507122,-0.007868703108157645,0.03213932275428349,-8.127867241749414e-06,-0.008127867241749414
