Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.2966950827265376,0.001076545006451124,0.0272226757217152,0.03954589245583883,4.2572933048986474e-05,0.042572933048986475
NSC,25,0.21659524729188648,-0.00995687211470696,-0.23331280576208235,0.0426760635027481,-0.00042492010665597595,-0.42492010665597596
TRV,25,0.021267597375877207,0.003773203385445936,0.15217459455043736,0.02479522548815026,9.355742875478393e-05,0.09355742875478393
CHD,25,0.0886541337072105,0.010779052645699673,0.42628362585985496,0.025286105287195326,0.00027256026009538325,0.27256026009538326
JPM,25,0.1492181952794738,0.005362822700138528,0.2002381993081318,0.026782215974116282,0.0001436282757860035,0.14362827578600348
MMC,25,0.35784892495821813,0.004531855627710474,0.16810117429765695,0.02695909559611947,0.00012217472909525868,0.12217472909525869
ORLY,25,0.2294099666455522,0.019365664929675525,0.5063592768403329,0.038244909919527316,0.0007406381107671898,0.7406381107671898
BWA,25,0.7348010238746543,-0.008102002162587232,-0.20225546452914103,0.04005826088036248,-0.00032455211628218037,-0.3245521162821804
FE,25,0.3441204773732258,0.001956980641245854,0.05001428458839119,0.039128434153391616,7.657358816045049e-05,0.0765735881604505
ECL,25,0.2340271715476261,0.0003763068245387208,0.011766453443016446,0.03198132949415307,1.2034792546471275e-05,0.012034792546471275
WHR,25,0.34166729248700217,0.007524038341341058,0.16004629467251244,0.04701163720620202,0.00035371736082867984,0.3537173608286798
AAPL,25,0.38278327925464484,0.0072821291503311104,0.19267955450241014,0.03779398997022292,0.000275220716069482,0.275220716069482
AEE,25,0.16496687999340484,0.003808576246976757,0.11272065681218096,0.03378774001754388,0.00012868318406984366,0.12868318406984366
SLG,25,0.4660342004736053,0.0029984497393934274,0.08689403929179328,0.03450696692007292,0.00010346740596875027,0.10346740596875026
SCHW,25,0.29674482475419356,0.00494215585972723,0.08856175326341585,0.05580462984994669,0.0002757951784128231,0.2757951784128231
CRM,25,0.26304431361950664,0.008622227189800623,0.17781544215337206,0.048489754800731255,0.0004180896822696303,0.4180896822696303
WY,25,0.39441674877779653,-0.00386913377506433,-0.1154487049011485,0.03351387768600113,-0.00012966967608828175,-0.12966967608828175
BBY,25,-0.48506944911150507,0.0025872363946127953,0.04008818736662929,0.0645386225860263,0.0001669766732127466,0.16697667321274662
FB,25,0.021933427503131795,0.007425489403033045,0.15947758389707037,0.04656133621779463,0.00034574070867629276,0.34574070867629275
LRCX,25,0.5495176841363875,0.005012015059755998,0.09104877694753293,0.05504758249135168,0.00027589931244981523,0.27589931244981525
DLR,25,0.427698209022556,0.004757119403476048,0.13966714740133318,0.034060403552214596,0.00016202940662846457,0.16202940662846457
RHI,25,0.5113725401266779,0.005967203731064393,0.14309086014985464,0.041702200439742446,0.0002488455260576263,0.2488455260576263
STZ,25,0.19125979065076126,0.016675279198997205,0.5883179823938456,0.02834399032160477,0.0004726439522264341,0.4726439522264341
IPG,25,0.41382970455457097,0.0029846723194194968,0.0640853758576779,0.046573376210633725,0.00013900626679778897,0.13900626679778896
IPGP,25,0.5796295553050204,0.013047965270096645,0.22717464364442122,0.05743583465467919,0.0007494207758332674,0.7494207758332674
IQV,25,0.18537697788297633,0.012495205498953164,0.34694239702266355,0.036015216376501055,0.000450017529713644,0.450017529713644
HRB,25,0.335902599793314,0.004386321788363385,0.08310354996471166,0.05278140091760163,0.00023151620886521923,0.23151620886521923
ALXN,25,0.271783927430897,0.0043553458732249585,0.07066216974614839,0.061636175182157596,0.0002684468612209807,0.2684468612209807
INCY,25,1.2576733239442996,0.03867283502351816,0.40712070676985973,0.09499107851907772,0.0036735743082743524,3.6735743082743526
CAG,25,0.25233597544343783,0.01340404846682175,0.3641689469074474,0.036807225274560144,0.0004933658315094307,0.4933658315094307
CME,25,0.018262746235348532,0.009988703827501865,0.2760535030292955,0.03618394158338878,0.0003614306757880994,0.3614306757880994
