Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.014404054757837277,0.007165675139122668,0.27403408493961323,0.026148846194449543,0.00018737413709230948,0.1873741370923095
RSG,25,0.3619772364403807,0.006741310330439642,0.38961752358046836,0.01730237969917015,0.00011664071100720488,0.11664071100720487
HON,25,0.5238615296106746,0.0015986029379574948,0.08067814582280551,0.019814572108145963,3.167563318645277e-05,0.03167563318645277
AEP,25,0.18274503368501432,0.008554805952676681,0.29208359340541934,0.029288895870307908,0.0002505608207386376,0.25056082073863756
COF,25,0.7121870160399912,-0.01015272600920071,-0.2232779109787323,0.04547125134186596,-0.00046165715616946525,-0.46165715616946523
SLG,25,0.5367448475292346,-0.0011352931813546651,-0.026692797791368406,0.04253181664313145,-4.8286081425574e-05,-0.048286081425574
FIS,25,0.353018340654443,0.006954613080240147,0.20939118852513616,0.03321349446089651,0.00023098700301823455,0.23098700301823455
EBAY,25,0.07372006807319595,0.0035606542814880875,0.05379141921599628,0.06619372259338407,0.00023569296175976777,0.23569296175976776
VAR,25,0.3748575596922463,-0.0008191716007729013,-0.028285640979431356,0.02896068720410414,-2.3723772496469268e-05,-0.02372377249646927
IPGP,25,0.5080714408634633,-0.0064218147453915814,-0.11517465392183689,0.05575718725189083,-0.00035806232725575204,-0.35806232725575204
DHR,25,0.5054484260815363,0.0036032352888164076,0.18374782706199386,0.019609675643134154,7.065827527958457e-05,0.07065827527958457
BMY,25,0.20509909530882175,0.00668100262759555,0.19645802843997107,0.03400727718102379,0.00022720270820379012,0.22720270820379013
PFG,25,0.8123329851840986,-0.011441029872964532,-0.27229483384851344,0.04201706551410209,-0.00048071850172114986,-0.4807185017211499
IVZ,25,0.7189444878325163,-0.014741391864931529,-0.25562772068785466,0.05766742286503483,-0.0008500980782941909,-0.8500980782941909
HP,25,1.3154290743982404,-0.00214838885335981,-0.03897808053143545,0.05511787199544511,-0.0001184146218159271,-0.1184146218159271
FISV,25,0.27108634856126795,0.007695798901326975,0.31744447479787946,0.02424297637004701,0.0001865690709135036,0.18656907091350358
DVA,25,0.3648780625454642,-0.0029854234928419422,-0.10491881491963324,0.02845460554552343,-8.494904787515626e-05,-0.08494904787515627
AOS,25,0.6344273102119398,0.00786143277850308,0.218757077997982,0.03593681562420394,0.0002825148603031385,0.2825148603031385
GPS,25,0.39363045219415616,-0.014325638159670324,-0.15785549602227664,0.09075159573568907,-0.001300074522922162,-1.300074522922162
LB,25,0.1321367674703788,-0.004714254386677271,-0.08695626399885974,0.05421408613805084,-0.0002555789933960056,-0.2555789933960056
CSX,25,0.9081687334048726,-0.008024954609889393,-0.17432247198544548,0.046035112504367266,-0.00036942968830869894,-0.36942968830869893
HBAN,25,0.6967553196921147,-0.011484168096258953,-0.23793733666460656,0.04826551501854831,-0.0005542892877255199,-0.5542892877255199
F,25,0.7794547255303037,-0.004982856536788338,-0.14111738023404535,0.03531001304392268,-0.00017594472930999158,-0.17594472930999158
APA,25,1.1768824096384722,-0.0009898110671873331,-0.015307176929662087,0.06466320156457378,-6.40043525483804e-05,-0.0640043525483804
DISH,25,0.7915590918580419,-0.013032828158961729,-0.2767282964157696,0.04709611676060982,-0.000613795596695425,-0.613795596695425
MMM,25,0.5545310932295036,0.004674920292733158,0.21590009475952435,0.021653164617367198,0.00010122681867162152,0.10122681867162152
HCA,25,0.44245329822099166,-0.009349101745833999,-0.24567290812022036,0.038055078263896334,-0.0003557807986348427,-0.3557807986348427
SWKS,25,0.43417162726659686,-0.01670692404602468,-0.24602069728494105,0.06790861187859625,-0.0011345440207266768,-1.1345440207266768
NEM,25,1.4284592252466257,0.02849857288189531,0.45946051596916054,0.0620261630573021,0.0017676571284728465,1.7676571284728464
MTD,25,0.4208821776093939,0.003341151696846396,0.1047623619632507,0.03189267246588454,0.00010655825672635647,0.10655825672635648
BIIB,25,0.28533356445326674,-0.005285075973786307,-0.07811375707735052,0.06765870918937968,-0.0003575814183541853,-0.35758141835418533
CF,25,1.2862224850573671,-0.0392480706654862,-0.6682121531648804,0.05873594258888283,-0.0023052724253324135,-2.3052724253324137
LKQ,25,0.44359374998578405,0.0011045403720659074,0.027355038582657414,0.040377949704891496,4.4599075590299344e-05,0.044599075590299346
OMC,25,0.5222319842466465,0.003226954372549391,0.12114182272754173,0.026637822511611748,8.595903782904012e-05,0.08595903782904012
PWR,25,0.8844154846685619,-0.007536048482425249,-0.09680124214553291,0.07785074153382664,-0.0005866869625916746,-0.5866869625916745
ROP,25,0.4826333515882073,-0.0021520379836554157,-0.07102272501780363,0.030300695771894887,-6.520824823230486e-05,-0.06520824823230485
MA,25,0.3714359780265103,-0.003572652334584406,-0.15522767378704247,0.02301556318808039,-8.222660555567033e-05,-0.08222660555567032
SCHW,25,0.8930610980329976,-0.012484557625972217,-0.19388851917306502,0.0643903913404408,-0.0008038855512486357,-0.8038855512486357
ECL,25,0.4809478413922577,-0.0009718825552312979,-0.03986228279862475,0.024381005978534372,-2.3695474389527534e-05,-0.023695474389527533
ETFC,25,0.5224709285961827,-0.007794292336759849,-0.13251204003437667,0.058819503003182436,-0.00045845640150972774,-0.4584564015097277
MSI,25,0.3966210662865834,0.004664487151051972,0.12311553669341883,0.037887071577874326,0.00017672375856598116,0.17672375856598116
PVH,25,0.6382304811539371,-0.009081813104723365,-0.13142227899803688,0.06910406039191441,-0.0006275901612568831,-0.627590161256883
GPC,25,0.4409169889003391,0.004342554138893046,0.1627558214505881,0.0266814059256948,0.00011586544973411139,0.11586544973411139
ADI,25,0.5276357439580293,0.0013861597327306761,0.034750131953558513,0.03988933724289727,5.529299305141828e-05,0.055292993051418285
ISRG,25,0.12795905220468867,0.008758669891497442,0.3012829464635105,0.02907124347497125,0.00025462542493262215,0.25462542493262214
EIX,25,0.265536996439007,0.009496645718974931,0.29611961903069767,0.0320703023665259,0.0003045602996752998,0.3045602996752998
IT,25,0.19238752073616402,0.004065510869729356,0.11100897812018817,0.03662326181696469,0.000148892269001814,0.14889226900181401
ABBV,25,0.08876443217790057,-0.002064433781262104,-0.0312666769994413,0.06602664495811285,-0.00013630763631492735,-0.13630763631492734
CE,25,0.7743066986732707,-0.003727805315776749,-0.10735394537179659,0.03472443702806005,-0.00012944594094055725,-0.12944594094055725
JKHY,25,0.20630205509268737,0.00928112625414489,0.4584605246272818,0.020244112100360742,0.00018788816030651032,0.18788816030651032
MAC,25,0.33234028752720995,0.006382779050143993,0.23415877534376597,0.02725833802629649,0.0001739839488959886,0.1739839488959886
COG,25,0.1956890561562092,-0.004896866117229772,-0.06535287165618502,0.07492962425571288,-0.0003669203381945585,-0.3669203381945585
APH,25,0.3927369558778469,-0.0001351740942600922,-0.0046387739721669985,0.02914004757962927,-3.938979538272379e-06,-0.0039389795382723785
VRSK,25,0.5139486277348655,0.0005272924872037434,0.01225808511040993,0.04301589379208593,2.2681957626921058e-05,0.02268195762692106
TSS,25,0.18894745849151534,0.003186552725821727,0.061397160331838514,0.05190065319957945,0.00016538416792504803,0.16538416792504804
KO,25,0.2343977093128938,0.0027454250223129736,0.10811484014019859,0.025393600163981435,6.971622529680546e-05,0.06971622529680546
SWK,25,0.5892702189206908,0.004067609657293367,0.14552433038202459,0.02795140610930999,0.00011369540942515814,0.11369540942515814
