Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,-0.045866458145130844,0.009327551894860208,0.35393848565553854,0.026353596099006896,0.0002458145352296724,0.2458145352296724
RSG,25,0.002884829158152568,0.006130108526940348,0.31817711106637225,0.01926634039260479,0.00011810475752364186,0.11810475752364186
HON,25,0.2567686799974304,0.011519356782497277,0.42042940291605907,0.027399027524240917,0.00031561917354519417,0.31561917354519414
AEP,25,0.023481682112087867,0.004895393483272484,0.14143598036331062,0.03461208011354358,0.0001694397514303464,0.1694397514303464
COF,25,-0.04673178835368437,0.0007260958603782578,0.02159475882576043,0.03362370778191311,2.4414035031015327e-05,0.024414035031015326
SLG,25,0.030252065157201583,0.0038848080188540737,0.11646296282004248,0.033356596164025504,0.0001295839722596833,0.12958397225968332
FIS,25,0.10039383231615837,0.009054037251137927,0.29717930451083385,0.03046658065924593,0.00027584555620361093,0.27584555620361095
EBAY,25,-0.0987347349074993,0.008018400477261604,0.21248889490395875,0.037735621340991864,0.0003025793241703723,0.3025793241703723
VAR,25,0.15228376870502106,0.0049850279261965625,0.16702459087593086,0.029846071767357533,0.0001487835012475441,0.1487835012475441
IPGP,25,0.16154290185117282,0.015892755708258842,0.2759482880479105,0.057593239011142265,0.0009153152780514471,0.9153152780514471
DHR,25,0.17730997765047643,0.012788806244348713,0.4665634326073072,0.02741064847898759,0.000350549472429724,0.350549472429724
BMY,25,0.01425338088181299,0.011580036993946856,0.2672314550358886,0.04333336055963802,0.0005018019183526458,0.5018019183526459
PFG,25,0.1855554225069783,0.009458743969147724,0.3016133313211629,0.031360496990353176,0.00029663091177697845,0.2966309117769784
IVZ,25,0.2249242983466125,0.006701514628967153,0.18668352411148306,0.03589772938379481,0.00024056915861220496,0.24056915861220496
HP,25,0.7707192547270781,-0.006733323242498876,-0.09791920816560362,0.06876406956959147,-0.0004630107078817399,-0.4630107078817399
FISV,25,0.13281066965037358,0.016818903473871792,0.7066847620741812,0.02379972567189202,0.00040028528878018033,0.4002852887801803
DVA,25,0.005345205611661554,0.003975644593870662,0.16727323227254073,0.02376736875265904,9.449061109203942e-05,0.09449061109203942
AOS,25,0.43753489330777606,0.025990776799592143,0.7490017634176239,0.034700554883874635,0.0009018943768087827,0.9018943768087827
GPS,25,0.3307691166611323,0.0032596652531942105,0.07326715183442287,0.04449013195655208,0.00014502293724879818,0.14502293724879817
LB,25,0.38256126021977593,0.021261373772377194,0.6899318737964355,0.030816627814836055,0.0006552038423754648,0.6552038423754648
CSX,25,0.46645881558832347,0.012485775901767658,0.4757361298420918,0.026245170628331267,0.00032769131896899885,0.32769131896899883
HBAN,25,-0.019014270159692134,0.00821514586044479,0.3429768611356643,0.023952478406977125,0.00019677310383247134,0.19677310383247135
F,25,0.3380458968840466,0.003992922436034307,0.09548060223045435,0.04181920036906439,0.00016698082341065138,0.16698082341065137
APA,25,0.8687849713582797,-0.012865686761998112,-0.1844765043468946,0.0697416010106367,-0.0008972735928831027,-0.8972735928831027
DISH,25,0.4352831040247664,0.010437614435498585,0.23619443614545338,0.04419077183118271,0.0004612462379809769,0.4612462379809769
MMM,25,0.35806695352773354,0.011214110697975031,0.39173780631822647,0.028626572460216663,0.0003210215524724731,0.3210215524724731
HCA,25,-0.07358685453409702,0.012550177607310082,0.2528957407244481,0.04962589552263196,0.0006228138027308453,0.6228138027308453
SWKS,25,0.539357428012152,0.03578554324167866,0.4727439371320145,0.07569751916603742,0.0027088768454040313,2.7088768454040313
NEM,25,0.4315528769934956,-0.006315979397691022,-0.07054915431428962,0.08952594058823084,-0.0005654439963141765,-0.5654439963141764
MTD,25,0.2917482149722118,0.017230601654363988,0.529009118410031,0.03257146437504066,0.0005612259279456333,0.5612259279456332
BIIB,25,0.04761405099022667,-0.000640826989570828,-0.008308944756732843,0.07712495489292522,-4.942375266481917e-05,-0.049423752664819166
CF,25,0.27513016193935946,0.01262885755401913,0.27016202667619466,0.0467454945811299,0.0005903421923572626,0.5903421923572626
LKQ,25,0.4694492790944728,0.01746733761412455,0.4351139287696506,0.040144285115202,0.0007012137813849082,0.7012137813849082
OMC,25,0.2027159912149202,0.0063999765337249825,0.22237362545297282,0.02878028597450932,0.0001841931548707539,0.18419315487075388
PWR,25,0.46558510397878994,0.0013707116663124238,0.03345217953941812,0.04097525737290918,5.616526331120077e-05,0.05616526331120077
ROP,25,0.2808287365256812,0.011910288627485045,0.3732486132835537,0.03190980007322064,0.00038005492891740123,0.3800549289174012
MA,25,0.11738449087965698,0.01348336325615167,0.3645824783635441,0.03698302594428772,0.0004986555731185129,0.4986555731185129
SCHW,25,0.21149047262814183,0.014482628522076185,0.2903929414636895,0.049872522551954256,0.0007222852175788204,0.7222852175788205
ECL,25,0.12359075065548192,0.005702908217813926,0.17992403903478824,0.031696199398409855,0.0001807605160226604,0.18076051602266038
ETFC,25,0.38538723409498005,0.020548810692670665,0.44726025283807247,0.045943744301620786,0.0009440893041664721,0.9440893041664721
MSI,25,0.13238646907391244,0.000942602671176522,0.026704338580286428,0.03529773517297921,3.327173946053168e-05,0.03327173946053168
PVH,25,0.2755233032869583,0.008448149971046846,0.18530127580973785,0.04559142906129351,0.00038516323010415106,0.38516323010415104
GPC,25,0.20912744971996852,0.007978578928854905,0.2759989031338385,0.02890800955461008,0.0002306448359075482,0.23064483590754822
ADI,25,0.28830500031081585,0.01328978162024409,0.2704309885486505,0.04914296875357263,0.0006530993229054591,0.653099322905459
ISRG,25,0.08672789410837141,0.00871063502347411,0.23512749607516112,0.03704643297306946,0.00032269795655000494,0.32269795655000494
EIX,25,0.02645612796268296,0.004082343167295558,0.12470377239274165,0.032736324563130616,0.00013364091090266601,0.13364091090266603
IT,25,0.09812258544338784,0.01176039420532846,0.3283322518554919,0.035818577489318756,0.0004212405911484927,0.4212405911484927
ABBV,25,0.3448281895149256,0.01968924240705141,0.36860730129422925,0.05341522627989153,0.0010517053384522872,1.0517053384522872
CE,25,0.5659466696447903,0.01678603017552706,0.3167835120336696,0.05298896419123903,0.0008894743518840612,0.8894743518840612
