Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.18822274328650443,0.011101404441436374,0.4263726061443531,0.026036861377716825,0.00028904572853964873,0.2890457285396487
RSG,25,0.20786978308658458,0.007025183842124647,0.37888058985208123,0.018541947067986113,0.00013026058694354652,0.13026058694354653
HON,25,0.8276803118487464,0.010209009303066787,0.4563678488517541,0.022370132621641073,0.00022837689204517153,0.22837689204517153
AEP,25,0.16965506595254196,0.005206074793501542,0.1514726762913394,0.03436972872578211,0.00017893137837878012,0.17893137837878012
COF,25,0.5958287520927816,0.004384685002663609,0.14523546668135515,0.030190180834296865,0.00013237443313184378,0.13237443313184377
SLG,25,-0.10144016715267619,0.002818861911403572,0.08465802868102695,0.033297041702027234,9.385976261626094e-05,0.09385976261626093
FIS,25,0.5326657375983566,0.009499522799233622,0.34092661582412515,0.027863834497844457,0.00026469313108634575,0.26469313108634573
EBAY,25,0.4900130008197848,0.012225582676807109,0.3392194324678093,0.036040337040441434,0.0004406141201879104,0.4406141201879104
VAR,25,0.18716754557674764,0.0028163676379387406,0.0921844588581452,0.0305514364657996,8.604407695481953e-05,0.08604407695481953
IPGP,25,0.5225447666034305,0.015076704006138938,0.26582779961095737,0.056716054634631516,0.0008550911681223438,0.8550911681223439
DHR,25,0.6440276576108508,0.012216030056643623,0.5089547888553597,0.024002191008198386,0.0002932114867814528,0.2932114867814528
BMY,25,0.7207595362285723,0.01459911659281149,0.37096242301398136,0.03935470464689427,0.0005745439216156696,0.5745439216156696
PFG,25,0.8387953990795994,0.009614485928933037,0.38202262202036136,0.025167320924834122,0.00024197085290075966,0.24197085290075968
IVZ,25,0.9745284666091603,0.0066968031963176786,0.23278682568908324,0.02876796475270521,0.00019265339830747057,0.19265339830747058
HP,25,1.798190068955734,-0.013810378777346196,-0.20968863237628807,0.06586136129956416,-0.0009095703463386309,-0.9095703463386309
FISV,25,0.499355080556844,0.016467575164707926,0.7698591184316815,0.021390374901650636,0.00035224760649421377,0.35224760649421377
DVA,25,0.2302808558852578,0.004924508329884987,0.213639660855246,0.02305053429766322,0.00011351254815714212,0.11351254815714212
AOS,25,0.6085815016032677,0.02008435792450725,0.5178325111090982,0.03878543253587998,0.0007789805093074424,0.7789805093074424
GPS,25,1.1214270599202811,0.0018246355433375562,0.047310751294748474,0.03856703800728043,7.03707883493343e-05,0.0703707883493343
LB,25,0.5791136087537456,0.0163123872477661,0.48186001353591423,0.03385295892901538,0.0005522225755328201,0.5522225755328201
CSX,25,0.8425477351129653,0.007076545519079801,0.24319602506297325,0.02909811341384958,0.0002059141240924531,0.2059141240924531
HBAN,25,0.45023066247801063,0.010655836215711723,0.504489980678738,0.021121997708211018,0.00022507254812733499,0.225072548127335
F,25,0.5584142976224352,-0.00016628514991251378,-0.003844837617012072,0.04324893961106698,-7.191656406783529e-06,-0.007191656406783529
APA,25,1.6849594550989053,-0.02241031455435434,-0.3115927313172594,0.07192181428499521,-0.001611790481446598,-1.611790481446598
DISH,25,0.7986253680163959,0.005446673180275452,0.1194877086395866,0.04558354363212681,0.000248278664563021,0.24827866456302097
MMM,25,0.9095971871044051,0.008266066052519852,0.32347178771262347,0.025554210186217327,0.00021123278931924806,0.21123278931924808
HCA,25,0.4380042000849953,0.016019326173863577,0.3300210204040358,0.04854032071730325,0.0007775832301544284,0.7775832301544284
SWKS,25,2.154661846308667,0.034939410368680784,0.5824718265014238,0.05998472162772559,0.002095830804802186,2.095830804802186
NEM,25,-0.1407056106243427,-0.015536553613235759,-0.16829066210015683,0.09231976046293824,-0.001434330907993523,-1.434330907993523
MTD,25,0.9643755845904389,0.015851435145755204,0.5953760222743995,0.026624241744235923,0.00042203244131366413,0.42203244131366413
BIIB,25,0.4168249647560175,0.0003227570810666661,0.004221887449776836,0.07644852803542326,2.4674303760556403e-05,0.024674303760556404
CF,25,0.7162489009871595,0.010443078671920396,0.22946014974030782,0.04551151336621797,0.00047528031456157087,0.4752803145615709
LKQ,25,0.7788079336815563,0.011706641636854219,0.2727022534693109,0.04292829079306325,0.0005025461163970598,0.5025461163970598
OMC,25,0.6684286964291529,0.005434126280235101,0.21156485048349716,0.025685392766408438,0.00013957766785010066,0.13957766785010065
PWR,25,0.919410431090083,-0.003668992052770691,-0.08773894199792134,0.0418171449213237,-0.0001534267723858969,-0.15342677238589691
ROP,25,0.7531421095405626,0.009780301322754351,0.3299079855742164,0.029645542849565745,0.00028994234194537865,0.28994234194537866
MA,25,0.7697231515937055,0.014677340288948286,0.4572379722688877,0.032100003016190856,0.00047114266754489954,0.47114266754489953
SCHW,25,1.2511116135539184,0.016012105818979064,0.39790717959706307,0.04024080649963032,0.0006443400519131412,0.6443400519131411
ECL,25,0.6567664395707804,0.0062560161683931845,0.22490943753412151,0.027815712123881287,0.00017401554478237166,0.17401554478237166
ETFC,25,1.5274776861230843,0.019888813833003626,0.6149886405385548,0.03234013203168548,0.0006432068653129499,0.6432068653129499
MSI,25,0.5687989195384368,0.0009178770605721513,0.027805765819874626,0.03301031399451993,3.0299409977853708e-05,0.030299409977853707
PVH,25,0.7936700539562757,0.006609281313733455,0.1519804098564663,0.04348771871305919,0.0002874225666671188,0.2874225666671188
GPC,25,0.8932706797586206,0.007915484190936066,0.3724216602497007,0.021254091895806772,0.00016823642839396087,0.16823642839396086
ADI,25,1.1922120482575391,0.013022924427100888,0.31169082322906844,0.041781545867104516,0.0005441179142747515,0.5441179142747515
ISRG,25,0.22351546799607644,0.008011249640788212,0.2170941817845571,0.036902184917781564,0.0002956326156668777,0.2956326156668777
EIX,25,0.0003046252537000364,0.0035579977768205847,0.10858746135626804,0.03276619355845365,0.00011658204383585105,0.11658204383585105
IT,25,0.8016225081642088,0.013483301641817009,0.44888646781220864,0.030037220118334554,0.0004050008993371592,0.4050008993371592
ABBV,25,0.9417722216046562,0.017151698259179404,0.33489940875677227,0.05121447757358146,0.0008784152658435798,0.8784152658435798
CE,25,1.4839945493825462,0.012338694609059018,0.2569377128157409,0.048022123626154996,0.0005925303179016043,0.5925303179016043
JKHY,25,0.5831730309854101,0.010597202613026099,0.3794765455900075,0.027925843470904484,0.0002959358214008268,0.2959358214008268
MAC,25,0.28764699239110697,0.010150556462737461,0.21221329807506403,0.047831858581958465,0.0004855199812538428,0.48551998125384277
COG,25,1.8173836146518696,-0.0008747389147859171,-0.020162766844269178,0.04338387293480717,-3.794956193020334e-05,-0.037949561930203345
APH,25,0.9148392038662766,0.011277153954476357,0.4015497480895687,0.02808407677536608,0.0003167084574651372,0.3167084574651372
VRSK,25,0.4308694684490429,0.0131149636312118,0.5219660088898086,0.025126087537973144,0.00032952772425516184,0.32952772425516186
TSS,25,0.5134642590215437,0.017126958629731005,0.5601353439707016,0.030576464802811735,0.0005236818477211828,0.5236818477211828
KO,25,-0.04825652889961714,0.0022742912408842543,0.07643029066275728,0.02975641229626337,6.76747478455323e-05,0.0676747478455323
SWK,25,1.01995129508146,0.012667653277368972,0.5275656036946723,0.024011522337040677,0.0003041696396274316,0.3041696396274316
CBRE,25,0.8506443404336493,0.011672023559727289,0.34831086261468847,0.03351036333494778,0.000391133750340532,0.391133750340532
ABMD,25,0.6608959826437519,0.047086602983155916,0.445811759299456,0.10561992141514463,0.004973283306787043,4.973283306787043
GRMN,25,0.6656142797243371,-0.005656570617136307,-0.13234961771421314,0.04273960676902539,-0.00024175960383762904,-0.24175960383762904
PNC,25,0.6287449330335689,0.011168856039066428,0.5158830749090718,0.021649975706287752,0.00024180546191281344,0.24180546191281344
RMD,25,0.2924950415411223,0.007017055255362267,0.1305471628521556,0.053751112640487396,0.0003771745274355013,0.3771745274355013
BF.B,25,0.46378006908611097,0.010059845590203547,0.3427128452478225,0.029353570283976584,0.00029529238457799174,0.29529238457799173
GIS,25,0.3337883023393479,0.008169878274135315,0.3866397695682128,0.021130465402612826,0.00017263333021517446,0.17263333021517446
ROL,25,0.6814109797937167,0.021669345131478862,0.736851687603735,0.02940801452453513,0.000637252416363695,0.637252416363695
XEL,25,-0.00403808534872921,0.005435296295980593,0.1703505733581406,0.031906533619664244,0.00017342146400054135,0.17342146400054134
HAS,25,0.18001791542314632,0.02104148008209742,0.5676608256592853,0.03706699340695158,0.0007799444034756081,0.7799444034756081
CDNS,25,0.9349320622317878,0.01241462000401466,0.3791483247280109,0.03274343889801048,0.00040649735154347263,0.4064973515434726
EMN,25,1.2341754617327734,0.006527371919244854,0.14399562075746666,0.04533035022112913,0.00029588805512293303,0.29588805512293304
MDT,25,0.14688624623176286,0.011060375121025777,0.38098154146523666,0.02903126245562477,0.0003210966529961619,0.3210966529961619
KR,25,-0.04384821620774727,0.01865245206927229,0.596767133394769,0.03125582999714808,0.0005829978709071276,0.5829978709071276
RL,25,1.046201840926037,-0.0025226833182564086,-0.05723908994820634,0.04407273631602279,-0.0001111815566943441,-0.1111815566943441
GOOGL,25,0.37016155355636,0.007586102882034122,0.18935286482828415,0.040063311896092135,0.00030392440583877644,0.30392440583877645
PEG,25,0.4047414572384451,0.009407711263677248,0.26852450599629135,0.03503483314780655,0.0003295975944256727,0.3295975944256727
EXPD,25,0.6751376125022764,0.006524256293908263,0.20482476824574822,0.03185286794066076,0.00020781627414088468,0.2078162741408847
DISCK,25,0.25590798116154584,-0.0394126862731232,-0.27927680087802637,0.14112409677142004,-0.005562079751629857,-5.562079751629857
AIV,25,0.04950323303604199,0.00788547559760438,0.22396496472050628,0.03520852293770564,0.0002776359484529719,0.2776359484529719
XLNX,25,1.3083251400634304,0.006302753226368122,0.12220917423702107,0.05157348673467115,0.0003250549599120021,0.3250549599120021
ESS,25,0.09766805713328354,0.008099892313724362,0.2524038974301843,0.03209099540931144,0.0002599336070556455,0.2599336070556455
RTN,25,0.6408551424904025,0.01011708118585992,0.299856004922679,0.033739798502513615,0.0003413482806444852,0.3413482806444852
NWS,25,0.5502787945064601,-0.005254223540775521,-0.1342701851936315,0.03913172185767366,-0.00020560681417566896,-0.20560681417566898
OKE,25,1.447410453797748,-0.012220645433308044,-0.20707649714575466,0.05901512533653839,-0.0007212029219400697,-0.7212029219400697
