Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.0760336591425125,0.011175760674835436,0.4255538200149063,0.026261685712147927,0.00029349431443671044,0.2934943144367104
RSG,25,0.06656994526087592,0.006892928784047407,0.36178481086335934,0.01905256543965513,0.00013132797672894567,0.13132797672894567
HON,25,0.363204895708555,0.010891520961605679,0.414492998826492,0.026276730831260437,0.00028619356465114324,0.28619356465114326
AEP,25,-0.09319929998064122,0.003280536796935851,0.09536138867650258,0.03440110135208411,0.00011285407884063157,0.11285407884063157
COF,25,0.16663337361904004,0.003707697827352573,0.11255171365524524,0.03294217126457571,0.0001221396168259437,0.12213961682594371
SLG,25,-0.11152269801785171,0.0019096629962993604,0.057784653932249914,0.03304792650551062,6.311040235199445e-05,0.06311040235199446
FIS,25,0.25667903624081545,0.01022130270089147,0.3538804936206798,0.02888348718041396,0.00029522686552832934,0.29522686552832933
EBAY,25,0.14392718453623474,0.011753672250929317,0.3127007613080004,0.03758760356631278,0.00044179237301630235,0.44179237301630236
VAR,25,0.2019271578805731,0.0044465784979667074,0.14989168244695567,0.029665278455595977,0.0001319089893168481,0.13190898931684808
IPGP,25,0.33516614353542346,0.016811824162232432,0.2980478464025773,0.056406460791951066,0.0009482955004481392,0.9482955004481393
DHR,25,0.2634023764602786,0.01251041192927689,0.46930455472890403,0.026657341811872227,0.00033349432700605796,0.33349432700605797
BMY,25,0.10628574507637359,0.012606241742564138,0.29250417865051404,0.04309764667542121,0.0005432993525259753,0.5432993525259754
PFG,25,0.43335842297609717,0.011110369455006767,0.4107635815181171,0.02704808789022776,0.00030051424951192495,0.30051424951192496
IVZ,25,0.4564341726313564,0.007855089935608782,0.2431232603265952,0.032309084392241165,0.0002537907636382284,0.2537907636382284
HP,25,1.6473651184607432,-0.0017535033023362567,-0.047578100792605445,0.03685526057418385,-6.462582112529462e-05,-0.06462582112529462
FISV,25,0.2885836303229608,0.017735043159377708,0.8256859616575969,0.02147916276034767,0.0003809338785820643,0.38093387858206434
DVA,25,0.022507286729731072,0.004146715606879119,0.17460379433056628,0.023749286908555982,9.848153867595903e-05,0.09848153867595903
AOS,25,0.4811342639719239,0.023223622272146777,0.6416085169191649,0.03619593827036539,0.0008406007981769074,0.8406007981769075
GPS,25,0.5487577985558888,0.0034473085602889884,0.08295368221092808,0.04155702879497795,0.00014325990110510348,0.14325990110510348
LB,25,0.3340002607286945,0.01777396046650081,0.5236746284963862,0.0339408470437736,0.0006032632735555827,0.6032632735555827
CSX,25,0.51073716986827,0.00950855044889716,0.33337948960839303,0.02852170198012618,0.0002712000421664398,0.2712000421664398
HBAN,25,0.145668945539259,0.01038765637733019,0.4489310665402582,0.023138644552679156,0.0002403562886504141,0.24035628865041408
F,25,0.5048291964938179,0.0034947556150723403,0.08748214195644063,0.03994821728087613,0.00013960925665447175,0.13960925665447174
APA,25,1.7600292656184746,-0.008446613889051376,-0.240692871985071,0.03509291247135594,-0.0002964162818878193,-0.2964162818878193
DISH,25,0.5394183364456339,0.008433273254723206,0.19131557213400993,0.04408043297602555,0.0003717423364733351,0.3717423364733351
MMM,25,0.42019696423346176,0.009275404481496826,0.31803590085198213,0.02916464605614985,0.0002705138887304811,0.2705138887304811
HCA,25,-0.03001392874437692,0.013642734797867668,0.2741630202149208,0.049761396657991695,0.0006788815377764792,0.6788815377764792
SWKS,25,0.9162651539612515,0.03635580670162619,0.5148171021986067,0.07061887910553681,0.002567406318246405,2.567406318246405
NEM,25,0.02166098589283368,-0.01462501309895297,-0.1583084036183793,0.09238304957081277,-0.0013511033100943584,-1.3511033100943584
MTD,25,0.5325230454661453,0.017993661868287724,0.6471229330785413,0.02780563158639262,0.0005003251327997296,0.5003251327997296
BIIB,25,0.08005852190197953,-0.0006006935976843174,-0.0077922083709120755,0.0770890059776477,-4.630687234262105e-05,-0.04630687234262105
CF,25,0.44817898322660976,0.012683027864550068,0.2818872473453594,0.044993265867792946,0.0005706508447183274,0.5706508447183274
LKQ,25,0.431810105450913,0.013458296099484268,0.3102300406685597,0.043381666296665,0.0005838433103095347,0.5838433103095347
OMC,25,0.28388579006083176,0.0058690668093156475,0.2083138087755782,0.02817416110728667,0.000165356033835088,0.16535603383508798
PWR,25,0.7994333197186354,0.001967613067108862,0.0593198617604031,0.03316954909733578,6.526483823402683e-05,0.06526483823402683
ROP,25,0.5060924832873337,0.012564715685776693,0.45460586154662425,0.02763870145235261,0.0003472724256728739,0.34727242567287386
MA,25,0.27777982555294467,0.014572950926169725,0.41002190057277765,0.03554188424035918,0.0005179501348583595,0.5179501348583595
SCHW,25,0.4707441130610112,0.016079463155295022,0.3426973269991335,0.046920305145349665,0.0007544533178198494,0.7544533178198494
ECL,25,0.5001093650242151,0.009408285217792186,0.38941311922634003,0.02416016501057781,0.0002273057233284392,0.2273057233284392
ETFC,25,0.6446084461134857,0.02083196178393518,0.4971636754951904,0.04190161673252959,0.0008728928784571553,0.8728928784571554
MSI,25,0.20739760471622515,0.0008669525165673614,0.024869888056898395,0.034859526290746075,3.0221554044108407e-05,0.030221554044108406
PVH,25,0.3512966763416498,0.0073009083776651535,0.1607795552478181,0.04540943260112814,0.0003315301069025976,0.3315301069025976
GPC,25,0.2699673129236377,0.007148782532077607,0.24921773964816574,0.02868488632538732,0.0002050620142975607,0.20506201429756069
ADI,25,0.4830307757943058,0.013511516521230223,0.28709766650666924,0.04706243936300455,0.0006358849269826316,0.6358849269826315
ISRG,25,0.17740513559991544,0.009172810472196738,0.2510393656936227,0.036539330980431016,0.0003351683578643603,0.33516835786436033
EIX,25,-0.10961140080428877,0.0022061790807246535,0.06804038546451355,0.03242455294253566,7.153437040367119e-05,0.0715343704036712
IT,25,0.25775444050755797,0.012986043379702862,0.37696521343355716,0.03444891708022747,0.0004473551315876208,0.4473551315876208
ABBV,25,0.24102156239031092,0.015806161214583055,0.28490493388722354,0.05547872056452258,0.0008769056012216481,0.8769056012216481
CE,25,0.7409792975190848,0.01466836868812997,0.2830599270078381,0.051820718118548076,0.0007601253990465201,0.7601253990465201
JKHY,25,0.28600948506841006,0.011448925690604732,0.3940973263788684,0.029051010814516973,0.00033260286405235927,0.3326028640523593
MAC,25,-0.1922116742211869,0.0064645693817081615,0.1356269629045143,0.04766433785190209,0.0003081294190767996,0.3081294190767996
COG,25,1.1076305082690696,0.004444614683974703,0.10769640457971588,0.04126985205606228,0.000183428590453838,0.183428590453838
