Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AVGO,25,0.37334872694694965,0.01233893005939405,0.2286784842450228,0.053957546990617715,0.0006657783984936999,0.6657783984936998
SWK,25,0.6511932818474285,0.0073768945908856305,0.19247693387466527,0.03832612273265546,0.0002827277674761449,0.2827277674761449
AMT,25,-0.16235396281778106,0.012616363457647163,0.3506691677263256,0.0359779661823403,0.0004539110978233436,0.4539110978233436
LRCX,25,0.7559629880276407,0.02095272087759917,0.3665298197922969,0.05716511930590681,0.001197764788751321,1.197764788751321
DVA,25,0.8559904554872474,0.0011149996717181448,0.020086017785998028,0.0555112359053775,6.18950098111644e-05,0.0618950098111644
TDG,25,0.42223205493759275,0.01894785360379419,0.3485034611694355,0.05436919776983827,0.001030179599898629,1.030179599898629
MKTX,25,0.03542835852230839,0.025440120759582078,0.36139682174433213,0.0703938696438773,0.0017908285444745175,1.7908285444745176
WBA,25,0.40419695837543335,-0.013857837388015727,-0.23328481397799125,0.05940308394580332,-0.00082319827766759,-0.82319827766759
DISCA,25,0.9223764708944052,-0.0009674622823636534,-0.022255911678108364,0.04346990122697515,-4.205548985517196e-05,-0.042055489855171956
FIS,25,0.05712953191270698,0.010223618379525037,0.3393743215677649,0.03012490259220636,0.00030798550782308235,0.30798550782308237
HD,25,0.3627861201847172,0.008698539598414613,0.2919313312749692,0.02979652632838332,0.00025918626416264587,0.25918626416264584
TRIP,25,0.7234281458253704,-0.029508033620200512,-0.44843354992121864,0.06580246644209498,-0.0019417013920654544,-1.9417013920654544
PEP,25,0.06332243882405227,0.006469255713161373,0.2130475889055772,0.030365308269358307,0.0001964409440034525,0.19644094400345252
AMP,25,1.1277100838911747,0.005575092073667697,0.14200122168997056,0.03926087400740624,0.00021888298748395666,0.21888298748395665
IRM,25,0.054939488319215524,0.000540354470682334,0.013980183270081674,0.03865145829945741,2.0885488290503613e-05,0.02088548829050361
FFIV,25,0.6565218720962276,-0.009987800485773333,-0.23706189718252796,0.042131614588755,-0.000420802160655982,-0.420802160655982
NEM,25,-0.1258626947962632,0.008276346578534963,0.16077873981414448,0.05147662301683779,0.00042603837277993957,0.42603837277993956
EBAY,25,0.5880348897513871,0.005844020453005899,0.1710941952462674,0.034156742983560646,0.00019961270460399415,0.19961270460399416
XLNX,25,0.952510686455478,-0.0023840784260659616,-0.04088816448276208,0.05830729885346304,-0.0001390091732787218,-0.1390091732787218
LYB,25,0.7792786157000867,0.0003633687012692642,0.008989268056520639,0.04042250147448698,1.468827186283925e-05,0.014688271862839249
ED,25,-0.11818517202759,0.0056310807743796785,0.17214380944478827,0.03271149158683941,0.00018420105137593402,0.184201051375934
PGR,25,0.229418768223713,0.006064685740140347,0.15088669182216083,0.04019364244056958,0.0002437618101536222,0.2437618101536222
VAR,25,0.7838916103200863,0.0009774162132470264,0.022361876313053492,0.043709042996381786,4.272192729017494e-05,0.042721927290174946
VRSK,25,0.3029845313173559,0.006434195067874087,0.18779312705179665,0.034262143502724794,0.00022044931474002606,0.22044931474002608
IP,25,0.6539105794062766,0.0008664565606772024,0.026643564580515314,0.03252029427439488,2.8177422329202705e-05,0.028177422329202704
TROW,25,0.38550161881304346,0.008978667455986565,0.3379017712570337,0.02657182713954083,0.00023857959958389585,0.23857959958389585
AIV,25,0.15472453973740743,0.006670405749197572,0.2238409004760431,0.029799762845001073,0.00019877650940601936,0.19877650940601935
RE,25,0.10387738299121083,0.009354773639042408,0.31125784008127694,0.030054740586131584,0.0002811552949634017,0.2811552949634017
UPS,25,0.3387562468021852,0.0023614936406586642,0.054331392107900424,0.043464626048395974,0.00010264143800689401,0.10264143800689401
LEG,25,0.6676834235460755,0.011116483297108614,0.1892732108753547,0.05873247062115589,0.0006528985286580019,0.6528985286580019
SIVB,25,1.297975365625567,-0.006148494169967799,-0.1256303188190965,0.04894116506081169,-0.0003009144680478324,-0.30091446804783245
KEYS,25,0.695207333940082,0.020115044330171514,0.3997445640523428,0.05031974450448721,0.0010121838913906647,1.0121838913906647
EA,25,0.3635000025347214,0.005125797572426266,0.10645673289611537,0.0481491159176209,0.00024680262148501207,0.24680262148501206
WMB,25,0.7319815353980934,-0.004636816605159593,-0.10274394218277008,0.045129829619650084,-0.00020925874336841674,-0.20925874336841674
CXO,25,1.2350360636912745,-0.0262473168326824,-0.32030046375263566,0.0819459220419765,-0.0021508605789820495,-2.1508605789820496
T,25,0.08249226273803166,0.011062539302183417,0.2978024423709846,0.0371472416885096,0.00041094282114684374,0.4109428211468437
COO,25,0.26813642039924107,0.004991144544651162,0.12865058252523087,0.038796128604177145,0.00019363708563632366,0.19363708563632367
HFC,25,0.6649004160227309,-0.008968260042411963,-0.176526544648426,0.050804030976040124,-0.0004556237609958803,-0.4556237609958803
TFX,25,0.0970218837694376,0.011023707184014629,0.264565388763466,0.04166723105972998,0.0004593273543711428,0.4593273543711428
DRI,25,0.45923728302919886,0.0009534676613689012,0.026232870045788382,0.03634629606690626,3.46550179103348e-05,0.034655017910334804
FCX,25,1.0671149039515906,-0.004221818717152719,-0.06272663774111055,0.06730503768713514,-0.00028414966786621625,-0.28414966786621626
EXR,25,-0.14704408307443834,0.006828321994083297,0.1870620251483636,0.03650298337499331,0.00024925412422912376,0.24925412422912377
HCA,25,0.6541452804342361,-0.003058420405915546,-0.06660845959138388,0.04591639597549209,-0.00014043164241754345,-0.14043164241754344
MAA,25,0.11316638512226039,0.012573378108520671,0.4595815129563012,0.02735832002388703,0.0003439865020742439,0.3439865020742439
CERN,25,0.37179672837831096,0.007138970226591657,0.17418230167494533,0.04098562344131969,0.0002925951454658783,0.29259514546587834
CNC,25,0.6613965786937439,-0.008424391606892704,-0.11631753017513818,0.07242581229336781,-0.0006101434052066343,-0.6101434052066342
ADS,25,0.7436230073309169,-0.02754819474764134,-0.4234269199170619,0.06506009290348687,-0.0017922881096048946,-1.7922881096048946
BAX,25,0.26586333367225634,0.007025757190901729,0.1836334743864343,0.03825967577195037,0.00026880319217634897,0.26880319217634896
NTRS,25,0.7870787431605947,0.0016656024468584187,0.04695876637086477,0.03546946769649021,5.9078032184039734e-05,0.05907803218403974
NFLX,25,0.7167990224874191,0.0019536514468322815,0.028229093778195536,0.06920701961539068,0.00013520639400255808,0.13520639400255807
AME,25,0.49567631689019853,0.010424414142572414,0.4155894081282185,0.02508344519539885,0.00026148022083935583,0.26148022083935585
JNJ,25,0.18758123370685062,-0.0019862619507610524,-0.05084767782899979,0.03906298253070338,-7.75893158839798e-05,-0.0775893158839798
CFG,25,1.0477473091677387,0.00021492429035926226,0.006127564828250307,0.03507499249430752,7.5384678711954934e-06,0.0075384678711954934
PRU,25,0.9950434292999267,-0.0018686686543144602,-0.0586321994830622,0.03187103111924507,-5.955639683321398e-05,-0.059556396833213975
IEX,25,0.41804526365803346,0.006773154131244198,0.19383536976810462,0.03494281843064698,0.00023667309501085247,0.23667309501085249
MXIM,25,0.7709560948125362,-0.0019264721344837148,-0.05511779790000509,0.03495190678660145,-6.733387447145993e-05,-0.06733387447145993
RJF,25,0.7273574619989505,0.004271921721630423,0.1288083608667772,0.03316494125756906,0.00014167803295480626,0.14167803295480627
MYL,25,0.7149146473457092,-0.026281984157355328,-0.3217088453695354,0.08169493794044162,-0.0021471050646868135,-2.1471050646868135
JKHY,25,0.34590115743527095,0.002484841549488439,0.0816154496440411,0.030445725169999865,7.565280290672163e-05,0.07565280290672163
HII,25,0.7605496240872711,0.004797035274328511,0.11566126441794036,0.041474864540599274,0.00019895638819925147,0.19895638819925146
CF,25,0.21781539483313125,0.0031140216507703294,0.07654129091904946,0.04068420604590714,0.00012669149847135597,0.12669149847135597
OXY,25,0.5077575661484877,-0.02353870188269551,-0.5116074224475272,0.04600930488867125,-0.0010829993116044775,-1.0829993116044776
SCHW,25,0.9922632497422487,0.0006893386657586906,0.013020264397888398,0.05294352285737656,3.64960174070687e-05,0.0364960174070687
BKNG,25,0.46931738482711544,-0.0008521214991395617,-0.020297024792664972,0.041982581577547515,-3.5774260351608734e-05,-0.03577426035160874
FRC,25,0.6448990372227503,0.0038967428226066077,0.10353753528016163,0.03763604003188248,0.00014665796886557302,0.14665796886557303
JEC,25,0.5880595333641913,0.01135617734910871,0.3277661750415841,0.03464719124134129,0.0003934596483851576,0.3934596483851576
