Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AVGO,25,-0.015683037639733326,0.02017368784850661,0.4573270273333961,0.044112170597343216,0.0008899051599508735,0.8899051599508735
SWK,25,0.26013824180619566,0.010289114325889637,0.4338446968433817,0.023716123305764447,0.00024401790405990606,0.24401790405990606
AMT,25,0.009977065540967322,0.013800152102048348,0.44910265320533405,0.03072828005702916,0.0004240549386213413,0.4240549386213413
LRCX,25,-0.15112529511258332,0.030935797540070874,0.6231199032320214,0.0496466207861632,0.001535857809189419,1.535857809189419
DVA,25,0.3066036022556872,-0.008189241347467228,-0.1690395280854726,0.048445718230628564,-0.00039673367884201035,-0.39673367884201033
TDG,25,0.19715527242711758,0.003210304134047078,0.056492352828035164,0.05682723365796719,0.00018243270313863134,0.18243270313863133
MKTX,25,0.33480468116924617,5.799979140401045e-05,0.001083066940817875,0.05355143732871402,3.105972194450352e-06,0.003105972194450352
WBA,25,0.4191673557735545,-0.01267655966749466,-0.3912484920155669,0.032400277384303094,-0.000410724049505496,-0.410724049505496
DISCA,25,0.30359199018942673,-0.02179338705116085,-0.44197633610114645,0.049308945459409,-0.0010746089334814806,-1.0746089334814806
FIS,25,0.03957808483911038,0.00631141392690274,0.3068091814702396,0.02057113772364386,0.0001298329651212402,0.1298329651212402
HD,25,0.3171578097794293,0.007692005410596573,0.38293504102796283,0.02008697190507276,0.00015450909657632102,0.15450909657632103
TRIP,25,-0.22974823277828008,-0.012250335956990948,-0.1635550714364157,0.07490037361362674,-0.0009175547400710677,-0.9175547400710677
PEP,25,0.0817717314393696,0.0048121282125015725,0.2433939593192948,0.019770943477643226,9.514031489654092e-05,0.09514031489654091
AMP,25,0.3452464212042079,0.010228418617377359,0.2879672430739352,0.03551938237208191,0.00036330711193234777,0.36330711193234777
IRM,25,-0.1697513563553063,0.013575262608463047,0.43802889995040517,0.030991705364646203,0.00042072053900918524,0.4207205390091852
FFIV,25,0.14338403616697684,-0.007802850935091507,-0.2201626355984184,0.03544130416990503,-0.00027654321338300595,-0.27654321338300597
NEM,25,-0.36762583154107625,0.008935202118781748,0.21391593618541122,0.04176968896341215,0.00037322061332673484,0.37322061332673484
EBAY,25,0.15706170551428156,0.006926068261060802,0.21372862009168475,0.03240589986539788,0.00022444547452884678,0.22444547452884678
XLNX,25,0.260601479181102,0.008983170754548847,0.25231843137907145,0.035602515065785864,0.0003198234721273523,0.3198234721273523
LYB,25,-0.0044675201418489,0.009200591722693826,0.2740603232544594,0.03357141089756092,0.00030887684522325226,0.30887684522325226
ED,25,-0.0464249779992994,0.009166394643748759,0.4205781186249915,0.021794749269687934,0.00019977927296751464,0.19977927296751463
PGR,25,0.14688878245342762,0.016308222220885276,0.8499593007827206,0.01918706249330664,0.0003129068789068578,0.31290687890685775
VAR,25,0.2278209925273678,0.004042419054315799,0.10235116845962196,0.03949558285610147,0.00015965769669881296,0.15965769669881297
VRSK,25,0.09780406522754478,0.003048753474713866,0.11944638680614199,0.025524032632832202,7.781648317805727e-05,0.07781648317805727
IP,25,0.36325869631789887,0.0012978120665209387,0.03416877237101805,0.037982402540799,4.92940203329045e-05,0.0492940203329045
TROW,25,0.37950213626286394,0.007677456429532801,0.24836095646422945,0.030912493408111665,0.00023732932126899724,0.23732932126899722
AIV,25,-0.05479362441636284,0.004864785044591775,0.18546641681754658,0.026230005022297533,0.00012760333615204018,0.12760333615204017
RE,25,0.253067884848579,-0.001133567920031376,-0.03669373965756164,0.030892678985849204,-3.501894986218608e-05,-0.03501894986218608
UPS,25,0.20098616380387543,-0.002407130508229926,-0.08383427563540584,0.028712963641488416,-6.91158507631234e-05,-0.06911585076312339
LEG,25,0.2813812139508471,-0.004403344587060085,-0.14315551104850582,0.030759169205634602,-0.00013544322122409637,-0.13544322122409638
