Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AVGO,25,0.6977067007707952,-0.003914285840214611,-0.07191957898572422,0.05442587255678434,-0.00021303842229034595,-0.21303842229034595
SWK,25,0.6402230527062872,-0.009425246095102674,-0.1836097961430367,0.05133302412557643,-0.0004838263851894006,-0.4838263851894006
AMT,25,0.2360853281307292,0.004527722789432778,0.1368376380347937,0.03308828517108366,0.00014981458283236615,0.14981458283236615
LRCX,25,1.351194854287129,-0.0122949200918132,-0.21255545418465258,0.05784335263931772,-0.0007111793985429835,-0.7111793985429835
DVA,25,0.495597549995131,0.0022456784168087187,0.03519220254069913,0.06381181780855101,0.00014330082198999323,0.14330082198999322
TDG,25,0.5057673610600376,0.010103505689248213,0.2011543241236439,0.05022763360054777,0.0005074751818406092,0.5074751818406091
MKTX,25,0.10727876259608267,0.004740923500128351,0.10092595535152359,0.04697427419553064,0.000222701440435064,0.22270144043506399
WBA,25,0.35868792108974334,0.006377845047931951,0.13604680515319967,0.04687978553226577,0.0002989920080050732,0.2989920080050732
DISCA,25,0.5688866326516695,0.021492526486722546,0.265817280764906,0.0808545118845413,0.001737767738249527,1.737767738249527
FIS,25,0.5975372403464736,0.006076087129052717,0.23179572430287101,0.02621311133898883,0.00015927314841925587,0.15927314841925586
HD,25,0.7129226434014527,0.00030940291632231747,0.0077106822950979695,0.04012652894790114,1.2415265078372507e-05,0.012415265078372506
TRIP,25,0.38139679000853033,0.02323204173773318,0.2514162733646356,0.0924046857700382,0.0021467495165716464,2.1467495165716466
PEP,25,0.209674681052734,0.001250612781634155,0.031166412264138656,0.04012694085655669,5.018326512308759e-05,0.05018326512308759
AMP,25,0.5883697166554249,-0.007517330119660878,-0.1655569987368778,0.04540629618206768,-0.0003413341179117001,-0.3413341179117001
IRM,25,0.19898111580712932,-0.0050861991445344335,-0.12653594598348286,0.04019568593732528,-0.0002044432634283986,-0.2044432634283986
FFIV,25,0.5574463155085755,0.012704469863546956,0.26124274552684207,0.04863090011524015,0.0006178298049512306,0.6178298049512306
NEM,25,0.2454491969888453,-0.004459727907149165,-0.08473104801106067,0.052633928315946224,-0.00023473299897351402,-0.23473299897351402
EBAY,25,0.3074664948139786,-0.007928041569195406,-0.15372189386036617,0.05157392593924761,-0.0004088802287329603,-0.40888022873296026
XLNX,25,0.7685175687673933,0.00947854731136763,0.21844517450935944,0.04339096678448951,0.0004112833315527652,0.4112833315527652
LYB,25,0.6696825797761707,-0.0028608050915089026,-0.067833540080255,0.04217390229264515,-0.00012065131440759823,-0.12065131440759823
ED,25,-0.09138000638955304,-0.003388955648980996,-0.12521733386445102,0.0270645887784959,-9.172069102823135e-05,-0.09172069102823135
PGR,25,0.6526578427849633,0.008993163823305507,0.24602069379074298,0.03655450151260362,0.00032874062058211337,0.32874062058211334
VAR,25,0.44781721716449036,0.0034070285959973876,0.07039503869784802,0.048398703360632435,0.00016489576635886957,0.16489576635886957
VRSK,25,0.46652146326128535,0.010225988155337208,0.3930094432273339,0.026019700878846436,0.0002660771529925008,0.2660771529925008
IP,25,0.5680595588424037,-0.005533539976146703,-0.10357824401115558,0.05342376701762515,-0.0002956225504683765,-0.2956225504683765
