Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AVGO,25,0.8372432794944834,-0.0064145716109730725,-0.11476551703630838,0.05589284810126106,-0.00035852867668677936,-0.35852867668677935
SWK,25,1.059270538881568,-0.012244760608585658,-0.26825238505717813,0.04564641841292737,-0.0005589294661056321,-0.5589294661056321
AMT,25,0.3136272960111575,0.0036269578547795988,0.10985970943069061,0.03301444973389275,0.00011974201778356856,0.11974201778356855
LRCX,25,1.4771197702356371,-0.016876581783947797,-0.2507178515407874,0.0673130440462564,-0.0011360140929731265,-1.1360140929731264
DVA,25,1.0004220177150398,-0.00026257827842859774,-0.004559376125186769,0.05759083506580443,-1.5122102324844246e-05,-0.015122102324844245
TDG,25,0.9656432609213799,0.007643601212407027,0.17636414399502537,0.043339882128323244,0.00033127277558162916,0.33127277558162915
MKTX,25,0.052339433084666584,0.004494362491594206,0.09520977653576314,0.04720484235047031,0.00021215567288157146,0.21215567288157144
WBA,25,0.7416707084379378,0.004530702396456807,0.10772993599625272,0.042056113322246874,0.00019054373341476294,0.19054373341476294
DISCA,25,1.2784202777075533,0.01837861669399837,0.2564943155508767,0.07165311501943557,0.0013168851358731839,1.316885135873184
FIS,25,0.8961008826242668,0.0036115885496615764,0.17370393260072886,0.020791633762046572,7.509082642376445e-05,0.07509082642376445
HD,25,1.2161179755605454,-0.002896269286785323,-0.10157523896517767,0.02851353653008122,-8.258288010970559e-05,-0.08258288010970559
TRIP,25,1.003501096262356,0.020880137439419306,0.24021424135101352,0.08692297892908092,0.001814963746682958,1.814963746682958
PEP,25,0.5204562137349101,1.39957330893988e-05,0.0003800211233427655,0.03682882931950903,5.154464651508733e-07,0.0005154464651508732
AMP,25,1.1360141821192316,-0.010401839992506476,-0.3063917051960688,0.03394948301831488,-0.00035313709018482717,-0.35313709018482714
IRM,25,0.40271288582831405,-0.006095145631879016,-0.15775190087290275,0.03863754159634337,-0.00023550144288749607,-0.23550144288749605
FFIV,25,0.8659484424958335,0.010351231517162777,0.22711780933344586,0.04557648538237478,0.0004717727519315464,0.4717727519315464
NEM,25,0.4040799072218433,-0.0055370224261837905,-0.10673028862382448,0.051878641926091526,-0.00028725320378472744,-0.28725320378472746
EBAY,25,0.6491744818651265,-0.009535622083727898,-0.19787218732167217,0.048190815560280105,-0.000459529405089465,-0.459529405089465
XLNX,25,0.9051535989021127,0.006755300198294677,0.1467348607518862,0.04603745942634046,0.00031099685879174086,0.3109968587917409
LYB,25,1.086403181950783,-0.005771056733377587,-0.1641150493496796,0.03516470156908772,-0.00020293748776749709,-0.2029374877674971
ED,25,-0.004551997662889954,-0.0032511847023565955,-0.11865393346042018,0.027400564039801553,-8.908429464214505e-05,-0.08908429464214505
PGR,25,0.7729700351714393,0.006672750560930429,0.17238168393606415,0.038709162183409994,0.00025829658367249595,0.25829658367249597
VAR,25,0.8528297782141141,0.00123289568506714,0.028726542011264043,0.04291834654458953,5.291384426504063e-05,0.05291384426504063
VRSK,25,0.6983487725696218,0.008304152831995815,0.3627718147687934,0.02289084348321914,0.00019008906273794716,0.19008906273794715
IP,25,1.004458758457213,-0.008151816404762575,-0.17156819569629558,0.04751356375626083,-0.0003873218484770196,-0.3873218484770196
TROW,25,1.4533976579924657,-0.0032280698818526144,-0.13315298999564198,0.02424331501649544,-7.825911504101415e-05,-0.07825911504101414
AIV,25,0.40057673265334215,0.002422358872963413,0.07506893557367184,0.032268459043037,7.816578807975714e-05,0.07816578807975715
RE,25,0.30523837777408885,-0.0012958691243640332,-0.03476548019371839,0.03727459299118721,-4.83029941805155e-05,-0.0483029941805155
UPS,25,1.2004312132481985,-0.0024919636977639064,-0.05728930644091498,0.04349788560163457,-0.00010839515184876067,-0.10839515184876067
LEG,25,0.8708297947052948,-0.008935442811368441,-0.22878487243380605,0.03905609106193732,-0.00034898346811953904,-0.34898346811953906
SIVB,25,1.4485871616405828,-0.00015263236321964293,-0.0027947729848827544,0.05461351030843964,-8.335789142097472e-06,-0.008335789142097472
