Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AVGO,25,0.8593979931242757,-0.004987413995555434,-0.09094752757569081,0.05483836810632013,-0.00027350164458688175,-0.27350164458688175
SWK,25,1.0663401701892603,-0.010437089884593107,-0.23579599504661458,0.044263219494163994,-0.00046197920044206345,-0.4619792004420635
AMT,25,0.29082324131895076,0.004164602330415593,0.12556895614615898,0.03316585928745083,0.00013812261487875337,0.13812261487875338
LRCX,25,1.3795389873499297,-0.014345346740938184,-0.20889516759217874,0.06867246813935053,-0.0009851303670150135,-0.9851303670150136
DVA,25,0.7658081838856943,0.0014682350085634573,0.023822746799662058,0.06163164226655363,9.04897348110133e-05,0.0904897348110133
TDG,25,0.9628539602688114,0.009292396699905114,0.2190391004351377,0.042423460840758875,0.00039421562751522165,0.39421562751522166
MKTX,25,0.13878466892806665,0.004575271251503315,0.09743105100036566,0.04695906699688731,0.00021485046922827664,0.21485046922827664
WBA,25,0.6336015403288202,0.00580742092003468,0.13240226675806407,0.0438619448309481,0.000254724776004655,0.25472477600465504
DISCA,25,1.206933325391104,0.02056808791174497,0.2844222382422792,0.07231532962701907,0.0014873880571353438,1.487388057135344
FIS,25,0.8407474584416992,0.0051467973554921815,0.23217926586379767,0.022167342705405164,0.0001140908208144682,0.11409082081446821
HD,25,1.114352636317682,-0.0008102015099619545,-0.025555431321354426,0.0317036914687071,-2.5686378699314428e-05,-0.02568637869931443
TRIP,25,1.1798487168890535,0.022576065038743997,0.2712099900872995,0.0832420112233956,0.0018792770593352368,1.8792770593352368
PEP,25,0.5350580676596497,0.000901079816289523,0.02489576503715061,0.03619410027950096,3.26137732306173e-05,0.0326137732306173
AMP,25,1.1125592173078447,-0.008460172754500485,-0.2543280297836577,0.03326480672105654,-0.00028142601150520715,-0.28142601150520713
IRM,25,0.5606919536811437,-0.005423075048667161,-0.15235348045577787,0.03559534729658679,-0.0001930362397727619,-0.19303623977276188
FFIV,25,0.8737341072686285,0.011828797450171543,0.2652134893268321,0.044601040015707846,0.0005275766684128039,0.5275766684128039
NEM,25,0.35054410000077735,-0.0048419575801792675,-0.09263112649631311,0.052271388282987,-0.00025309584472330265,-0.25309584472330265
EBAY,25,0.6239445893989254,-0.008424902541387816,-0.17461294088801624,0.04824901578624074,-0.0004064932557169605,-0.4064932557169605
XLNX,25,0.895562345251593,0.00830149359104133,0.1825597432200563,0.04547275015080825,0.00037749174394395834,0.37749174394395835
LYB,25,1.0404233616425702,-0.003911884005275094,-0.11006834170278257,0.03554050097200837,-0.00013903031729186347,-0.13903031729186346
ED,25,0.040708636438991745,-0.0032633767675526774,-0.11927928153623701,0.02735912495047402,-8.928313274394772e-05,-0.08928313274394771
PGR,25,0.6573173190905011,0.008003643296747876,0.19570957378662215,0.04089551237526107,0.000327313093489328,0.327313093489328
VAR,25,0.7720205930714518,0.0026967195863812038,0.060962731151970005,0.04423554416646341,0.00011929085836793267,0.11929085836793267
VRSK,25,0.6821587520610621,0.009497938541156655,0.42059540360295244,0.022582126337554638,0.000214483648082729,0.214483648082729
IP,25,0.9923055091387372,-0.006435841370985329,-0.1372732801423039,0.04688342381207497,-0.00030173427858319076,-0.30173427858319074
TROW,25,1.3718344691486428,-0.0007388972395014237,-0.027689992337032013,0.026684631418739616,-1.971720049241966e-05,-0.01971720049241966
AIV,25,0.41764742758282974,0.0031045464257512772,0.09782798009360902,0.03173474933020817,9.852200260521052e-05,0.09852200260521052
RE,25,0.3933918472833712,-0.000783384205368481,-0.021765113454298886,0.0359926543462953,-2.8196076924174945e-05,-0.028196076924174945
UPS,25,1.1075056451419782,-0.0004335394437344149,-0.009560782727005288,0.045345601517524696,-1.96591068577101e-05,-0.0196591068577101
LEG,25,1.0482306609705216,-0.007466111358157463,-0.2380441407623587,0.031364398780186487,-0.0002341700939745304,-0.2341700939745304
SIVB,25,1.3399926945370217,0.0023309682975475644,0.04115116048910077,0.056644047697389746,0.00013203547942738762,0.1320354794273876
KEYS,25,1.1307042294932845,0.010663244514857973,0.2796704730420989,0.03812788814946807,0.00040656699417293367,0.4065669941729337
EA,25,0.5687626181219828,-0.01020925757129461,-0.17991584131259117,0.05674462847080119,-0.0005793205278458268,-0.5793205278458268
WMB,25,0.8208779378946777,-0.0035197167219388117,-0.07826385361845915,0.04497244333377239,-0.00015829026082832433,-0.15829026082832434
CXO,25,0.8034460666189984,-0.0027805871601774778,-0.04251148941836208,0.06540789791703823,-0.0001818723611223157,-0.1818723611223157
T,25,0.40107414074723374,-0.003704884197187901,-0.08322725919703038,0.044515273396388555,-0.00016492393293977893,-0.16492393293977894
