Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.9764858416691847,0.0025739836581714338,0.09124793691813708,0.028208677862828595,7.26086758375431e-05,0.0726086758375431
RSG,25,0.6599582974542794,0.005322065634421043,0.21949748683865003,0.02424659029619428,0.00012904194496726233,0.12904194496726232
HON,25,0.6605214102646503,-0.0018885870341687364,-0.06297849607979053,0.029987807771338228,-5.6634584940093846e-05,-0.056634584940093845
AEP,25,0.3640660369299843,0.006317883022012489,0.22090177071135067,0.02860041819342399,0.00018069409652669055,0.18069409652669055
COF,25,0.5929063625919023,-0.009652970797241232,-0.25038278786192153,0.03855285293238508,-0.0003721495635066491,-0.37214956350664913
LLL,25,0.7762140879590436,-0.0026391796259473193,-0.05573091047951199,0.047355760084299085,-0.00012498035718573144,-0.12498035718573144
SLG,25,0.6849781101874653,-0.0018506972244392607,-0.04981855921351493,0.037148750458788814,-6.875108936546717e-05,-0.06875108936546717
FIS,25,0.35685578980119487,0.0009469310176796706,0.03046414148821571,0.031083463095323633,2.9433895341863293e-05,0.029433895341863293
EBAY,25,0.22237609199031683,-0.007202367984903539,-0.12885411042924452,0.05589552371213221,-0.00040258013048367767,-0.4025801304836777
VAR,25,0.6478372633448711,0.0011474811882545366,0.031503803485591404,0.03642357624466992,4.1795368549713556e-05,0.04179536854971356
IPGP,25,-0.7253485401032211,-0.026352093273730125,-0.2994189389334059,0.08801077636438731,-0.002319268187847737,-2.319268187847737
DHR,25,0.47140943047768513,0.0018344205332150889,0.05812039115557925,0.03156242579828188,5.789876196244593e-05,0.05789876196244593
BMY,25,0.6969086603121626,-0.009910726442724244,-0.21707470612238658,0.04565583259219793,-0.0004524824673360874,-0.4524824673360874
PFG,25,0.7087637362697208,-0.011165111352309767,-0.21301671733842603,0.052414249415793125,-0.0005852109311750674,-0.5852109311750674
IVZ,25,0.45436036120974327,-0.024234280886174075,-0.4353773883812533,0.055662699839047425,-0.0013489455027822718,-1.3489455027822719
HP,25,1.40990433949667,-0.009896789433713074,-0.160413748683326,0.06169539403539781,-0.0006105863237982896,-0.6105863237982896
FISV,25,0.46029808529040084,0.0065265555004513295,0.20802099526875475,0.03137450377073373,0.00020476744015881322,0.2047674401588132
DVA,25,0.9276030929186031,-0.013034093234632492,-0.28535933352495224,0.04567607119636327,-0.0005953461705651106,-0.5953461705651106
AOS,25,0.2973661859464466,-0.01257606032211793,-0.268790575361904,0.04678757915966852,-0.000588403417837859,-0.588403417837859
GPS,25,0.2738953023579757,-0.010536584283805354,-0.2145351963171952,0.04911354623707885,-0.0005174890194035526,-0.5174890194035526
LB,25,1.3641044780832345,-0.023995290758363926,-0.27613671739753193,0.08689641487922747,-0.0020851047408864845,-2.0851047408864845
CSX,25,0.7808193821321848,0.006362847767495672,0.1874443585178447,0.0339452615048424,0.00021598853138314324,0.21598853138314322
HBAN,25,0.38483671244233925,-0.005382673598426459,-0.12082483001179668,0.044549399307252685,-0.000239794875476907,-0.239794875476907
