Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.3954648924031597,0.008738269894313094,0.3903839566511983,0.022383783312388,0.0001955955398394679,0.1955955398394679
RSG,25,0.48784212935802457,0.005338911037419663,0.23729345608763475,0.02249919203607516,0.00012012118469442625,0.12012118469442626
HON,25,1.0286213700134499,0.0036074284599592605,0.20183932219818845,0.017872773355912697,6.447475126252104e-05,0.06447475126252104
AEP,25,0.3081488764617953,0.00010294204876184706,0.0027116463425676065,0.03796293312511144,3.907982112907961e-06,0.003907982112907961
COF,25,1.2507181770734828,-0.001982024876385559,-0.05981285081708203,0.03313710765010903,-6.56785716939823e-05,-0.06567857169398231
LLL,25,0.9516118508910385,-0.0012974974388084517,-0.039368516185954196,0.03295774300153506,-4.2762587133398915e-05,-0.042762587133398915
SLG,25,1.0352560481468605,-0.008376687968344072,-0.26838234387246046,0.031211769923005096,-0.00026145125758476016,-0.2614512575847602
FIS,25,0.6074873282900315,-0.0005643060752097489,-0.015329112530688601,0.03681270354562396,-2.0773632255691062e-05,-0.020773632255691062
EBAY,25,0.7693063930689517,0.0034705051365021655,0.07566863708544902,0.045864512302277734,0.00015917302552822163,0.15917302552822163
VAR,25,0.7944355545466644,-0.006261686927318001,-0.2775588591274426,0.02255985251921977,-0.0001412627336018205,-0.1412627336018205
IPGP,25,1.321951731509358,0.004945708929075974,0.08639264598144696,0.05724687411632326,0.0002831263764787882,0.28312637647878824
DHR,25,0.7832049753610176,0.003341636185255555,0.174025537050621,0.019201987489247233,6.416605622289302e-05,0.06416605622289302
BMY,25,0.7919993192544507,0.0035915163483230973,0.0877260968528496,0.04094011334332418,0.00014703708637474938,0.14703708637474938
PFG,25,1.8111725212004128,-0.0030790910738078044,-0.09948873664122043,0.030949142362835746,-9.529522799141453e-05,-0.09529522799141453
IVZ,25,1.6726138964675625,-0.004538488280319093,-0.17485500628046183,0.02595572398447376,-0.00011779974911073135,-0.11779974911073135
HP,25,2.166400561544591,-2.7858138365165208e-05,-0.000528943340297623,0.0526675283395952,-1.4672192918357027e-06,-0.0014672192918357028
FISV,25,0.9199101094694163,0.011496076428005292,0.6368343489753663,0.018051910118387752,0.00020752613839246766,0.20752613839246767
DVA,25,0.7210896083104231,-0.004204510705901125,-0.14082727226733727,0.029855798796695837,-0.00012552902567393757,-0.12552902567393756
AOS,25,1.8484072721522529,0.010622967009527053,0.26582885551134927,0.03996167755788844,0.0004245115823428065,0.4245115823428065
GPS,25,0.7326582527021237,-0.018515739341644123,-0.46220470755226745,0.04005960787309876,-0.0007417332575067713,-0.7417332575067713
