Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.3520918837198917,0.005004767188208775,0.22503581454026259,0.02223986967778118,0.00011130537003339851,0.1113053700333985
RSG,25,0.10351242785993198,0.0019129063038066769,0.13111039868744778,0.014590042612614025,2.7909384486477405e-05,0.027909384486477406
HON,25,0.40100208555219025,0.0014833309606740153,0.07504166710246372,0.019766764491634215,2.9320653762792793e-05,0.029320653762792793
AEP,25,0.4775505477867169,-0.003713062090606591,-0.13380116595984257,0.027750595923214775,-0.00010303968571423058,-0.10303968571423058
COF,25,-0.17981529288994136,0.0047804799531492555,0.182552286257182,0.026186908151971618,0.00012518598945546113,0.12518598945546114
SLG,25,0.6076029953905003,-0.002890326526549229,-0.10748524531405881,0.02689044917843418,-7.772217857125224e-05,-0.07772217857125224
FIS,25,0.8016918065558998,0.0005139994956816296,0.024434539745908684,0.02103577562854212,1.0812378064342566e-05,0.010812378064342565
EBAY,25,0.17425364467889876,0.00629778857354558,0.16164959042872148,0.03895950838379981,0.00024535874673044765,0.24535874673044766
VAR,25,0.8023561518721513,-0.00522951625278666,-0.23813109395522122,0.021960661104467236,-0.00011484363416775124,-0.11484363416775124
IPGP,25,0.7200492193897937,0.0027674193399093673,0.052594585077168694,0.052617951750145164,0.00014561593729976968,0.14561593729976968
DHR,25,0.478082022335764,-0.00021034760530511684,-0.008045785044616413,0.026143826132400145,-5.499291220463705e-06,-0.0054992912204637045
BMY,25,0.3819421161595464,0.01152775514515824,0.27422953800512323,0.04203688351377697,0.0004845909002123601,0.48459090021236007
PFG,25,0.25307331455234006,0.00036458512160173254,0.013167088309035612,0.02768912253376051,1.0095042106016349e-05,0.010095042106016349
IVZ,25,0.7001537467727477,-0.0038710822732473844,-0.12305589523559922,0.03145791809352915,-0.00012177618908512886,-0.12177618908512886
HP,25,-0.44429032539888336,-0.015217460071762947,-0.24189063207751446,0.06291049777771664,-0.0009573379880271346,-0.9573379880271345
FISV,25,0.7343415859930522,0.007772378040793285,0.3884618481569936,0.020008085936027736,0.00015551040776748694,0.15551040776748692
