Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,-0.10828698725472878,0.008075313988576874,0.34426261342165676,0.023456842752442995,0.000189421370406651,0.189421370406651
RSG,25,0.03774592866058286,0.002495785484985556,0.16926157945723128,0.014745138814069657,3.680070342625218e-05,0.03680070342625218
HON,25,0.52705117010068,0.0019908712397637925,0.11515855050362511,0.01728808873554831,3.441835865408752e-05,0.03441835865408752
AEP,25,0.2394343216974904,-0.0013241071323394603,-0.04541467376830445,0.029155931827117374,-3.8605577282289185e-05,-0.03860557728228919
COF,25,0.3407122205188394,0.0019004187163281193,0.07573424412600724,0.02509325521446002,4.7687691863158e-05,0.047687691863158
SLG,25,0.28263150230594974,0.0002503826621631216,0.008534849953062128,0.02933650427835459,7.345352039774228e-06,0.0073453520397742285
FIS,25,0.5321231745456132,0.00392613200245728,0.16136980354875177,0.024330029014822143,9.552290553580737e-05,0.09552290553580738
EBAY,25,0.6782216779341949,0.004453568576595547,0.1261685642918222,0.03529855952307299,0.00015720455549104537,0.15720455549104537
VAR,25,0.4901226036552845,-0.0016194690368863643,-0.06308211942576285,0.02567239420026478,-4.157564751006989e-05,-0.04157564751006989
IPGP,25,1.1574207662659883,0.002708727002437434,0.05781286696790022,0.04685335885420484,0.00012691295828327567,0.12691295828327567
DHR,25,0.6201797156008879,0.0004323529897299035,0.01828121527519856,0.023650122993544125,1.0225201383738737e-05,0.010225201383738737
BMY,25,0.5570377096452389,0.011758184650712168,0.28969704802498797,0.04058786491223742,0.00047723961021624897,0.47723961021624894
PFG,25,0.7468767363854084,-0.0012192669754364444,-0.057423965049113936,0.02123272007416454,-2.5888354385115275e-05,-0.025888354385115275
IVZ,25,0.8719598759195748,-0.0027630018577608382,-0.09998578999958847,0.027633945361357954,-7.635264237069352e-05,-0.07635264237069352
HP,25,0.5592799185992245,-0.021034754619510876,-0.33845261647210956,0.06214977694298386,-0.0013073053076530002,-1.3073053076530001
FISV,25,0.5703661747062991,0.010516583172838375,0.48462008444025945,0.021700675457941705,0.00022821695836021643,0.22821695836021644
DVA,25,0.0928237519732801,0.003684824171943096,0.14607281701868446,0.025225940371039483,9.295315483920147e-05,0.09295315483920147
AOS,25,0.44252729850046774,0.013997998567891523,0.4398232114034712,0.031826420718506554,0.0004455061916387678,0.4455061916387678
GPS,25,0.33185184879518015,-0.0034433327617483453,-0.08243114954981742,0.04177222785989853,-0.00014383568072120557,-0.14383568072120556
LB,25,0.32581327520132397,0.01374279239615334,0.43380932509966524,0.03167933836598835,0.0004353625704112735,0.4353625704112735
CSX,25,0.9071169593171023,-5.909701750503576e-05,-0.0014582663963791363,0.04052552925293566,-2.3949379116615778e-06,-0.0023949379116615776
HBAN,25,0.44324084199494435,0.005728835464553065,0.2522080779947932,0.022714718378970142,0.00013012888421677946,0.13012888421677946
F,25,0.8892951739227348,-0.007123284180804433,-0.18349167393011315,0.03882074880148236,-0.00027653122582458196,-0.27653122582458195
APA,25,0.28238976029576696,-0.022416949412415052,-0.33915754501173245,0.06609597734775319,-0.0014816701805687143,-1.4816701805687142
DISH,25,1.0500107006851067,-0.002390387449234584,-0.07547849386708785,0.03166978203677305,-7.570304950069718e-05,-0.07570304950069717
MMM,25,0.6507552365590089,0.0012878915701253703,0.06490804801224494,0.019841785565364853,2.5554068365868647e-05,0.025554068365868647
HCA,25,0.0371730492816043,0.019551689199272138,0.4736863900365551,0.041275598392774816,0.0008070076712895098,0.8070076712895098
SWKS,25,0.8581069420922756,0.02859464308888493,0.5895612552732845,0.048501564227842964,0.0013868849183477983,1.3868849183477983
NEM,25,0.2781776726428618,-0.003147891411129193,-0.04242015462037054,0.0742074478346561,-0.00023359698768053158,-0.23359698768053158
MTD,25,0.5486214765395699,0.009036808932979309,0.3126024411028778,0.028908312107534962,0.00026123889309072584,0.26123889309072584
BIIB,25,0.36602970032556953,0.007518703838508138,0.13001513247720609,0.05782945181266724,0.0004348025213227226,0.43480252132272257
CF,25,0.20540345769901378,0.01063809998261707,0.27138199669806495,0.039199726260592156,0.00041701060725139933,0.4170106072513993
LKQ,25,0.6781024857441439,0.0021059371520617655,0.048774715847029686,0.043176820520421634,9.092767044185873e-05,0.09092767044185873
OMC,25,0.7330920514561904,-0.0028398286278585607,-0.13408022029083477,0.021180071316251266,-6.0147772863976293e-05,-0.060147772863976295
PWR,25,0.4325841586454847,-0.008683226777648618,-0.2298587497485305,0.03777635955624148,-0.0003280206968608383,-0.3280206968608383
ROP,25,0.5507964859307616,0.005069613682205262,0.21764571279203412,0.023292963675555618,0.00011808632734870692,0.11808632734870692
MA,25,0.9679045104550513,0.004787085102717554,0.14997850750616673,0.03191847406883097,0.0001527964517163773,0.1527964517163773
SCHW,25,0.6049918155922289,0.00574380851851684,0.1581083572858875,0.036328304316836535,0.00020866282379831779,0.2086628237983178
ECL,25,0.5290347794881831,-0.0005004910218212612,-0.01900761673942405,0.026331077098328878,-1.3178467682597029e-05,-0.013178467682597029
ETFC,25,0.6044244189045601,0.011193052630320877,0.24980478359682837,0.0448071989221226,0.0005015293357525752,0.5015293357525752
MSI,25,0.5538502673551157,-0.00715394951041742,-0.2874832250557495,0.024884754611439006,-0.00017802427806936171,-0.17802427806936172
PVH,25,0.21868007950768362,-0.0017105868101845684,-0.044681943243562124,0.0382836261364043,-6.54874659149704e-05,-0.0654874659149704
GPC,25,0.393413009635387,0.001059423310192284,0.03926778343760239,0.026979452809597397,2.8582661202720192e-05,0.028582661202720194
ADI,25,1.1020693840724478,0.003530530799887561,0.09741185686524129,0.03624333744886587,0.00012795821915393923,0.12795821915393923
ISRG,25,0.10992806244159524,0.007544870766947201,0.1453798461890527,0.05189763894189166,0.000391560978926259,0.391560978926259
EIX,25,0.23390904757808914,-0.000917397443914692,-0.03488015887060043,0.026301412425272588,-2.4128848530291194e-05,-0.024128848530291194
IT,25,0.4311203492300845,0.00582761508351372,0.19624460235287053,0.029695670676511108,0.0001730549383494922,0.1730549383494922
ABBV,25,0.7352865683370087,0.006411355124785762,0.14757174510606227,0.04344568209976655,0.0002785456965801513,0.2785456965801513
CE,25,0.8964136950963234,0.0011992343689449089,0.022537188029800214,0.053211357484314326,6.381288871340364e-05,0.06381288871340364
JKHY,25,0.6070437443353495,0.0016689274917237097,0.06691647060384116,0.02494045900304714,4.162381768639348e-05,0.04162381768639348
MAC,25,0.45247922728510936,0.004825402126784409,0.10239851879009325,0.047123749286608355,0.00022739104002965523,0.22739104002965524
COG,25,0.6758106731659561,-0.005954443756177111,-0.11252481098553396,0.05291671857989262,-0.0003150896245454229,-0.31508962454542294
APH,25,0.5950000635505551,0.0030166937225393894,0.12173142145849318,0.02478155340992213,7.475835660648668e-05,0.07475835660648668
VRSK,25,0.4393914238222372,0.0060515059407616825,0.2543706909888995,0.023790106938954555,0.0001439659734724392,0.1439659734724392
TSS,25,0.5818155327953792,0.008995531306191944,0.31179393920971316,0.028850885713148946,0.00025952904564399725,0.25952904564399726
KO,25,0.28321159572005955,-0.002312229560839668,-0.07613744502314455,0.030369150949795958,-7.02204485637203e-05,-0.0702204485637203
