Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.08438800883147368,-0.00359958790537552,-0.1034691649931417,0.03478899153785684,-0.00012522603317988078,-0.1252260331798808
RSG,25,0.5157232058779975,-0.0014019069622027338,-0.06937879369782814,0.020206562949315443,-2.8327721280833127e-05,-0.028327721280833128
HON,25,0.5773619599568581,-5.285794308445245e-06,-0.00027756780305123184,0.01904325447814862,-1.006587261348724e-07,-0.00010065872613487239
AEP,25,-0.6390485264024321,0.005535809112690468,0.21613409154615384,0.025612845586224127,0.00014178782399815336,0.14178782399815337
COF,25,1.2004165663441178,-0.003692652667676913,-0.14187894480646548,0.026026784120180724,-9.610787381243646e-05,-0.09610787381243646
LLL,25,0.9232075140206042,-0.0022494322193124397,-0.11930487103832137,0.018854487664547327,-4.2411892031261714e-05,-0.042411892031261715
SLG,25,0.06817217868876314,-0.0016001816305356977,-0.042579730251027355,0.03758083062297204,-6.0136154823153275e-05,-0.06013615482315327
FIS,25,0.6331806740500237,0.001871473621624588,0.06563936246791985,0.028511453360614825,5.335843287857036e-05,0.05335843287857036
EBAY,25,0.5233007696728728,-0.0015968562904992542,-0.04485112315134986,0.03560348500327788,-5.6853648991180145e-05,-0.056853648991180145
VAR,25,-0.0019660117449413514,0.007313980698315435,0.16872640633966943,0.04334816853499142,0.0003170476679722517,0.3170476679722517
IPGP,25,0.7621006135946193,0.015582968993233175,0.25791002723844847,0.0604201750513022,0.0009415257143901628,0.9415257143901629
DHR,25,0.2969912237886816,0.004737766964540824,0.17568547737796733,0.026967322713578976,0.00012776489067450587,0.1277648906745059
BMY,25,0.27161688593694067,-0.002557309454320141,-0.06951459318480235,0.03678809494751145,-9.407854301569806e-05,-0.09407854301569805
PFG,25,0.9015027024969579,-0.010705268332189908,-0.3472664403773899,0.030827246999612215,-0.000330013951073545,-0.330013951073545
IVZ,25,1.080596102913583,-0.013898720373815447,-0.3837245067371505,0.03622057004385182,-0.0005034195748196928,-0.5034195748196928
HP,25,1.0599657429933058,0.0005015024420611455,0.008327799250535237,0.06022028473235752,3.0200619854894814e-05,0.030200619854894816
FISV,25,0.39601822772701645,0.001700638701676297,0.08517775671851194,0.019965760630400495,3.395454523646402e-05,0.03395454523646402
DVA,25,1.224203572739816,-0.010692443777292757,-0.21135950474867013,0.05058889492576763,-0.0005409189147491413,-0.5409189147491412
AOS,25,0.8570833170583105,-0.0013925015377663098,-0.05156419990551401,0.027005200125628303,-3.7604782702624354e-05,-0.03760478270262435
GPS,25,0.5663307544424434,0.004516422124175969,0.08160564634408429,0.05534448076218651,0.00024995903736537047,0.24995903736537045
LB,25,-0.6174944193825218,-0.008470479096946705,-0.09079316550354163,0.0932942369612203,-0.0007902468840456093,-0.7902468840456093
CSX,25,0.2540479957925804,0.004962762458863809,0.11494204598112429,0.043176214730672104,0.0002142732975812221,0.2142732975812221
HBAN,25,1.3208720843285926,-0.005389147747205173,-0.1816854359187995,0.029661968885682947,-0.0001598527327979482,-0.1598527327979482
F,25,0.16328590739398458,0.002389639269598279,0.06798828583162078,0.035147808778654005,8.399058409780273e-05,0.08399058409780273
APA,25,1.3077710398992346,-0.019907860139696056,-0.298739033371436,0.06663963498517349,-0.0013266525330452301,-1.3266525330452301
DISH,25,0.027266268071594442,-0.029414038720407137,-0.6402592014608671,0.045940829359880635,-0.001351305333639146,-1.3513053336391458
MMM,25,1.079967906066432,-0.010599393754327871,-0.3186508826853879,0.033263343459157844,-0.0003525712749090605,-0.3525712749090605
HCA,25,0.32414364979826626,0.006270688392627982,0.14796273633660834,0.04238018671378487,0.0002657529449035374,0.2657529449035374
SWKS,25,0.31872650083930537,-0.005029646657843405,-0.08769016715319916,0.057357019847577184,-0.00028848554318022443,-0.28848554318022446
NEM,25,0.1550124307313948,0.004784946786642144,0.11944468905737288,0.04005993756946188,0.0001916846695460815,0.1916846695460815
MTD,25,0.8507495183509581,-0.010318764316075773,-0.36445187704555687,0.028313105147722742,-0.0002921562590756227,-0.29215625907562265
BIIB,25,0.482325370905367,0.0011181822589415849,0.020107889971581302,0.05560912957659526,6.218114212773259e-05,0.06218114212773259
CF,25,1.2369880896880452,0.004897516218754228,0.08817674013536381,0.055542042167082216,0.00027201805233601634,0.27201805233601634
LKQ,25,0.9446987657359958,-0.010254386784735135,-0.2366411730030489,0.04333306268982624,-0.00044435398538865336,-0.44435398538865334
OMC,25,0.21140310485296473,-0.006811870492547924,-0.1530030365908828,0.04452114575191269,-0.0003032722790418794,-0.30327227904187937
PWR,25,1.1243734100140106,-0.005458503182464202,-0.14260084827476172,0.03827819573658369,-0.0002089416532471297,-0.2089416532471297
ROP,25,0.7799317608413997,0.0005699788089138184,0.025989473087673784,0.02193114138909366,1.250028584707615e-05,0.012500285847076149
MA,25,0.4377562975222681,0.013934593354093954,0.5488837189343906,0.025387150089178707,0.00035375961291205535,0.3537596129120554
SCHW,25,0.9387895162191523,0.006598195392998645,0.13532010463501012,0.04875990460394276,0.0003217273779207885,0.32172737792078854
ECL,25,0.20609261952688476,0.002201979258364619,0.10488117820401958,0.020994989721427708,4.623053189616218e-05,0.046230531896162184
ETFC,25,0.8383793663148447,0.016096982093772985,0.42061283318777953,0.038270306618501594,0.0006160364403612219,0.616036440361222
MSI,25,-0.0013503534040267507,0.01241977521059843,0.4686052260144131,0.02650370614991056,0.00032917007262964437,0.3291700726296444
PVH,25,0.049527350970890754,0.015622371427534608,0.4105729027195307,0.03805017653151483,0.0005944339906585852,0.5944339906585853
GPC,25,0.8223109427689813,-0.007515283873206781,-0.18733588276906912,0.04011662774969251,-0.00030148784557470376,-0.30148784557470376
ADI,25,0.8426188571683796,-0.0028794200335709105,-0.08239060495150863,0.03494840261539051,-0.00010063113063205745,-0.10063113063205745
