Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.09453588622381909,0.009017898801299086,0.4306229347515567,0.020941520001719987,0.0001888485081208915,0.18884850812089152
RSG,25,0.013970334030628685,0.006248916973810643,0.3579088840922549,0.017459519032782426,0.0001091030848385241,0.10910308483852409
HON,25,0.2898181121499062,0.005710009415570356,0.25137237812554725,0.02271534151106494,0.00012970481390607697,0.12970481390607697
AEP,25,1.33460726672054,0.006017581494473157,0.33102914492684404,0.01817840388586635,0.00010939002682264829,0.10939002682264828
COF,25,0.10119006440660396,0.003276189561271888,0.10651836731301768,0.030757038846121167,0.00010076588960329613,0.10076588960329613
LLL,25,1.068790344082286,0.0007218912626676748,0.01976234726835247,0.03652861944308182,2.6369691213273312e-05,0.026369691213273313
SLG,25,0.4724277508398328,0.004536921237036871,0.168681918209069,0.026896310435678628,0.0001220264420135668,0.1220264420135668
FIS,25,0.40109313363208937,0.007268438983943794,0.25107460860743036,0.02894931918547135,0.00021041636012631196,0.21041636012631196
EBAY,25,0.07805940051661703,0.007956648913736973,0.20224585588943433,0.03934146822808962,0.00031302625044184694,0.31302625044184695
VAR,25,0.08444780627571352,0.002180461732083603,0.08295093889919937,0.026286160964775387,5.7315968067082527e-05,0.05731596806708253
IPGP,25,0.6060328003145302,0.017406565995980266,0.28736096122241805,0.060573871697580876,0.0010543830953359827,1.0543830953359827
DHR,25,0.2781857080017945,0.004484965800499628,0.14793067538009746,0.030318024229767246,0.00013597530180922517,0.13597530180922518
BMY,25,0.7101697276904277,0.013369395760724339,0.3331443401214791,0.0401309407083106,0.0005365264285795675,0.5365264285795676
PFG,25,0.28122657840078463,0.005153082833019439,0.17295218077247462,0.02979484161462249,0.00015353528683684434,0.15353528683684434
IVZ,25,0.5087831569191351,0.005116879216349551,0.14124859511289575,0.036226053875153826,0.0001853643421641337,0.1853643421641337
HP,25,0.601534768663088,-0.01360820027745753,-0.2418310579915589,0.056271516117390195,-0.0007657540612416252,-0.7657540612416252
FISV,25,0.47756914206501716,0.012189477533501,0.49194490161953525,0.024778135708637156,0.0003020325285424715,0.3020325285424715
DVA,25,0.308985605654233,0.007080150936744406,0.3325417450143632,0.021291013964092238,0.00015074359246210588,0.1507435924621059
AOS,25,0.4371280318626873,0.015706120204691466,0.5014486037244862,0.031321495539193826,0.0004919391739292857,0.4919391739292857
GPS,25,0.041524839114559196,-0.002261231993184441,-0.0515301697931119,0.043881710505962714,-9.92267277117407e-05,-0.0992267277117407
LB,25,-0.12508875787052046,0.015929286552466445,0.5313701020125373,0.02997776218898105,0.0004775243641099729,0.4775243641099729
CSX,25,0.2120362028363242,0.006838124529178688,0.18749487952952268,0.03647099348172848,0.00024939319513092356,0.24939319513092356
HBAN,25,0.37771031910546327,0.008468817666128756,0.2935601194104433,0.02884866542204943,0.00024431408737049,0.24431408737048999
F,25,-0.05922644690874546,-0.001894091600292629,-0.043999280848657195,0.04304823996573195,-8.153730972647434e-05,-0.08153730972647434
APA,25,0.8073872411232232,-0.015431494067945702,-0.23606663174181428,0.06536923051803062,-0.0010087448929651647,-1.0087448929651648
DISH,25,0.31434862795359536,0.007807210616059485,0.15482748628259635,0.050425223605384255,0.0003936803410491293,0.3936803410491293
MMM,25,0.6706243896142136,0.0066595265248337,0.234742755545283,0.02836946558527147,0.00018892720856047214,0.18892720856047215
HCA,25,0.16239542412530789,0.017686229645849035,0.36670318100267874,0.04823036876170387,0.0008530133778234782,0.8530133778234782
SWKS,25,0.6406461268244698,0.03875633526053009,0.8020524023047242,0.04832145025582179,0.0018727623263896569,1.872762326389657
NEM,25,-0.4064611949315058,0.006905977026215977,0.09091837447386929,0.07595799051819623,0.0005245641374761941,0.5245641374761941
MTD,25,0.3526117800344258,0.011676776950774317,0.3614563616847318,0.03230480408851953,0.0003772159917801048,0.3772159917801048
BIIB,25,1.1086967516028448,0.010919647556304694,0.20667024149313348,0.05283609036992147,0.000576951485092607,0.576951485092607
CF,25,0.2104434698377016,0.01151624580077461,0.25783741989795755,0.044664757370486835,0.0005143703245104858,0.5143703245104857
LKQ,25,0.5953818421634892,0.0019275724154962281,0.04244178273152698,0.045416857903670754,8.75442824936276e-05,0.0875442824936276
OMC,25,0.2802095710273901,0.0032029805013234175,0.12215331039538532,0.02622098812513573,8.398531369024261e-05,0.0839853136902426
PWR,25,0.2501274330021235,-0.004778093265341989,-0.11114762632530199,0.04298871170993499,-0.00020540407390696867,-0.20540407390696866
ROP,25,0.36451498527837434,0.009332531544451544,0.3219092808601391,0.028991185092629494,0.0002705611493879981,0.27056114938799813
MA,25,0.4507572448670361,0.008319940847558407,0.19677339217100895,0.042281838798244806,0.00035178239772739683,0.35178239772739683
SCHW,25,0.2750377830606079,0.00969631091423251,0.23718857172262645,0.04088017750522816,0.0003963869113197062,0.3963869113197062
ECL,25,-0.08470777342288364,0.0022851300584012823,0.0827293552118446,0.027621755935964477,6.311930475509647e-05,0.06311930475509647
ETFC,25,0.44515658125247687,0.015414772636112989,0.39810700441324925,0.038720174388370984,0.0005968626846273841,0.596862684627384
MSI,25,-0.11133767385241466,-0.004704096577024414,-0.16824056524197573,0.02796053716449801,-0.000131529067167279,-0.131529067167279
PVH,25,0.030715251952795376,-0.008981918533533645,-0.19672586819433419,0.04565702831038429,-0.000410087708767111,-0.410087708767111
GPC,25,0.4714223604888041,0.00356667267174877,0.11669342783244427,0.030564469122203022,0.00010901345674467063,0.10901345674467063
ADI,25,0.24516647631822427,0.011951592130404531,0.2646996251869147,0.045151526459340646,0.0005396326283072077,0.5396326283072077
ISRG,25,0.8818017803662273,0.012601317319811607,0.24094442161193366,0.05229968486304013,0.0006590449246853165,0.6590449246853165
EIX,25,0.8637183529256576,0.0061649130398970416,0.31460024434094946,0.019596021143632007,0.0001208077662784751,0.1208077662784751
IT,25,0.4095776022964256,0.009019339885769757,0.3169456998247797,0.02845705081582116,0.00025666381345451264,0.25666381345451267
ABBV,25,1.11073634033632,0.011579354266941653,0.3422492832690764,0.033833100120294377,0.0003917654522417948,0.3917654522417948
CE,25,0.060621790153006665,0.004475696567836041,0.09370546958780489,0.04776345060244511,0.00021377471192936983,0.21377471192936984
JKHY,25,0.3453233191285565,0.0056966135834125966,0.23083540447681855,0.024678248972785602,0.0001405824483132084,0.1405824483132084
MAC,25,0.5790829918760102,0.010963706909572008,0.23649041736917784,0.04636004719149743,0.0005082779697215047,0.5082779697215047
COG,25,0.07955349035416208,-0.0020956945912782307,-0.04280338179730106,0.04896095830003725,-0.00010260721549318707,-0.10260721549318708
APH,25,0.21776716938234078,0.007328943150514265,0.2290954021434557,0.03199079109376889,0.0002344586892662103,0.2344586892662103
