Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.5234819648472498,0.0038057058039379504,0.11622725791055445,0.03274365989832372,0.0001246127365172209,0.1246127365172209
RSG,25,0.29348004211049283,0.006483774828209645,0.24365186789803797,0.026610815193598016,0.0001725385337103896,0.1725385337103896
HON,25,0.4266807962857801,0.013478988650557487,0.5586541463477526,0.02412760871583516,0.00032521576404583404,0.325215764045834
AEP,25,0.36751993921770015,0.005252145629655551,0.16892786366068638,0.031091055766887397,0.00016329475266743467,0.16329475266743468
COF,25,0.4808134995055785,0.007498207399250896,0.1512130780517803,0.049587029745424956,0.0003718138333440197,0.3718138333440197
LLL,25,0.2553727844424046,0.011759087697230322,0.4592507601405865,0.025604938995921558,0.0003010907231352741,0.30109072313527413
SLG,25,0.37983378752967845,-0.000959154273403799,-0.028479110888642464,0.03367922113700228,-3.230356887846729e-05,-0.03230356887846729
FIS,25,0.4346462096803112,0.012173153395846596,0.43246286535250245,0.028148436249952242,0.00034265523232387756,0.34265523232387757
EBAY,25,0.041061967499156034,0.010069903129458034,0.2784880481673884,0.036159193170851645,0.00036411957246983655,0.36411957246983656
VAR,25,0.26842379897714863,0.017057037642931257,0.3450134935553942,0.04943875518362194,0.0008432787081867022,0.8432787081867023
IPGP,25,0.6791438222060765,0.03418359807181443,0.6128643041519365,0.05577678099414957,0.0019066510632436272,1.9066510632436273
DHR,25,0.3551319182435285,0.009333054459208517,0.2697112776508849,0.03460387174202353,0.0003229598194677723,0.3229598194677723
BMY,25,0.2637477784551206,0.010893215923708142,0.3279796671912519,0.033213083045651355,0.00036179728510833025,0.36179728510833026
PFG,25,0.7082657713922085,0.008052112198479275,0.20114521996496748,0.04003133755742082,0.0003223368214675497,0.3223368214675497
IVZ,25,0.2958639304919626,0.004828743007303264,0.10180465194264306,0.04743145735642598,0.0002290343180360449,0.2290343180360449
HP,25,0.6269467391141412,0.00689958368613153,0.08640261215162323,0.07985387842237718,0.0005509585168373642,0.5509585168373642
FISV,25,0.2628222728136913,0.011870611948421882,0.42552899729677596,0.02789612934448973,0.0003311441263114221,0.3311441263114221
DVA,25,0.10700100670241211,0.003249383091170583,0.048403061595581706,0.06713176778609374,0.00021813683112452306,0.21813683112452306
AOS,25,0.39270906766171354,0.014563500680764273,0.40458479090283683,0.035996164483261,0.0005242301659568743,0.5242301659568743
