Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.28495417243890014,0.009028968886045612,0.42036671236071455,0.021478791304240807,0.00019393133839585729,0.19393133839585727
RSG,25,0.2688880312210469,0.007349186247830841,0.43314337884255233,0.016967098209995427,0.00012469436483049368,0.12469436483049368
HON,25,0.8497733269835323,0.000909296602602055,0.06075725266098364,0.014966058581940722,1.3608586222902028e-05,0.013608586222902027
AEP,25,0.38778420422318155,0.005676244365422095,0.16478166740028857,0.03444706231569638,0.00019552994337481536,0.19552994337481536
COF,25,1.0704796967888064,-0.0005307761498880917,-0.020440215525428965,0.025967248203805453,-1.3782796024804323e-05,-0.013782796024804323
LLL,25,1.2397016889799346,-0.0009286937962407864,-0.023939938207990608,0.038792656362446644,-3.602649930350487e-05,-0.03602649930350487
SLG,25,0.2522622124136352,0.00958957899733662,0.3461622771747772,0.027702553483304145,0.00026565582505608785,0.26565582505608787
FIS,25,0.9697202918998735,0.0046049687060712285,0.31922195771856454,0.014425601355816208,6.642944280979232e-05,0.06642944280979232
EBAY,25,0.8861106517785945,-0.004077565819640048,-0.11192857441485884,0.03643007016712918,-0.00014854600892057454,-0.14854600892057454
VAR,25,0.6159903189700182,0.0017320343171994077,0.07638969188875751,0.022673665443260105,3.927156664442482e-05,0.03927156664442482
IPGP,25,0.8465603782722594,0.007913699610070657,0.1281392558678663,0.06175858878274624,0.000488738919968533,0.48873891996853297
DHR,25,0.7732802330192241,0.002663395351353945,0.14345190175336256,0.0185664694493429,4.9449848422434914e-05,0.04944984842243491
BMY,25,0.742242122270544,0.003135937650614563,0.07946772512981118,0.0394617770357964,0.00012374967236671106,0.12374967236671107
PFG,25,1.2455614776175705,0.001002529315174425,0.04439424260391118,0.02258241736702365,2.2639535417945265e-05,0.022639535417945264
IVZ,25,1.2966191182062146,0.0030226276805546777,0.11872055591642026,0.025460019599997656,7.695615999041755e-05,0.07695615999041755
HP,25,1.4228267000462949,-0.020194595660565324,-0.34303914669242874,0.05886965337711715,-0.0011888488466285149,-1.1888488466285148
FISV,25,0.9864983116465099,0.007919237180928424,0.43940644635486203,0.01802257851841549,0.00014272507389923784,0.14272507389923783
DVA,25,0.6073519079491405,0.0008881380652261323,0.04939853885665268,0.017979035124973612,1.596786547052674e-05,0.01596786547052674
AOS,25,1.1642244904859191,0.005697200308766138,0.22437654927490705,0.025391246666272176,0.000144659018347043,0.144659018347043
GPS,25,1.0882187703844164,-0.00536951612246323,-0.1627527325948771,0.032991864633259274,-0.0001771503490584101,-0.1771503490584101
LB,25,0.6060335648607975,0.017452873843341873,0.5378567452746841,0.0324489262181302,0.0005663270156369348,0.5663270156369348
CSX,25,0.6728950568354655,0.006631050380858561,0.1922047297418244,0.034499933429138825,0.000228770796704886,0.228770796704886
HBAN,25,1.17631386717976,0.001425225084365208,0.058029473263861785,0.02456036569356172,3.500404926764686e-05,0.03500404926764686
F,25,1.0868615967397517,-0.00040895039297028646,-0.01056517507418295,0.03870739387647226,-1.582940393663899e-05,-0.01582940393663899
APA,25,1.760586933510037,-0.014739827941562391,-0.29165174918375514,0.05053913779984074,-0.0007449381954845645,-0.7449381954845645
DISH,25,1.1763082006889998,0.004664939023016474,0.09477699225642765,0.04922016316359843,0.00022960905986110832,0.22960905986110833
MMM,25,0.9698061841026684,0.006527970982290571,0.36247175754434635,0.018009598945076186,0.00011756613931614822,0.11756613931614822
HCA,25,0.1100348663134745,0.012524872440026695,0.23040852469747164,0.054359414246812086,0.0006808447293558912,0.6808447293558912
SWKS,25,1.4764364955602478,0.029433164708914966,0.6093192843991543,0.04830499454475467,0.001421768860699003,1.421768860699003
NEM,25,-0.012399187574430726,0.00476207006738627,0.0632683516914971,0.0752678067322918,0.0003584305694776616,0.3584305694776616
MTD,25,1.105802741320023,0.005858202348790327,0.23802331296472784,0.024611884759617817,0.00014418140110694996,0.14418140110694996
BIIB,25,0.9330293695804387,0.003645123316740137,0.08413862175212526,0.04332283130901255,0.00015791706255168127,0.15791706255168128
CF,25,0.9982362393457223,0.003738375227125808,0.09240687903608671,0.040455594498174735,0.00015123819227062357,0.15123819227062357
LKQ,25,0.7154620051716666,-0.00796310202958415,-0.18828794951472408,0.04229214907330773,-0.00033677669812113225,-0.33677669812113226
OMC,25,0.8580298361049219,-0.00021565289592730737,-0.011428836770607418,0.018869190299569384,-4.069195531905594e-06,-0.0040691955319055945
PWR,25,1.5780811381701678,-0.015003099016196578,-0.3832655341664542,0.03914544272504465,-0.0005873029532366969,-0.5873029532366969
ROP,25,0.9929646557395584,0.004723287616267498,0.2357859310061241,0.020032101135605156,9.461737522162191e-05,0.09461737522162192
MA,25,1.2560899072567917,0.0013167009886393514,0.04604826609947966,0.028593931979867315,3.7649658506977664e-05,0.037649658506977664
SCHW,25,1.3799716896635243,-0.0005037468427185653,-0.011417352833702217,0.04412115926132933,-2.222589467497764e-05,-0.02222589467497764
ECL,25,0.8445838794217227,-0.0004825597744285881,-0.021281512647238272,0.02267506931614706,-1.0942076334352525e-05,-0.010942076334352525
ETFC,25,1.5814724540073748,2.016671381095507e-05,0.00042544269762541354,0.04740171572696991,9.559368352140502e-07,0.0009559368352140503
MSI,25,0.8316328735193417,-0.00158351938352952,-0.04797682303199526,0.033005924182880696,-5.2265520714897316e-05,-0.05226552071489732
PVH,25,0.5714943772944924,-0.008793645775906129,-0.17291888560851215,0.05085416636222672,-0.00044719352521842254,-0.44719352521842254
GPC,25,0.8898032371432394,0.0011932777087399794,0.0436986463734038,0.02730697190351052,3.258480086564803e-05,0.03258480086564803
ADI,25,0.8902988635210068,0.0031392220201974783,0.08726907272622171,0.03597175863258872,0.00011292333680465123,0.11292333680465123
ISRG,25,0.5910747628775518,0.0013446606994646413,0.021399349192052868,0.06283652308286139,8.449380308052647e-05,0.08449380308052647
EIX,25,0.28764349937030187,0.00832619698235123,0.2540281448516044,0.03277667121182633,0.00027290502093542683,0.27290502093542685
IT,25,0.6231042983223128,0.0044859804862510694,0.14230768934597712,0.03152310677566267,0.0001414120418616316,0.1414120418616316
ABBV,25,1.2164563279785447,0.0036021809972443565,0.07691226639469567,0.04683493499929921,0.00016870791286165024,0.16870791286165024
CE,25,1.3073263293252786,-0.0012951633374128444,-0.040901960888483385,0.03166506713318771,-4.101143402762116e-05,-0.04101143402762116
JKHY,25,0.811995236465564,0.0022358328379736944,0.11660416774343593,0.01917455337353975,4.287109608603946e-05,0.04287109608603946
MAC,25,0.21550366933388854,0.013732054063654405,0.3619074889666951,0.03794354768082213,0.0005210428481198982,0.5210428481198982
COG,25,0.5202756108843706,-0.009451171902983727,-0.1761606537482042,0.05365086755691081,-0.0005070635720245767,-0.5070635720245766
APH,25,0.7516169387966768,0.007221202487915256,0.3686853683900602,0.019586354943913583,0.00014143703505018005,0.14143703505018004
VRSK,25,0.8976549980617247,0.0011325420630945429,0.049479791477152785,0.02288898213359473,2.5922735047715508e-05,0.025922735047715507
TSS,25,1.136011031856787,0.004483459403851712,0.1480037491669654,0.03029287723511551,0.0001358168853095041,0.1358168853095041
KO,25,0.3597785792695715,0.004742993688322843,0.15979528163748613,0.029681687968001875,0.00014078005869100097,0.14078005869100096
SWK,25,0.974377171557266,0.0039006623465135584,0.17181042564125942,0.02270329249202927,8.855787816554255e-05,0.08855787816554254
CBRE,25,1.0611188870723303,0.004074809123348245,0.13716349849737608,0.02970767855871069,0.00012105311962453137,0.12105311962453137
ABMD,25,2.1462927966763767,0.022207995403947883,0.2674289559832641,0.08304259844374397,0.0018442096445705556,1.8442096445705556
GRMN,25,0.5655450973338078,-0.004132966522703372,-0.10339859787600827,0.03997120471265452,-0.0001651996509495244,-0.16519965094952438
PNC,25,1.125239025935188,0.0011821506823367113,0.0455897415951512,0.025930190454565804,3.065339233898584e-05,0.030653392338985844
RMD,25,0.8350571109356096,0.012916564321923257,0.38529106469171726,0.03352417303593111,0.00043301713735788944,0.43301713735788944
BF.B,25,0.8265463133459117,0.00036256462629972964,0.014717298963399926,0.024635269501651243,8.931877280659309e-06,0.00893187728065931
NFX,25,2.812676933298385,-0.005971995069884383,-0.07345189814560574,0.08130484331454486,-0.00048555212343218417,-0.4855521234321842
GIS,25,0.5523050372380038,0.0019396268480450542,0.08113241451801283,0.023906928686492163,4.637052073461868e-05,0.04637052073461868
ROL,25,0.7544993389209785,0.002434977136785644,0.11106422269869011,0.02192404608450352,5.3384550961600896e-05,0.0533845509616009
XEL,25,0.3680350623844926,0.006408070084666188,0.19756848287110934,0.03243467779649204,0.0002078436884934873,0.2078436884934873
HAS,25,0.7713805158808741,0.0032112314573578145,0.08721277863297999,0.036820652978753615,0.00011823963912582933,0.11823963912582933
CDNS,25,1.1054294832231124,0.002560446936247562,0.115879370760751,0.022095795994042454,5.657511315689716e-05,0.05657511315689716
EMN,25,1.374410099059331,-0.011483587560493837,-0.34630854602027145,0.033159988953381576,-0.0003807956366511657,-0.3807956366511657
MDT,25,0.8995086890105534,0.007815547927804874,0.3437572398918384,0.02273566057914591,0.00017769164492661876,0.17769164492661876
KR,25,0.5828248797334714,0.019110305849590455,0.9330356528124639,0.020481860250448052,0.0003914146137546316,0.3914146137546316
RL,25,0.54548809992145,-0.008056260510668954,-0.14873476479508602,0.05416528221743032,-0.0004363696241775232,-0.4363696241775232
GOOGL,25,1.2796450651341271,-0.008185788036521948,-0.3354678404234151,0.024401111075774504,-0.00019974232312191815,-0.19974232312191814
PEG,25,0.5112317367090706,0.005441177795170313,0.1274612641570539,0.04268887360528496,0.00023227775116190858,0.23227775116190857
MAT,25,0.8211602507471657,-0.015157104381254683,-0.4064888703063417,0.03728787056293043,-0.0005651761462770504,-0.5651761462770504
EXPD,25,0.8581108296623526,0.005003873168167872,0.14031464898967505,0.03566180155955119,0.00017844713195236536,0.17844713195236536
DISCK,25,2.5055327401220246,-0.04745918477302173,-0.3547325499065149,0.13378863818820397,-0.006349499700304923,-6.349499700304923
AIV,25,0.5220152828704898,0.0075799627875384554,0.26461755329727293,0.028644973445971972,0.00021712783277049474,0.21712783277049474
XLNX,25,0.559756457538222,-0.010511483835026255,-0.22167192092984891,0.04741910383116478,-0.0004984451433927201,-0.49844514339272017
ESS,25,0.39210317138333173,0.010522719522338634,0.3546600892461647,0.02966987219989943,0.00031220774342317404,0.31220774342317403
RTN,25,0.8393203115497782,0.0004959874686293309,0.01845136389117678,0.02688080250081167,1.3332541187102567e-05,0.013332541187102566
