Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,-0.002762503321854177,0.008546553247816977,0.3319478335269671,0.025746675786400827,0.0002200453355627547,0.2200453355627547
RSG,25,0.0065648545609863235,0.00629782559132497,0.21682626719538642,0.029045491917498518,0.00018292344231064475,0.18292344231064475
HON,25,0.07600460904100476,0.0047516591293945976,0.14707893940614944,0.03230686288995587,0.00015351119999315835,0.15351119999315835
AEP,25,0.046520859967764575,0.0077309128099378056,0.1953873459455534,0.039567111025153597,0.0003058898854765913,0.3058898854765913
COF,25,0.14269241614662875,0.0003620408162534009,0.009014037149555757,0.04016411406416752,1.4541048639885909e-05,0.014541048639885909
LLL,25,0.06364467994367327,-0.0004848295193661113,-0.01006187180720135,0.04818482372426128,-2.3361424926974394e-05,-0.023361424926974395
SLG,25,0.10440156223366058,-0.008246981674920842,-0.1434738578593473,0.057480727137104386,-0.000474042503360825,-0.474042503360825
FIS,25,0.06960648183475332,-0.0010218371701258854,-0.02688695507252151,0.038004942075802545,-3.8834862461536265e-05,-0.038834862461536265
EBAY,25,0.034901671722411536,0.0012200612909156981,0.02168889452523142,0.05625281129457104,6.863187756569152e-05,0.06863187756569152
VAR,25,0.06547884745451403,-0.003594788612606815,-0.11305998991416198,0.0317954089270313,-0.0001142977739440692,-0.1142977739440692
IPGP,25,0.00042469730414957833,-0.00573094707027395,-0.09387679990969405,0.06104753331799662,-0.0003498601822162241,-0.3498601822162241
DHR,25,0.03667493576192787,0.0023460262586769798,0.08019966696611588,0.029252319210604314,6.862670899527878e-05,0.06862670899527877
BMY,25,0.10424195455444134,0.006889218010747032,0.17226256088590663,0.03999254379661705,0.00027551735301924364,0.2755173530192436
PFG,25,0.10777304859215536,-0.006227161837061449,-0.11700919894649209,0.05321942114917912,-0.0003314059483706692,-0.3314059483706692
IVZ,25,0.0933544126662346,-0.010738577472075973,-0.24137037983988338,0.044490038418133857,-0.0004777597242887668,-0.4777597242887668
HP,25,0.30833738690329354,0.00492984010105958,0.08690227407106164,0.0567285511657423,0.0002796626864118866,0.27966268641188663
FISV,25,0.09085888029657874,0.013704443693037797,0.49303076709198373,0.027796325519135377,0.0003809331779503404,0.38093317795034043
DVA,25,0.06072595075198007,-0.0026244988358044637,-0.0779298129711562,0.03367772532414337,-8.838715090575678e-05,-0.08838715090575679
AOS,25,0.20110067186399488,0.014244712440265515,0.26272323306058004,0.054219462338075355,0.0007723406496716895,0.7723406496716896
GPS,25,0.1638846168413792,-0.008013285555285857,-0.1565185303711043,0.05119704060782078,-0.0004102565059760337,-0.4102565059760337
LB,25,0.052225038997037246,-0.0004830509719971044,-0.013465362952853685,0.03587359462113366,-1.732877475076871e-05,-0.017328774750768713
CSX,25,0.16730074854696741,-0.005296152251175117,-0.10744704960082158,0.049290811342432815,-0.00026105164145347355,-0.26105164145347354
HBAN,25,0.023009086222908245,-0.007573316790550014,-0.12943509093305694,0.058510537876215414,-0.00044311883892205476,-0.4431188389220548
F,25,0.16299170142149472,-0.0013649959272724463,-0.03607815899778639,0.03783441187662034,-5.164381812233503e-05,-0.051643818122335025
APA,25,0.27454954738988535,-0.0092190767269319,-0.1340068513653059,0.0687955625626967,-0.0006342315697379446,-0.6342315697379446
DISH,25,0.08460324557351084,-0.015396120856720978,-0.24066165441001605,0.06397413370428576,-0.0009849534942152104,-0.9849534942152104
MMM,25,0.1059597136497631,0.003400774707955927,0.12541023972903823,0.027117201237344353,9.221949211851184e-05,0.09221949211851184
HCA,25,0.033827401135687024,0.0006262393544113439,0.01414213213163325,0.044281820349462445,2.7731018587806474e-05,0.027731018587806473
SWKS,25,0.18050502893767978,-0.0038251430384972137,-0.05958758810460329,0.06419362085577872,-0.0002455497819324115,-0.24554978193241153
NEM,25,0.3302004651367283,0.014044311189528005,0.16137748916600617,0.08702769675069656,0.0012222440552746576,1.2222440552746576
MTD,25,0.07171547893859109,0.0036570747392095523,0.09574874914457114,0.03819449101823493,0.0001396801082797531,0.1396801082797531
BIIB,25,0.11372430668192406,-0.01279438472142168,-0.22058242727464938,0.05800273793111935,-0.0007421093439865391,-0.7421093439865392
CF,25,0.33624762791141544,-0.008601234015064052,-0.13247409721138087,0.06492766658631827,-0.0005584580543609784,-0.5584580543609784
LKQ,25,0.11357742174734188,0.009858040421199213,0.22277515742170192,0.044251075996496546,0.00043622889585502117,0.43622889585502117
OMC,25,0.12497678261850284,0.005684445149523764,0.17658091995816702,0.0321917291566407,0.00018299211865924897,0.18299211865924897
PWR,25,0.24460966583017943,-0.0039060716689720363,-0.056901434438757725,0.0686462776817356,-0.00026813728043301486,-0.2681372804330149
ROP,25,0.12101557617640742,0.00639787694671068,0.1746518684748686,0.03663217005680817,0.00023436811631443824,0.23436811631443824
MA,25,0.10203700539076173,0.003578154574210699,0.10812569882550631,0.0330925451865531,0.00011841024193153923,0.11841024193153923
SCHW,25,0.05128723345998805,-0.0052910373221240654,-0.0796267620945562,0.0664479778273666,-0.000351578730664269,-0.35157873066426903
ECL,25,0.09289314540279557,0.0002397954626330418,0.007040250465146246,0.03406064369729218,8.167587812971376e-06,0.008167587812971376
ETFC,25,0.09672638804605659,-0.00028621083449679313,-0.00441191310286045,0.06487227373341266,-1.856714760094443e-05,-0.01856714760094443
MSI,25,0.11663578684422128,0.009477820059695233,0.2019129146871578,0.04694013790242238,0.0004448901806164393,0.4448901806164393
PVH,25,0.13475125800391352,-0.005310935942803851,-0.08545422445207822,0.06214948385357081,-0.0003300719276246368,-0.33007192762463683
GPC,25,0.1269457644615442,0.004920456187861216,0.15323690456562436,0.03211012518041312,0.00015799646413696197,0.15799646413696197
ADI,25,0.15590148609925525,0.004052087468013948,0.09327855523244873,0.04344071858656267,0.00017602559138613118,0.1760255913861312
ISRG,25,0.050635296173482766,0.006714283505459157,0.1296205570821253,0.051799526684684016,0.00034779670760956533,0.3477967076095653
EIX,25,0.057592090055531994,0.006430018582522223,0.19286145422796058,0.03334009176827007,0.00021437740961297274,0.21437740961297275
IT,25,0.06790837223971771,0.0028943822520150738,0.07507639342137977,0.03855249460066405,0.00011158565614306899,0.11158565614306899
ABBV,25,0.09801761210188734,0.00279359418768667,0.050002897452160744,0.05586864621913929,0.00015607432535171036,0.15607432535171037
CE,25,0.13880359059948974,0.008821090944036592,0.1860161613268202,0.047421099764221125,0.00041830583368642675,0.41830583368642676
JKHY,25,0.058015774250388355,0.013142822282474676,0.45247018421406027,0.0290468250528015,0.00038175725953910325,0.3817572595391032
MAC,25,0.031050964200072032,0.002829840803420484,0.061162381254775945,0.046267668873659365,0.00013093013725782912,0.13093013725782912
COG,25,0.2772071156745148,-0.003812407300205295,-0.056033572624785824,0.06803791230186382,-0.00025938823355035326,-0.25938823355035323
APH,25,0.12954730113511465,0.0033664408757125733,0.10291368868923208,0.03271130321524279,0.00011012066824162146,0.11012066824162146
VRSK,25,0.03789039302661899,0.002825562067529722,0.06476020138320808,0.0436311501072999,0.00012328252270588194,0.12328252270588194
TSS,25,0.10025029684882929,0.010508547788282314,0.17245644620988357,0.06093450270622626,0.0006403331336435967,0.6403331336435967
KO,25,0.06932309507725838,0.005162661612505242,0.19757039500838428,0.026130745005020384,0.00013490419414358183,0.13490419414358185
SWK,25,0.09415709377079913,0.0036460838577315638,0.1190259173990399,0.03063268855561851,0.00011168935126155907,0.11168935126155907
CBRE,25,0.12300564784299747,-0.006049158238727505,-0.09250874967310786,0.06539011996273889,-0.0003955551829039818,-0.3955551829039818
ABMD,25,0.027063977494431134,0.013167529568030316,0.12057576805238311,0.1092054380471356,0.001437965834475361,1.437965834475361
