Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.07238571387213073,0.006739117228158948,0.24787281979255563,0.027187802332659564,0.00018322178709580608,0.18322178709580608
RSG,25,0.1687302315119508,0.0064291295490849195,0.27204805936844145,0.02363233012582453,0.00015193531192566823,0.15193531192566823
HON,25,0.34757540927546315,0.005414503985453568,0.17166326577151653,0.03154142478368239,0.00017078117019813223,0.17078117019813224
AEP,25,0.10043357191720484,0.004828250453575089,0.133177652588249,0.036254209018856905,0.00017504440113930194,0.17504440113930195
COF,25,0.9045070194625291,-0.0020922634521342268,-0.053214767380221496,0.03931734657759427,-8.226224727919521e-05,-0.08226224727919522
LLL,25,0.23116397309225895,0.0008535879296937142,0.023131777231149498,0.036901095889176366,3.149833004347128e-05,0.03149833004347128
SLG,25,1.1784002498188542,-0.005968666963049679,-0.12615904705155292,0.0473106535166731,-0.00028238153464525684,-0.28238153464525684
FIS,25,0.374792103756449,0.001502765979867658,0.043167843930846744,0.03481216208701626,5.231453287000673e-05,0.05231453287000672
EBAY,25,0.32765018279938246,-0.0007244882242813495,-0.01469054009499729,0.04931665000717478,-3.572933219120286e-05,-0.03572933219120286
VAR,25,0.4206444886894045,-0.005042090984734363,-0.1737808226522758,0.029014081690839164,-0.0001462916397237265,-0.1462916397237265
IPGP,25,0.8362533044603578,0.0028942060924504187,0.047164763265924614,0.061363736231056454,0.0001775992992554441,0.1775992992554441
DHR,25,0.4128253255886251,0.006035800648752532,0.2166738667095995,0.02785661575349143,0.00016813697943697357,0.16813697943697356
BMY,25,0.7316470214768203,0.004272731942886208,0.12400817760048907,0.03445524340057197,0.00014721801907754305,0.14721801907754306
PFG,25,1.015358243381442,-0.006204404555641857,-0.13730267094635684,0.04518779214474184,-0.00028036334344223364,-0.2803633434422336
IVZ,25,1.1079622945778453,-0.008667729283792877,-0.20702020903686033,0.04186900073243367,-0.0003629091637316608,-0.36290916373166077
HP,25,0.9331080292921168,-0.007567715273199228,-0.11457133498606673,0.06605243164984989,-0.0004998659958285171,-0.49986599582851715
FISV,25,0.3580006527217478,0.008806063984235803,0.37530490164810365,0.02346375958737841,0.00020662336823718057,0.20662336823718055
DVA,25,0.7530318384985701,-0.0044996228283587575,-0.16349280980428024,0.027521839240180195,-0.00012383789612353463,-0.12383789612353463
AOS,25,1.0644030076525142,0.008316912277416029,0.15999290697367932,0.05198300621404583,0.00043233810259859145,0.43233810259859146
GPS,25,1.0544804259515186,-0.019867055454604498,-0.3550140917548814,0.055961315102730225,-0.0011117865504585375,-1.1117865504585376
LB,25,0.5227589080946844,-0.005443642599853406,-0.11772643829363558,0.04623976295176591,-0.0002517127434113562,-0.2517127434113562
CSX,25,0.6969999376729253,-0.011090582086425107,-0.2639443987721825,0.0420186302039987,-0.0004660110674365889,-0.46601106743658893
HBAN,25,0.7130955215736933,-0.0019132324217851855,-0.042070688301125515,0.04547661326791273,-8.700733093715698e-05,-0.08700733093715698
F,25,1.168233812300222,-0.004837247822504908,-0.15690023378691137,0.03083008677395885,-0.00014913277011496982,-0.1491327701149698
APA,25,0.9404685467533904,-0.008002254508486184,-0.08984077916822854,0.08907151721716275,-0.0007127729502287454,-0.7127729502287454
DISH,25,1.3086174079783992,-0.013123655652928255,-0.3063573528507827,0.04283773681554295,-0.000562187706917953,-0.5621877069179531
MMM,25,0.169183187112932,0.0032307525359407596,0.09593173776159525,0.03367761922513761,0.00010880405371606061,0.10880405371606061
HCA,25,0.8233673562262032,0.0019797822071384707,0.05216270536521932,0.03795397867646903,7.514061167378632e-05,0.07514061167378631
SWKS,25,1.7836966115005453,-0.011527056095825616,-0.19610220481392843,0.05878085922982387,-0.0006775702617030087,-0.6775702617030087
NEM,25,-0.0742689310078399,0.007770222339326967,0.07627950611823694,0.10186513697771908,0.0007915147629428742,0.7915147629428743
MTD,25,0.5541820354766063,0.004404914301719433,0.12997173076673924,0.03389132602708007,0.00014928838672092102,0.149288386720921
BIIB,25,0.9709207002653854,-0.013105762938218243,-0.21560787214724464,0.060785178239076317,-0.0007966361361586764,-0.7966361361586765
CF,25,1.2633963737493341,-0.021814669717715757,-0.33966482735083803,0.06422410553325705,-0.0014010276501237235,-1.4010276501237235
LKQ,25,1.1340198467274785,0.010964676137172223,0.26801519022185244,0.04091065184811389,0.0004485720480751751,0.4485720480751751
OMC,25,0.40141502078410674,0.004608716372365798,0.14757195598347903,0.03123029942682167,0.0001439315922822792,0.14393159228227922
PWR,25,0.8075225278704818,-0.009717057810328392,-0.12391103837508688,0.07841963022627749,-0.0007620080803733141,-0.7620080803733141
ROP,25,0.5869419289806062,0.001561193511163316,0.04419395686103136,0.03532595001783876,5.51506439435295e-05,0.0551506439435295
MA,25,0.5258480027628646,0.0028939785337206226,0.11949251854289077,0.024218909844818903,7.008900520102096e-05,0.07008900520102096
SCHW,25,1.181813204392996,-0.001829695937174406,-0.034454411883945546,0.05310483729449392,-9.716570504204339e-05,-0.09716570504204339
ECL,25,0.4770767501876058,0.0006658595834554094,0.021025670326033117,0.031668887275901475,2.108703209002807e-05,0.02108703209002807
ETFC,25,1.2142082658011786,-0.005166162629918284,-0.11376998116680966,0.045408837875640075,-0.00023458944130114973,-0.23458944130114973
MSI,25,0.6259401763860458,0.009996249116177495,0.22244961493641027,0.044937138322469275,0.0004492028292395293,0.4492028292395293
PVH,25,0.9612725749989943,-0.002739480428951542,-0.04818785303664596,0.05685002041631153,-0.00015573951831598104,-0.15573951831598104
GPC,25,0.5482018590213505,0.0037995969654922236,0.10443551896678441,0.036382228987636676,0.00013823780685926753,0.13823780685926754
ADI,25,1.0976700665951118,-0.0019752445702638723,-0.04971487592330005,0.03973145931835922,-7.847934928724898e-05,-0.07847934928724898
ISRG,25,0.2716869584150273,0.00923802532276519,0.25155665019918594,0.03672343909592689,0.0003392520603071978,0.3392520603071978
EIX,25,0.31841025615435553,0.0050884171091467555,0.1212491100173207,0.04196663471113202,0.00021354374207743627,0.21354374207743626
IT,25,0.813086725991125,0.0017236251493040267,0.05920441124724084,0.029113120340071866,5.018010639286247e-05,0.05018010639286247
ABBV,25,0.7185886995968623,-0.0020582466292358406,-0.05353822651291027,0.03844443051806194,-7.912811952669248e-05,-0.07912811952669248
CE,25,0.8050918483555793,0.003116297441210932,0.07149321660946834,0.043588714971851183,0.0001358354009324525,0.1358354009324525
JKHY,25,0.19234391095573897,0.008340263999192866,0.32304475127446697,0.02581767376281179,0.00021532621502688538,0.21532621502688537
MAC,25,0.46730502804259105,0.0005781030914592741,0.01702901981569699,0.03394811314544311,1.9625509158589886e-05,0.019625509158589887
COG,25,0.5054611299828902,-0.015959850042672752,-0.17901958572768767,0.08915141869979401,-0.0014228432735402439,-1.4228432735402439
APH,25,0.600961140222842,0.0008354430716100954,0.024058982690188052,0.03472478792508601,2.9010583485143006e-05,0.029010583485143005
VRSK,25,0.5461900209673523,0.0005839005804153986,0.013994013371926014,0.0417250266165092,2.4363267259227678e-05,0.02436326725922768
TSS,25,0.6641183627360575,0.009717386487852243,0.19799217526225013,0.0490796491072493,0.00047692591906331374,0.4769259190633137
KO,25,0.17208554906361131,0.004966556608567493,0.19419425416607394,0.025575198555154565,0.0001270206713995287,0.12702067139952872
SWK,25,0.5812902871089656,0.005371485273005035,0.16797841346254788,0.03197723542139925,0.000171765249137461,0.171765249137461
CBRE,25,1.2539276985751102,-0.010519774863284313,-0.22907402630237572,0.04592303646594268,-0.00048310000466011266,-0.48310000466011266
ABMD,25,1.2645969757411777,0.01677525616778508,0.2058621239525244,0.08148782226522526,0.0013669790930540943,1.3669790930540944
GRMN,25,0.8590529130219784,-0.0015353706388402891,-0.03404067692726607,0.04510399843460459,-6.925135489079025e-05,-0.06925135489079025
PNC,25,0.596380634107949,-0.0008478417116231183,-0.02564862540334693,0.03305602925264299,-2.80262804210247e-05,-0.028026280421024702
RMD,25,0.02640958213786716,-0.0011925178137250079,-0.024230859867919903,0.049214836791814584,-5.868956957380781e-05,-0.05868956957380781
BF.B,25,0.46856067908553645,0.0005984510621198059,0.017347877405068712,0.03449707697063562,2.0644812353105585e-05,0.020644812353105585
GIS,25,0.21417234817233807,0.00459394519967015,0.19937534276073074,0.023041691796278532,0.00010585226941979283,0.10585226941979284
ROL,25,0.6788238921033118,0.0032565493002676377,0.10559313747509325,0.03084053924466233,0.00010043373649708172,0.10043373649708172
XEL,25,0.08083933600928014,0.006487838597047402,0.17957617073347343,0.03612861645589179,0.0002343966323004567,0.2343966323004567
HAS,25,0.5035013505131554,0.009011206724430147,0.24013831280243786,0.03752506886247543,0.00033814615286824296,0.33814615286824296
CDNS,25,0.5388278081562744,0.008292291832640809,0.24936805097041817,0.033253224702889064,0.0002757454436127366,0.27574544361273656
EMN,25,0.9534417018449494,0.0005456645580479008,0.017389975030510242,0.03137811049702757,1.7121922796738746e-05,0.017121922796738746
MDT,25,0.4123892850625989,0.0020788740836629464,0.08777831933048995,0.02368322952090114,4.923445206844259e-05,0.04923445206844259
KR,25,0.3711862071370694,0.00242675977619474,0.060658831734577576,0.04000670152721397,9.708665404447155e-05,0.09708665404447155
RL,25,1.0186482260993337,-0.01384916134966909,-0.2132532464476199,0.06494232364744222,-0.0008993967186158577,-0.8993967186158577
GOOGL,25,0.3688714621595552,0.009971698715014236,0.21003449364641386,0.047476481324068905,0.0004734211678126153,0.4734211678126153
PEG,25,0.219050572924119,0.004731859001873836,0.11304169376588967,0.04185941349811652,0.0001980728425742218,0.1980728425742218
MAT,25,0.20902305911367988,0.007323939956006993,0.14041770788276903,0.05215823606892625,0.00038200378918005405,0.38200378918005407
EXPD,25,0.27860452829467924,0.0032917753913207877,0.10243247684734579,0.032136051891300955,0.00010578466478999234,0.10578466478999235
DISCK,25,0.6349393713926889,-0.004028565778011195,-0.07983235780001487,0.05046281844891777,-0.0002032927834653021,-0.20329278346530208
AIV,25,0.6193563104197067,0.003153289121051769,0.07619503420110674,0.04138444393540238,0.0001304971168422812,0.13049711684228119
XLNX,25,0.7259286178324197,0.0026494849658660795,0.04888335248273101,0.05420014854345477,0.00014360247871359171,0.14360247871359172
ESS,25,0.7058938009667823,0.0006259038754264288,0.015624957531630089,0.04005795690384387,2.5072430467780745e-05,0.025072430467780744
RTN,25,0.05021009818010506,0.007289098435067896,0.22856537947068886,0.03189064963358831,0.0002324540843374871,0.2324540843374871
NWS,25,0.7643485967800542,-0.00655107999334387,-0.12032349384534598,0.05444555991504116,-0.0003566772182858311,-0.3566772182858311
OKE,25,1.4390091936723866,-0.01038956167432834,-0.10643305723623614,0.09761592820985993,-0.0010141867065331473,-1.0141867065331474
SIVB,25,1.2889169187035918,-0.009890948384833826,-0.18018849677460147,0.054892229869737214,-0.0005429362123700044,-0.5429362123700044
RF,25,0.9224787091393101,-0.0013583882546034432,-0.026976914246669825,0.05035372994044825,-6.839991532657863e-05,-0.06839991532657863
CNP,25,0.44693921593458674,0.001764629131498604,0.046161500010733464,0.038227291814353796,6.745699275390683e-05,0.06745699275390683
ALL,25,0.03451027529444176,-0.0018155754584204685,-0.05076607746544753,0.0357635560804592,-6.493143472552585e-05,-0.06493143472552584
USB,25,0.43206402667456295,0.0010074631107152452,0.03420097491074545,0.029457145983248414,2.967698792507654e-05,0.029676987925076538
FBHS,25,0.7109927472677047,0.008433353754307043,0.20494822501768753,0.041148703549783,0.00034702157356643,0.34702157356643
IP,25,0.6200969278969691,-0.006967855081169452,-0.16511571263893363,0.042199830469232154,-0.00029404230315952873,-0.29404230315952873
ZBH,25,0.40521289323086124,-2.346034871006982e-06,-6.277376630244582e-05,0.037372855082547035,-8.767802125274587e-08,-8.767802125274587e-05
ANSS,25,0.7001440900149597,0.0014981511822503733,0.05250992745682736,0.028530817976888733,4.274347868264606e-05,0.04274347868264606
DISCA,25,0.7816295218612893,-0.005886421561150181,-0.11532108684704268,0.05104375723546291,-0.00030046507315294445,-0.30046507315294446
JEF,25,0.7489115484423178,-0.012770244158332474,-0.35064337799009276,0.03641946478936012,-0.00046508545747592125,-0.4650854574759212
DGX,25,0.8042099675100041,0.0021548038284549265,0.07461032099793427,0.028880774129286836,6.223240266252927e-05,0.06223240266252927
INTU,25,0.4161025664753646,0.0012238132945911477,0.030746906923859278,0.039802810006930534,4.871120804856716e-05,0.048711208048567156
M,25,0.735417136287879,-0.018156761207740554,-0.25504366389746713,0.07119079505946853,-0.001292594266083966,-1.292594266083966
