Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,-0.0914744082373669,0.01328741748532428,0.37344426671317393,0.03558072427318789,0.0004727759378480588,0.4727759378480588
RSG,25,0.12383690648086916,0.00801521593641214,0.34471561277606205,0.023251676568589518,0.00018636720858085945,0.18636720858085945
HON,25,0.7859840401383725,0.002157225871224416,0.0908665481272791,0.023740594483711814,5.121382461851078e-05,0.05121382461851078
AEP,25,-0.2654947958313785,0.011008646991859636,0.3348911152247927,0.03287231727384042,0.00036187973667211893,0.3618797366721189
COF,25,0.8767813018252737,-0.005925217573084623,-0.1893713826747412,0.031288875274579395,-0.0001853933936189908,-0.1853933936189908
LLL,25,0.5482529907464949,-0.0011840451332407326,-0.025655773807775034,0.04615121500961726,-5.4645121525283966e-05,-0.05464512152528397
SLG,25,0.5423193062720618,-0.007582580346225578,-0.20583690146085148,0.03683780844159143,-0.00027932564228723384,-0.27932564228723383
FIS,25,0.3824954939379546,0.003525193130638069,0.15573098263134694,0.022636427710618495,7.979777946765756e-05,0.07979777946765755
EBAY,25,0.8070421150127088,-0.006619457127650687,-0.14545862283419989,0.04550749208725725,-0.00030123489285850224,-0.30123489285850225
VAR,25,0.4069915000112292,0.0016221296958354343,0.04455729040017552,0.03640548339602456,5.905441570793528e-05,0.05905441570793528
IPGP,25,2.1796157328334096,-0.026619504059999712,-0.3853276611097999,0.06908277486057361,-0.0018389492058770852,-1.8389492058770853
DHR,25,0.5725931068945855,0.00549577868817397,0.15740965404567075,0.0349138604076941,0.00019187884995048617,0.19187884995048618
BMY,25,0.3222285660702077,-0.006751182612059465,-0.1724266955965789,0.03915392908679864,-0.00026433532524460434,-0.26433532524460435
PFG,25,1.0254066288228696,-0.009269477845057121,-0.21140734757195412,0.04384652639332785,-0.00040643440498566485,-0.40643440498566485
IVZ,25,0.8348947284265713,-0.01732265650662998,-0.37849247779351813,0.04576750536130903,-0.0007928147745393024,-0.7928147745393024
HP,25,0.9815750757892442,-0.013873623353674099,-0.22886527787022698,0.06061917073126676,-0.0008410075427376599,-0.8410075427376599
FISV,25,0.40286363040680373,0.0036574403868150384,0.1292302496807733,0.028301735823073222,0.00010351191161627795,0.10351191161627796
DVA,25,0.9623267245318669,-0.013374336310520547,-0.3167368538155027,0.042225387255728115,-0.0005647365300000761,-0.5647365300000761
AOS,25,0.9080525399542891,-0.011634791491763231,-0.2424670838391742,0.047985034948003345,-0.0005582958763449906,-0.5582958763449906
GPS,25,-0.07368172387050068,-0.003964420987302721,-0.08330952814307652,0.047586645557446794,-0.00018865349636327787,-0.18865349636327788
LB,25,-0.462025363204999,-0.007967354327941947,-0.09314586903492879,0.08553631428307644,-0.0006814981237994717,-0.6814981237994716
CSX,25,0.8693329488017791,0.003963329701314501,0.1473775318396047,0.026892360401502106,0.00010658329071772725,0.10658329071772725
HBAN,25,0.7442015971920518,-0.008757269897643968,-0.20066538198422318,0.04364115928243411,-0.00038217741048234585,-0.3821774104823458
F,25,0.7154244538812417,-0.007492643759989392,-0.12863351075778992,0.05824799242320023,-0.0004364314569616006,-0.4364314569616006
APA,25,1.7260612785828098,-0.02153625107981666,-0.32902003940873026,0.06545574281286531,-0.0014096713118337723,-1.4096713118337723
DISH,25,0.6684930817964821,-0.005669297149492771,-0.0668412938960883,0.0848172861271399,-0.000480854398468307,-0.48085439846830696
MMM,25,0.4472432978109538,-0.003661265175791423,-0.09632465748227748,0.038009636073349645,-0.0001391633568998605,-0.1391633568998605
HCA,25,0.26647306513265445,0.008798781526459087,0.16865593407627832,0.05217000857188722,0.0004590325076575335,0.45903250765753345
SWKS,25,0.9507470628890251,-0.007480134810151949,-0.13738036141434265,0.05444835588684814,-0.00040728104222475457,-0.4072810422247546
NEM,25,-0.44473661563081374,-0.004808728752666908,-0.09434773176939283,0.05096814372199776,-0.00024509197818602997,-0.24509197818602996
MTD,25,0.9219046629683582,0.0028001792091965697,0.08375699952827503,0.03343218148891871,9.361609952335659e-05,0.09361609952335659
BIIB,25,1.3115573964395384,-0.018552375069300905,-0.2461737605723644,0.0753629266830301,-0.0013981612821437996,-1.3981612821437996
CF,25,0.33376060016487075,0.0035366919846956226,0.08096224491227792,0.04368322529257441,0.000154494112757901,0.154494112757901
LKQ,25,0.8733981659610391,-0.009573646597106519,-0.24134040814746435,0.03966864343436764,-0.00037977357322726565,-0.3797735732272656
OMC,25,0.003922146196320628,0.005185620178847037,0.11986932927285476,0.04326060895062801,0.00022433308672358739,0.2243330867235874
PWR,25,0.7499117414636084,0.002021570547988201,0.04426110594416837,0.04567374684532829,9.233270143878468e-05,0.09233270143878468
ROP,25,0.5497831002176685,0.006446997227387551,0.21529917133466062,0.02994436619250313,0.00019305124581894522,0.19305124581894523
MA,25,0.980099676995971,0.005343906030698542,0.26261740029963576,0.020348636551124802,0.0001087412015820486,0.1087412015820486
SCHW,25,0.6748682958529147,-0.014186509088977145,-0.41263611097069125,0.034380192891030774,-0.0004877349189293955,-0.4877349189293955
ECL,25,0.35238615290477393,0.006674279237075179,0.2465382351350502,0.027071984324942955,0.00018068598288639148,0.18068598288639148
ETFC,25,0.7006312603608971,-0.01392537723452817,-0.3190394092318453,0.04364782792212553,-0.0006078124692833699,-0.6078124692833698
MSI,25,0.57785032098286,0.0070784699937221545,0.18036372916730564,0.03924552916709854,0.0002777983005970546,0.2777983005970546
PVH,25,0.8828847196111754,-0.015636660231479763,-0.2635460096187186,0.05933180416619426,-0.0009277512626674751,-0.9277512626674751
GPC,25,0.19544461114634765,0.004691608606781191,0.14907906728675824,0.03147060611639551,0.00014764776651630197,0.147647766516302
ADI,25,0.7932165768959127,0.004659757037281389,0.1324238461695009,0.03518820191430596,0.00016396847149946565,0.16396847149946564
ISRG,25,0.7648622336480937,-0.0005720227408651394,-0.014993442423377284,0.03815152816228915,-2.1823541707586195e-05,-0.021823541707586196
EIX,25,0.2302002014483259,-0.0017863847283796296,-0.02817275268919813,0.06340824228597858,-0.00011327151567306758,-0.11327151567306758
IT,25,0.9845140274734531,0.0024007842799431724,0.06545941292389458,0.03667592134891905,8.805097542691704e-05,0.08805097542691703
ABBV,25,0.12190675535581764,-0.0077600922773268625,-0.13025436373883287,0.059576447610509786,-0.0004623187310128854,-0.4623187310128854
CE,25,0.761768742577001,-0.00593444880694539,-0.13303381197866493,0.04460857520866287,-0.0002647273059265831,-0.2647273059265831
JKHY,25,0.712614854236362,0.0027255333654626797,0.08991947601811164,0.030310823485155777,8.261316074344185e-05,0.08261316074344185
MAC,25,0.2670177297497544,-0.01350220734076635,-0.42532554902537056,0.03174558258187529,-0.00042863543817390094,-0.42863543817390093
COG,25,0.2212565717034408,0.002947366444600215,0.07162247202135943,0.04115142023750931,0.00012128831515567716,0.12128831515567716
APH,25,0.5182857554390209,0.0027907570191184495,0.07821119954524082,0.035682319608257025,9.958068390517117e-05,0.09958068390517118
VRSK,25,0.5262986798735254,0.006241164397302498,0.25199968048713856,0.024766556787840975,0.0001545721524680436,0.1545721524680436
TSS,25,0.7375243164923326,0.0013482732373143753,0.0621267702338965,0.021701968929631475,2.9260183904850215e-05,0.029260183904850214
KO,25,0.034645427637582854,0.00539031359786465,0.18440376673840458,0.029231038460897363,0.00015756446409547961,0.1575644640954796
SWK,25,0.9038358139555108,-0.006491337880577707,-0.13637807414973432,0.0475981049083494,-0.00030897538143528013,-0.30897538143528014
CBRE,25,0.7993178526277117,-0.0018482566390560775,-0.0541579570927851,0.03412714840571971,-6.307572861292348e-05,-0.06307572861292349
ABMD,25,1.3614551711797385,-0.015388146585582085,-0.22773505132235827,0.06757039154152959,-0.001039783089886233,-1.039783089886233
GRMN,25,0.5361416604244951,0.011441960106696455,0.2696487949458426,0.042432824923228404,0.00048551468998601444,0.48551468998601444
PNC,25,0.7071276514787327,-0.008052161556709595,-0.22859430578283818,0.03522468124975541,-0.0002836348242066298,-0.28363482420662983
RMD,25,0.43546152105409486,0.0006998821544676038,0.013462061500516927,0.05198922575422265,3.6386331329967986e-05,0.036386331329967984
BF.B,25,0.3556929926861365,-0.004835268860254158,-0.12927205519129142,0.03740382136803757,-0.00018085753271538115,-0.18085753271538116
GIS,25,-0.10493393277033583,0.008147995312962885,0.17222704600136482,0.047309615429961656,0.0003854785247814041,0.3854785247814041
ROL,25,0.4483326042121376,0.003742465509009518,0.08069079956302298,0.046380325009501136,0.00017357676664470954,0.17357676664470953
XEL,25,-0.19652141312379734,0.009813259307902649,0.30158700966092994,0.032538733412077525,0.0003193110285234327,0.31931102852343274
HAS,25,1.0290211023051203,-0.001290755818989497,-0.025419420616495523,0.050778333560910584,-6.554242952233501e-05,-0.06554242952233501
CDNS,25,0.7125094955866983,0.015290450980866392,0.39896717632746215,0.03832508508999843,0.0005860078349061543,0.5860078349061544
EMN,25,0.7975816334628283,-0.016362562139203243,-0.3669359002901996,0.04459242643268903,-0.0007296463484427235,-0.7296463484427235
MDT,25,0.2299147863550646,0.0015829706309100368,0.05295133944906784,0.029894817532097457,4.7322618169724744e-05,0.047322618169724745
KR,25,-0.18921984926277635,0.0015678463925439363,0.025417859398868307,0.06168286510443686,9.670925753576558e-05,0.09670925753576558
RL,25,0.30805853604692973,0.00485941747230131,0.07253430386005089,0.06699474888015973,0.0003255554532606868,0.3255554532606868
GOOGL,25,1.028137171436643,-0.00025142622269654427,-0.013719787873309401,0.018325809773318078,-4.607589129160778e-06,-0.004607589129160778
PEG,25,-0.10568307245682924,0.007618791939458144,0.2657146473497457,0.02867283386688858,0.0002184523555464732,0.21845235554647321
MAT,25,1.7271142851979464,-0.02098063808548495,-0.21474463177078504,0.09770040774699944,-0.002049816895744105,-2.049816895744105
EXPD,25,0.7588444733932068,0.0022046216124400496,0.06247298756289854,0.03528919775479619,7.779932805589456e-05,0.07779932805589457
DISCK,25,0.6568443377111622,0.005194403502089695,0.073345919978759,0.0708206196553809,0.00036787087475807285,0.36787087475807284
AIV,25,0.13446581980942515,0.007852362221231956,0.26489144087161587,0.029643699303360038,0.00023277306450726441,0.23277306450726443
XLNX,25,0.45136851052257976,0.020447108932390778,0.3211668852865319,0.06366505972167306,0.0013017664113162137,1.3017664113162137
ESS,25,0.1506848715902798,0.00608537237134673,0.2071054634322182,0.02938296397641079,0.00017880627717032648,0.1788062771703265
RTN,25,0.8442316285370967,-0.012806245736242478,-0.3445741240352595,0.03716543072436874,-0.00047594963874956234,-0.4759496387495623
NWS,25,0.4278635438928315,-0.013335852122427416,-0.3200670723020715,0.04166580469059111,-0.0005556490099156657,-0.5556490099156657
