Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,0.436933938827047,0.0028095722513885734,0.10631531142150312,0.026426788520137044,7.424797171949114e-05,0.07424797171949113
RSG,25,0.1561261809349277,0.01248382923379877,0.5398279269435928,0.02312557133618472,0.0002886956834949617,0.2886956834949617
HON,25,0.3456601610602739,0.005480227673408951,0.20883354641553478,0.0262420849881295,0.00014381260035989689,0.14381260035989687
AEP,25,0.4740139180926807,0.003232572102067369,0.1326728343350089,0.024364988644961644,7.876158256089124e-05,0.07876158256089123
COF,25,0.3476488625320168,0.005288021886104747,0.0838455735465953,0.06306858743313441,0.0003335080706721256,0.33350807067212557
LLL,25,-0.11023901090760867,0.01140812918248801,0.28061374403638584,0.04065420680538289,0.0004637884430473912,0.46378844304739125
SLG,25,0.25245736937556457,0.0006437383954131353,0.014049026701295547,0.045820853579399363,2.9496642759662766e-05,0.029496642759662767
FIS,25,0.7823258947586764,0.008743681299148529,0.26934173932268557,0.0324631500529264,0.00028384743802922514,0.28384743802922513
EBAY,25,0.8507649746296018,0.010334671292191547,0.17261229464264485,0.05987216213994011,0.0006187591152690767,0.6187591152690767
VAR,25,0.7709097898891372,0.002085494068682544,0.0462936529695335,0.04504924400878532,9.394993117895441e-05,0.09394993117895441
IPGP,25,0.24401003072285327,0.014788639735973524,0.29167229950162793,0.05070292846198438,0.0007498273425831252,0.7498273425831252
DHR,25,0.45626122332170893,0.00424510371905208,0.16961666830510788,0.02502763296479773,0.00010624489777793328,0.10624489777793328
BMY,25,0.6869134792700791,-0.010779247152408463,-0.16957535754846984,0.06356611779118569,-0.0006851948941902994,-0.6851948941902993
PFG,25,0.4413666821354228,0.017284914346020853,0.4029171885016885,0.04289942161638115,0.0007415128281329836,0.7415128281329836
IVZ,25,0.6604419726099489,0.002737139288239216,0.03539971124681781,0.07732094957371342,0.00021163820888217428,0.21163820888217427
HP,25,-0.20950754647758496,-0.0006600405216831957,-0.008904672206786394,0.07412294426516546,-4.892414680147425e-05,-0.04892414680147425
FISV,25,0.5376523408392924,0.0070613255793832656,0.250616041847311,0.028175872251966258,0.00019895900745424451,0.19895900745424452
DVA,25,0.07305551098910673,-0.003000570421227792,-0.07511413811322723,0.03994681289832182,-0.00011986322520502528,-0.11986322520502528
AOS,25,0.2559305056042176,0.013628394440268332,0.32164039926739735,0.04237152568927854,0.0005774558651294504,0.5774558651294505
GPS,25,0.7274775895361347,0.005256742690719785,0.0517527042326012,0.10157426106843596,0.000533949754436764,0.533949754436764
LB,25,-0.13362258246650097,-0.015943449429104833,-0.26641757433608465,0.05984383526062827,-0.0009541171611215074,-0.9541171611215074
