Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CLX,25,-0.16232851879872656,0.00935669561396411,0.46937478092847557,0.019934380785127666,0.00018651993325929448,0.18651993325929447
RSG,25,0.21625979039537468,0.005372416052731965,0.26568688198803564,0.020220855514326428,0.00010863484876514098,0.10863484876514098
HON,25,0.5265763025599847,0.0016158044401057437,0.10455118714376813,0.015454673296859407,2.49717297334491e-05,0.0249717297334491
AEP,25,-0.003107061603237737,0.004298745525449547,0.12908826631729425,0.033300823135105,0.00014315176444581936,0.14315176444581937
COF,25,0.626371660690498,-6.292698251900326e-05,-0.0021928265361832854,0.028696744352852712,-1.8057995302442681e-06,-0.001805799530244268
LLL,25,0.4364001069849553,-0.00021606132987019586,-0.005270924407410495,0.04099116457948648,-8.856605531971917e-06,-0.008856605531971916
SLG,25,0.17234295185458695,0.006206243592366053,0.2130813076715223,0.029126175637768058,0.00018076414092202625,0.18076414092202625
FIS,25,0.3753018095768713,0.00562071844199523,0.24717240676756105,0.02274007246804417,0.00012781554469344384,0.12781554469344383
EBAY,25,0.24258145484617916,0.003781799780058115,0.13524774579421356,0.02796201709574013,0.00010574675010265127,0.10574675010265128
VAR,25,0.28572905803073806,0.005574097709630309,0.27817597047492815,0.02003802736848077,0.0001116939224601581,0.1116939224601581
IPGP,25,0.9242535465456183,0.009605269206179962,0.1884306947178169,0.05097507717924761,0.000489629339112474,0.48962933911247397
DHR,25,0.57063445457468,0.0015775772747731415,0.07363949119702638,0.021422979017498223,3.379640485594704e-05,0.03379640485594704
BMY,25,0.24052568875708358,0.010071252557781905,0.2861569541373156,0.03519485517360204,0.00035445627518790324,0.35445627518790324
PFG,25,0.8720942802198907,0.00034677392201238125,0.016100803903551605,0.021537677502915735,7.468704898723919e-06,0.0074687048987239196
IVZ,25,0.7441490763664612,0.0015670151136447461,0.06480349030991148,0.024181029542556545,3.789203875667621e-05,0.03789203875667621
HP,25,0.9231492452339923,-0.01608949667219627,-0.2767592707259002,0.05813534856482245,-0.0009353684972706809,-0.9353684972706809
FISV,25,0.42150614980636536,0.007822539872278735,0.4057293496211586,0.019280192274931232,0.00015082007281585003,0.15082007281585003
DVA,25,0.2272344154774343,0.005338551937021867,0.21919701923119983,0.02435503893139617,0.000130020640263448,0.130020640263448
AOS,25,0.5898683990941371,0.009327274065497975,0.3803737895464796,0.024521337489154818,0.00022871723521391697,0.228717235213917
GPS,25,0.17483771701765694,-0.00023473395467939933,-0.005882890705284834,0.03990112453874564,-9.366148759134988e-06,-0.009366148759134987
LB,25,0.5025816991036752,0.016841867206699314,0.5253270968989091,0.0320597724848377,0.000539946430866629,0.539946430866629
CSX,25,0.7165239988778224,0.007815424573710528,0.22949382661010043,0.03405505363326648,0.00026615470302446086,0.26615470302446087
HBAN,25,0.3892424211093649,0.0058445076128775825,0.22882510971021047,0.025541373585613945,0.0001492767523644711,0.1492767523644711
F,25,1.0709449097418948,-0.004636307549927622,-0.1339953978165847,0.03460049841617607,-0.00016041855203817584,-0.16041855203817584
APA,25,0.43289225180227675,-0.01155802871665352,-0.18238282641824344,0.0633723522309521,-0.000732459466927226,-0.7324594669272261
DISH,25,0.4739360190215995,0.002385423276517494,0.05797805489197781,0.041143554763296404,9.814479321103945e-05,0.09814479321103946
MMM,25,0.39305053215198943,0.002969110924882237,0.11267556384762338,0.026350974634549062,7.823896666873432e-05,0.07823896666873432
HCA,25,-0.08236788658834251,0.015389471502130748,0.4195156688952412,0.03668390156357595,0.0005645458576996217,0.5645458576996216
SWKS,25,0.2046663124173464,0.03190281654944518,0.7091648772994921,0.04498645882031195,0.001435194742953582,1.435194742953582
NEM,25,-0.10564540002788482,0.0038655353754868164,0.0496331188554874,0.07788217755853248,0.00030105631247245276,0.3010563124724528
MTD,25,0.4175644378836967,0.010270530824286968,0.3415726420249369,0.030068364853228367,0.00030881806806098885,0.3088180680609888
BIIB,25,0.41089971295517086,0.009232724071353737,0.17536809468031628,0.05264768422206071,0.00048608154141805023,0.4860815414180502
CF,25,-0.1955753699926564,0.009432263019435746,0.20353448139111477,0.046342334502577846,0.0004371130879629863,0.43711308796298626
LKQ,25,0.72979976193411,-0.009985747751437068,-0.2737535883508432,0.03647713920973088,-0.000364251510842427,-0.364251510842427
OMC,25,0.6857307578530435,0.0021825685364059875,0.11384838349986842,0.019170834660190938,4.1841660545974114e-05,0.041841660545974116
PWR,25,0.7112534428016354,-0.010990351005156353,-0.2591836376580592,0.042403722335496795,-0.0004660317923922981,-0.4660317923922981
ROP,25,0.7120471667303637,0.004614228342460297,0.193552234024963,0.023839705936254844,0.00011000184680698608,0.11000184680698609
MA,25,0.7137613343449357,0.003874706589481417,0.13048647064182053,0.02969431673968186,0.00011505676474139366,0.11505676474139366
