Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CMCSA,25,0.4662610652944976,0.00452869521489755,0.14760898431664968,0.030680349410051003,0.00013894195156468285,0.13894195156468286
HP,25,0.8959027683947448,-0.023258525635192873,-0.3143517948815487,0.07398884311749182,-0.0017208714043664473,-1.7208714043664473
AON,25,0.5684795491671951,0.004811142196804416,0.1443220701035617,0.033336150135263906,0.0001603849585947754,0.16038495859477542
HCA,25,0.7799265587008251,-0.004799905488530342,-0.1044760417261852,0.04594264301388942,-0.000220520344359958,-0.22052034435995801
SWKS,25,0.829392127083869,-0.0017390492058180127,-0.025135073099958532,0.0691881499171324,-0.0001203215971654067,-0.1203215971654067
UAA,25,1.1930384437528245,-0.012272399934019945,-0.1835193100027488,0.06687252656865442,-0.0008206863906489014,-0.8206863906489014
NOC,25,0.10309120362325042,0.012170646877464653,0.28647484375386,0.04248417319295829,0.0005170598698125453,0.5170598698125453
NVDA,25,0.5502161908263866,-0.0034638447458576476,-0.03749948374033606,0.09237046488007478,-0.0003199569494472754,-0.3199569494472754
AXP,25,0.5523198274136909,0.0027598237109755347,0.0779950678464369,0.035384592733598265,9.765523802939711e-05,0.09765523802939712
STZ,25,0.4845381244147029,-0.0040042771478843945,-0.0729352083402816,0.054901840126407926,-0.00021984218379497773,-0.21984218379497772
IDXX,25,0.29046935255799905,0.008660448685525204,0.209693873761274,0.04130043730025557,0.00035768031792861446,0.35768031792861443
GL,25,0.6759353257963931,0.0013467596659787603,0.0464887961714603,0.028969553459969835,3.901502614130282e-05,0.03901502614130282
LKQ,25,0.7493454949654832,0.0016810003492607533,0.03419665829558343,0.049156860144953345,8.263269907222858e-05,0.08263269907222857
CNP,25,0.06693680591596302,0.0036590452215805322,0.13068853464304064,0.027998211408328633,0.00010244672166644642,0.10244672166644643
MTD,25,1.019517361551893,0.004055333155186459,0.09880189931839846,0.041045093091963386,0.0001664515268735538,0.1664515268735538
HSY,25,-0.13948952828601724,0.013900824557967798,0.4749473729149862,0.02926813653616312,0.00040685123112785087,0.4068512311278509
MAS,25,0.6089023704838894,0.014463289421524549,0.35286575257549807,0.040988079222650055,0.0005928224526295647,0.5928224526295647
MNST,25,0.7144014566650997,-0.0023821858886283135,-0.05623943150966921,0.04235792974220847,-0.00010090446250339856,-0.10090446250339856
FBHS,25,0.7325549202240219,0.007994206724613175,0.1935121261030134,0.041311140989467365,0.000330249801099443,0.33024980109944296
STI,25,0.9421969907367753,-0.0017603457824575397,-0.03607512112348714,0.048796670049472,-8.589901231956018e-05,-0.08589901231956018
ZTS,25,0.3498152192720959,0.01188737947758186,0.34535669960929294,0.034420584546442055,0.0004091705503437466,0.4091705503437466
WFC,25,0.595700744345751,-0.002915874736695032,-0.10236307095191462,0.02848561214097195,-8.306047680115339e-05,-0.08306047680115339
FB,25,0.28593919792390393,0.008219643875660708,0.13668508300111165,0.06013563217863253,0.0004942934807460819,0.49429348074608187
DIS,25,0.35231134918060586,0.0030945700330817475,0.07891965020489798,0.03921165419572133,0.00012134321002164338,0.12134321002164337
PSX,25,0.502093681628639,0.003407235974793382,0.07107149040822042,0.047940966978782924,0.00016334618735649079,0.16334618735649079
VRSK,25,0.40417445680044756,0.006953374622005865,0.23662428859457826,0.029385718022884262,0.0002043299059497438,0.2043299059497438
SNA,25,0.6857091468061084,2.310012188487965e-05,0.0006239897318449928,0.037020035276186275,8.551673270624472e-07,0.0008551673270624472
