Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CMCSA,25,0.9535202348245795,0.0037916220230055915,0.11007169587123757,0.03444683933498263,0.00013060939464545543,0.13060939464545543
HP,25,0.4844654993691916,-0.015449376957444767,-0.19585936106805407,0.07887995178375296,-0.0012186461094922671,-1.2186461094922671
AON,25,0.7834603033383861,0.0018502297245053146,0.0657540592073435,0.028138638843131353,5.2062945994681465e-05,0.05206294599468146
HCA,25,-0.060353076405421854,-0.0007255679890058688,-0.01661226110553793,0.043676654514176315,-3.169038238235501e-05,-0.03169038238235501
SWKS,25,0.7791853591533779,0.008927146615338066,0.12465825414290482,0.07161296038290596,0.0006392993968965979,0.6392993968965979
UAA,25,0.48018574244567025,0.013784320283258482,0.3153680468078289,0.04370867759997901,0.0006024944111957963,0.6024944111957964
NOC,25,0.6010998798365819,0.01234837221277681,0.5019357932428201,0.024601497599919264,0.0003037884493555384,0.3037884493555384
NVDA,25,0.7180032527706268,0.013702529402223218,0.25990896430049626,0.05272049557467709,0.0007224041407117919,0.7224041407117919
AXP,25,0.5840155770184708,-0.009055770469557725,-0.2591992348803193,0.034937489201073715,-0.0003163858829875753,-0.3163858829875753
STZ,25,0.4391243540776816,0.014757854547259006,0.47204153930871284,0.03126388954851586,0.0004613879345385681,0.46138793453856813
IDXX,25,0.5874137845764218,-0.0026053237597833375,-0.05447932971966514,0.047822243283637655,-0.00012459242667300032,-0.12459242667300031
GL,25,0.6322512985802868,0.0028846031881142363,0.11126094892779459,0.025926465807749557,7.478756592556912e-05,0.07478756592556912
LKQ,25,0.40229144630070296,0.00042816989672274635,0.00938877669286457,0.045604439292730614,1.952644806206722e-05,0.01952644806206722
CNP,25,0.5114089417176634,-0.010808258446708371,-0.2808652493889773,0.03848200683502766,-0.00041592347542097696,-0.41592347542097696
MTD,25,0.9330174883377906,0.0056184854599956886,0.16555226319270214,0.03393783541005293,0.00019067923479510919,0.19067923479510918
HSY,25,0.3830168110883444,-0.0030566372959892106,-0.09181883924258626,0.03328987080650786,-0.00010175506068583435,-0.10175506068583434
MAS,25,0.6705978155883866,0.015284915607168692,0.4029693290695011,0.03793071706589477,0.0005797678092715949,0.5797678092715949
MNST,25,1.1215582907850998,0.009983052881111846,0.2139956028866839,0.046650738363059385,0.0004657167880213349,0.46571678802133487
FBHS,25,0.8935112791498572,0.00607058683853714,0.18207297158839938,0.033341504703183096,0.00020240249962816747,0.20240249962816748
