Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CMCSA,25,0.8119814401538827,0.003258501080677917,0.11517456299611634,0.028291846705663586,9.218901306477876e-05,0.09218901306477875
HP,25,2.270554950171257,-0.0032655205795101734,-0.05123346758600494,0.06373803557271207,-0.00020813786686024277,-0.20813786686024277
AON,25,0.6215911036132871,0.006393537511811567,0.28898566402093945,0.02212406464338764,0.00014145103721124286,0.14145103721124286
HCA,25,0.6692382497836644,-0.0032706998811345275,-0.09712940417831256,0.033673632704779036,-0.00011013634648488853,-0.11013634648488853
SWKS,25,0.9923500106957903,-0.010029603358769604,-0.14943683395235896,0.06711600542853498,-0.0006731469134732334,-0.6731469134732334
UAA,25,1.3872245698844279,-0.015558262262854906,-0.3193546656890994,0.04871781731850852,-0.0007579645787152103,-0.7579645787152103
NOC,25,0.44898226009223013,0.009494332486594384,0.42368145035375565,0.022409129497331138,0.0002127597261828115,0.2127597261828115
NVDA,25,1.5674309140766802,0.031739109869984725,0.44917078945017186,0.0706615626292984,0.0022427350998761087,2.242735099876109
AXP,25,1.372324104033294,-0.01257688140189783,-0.3422161672871411,0.03675127771314506,-0.00046221646116643636,-0.46221646116643633
STZ,25,0.319383028821719,0.010331606457119783,0.29688192123348595,0.03480038937431418,0.00035954392756994705,0.3595439275699471
IDXX,25,0.5423812530952814,0.014273120425376849,0.31880237837591097,0.044771060046945185,0.0006390227316218266,0.6390227316218267
GL,25,0.5654329147909667,0.0016125508605748635,0.06180514441462102,0.026090884114063944,4.207287763129285e-05,0.042072877631292846
LKQ,25,1.067561752342791,0.003426829923872033,0.09060509581051272,0.03782160256238507,0.0001296081994295763,0.1296081994295763
CNP,25,0.6092921788445036,0.01167856547409184,0.31275660566679353,0.03734074760529285,0.00043608636575995067,0.4360863657599507
MTD,25,0.8056067598537152,0.010416253107292632,0.29354474929984564,0.03548437889670033,0.0003696142719431039,0.36961427194310387
HSY,25,0.630465971767003,-0.0012328776114727143,-0.024262356026592873,0.05081442256149456,-6.264796391598062e-05,-0.06264796391598061
MAS,25,1.6547648446929513,0.00469929760292415,0.10348544972491926,0.04541022545116853,0.0002133961636109215,0.2133961636109215
MNST,25,0.16873880710243577,0.0027751749309945155,0.0483090070565773,0.05744632523173903,0.00015942360166087984,0.15942360166087985
FBHS,25,1.540401791325845,0.0005417407560405537,0.015692348484056845,0.03452260549725575,1.8702302402573104e-05,0.018702302402573104
STI,25,1.4918781737875146,-0.0031525198993833242,-0.08274016684766514,0.03810144479388714,-0.00012011556290798437,-0.12011556290798436
ZTS,25,0.9223052826338689,0.005443003694305827,0.14454334830350296,0.03765654911270599,0.0002049647359352675,0.2049647359352675
WFC,25,1.2123031252010998,-0.010548023745659326,-0.3968722040707315,0.026577884864366647,-0.000280344160658739,-0.280344160658739
FB,25,0.9678590447604353,0.010008810322921623,0.3585576315035383,0.027914090911833944,0.00027938684127333627,0.2793868412733363
DIS,25,1.0301466260045806,-0.008291671099655486,-0.3278582565328335,0.02529041417880264,-0.00020969979634469517,-0.20969979634469516
PSX,25,1.420021470625325,-0.004120534070943076,-0.10646613539724853,0.03870276736887705,-0.00015947607158324183,-0.15947607158324184
VRSK,25,1.1061348591447309,-0.0015107225438187651,-0.03723797874032924,0.04056940239300991,-6.128911078437503e-05,-0.06128911078437503
SNA,25,1.0495527059966154,-0.004648840411960881,-0.1237205326487924,0.037575334606403804,-0.0001746817340112022,-0.1746817340112022
JKHY,25,0.5421035851884279,0.006576833775595573,0.28949536265079334,0.022718269872698944,0.00014941428462186175,0.14941428462186176
HRL,25,0.23378871576662955,0.006886723180765702,0.15340638171836704,0.044892025374855496,0.00030915895178053944,0.3091589517805394
SJM,25,0.4271503090869212,0.006550462111545433,0.188142695749277,0.03481645718670216,0.00022806388365973623,0.22806388365973623
TTWO,25,1.1308056896547312,0.01353702972118953,0.394621060646658,0.03430387039912837,0.0004643725131448345,0.4643725131448345
GILD,25,1.444610955750978,-0.014170103468718564,-0.3433625128875305,0.04126863864536088,-0.0005847808796179212,-0.5847808796179211
PFE,25,0.8793291914333807,-0.0002145288685658723,-0.007170105962148018,0.029919902118378708,-6.41868274905743e-06,-0.00641868274905743
LRCX,25,1.7838163623131216,0.0056704769426083115,0.1533438826118074,0.03697882723475327,0.0002096875871993647,0.2096875871993647
APA,25,2.5176188252649676,0.006069613934928298,0.08092796586473115,0.07500020382414516,0.00045522228225349404,0.45522228225349404
PM,25,0.6178036105572499,0.007537915522668158,0.3471565649789919,0.02171330253577176,0.00016367304023278382,0.1636730402327838
MO,25,0.41798910861033406,0.00517003090536434,0.18417862241303515,0.02807074370319774,0.00014512661248209375,0.14512661248209374
ALLE,25,1.0843224689796342,0.0021267003717423197,0.0551731398138539,0.038545937006983756,8.197565856190839e-05,0.08197565856190839
LDOS,25,1.1995854922902651,0.008916577460248144,0.1299168422418077,0.0686329601796522,0.0006119711057679952,0.6119711057679952
XRAY,25,1.0188883422295536,0.0005814655475217742,0.02200918492862591,0.026419222220514852,1.536186751355109e-05,0.015361867513551092
JNJ,25,0.6916829510746735,0.006723677187894584,0.41320805800506466,0.016271892712731592,0.00010940695383646153,0.10940695383646153
STT,25,1.1768390126629484,-0.004232460049370754,-0.09000493715763318,0.04702475423051619,-0.00019903039361213816,-0.19903039361213817
ADSK,25,1.7434702630835262,0.008396241275635014,0.1347813413320842,0.0622952790991131,0.0005230461936491765,0.5230461936491766
MCO,25,1.3000176354867208,-0.002158697275404413,-0.055714681276486114,0.038745573445745835,-8.36399638313131e-05,-0.0836399638313131
GPS,25,0.7259447118484648,-0.014861376362035392,-0.1592408939321641,0.09332638115160463,-0.0013869584748007625,-1.3869584748007624
INTC,25,1.4932333807400449,0.0020276606526634777,0.08582488216217365,0.023625557082991792,4.7904612494437385e-05,0.047904612494437386
DOV,25,1.240162938054128,0.0020772960388907406,0.05496710773128922,0.037791619836462134,7.850438218954753e-05,0.07850438218954753
ALB,25,1.8856576067811162,0.016397338345259506,0.3333470524083923,0.049189990512262555,0.0008065849176296741,0.8065849176296741
DUK,25,0.15303472274180843,0.0068749101552245595,0.20451584205645232,0.03361553846438402,0.00023110380676213548,0.2311038067621355
COO,25,0.9434236870215782,0.002945184949480155,0.07324588842949548,0.04020956005353271,0.000118424591094883,0.118424591094883
GLW,25,1.3596859397934733,0.006304424244386917,0.16050258380254606,0.03927926949850704,0.0002476331789281953,0.2476331789281953
WHR,25,1.6321303524737203,-0.0041715348810922315,-0.09571661467436327,0.0435821397913432,-0.00018180441633222587,-0.18180441633222585
JPM,25,1.280526113851737,-0.00216172122572779,-0.07855297829210575,0.027519277724763667,-5.948900677431958e-05,-0.059489006774319585
DISCA,25,0.9220870942476748,-0.005483132454442266,-0.13408042090852826,0.04089435591929521,-0.00022422917014460074,-0.22422917014460075
FIS,25,0.6508043156770924,0.002795188377935255,0.0888263962521493,0.031467992577348544,8.795896712915752e-05,0.08795896712915752
GIS,25,0.6449906219982128,0.0031974770576468966,0.11109079870207605,0.028782555306150145,9.203156025186804e-05,0.09203156025186804
IPGP,25,1.4559212715133365,-0.004017934563987778,-0.08745358398677394,0.04594362381529648,-0.00018459847412233176,-0.18459847412233177
FISV,25,0.8759572618658091,0.001851932319272013,0.07517106136952094,0.02463624013725716,4.562464933553291e-05,0.04562464933553291
KMI,25,2.3281998126120165,-0.018631814486774294,-0.209179080396518,0.08907111768278163,-0.0016595565407952289,-1.6595565407952289
SIVB,25,2.0153221860773507,-0.013750635306873572,-0.21055655579570867,0.06530613713217769,-0.0008980008750052497,-0.8980008750052497
AWK,25,0.1861941590874384,0.013682172578438453,0.4303883092583961,0.03179029793354346,0.00043496034264671696,0.43496034264671696
MCK,25,1.26348417974149,-0.011242588894556215,-0.23728452185931936,0.04738020333758513,-0.0005326761478649499,-0.5326761478649499
QCOM,25,1.0336989232976206,0.0026520416662644637,0.04992312257796728,0.05312251176041014,0.00014088311460523168,0.14088311460523167
TAP,25,0.6544484375341296,0.006666941048530044,0.2641427845547211,0.025239913555726478,0.00016827301574602274,0.16827301574602274
BK,25,1.2365858369350384,-0.005018460453477307,-0.162746840804723,0.030835993059299183,-0.00015474921171179366,-0.15474921171179368
MSI,25,0.8141480256641327,0.0011565536992022597,0.03139309276084999,0.03684102448945668,4.260862315568216e-05,0.04260862315568216
MKC,25,0.4011575542137858,0.005483197014522066,0.17902469584434827,0.030628159923195137,0.00016794023505116798,0.16794023505116798
BRK.B,25,0.7604848893735447,0.00028806563635327184,0.020502056148795796,0.014050572989489718,4.0474872493454484e-06,0.004047487249345449
VZ,25,0.41489256284446224,0.006748696334822234,0.24513335696497487,0.027530713968831673,0.0001857964284564936,0.1857964284564936
BLK,25,1.5090460884349122,0.000886697813631562,0.039733713742692765,0.022316006486925232,1.978755416094436e-05,0.019787554160944357
TFX,25,0.5482160562936778,0.00936322387620173,0.29692612321751866,0.03153385015350276,0.00029525849866584463,0.29525849866584464
LIN,25,1.0614791703685045,0.001038314375184998,0.03906398206086464,0.02657983954547249,2.7598229490174767e-05,0.027598229490174767
CFG,25,1.3896924136393882,-0.005689128749398038,-0.0987227815203187,0.0576273142002905,-0.0003278492099674665,-0.32784920996746647
PEP,25,0.5965945442567064,0.003436279379687179,0.19518693429586995,0.0176050686593518,6.0495934412107595e-05,0.06049593441210759
COG,25,0.44298745144748786,0.003691406460246266,0.05867608187436714,0.06291160456402033,0.0002322323035120831,0.2322323035120831
LUV,25,1.6851119281335518,-0.009882484156874535,-0.1648598961698316,0.05994474330308945,-0.0005924029759806923,-0.5924029759806924
VAR,25,0.6995090052192756,0.007617991942451773,0.27050673921439283,0.02816193032593564,0.00021453735830686594,0.21453735830686593
CF,25,3.073242462683307,-0.04217286633683237,-0.5494707989111143,0.07675178812123647,-0.0032368429015497842,-3.2368429015497844
PKI,25,1.1115999410863042,0.0019910497211395786,0.04222417670504227,0.04715425797519017,9.388647219204614e-05,0.09388647219204614
IEX,25,1.1001889247125,0.005227903081011949,0.208251241131,0.025103826765302914,0.00013124037329151732,0.13124037329151733
NUE,25,1.8203264078461547,0.0019165530971383838,0.0421090036427528,0.04551409274363663,8.723017541126043e-05,0.08723017541126044
AMZN,25,1.2092431896955753,0.012369784809133335,0.22137872605070913,0.05587612247032222,0.0006911756109266656,0.6911756109266656
GM,25,1.7874394972067627,-0.004541544932501572,-0.14796015124597942,0.03069437881927673,-0.00013939990058296984,-0.13939990058296983
VTR,25,0.0820180466503972,0.012051042164622567,0.29696440041237127,0.040580763714062114,0.0004890404945907481,0.48904049459074805
HII,25,0.5737960303708491,0.012689846786818507,0.31617730772483343,0.040135223106720797,0.0005093098319790649,0.5093098319790649
EQR,25,0.575071211360471,-0.0008645595753089038,-0.02474047526907844,0.034945148219907574,-3.0212162504109986e-05,-0.030212162504109987
