Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PRGO,25,1.9531737109422016,-0.02302478122855828,-0.29004571066620644,0.07938328470940882,-0.0018277827636384938,-1.8277827636384938
APA,25,1.1229253700636987,-0.0296099208568463,-0.35695435394418196,0.08295156097599105,-0.0024561891554509547,-2.456189155450955
OMC,25,0.6557772499028748,0.0031526139828236045,0.11576946909164038,0.02723182551980151,8.58514339115389e-05,0.0858514339115389
SHW,25,0.706911619048959,0.004097024042038676,0.0781714004614627,0.05241077961828822,0.00021472822415811744,0.21472822415811743
MAR,25,0.9345499241358711,-0.0021925430317958983,-0.04893583677619033,0.04480444549918634,-9.823567477272012e-05,-0.09823567477272012
TRIP,25,1.7935529660755827,-0.01978563034449963,-0.26817150786196003,0.07377976319051831,-0.0014597791213923157,-1.4597791213923157
MSFT,25,0.9659121490858518,0.005925444196189911,0.2223551579341911,0.02664855743055721,0.00015790453996372876,0.15790453996372875
MXIM,25,1.147685456648622,-0.009419644904496495,-0.22170340780798614,0.04248759636863454,-0.00040021807063811215,-0.40021807063811216
ALXN,25,1.5598763072446125,-0.007705064834493094,-0.13691783542106517,0.056275099666873996,-0.00043360329150082485,-0.43360329150082483
AOS,25,0.7319216502883836,-0.012007428429834315,-0.21422082395763226,0.05605163964922988,-0.0006730360514629911,-0.6730360514629911
HII,25,0.9475370085823572,-0.009348633587568498,-0.256416422790335,0.036458794198266434,-0.00034083990800416107,-0.3408399080041611
MDT,25,0.5482836349041553,0.003808946598403028,0.10966115686313209,0.03473378092442494,0.00013229911670176436,0.13229911670176436
DVA,25,1.5007753948696134,-0.015355296374826091,-0.25968720478349405,0.05912996902418847,-0.0009079581990007003,-0.9079581990007003
BLK,25,1.0520570013474126,-0.007721473023375797,-0.21261692037283286,0.03631636188613711,-0.0002804158086109607,-0.2804158086109607
MKC,25,0.508743675607408,0.010461248894868953,0.23092315991184675,0.045301861012392426,0.00047391404345139713,0.47391404345139715
NUE,25,1.18851908757586,-0.01390018427234478,-0.42674402368356945,0.03257265128720763,-0.0004527658551310144,-0.45276585513101436
ANET,25,1.8755444285583294,-0.016767144763239608,-0.2156997545722717,0.07773372202712293,-0.0013033725702141976,-1.3033725702141976
LEN,25,0.6151977068867546,-0.003118315939397746,-0.05470990251629898,0.05699728560965263,-0.00017773554421898557,-0.17773554421898557
FFIV,25,1.2807733090907223,-0.020177962792366142,-0.4150052910431932,0.048620977196808905,-0.0009810722688056927,-0.9810722688056926
CHTR,25,0.9551510374864601,0.008054423309585954,0.1789165645238072,0.045017761944083204,0.00036259211114781525,0.36259211114781525
GPC,25,0.6136511692637505,-0.005217108630153781,-0.13060535658857936,0.03994559462509814,-0.000208400506455224,-0.208400506455224
COF,25,1.0061754257928537,-0.008441458632453143,-0.2512191826425186,0.03360196679114756,-0.0002836496126365364,-0.28364961263653643
CPRI,25,0.9483721509287044,-0.043659893708842795,-0.5939199430056321,0.07351141214065743,-0.0032095004404480393,-3.209500440448039
WBA,25,1.1398515270626657,-0.014309671524374783,-0.2795342321508704,0.051191123943101026,-0.0007325281685893329,-0.7325281685893329
PNR,25,0.9919193812710688,-0.010337679585026904,-0.20924033758336352,0.0494057680484685,-0.0005107409997372273,-0.5107409997372273
CMS,25,0.24284018179656827,0.010069862629916692,0.3290369034074705,0.030604052389365106,0.00030817860347968033,0.30817860347968035
SNA,25,0.7514733622724205,-0.008932200480756339,-0.16554668125564473,0.05395578100996678,-0.000481943853076809,-0.481943853076809
KMX,25,0.7123075698729464,9.113578841268562e-05,0.001730743280450347,0.05265702281910445,4.798939290083861e-06,0.004798939290083861
ADBE,25,1.3256838979722338,-0.0011921721085642327,-0.039237695159400746,0.030383336832632658,-3.622216673697699e-05,-0.036222166736976986
PNW,25,0.23010783489786538,0.0077941182078485665,0.2922049422525451,0.02667346468463327,0.0002078961367649059,0.2078961367649059
MLM,25,0.7746923383883088,0.00642587185710448,0.1440117288409451,0.044620475768342355,0.0002867254594904035,0.2867254594904035
XRX,25,1.8960452769986067,-0.003266407572413048,-0.06080774988809529,0.05371696171004895,-0.00017546149049672567,-0.17546149049672566
GS,25,1.434684448980643,-0.010393259425927967,-0.2735876910416347,0.03798876837754486,-0.0003948271250193124,-0.3948271250193124
RCL,25,0.9348741069995459,-0.008642284702563341,-0.17500760067054216,0.04938233922098469,-0.0004267762348263097,-0.42677623482630966
UNP,25,1.089044193136717,0.00017714082774079615,0.004135870826505968,0.04283035790323433,7.587005051413479e-06,0.007587005051413479
ICE,25,0.557264137331012,0.007554799926185889,0.26682302513878137,0.028313898031312883,0.00021390583475699738,0.21390583475699737
NWL,25,0.9709534226693546,-0.0132972091627903,-0.15081115838628906,0.08817125539696942,-0.0011724316251593054,-1.1724316251593054
HIG,25,0.4919213450915628,0.005423578091697952,0.23126740271901633,0.02345154582069421,0.0001271912901295678,0.1271912901295678
EL,25,0.9981432879573459,0.012711038200441473,0.24910513870542725,0.051026800436552125,0.0006486036095953177,0.6486036095953177
CME,25,0.23904318249305606,0.009469744250873643,0.27439729047098643,0.03451107055255319,0.00032681101195653525,0.3268110119565352
MPC,25,1.3443375851488741,-0.02542585752615899,-0.44600383713746067,0.05700815869510695,-0.0014494813208104512,-1.4494813208104511
WELL,25,0.4240149436919301,0.01230063125098066,0.3275994170485635,0.037547781256146766,0.00046186141152434475,0.46186141152434473
ETFC,25,1.089394384864452,-0.018276068744669624,-0.3252365489159444,0.056193157889499606,-0.001026990016568569,-1.026990016568569
VLO,25,0.9962601004885998,-0.020914682759795085,-0.37146666482910823,0.056302986889595605,-0.0011775591092247938,-1.177559109224794
JEC,25,1.0717267391082024,0.0033912127624130734,0.07503202895947171,0.0451968687164894,0.00015327219801246702,0.15327219801246703
TTWO,25,0.6227073948848847,-0.002957814479639791,-0.05642730683726445,0.0524181401775932,-0.00015504313401307345,-0.15504313401307346
RJF,25,0.8835541141124081,-0.009883874562813767,-0.21665339339945439,0.045620677376561496,-0.0004509090526605297,-0.45090905266052966
CI,25,0.8247055198537707,-0.012214363837252402,-0.2194529995844188,0.05565822230902705,-0.0006798297778171349,-0.6798297778171348
HBI,25,1.6260729590926843,-0.01380998292352335,-0.21068170411135434,0.06554903750077976,-0.0009052310885391601,-0.9052310885391601
AXP,25,0.9051272239887019,0.0027839865785074355,0.1002172730775947,0.027779508392249835,7.733777852155821e-05,0.07733777852155821
ESS,25,0.38742766511866683,0.01049777011034045,0.3706781429715253,0.02832044540362032,0.000297301525269654,0.297301525269654
VTR,25,0.4749565383226509,0.008799875887198319,0.18365359895872452,0.047915619062690186,0.0004216515008099475,0.4216515008099475
MAC,25,0.9561277370161537,-0.02858483334835844,-0.6206431451898133,0.046056793779002014,-0.0013165257747324844,-1.3165257747324843
BDX,25,0.8312650450546505,-0.0024959985252971284,-0.06934060190631328,0.03599620506135056,-8.984647474942402e-05,-0.08984647474942402
