Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PRGO,25,-0.05531037632539466,-0.028158272797796747,-0.3534563766071718,0.07966548253588758,-0.0022432423898136353,-2.243242389813635
APA,25,0.16098922771480806,0.00358779163002596,0.03555750851107872,0.1009010974126071,0.0003620121127573858,0.36201211275738576
OMC,25,0.08557132386835108,0.007955451693160148,0.2469594261115153,0.03221359807326341,0.0002562737233347239,0.25627372333472387
SHW,25,0.11468798756431305,0.002079370946844963,0.04364102168413663,0.047647164676733675,9.907612992833759e-05,0.09907612992833759
MAR,25,0.11558071622110752,-0.0013064058051629663,-0.02325446396515781,0.05617871076797795,-7.339219387385765e-05,-0.07339219387385765
TRIP,25,-0.12119019514993222,-0.002560788521208618,-0.03190802853285637,0.0802553037261992,-0.00020551686054816212,-0.20551686054816212
MSFT,25,-0.060130196926803284,0.013653395014175517,0.2639603402131573,0.051725175847060656,0.0007062242580176099,0.7062242580176099
MXIM,25,0.008872925273502124,0.007085434448604356,0.13741841724182452,0.05156102501264904,0.0003653322628299743,0.36533226282997433
ALXN,25,-0.04270923782614676,-0.0120675782341107,-0.14658783169620063,0.08232319213998905,-0.000993441561631045,-0.9934415616310449
AOS,25,0.0612834045822128,0.014712074949617711,0.3946260346049774,0.03728105512436494,0.0005484816771904865,0.5484816771904865
HII,25,0.057922135934133444,0.01462715711931978,0.29844524991456556,0.04901119090857376,0.0007168943900246855,0.7168943900246856
MDT,25,0.10132121720032729,0.004524630595782957,0.12565380641542342,0.03600870299801423,0.00016292607929927668,0.1629260792992767
DVA,25,0.07019556808275691,-0.008440295737539561,-0.2173118340137149,0.03883955871913943,-0.00032781736190507004,-0.32781736190507005
BLK,25,0.1419460367531744,0.004649203317986458,0.11703045231513388,0.03972644064868954,0.0001846962996756795,0.1846962996756795
MKC,25,0.08753576677969357,0.008396998934636076,0.35171170743988384,0.023874664269091267,0.00020047553043235335,0.20047553043235336
NUE,25,0.4524814015702866,-0.003823429136470031,-0.07042878883217771,0.05428787289783936,-0.00020756583499458074,-0.20756583499458076
ANET,25,-0.0015245607323527523,0.001281804160369396,0.01823726767676733,0.07028487946153805,9.009145090486099e-05,0.090091450904861
LEN,25,0.04512466983757475,-0.0035199449591660145,-0.06603727307636775,0.053302397194618115,-0.00018762150431666074,-0.18762150431666075
FFIV,25,0.07411248490243946,-0.0011948768527903497,-0.024535463208082177,0.04869999162668132,-5.8190492725805364e-05,-0.058190492725805364
CHTR,25,0.01859962712106544,0.012703897651477279,0.27798768675217755,0.045699497700423836,0.0005805617415101057,0.5805617415101056
GPC,25,0.12164752052571634,0.0071699340631098145,0.24543837950266478,0.029212766469687228,0.0002094536093886827,0.2094536093886827
COF,25,0.1546659837092617,-0.0072051019300348445,-0.13532873945334198,0.053241476711744486,-0.0003836102666136954,-0.3836102666136954
CPRI,25,0.41417801813707456,-0.0031435951366623593,-0.03866890978211001,0.08129515816131772,-0.00025555906383011566,-0.2555590638301157
WBA,25,-0.019562210049916973,-0.002291556402366212,-0.0535961417748817,0.042755995608627376,-9.797777547649171e-05,-0.09797777547649171
PNR,25,0.3283777962565931,-0.0009771331499800247,-0.02341526812746866,0.04173059837114319,-4.0776351036946436e-05,-0.040776351036946434
CMS,25,0.16751484174610687,0.007466343953600622,0.3049259460081306,0.0244857613835247,0.00018281911645518726,0.18281911645518725
SNA,25,0.02293104128120203,-0.0010430736881879474,-0.02397476222040655,0.043507154673680826,-4.538116828803975e-05,-0.04538116828803975
KMX,25,0.1428849925731599,-0.00495200856017041,-0.08398104294319642,0.0589657902143449,-0.00029199909789864853,-0.29199909789864853
ADBE,25,-0.17954744274220433,0.013896785727328761,0.3772144657969601,0.036840542946751306,0.0005119651314094559,0.5119651314094559
PNW,25,0.14110967602512328,0.007819228462748892,0.363155682437464,0.021531339975921694,0.00016835846638084997,0.16835846638084997
MLM,25,0.17332707836327246,0.0022136822479292134,0.037646124803924756,0.05880239359187452,0.00013016981483007916,0.13016981483007917
XRX,25,0.14621277539634145,-0.004415263564040248,-0.07116819731945702,0.062039839848987394,-0.00027392224440412623,-0.2739222444041262
GS,25,0.09238756471084558,-0.006533468105948586,-0.14199802204539874,0.04601097967308126,-0.00030061126821752507,-0.30061126821752504
RCL,25,-0.23875222458099182,-0.0035133098178074156,-0.06145196997298883,0.057171638587854685,-0.00020086167915084715,-0.20086167915084716
UNP,25,0.30291042104715027,-0.002346380530946283,-0.04891895943154378,0.04796464516441241,-0.00011254330958752404,-0.11254330958752404
ICE,25,-0.10573148016938683,0.009928907440015799,0.29960414216215475,0.03314008734445993,0.00032904485979718166,0.3290448597971817
NWL,25,0.15050598097809104,0.007334408846113636,0.15843760669655643,0.04629209566489271,0.0003395251559497278,0.3395251559497278
HIG,25,0.17528265750943853,-0.009041090672538832,-0.26615584170649553,0.03396916112969984,-0.00030711826584369785,-0.30711826584369784
EL,25,0.13044858446947133,0.0025777212270292078,0.08617406581792253,0.02991295818019871,7.71072672643352e-05,0.0771072672643352
CME,25,0.06628263159725936,0.005092362344587855,0.18195904937575097,0.027986309898069276,0.00014251643068889435,0.14251643068889436
MPC,25,-0.22789130740554378,0.001665170242206459,0.020215503697553365,0.08237094989663753,0.00013716165459016,0.13716165459016
WELL,25,0.07517830103432153,0.0070228647498761475,0.1595627749003959,0.04401317759897345,0.0003090985934898691,0.3090985934898691
ETFC,25,0.020314218195216168,-0.002020740783972879,-0.033668642364714625,0.060018481353755246,-0.00012128179306364899,-0.12128179306364899
VLO,25,-0.22936330887332546,0.0038615853695932725,0.0670643620130836,0.057580289347118736,0.00022235120291978108,0.22235120291978108
JEC,25,0.1640635803528385,0.008647979837516136,0.1867644198889116,0.046304214917702195,0.0004004379170003025,0.40043791700030246
TTWO,25,-0.0433177090096412,0.015012393472986607,0.3291190612299073,0.045613868175503954,0.0006847733368756071,0.6847733368756072
RJF,25,0.09374839156013547,0.0008258582653632206,0.013601013108637856,0.0607203491950704,5.014640225848987e-05,0.05014640225848987
CI,25,0.005456477257203054,-0.0026451768817061494,-0.08133847256568177,0.03252061168926104,-8.602277021937608e-05,-0.08602277021937609
HBI,25,-0.1302103752011006,-0.00047100160609197606,-0.007169633693321086,0.06569395679597137,-3.09419591614394e-05,-0.0309419591614394
AXP,25,0.20477171016988754,-0.010441827491646412,-0.23723472143944388,0.04401475226008084,-0.00045959445018731816,-0.45959445018731815
ESS,25,-0.014635058523856794,0.0022726558415347617,0.05619359714850517,0.040443323738979,9.191375594647213e-05,0.09191375594647212
VTR,25,0.1454087104219296,0.009192304764881504,0.21902430412261878,0.04196933669852125,0.00038579493371273307,0.38579493371273305
MAC,25,0.028204988569166353,0.0052559205940518544,0.15678493001951427,0.03352312364075855,0.00017619487592040946,0.17619487592040947
BDX,25,-0.02772818435079044,0.009226615973526864,0.24913677827370787,0.037034339279246334,0.0003417016263629076,0.3417016263629076
AAP,25,0.12526287238164965,-0.0066064614969993515,-0.12477497200980783,0.05294700844717526,-0.00034979237268756275,-0.34979237268756275
BAC,25,0.045286895637754045,-0.0025566137182080435,-0.044549283849816684,0.05738843584617048,-0.0001467200623508217,-0.1467200623508217
