Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PRGO,25,0.9707297705960507,-0.03487283224315593,-0.4824589888589678,0.07228144370494866,-0.0025206586606157937,-2.5206586606157937
APA,25,1.2573886108330994,7.248901880585468e-05,0.0007871139537735701,0.09209469411427519,6.675854013569128e-06,0.006675854013569128
OMC,25,0.7053541415495547,0.005877929558620487,0.26404772045125546,0.022260860834455044,0.00013084777189918041,0.13084777189918043
SHW,25,0.7407229494211602,0.0004506900582640387,0.010876509377650709,0.04143701279659875,1.8675249711586807e-05,0.018675249711586808
MAR,25,1.0775168391982497,-0.004817341267387013,-0.11175926296272755,0.04310462631624215,-0.00020764969516852956,-0.20764969516852955
TRIP,25,1.2651750708797638,-0.012405838170712748,-0.1825462653231004,0.06795996701852462,-0.0008431003529187922,-0.8431003529187923
MSFT,25,1.2120488119771922,0.005468551218475202,0.18066789614223838,0.030268527697748,0.00016552499402297023,0.16552499402297022
MXIM,25,1.1779590079578093,0.0006302220220560165,0.020261895518264135,0.031103803762482757,1.9602302100825417e-05,0.019602302100825416
ALXN,25,1.470955230372086,-0.021326605142135635,-0.33084980281807913,0.06446008116215281,-0.0013747146983752484,-1.3747146983752485
AOS,25,0.8471263324356698,0.011292820708225057,0.48241651483724396,0.023408860105120968,0.00026435206015105344,0.26435206015105345
HII,25,0.44281939261436154,0.013416468221613857,0.28652640011715735,0.04682454467067613,0.0006282200155656647,0.6282200155656648
MDT,25,0.439224001686309,0.004300996710642322,0.12673362478231975,0.03393729736705473,0.00014596420434379276,0.14596420434379276
DVA,25,0.5153308533235029,-0.009787113613887281,-0.2792810221861256,0.035043962304623415,-0.0003429792405561325,-0.3429792405561325
BLK,25,0.830149665360744,0.0031226539045313547,0.10321839445107595,0.03025288197067867,9.446928000906598e-05,0.09446928000906597
MKC,25,0.18171516443279515,0.009320638761694415,0.38141790362222366,0.024436815034582293,0.00022776672542368457,0.22776672542368456
NUE,25,0.8677441416993007,0.0013551176643878757,0.0218952305291883,0.0618909977943088,8.386958437765891e-05,0.08386958437765892
ANET,25,0.9562458189378057,-0.004152831222888724,-0.06714628913996679,0.061847516461142414,-0.00025684229741795655,-0.25684229741795656
LEN,25,1.0923919475074388,-0.008684356284296665,-0.2317574428440119,0.03747174708922644,-0.00032541800231789886,-0.32541800231789886
FFIV,25,0.6131975245853691,-0.003007172601908199,-0.06789787600492898,0.04428964172148619,-0.00013318659713318354,-0.13318659713318354
CHTR,25,0.8457827485273731,0.008341416645450368,0.23888113420044646,0.03491869156335736,0.0002912713550439364,0.2912713550439364
GPC,25,0.48227972677507425,0.0071559150790271656,0.27046806703692594,0.02645752290620762,0.00018932778711823773,0.18932778711823772
COF,25,1.0836044288633395,-0.009879763438613853,-0.245957840206997,0.040168524127139386,-0.00039685551605439013,-0.3968555160543901
CPRI,25,0.02404696120779414,0.00594673700123492,0.06600358095992143,0.09009718737602868,0.0005357842778762255,0.5357842778762255
WBA,25,0.5714816557283449,-0.005954927955592844,-0.1572950646241672,0.0378583267683652,-0.00022544360842490684,-0.22544360842490685
PNR,25,0.747325818314099,0.002117004555448188,0.047228494503470185,0.0448247308686208,9.489415944560924e-05,0.09489415944560924
CMS,25,-0.09738764802003293,0.011747894979755051,0.40658130020226413,0.028894331770572736,0.00033944757515088833,0.33944757515088836
SNA,25,0.7693931517629341,-0.0048776366822332095,-0.14224942868828944,0.03428932352987901,-0.0001672508622583002,-0.1672508622583002
KMX,25,1.0813584900186297,-0.007876416414315919,-0.16675852097213842,0.04723246745293388,-0.0003720225819349308,-0.3720225819349308
ADBE,25,0.8345834113635191,0.0051836728617396,0.18423642760531556,0.02813598227623277,0.0001458477277636942,0.1458477277636942
PNW,25,-0.061812958268330526,0.01131166511097304,0.4491964697510307,0.02518199913112092,0.00028485034099605394,0.28485034099605394
MLM,25,0.7676637281903107,0.0017390778458971383,0.031732330476080525,0.054804605265536224,9.530947487043169e-05,0.09530947487043169
XRX,25,0.9769819169275743,-0.00667604555532751,-0.1245459397482973,0.053603076654442125,-0.00035785658165076817,-0.35785658165076817
GS,25,0.7714669379467638,-0.008832544183973112,-0.23064764792038417,0.03829453395085981,-0.00033823816312562773,-0.3382381631256277
RCL,25,1.1504238370219086,-0.015329056290229072,-0.3300955832181516,0.046438235073562005,-0.000711854319461522,-0.711854319461522
UNP,25,0.44200712630408934,0.0019048267040781466,0.03555799275048204,0.0535695790660828,0.00010204076473130017,0.10204076473130017
ICE,25,0.5223511562132143,0.004623525650942331,0.1572994875663057,0.029393138671182244,0.0001358999306079161,0.13589993060791608
NWL,25,0.8718386181674853,0.005763088581155254,0.1531782447464905,0.03762341441301372,0.00021682706998771138,0.21682706998771137
HIG,25,0.622210904296434,-0.008650646142515775,-0.2803387365468918,0.03085783380873872,-0.00026694020100395845,-0.26694020100395843
EL,25,0.4214755745924886,0.00310316195182399,0.10784753827876506,0.02877360022630202,8.928914143925457e-05,0.08928914143925458
CME,25,0.4690488435985099,0.003919771724027125,0.16658780357892244,0.023529764123278684,9.223130408345569e-05,0.09223130408345569
MPC,25,1.16902254854631,-0.010013682271912827,-0.1341047445443709,0.07467060398149913,-0.0007477277033225612,-0.7477277033225612
WELL,25,-0.11764863874316926,0.009361975796484194,0.2109275056756459,0.04438480304641059,0.0004155294518522139,0.4155294518522139
ETFC,25,1.0799922359007086,-0.007667793669889158,-0.16408458333773823,0.0467307379761961,-0.00035832165684312534,-0.35832165684312534
VLO,25,0.7833126746512222,-0.00567164917759803,-0.10303137684215294,0.05504778594085141,-0.0003122117298600223,-0.3122117298600223
JEC,25,0.7775660521560525,0.00791109742409964,0.19512771955503816,0.04054317573197599,0.00032074101309805425,0.32074101309805425
TTWO,25,1.027197988111722,0.008246059641184973,0.2896148313144879,0.028472504684094423,0.00023478597175896114,0.23478597175896113
RJF,25,1.1449186876711543,-0.003552080984114218,-0.07632133741494139,0.046541126039267085,-0.0001653178487833437,-0.16531784878334368
CI,25,0.19923833801918447,-0.0036488856036634813,-0.11484630597667331,0.03177190221864528,-0.00011593203660661859,-0.11593203660661859
HBI,25,0.47002076547982724,-0.0060261192202651845,-0.09303468020711259,0.06477282672278678,-0.00039032877606509175,-0.39032877606509175
AXP,25,0.7473117186900776,-0.01010103389178766,-0.2505511841558823,0.04031525105665925,-0.00040722571727924337,-0.4072257172792434
ESS,25,0.3507138062594468,-3.410927461898103e-05,-0.0008843660763061965,0.03856918026689581,-1.3155667615525335e-06,-0.0013155667615525335
VTR,25,-0.14359999227008313,0.013242421726600073,0.3020335965046473,0.04384420104203976,0.0005806034004645289,0.5806034004645289
MAC,25,0.3441948936788254,0.003940268993585721,0.12546101532931003,0.03140632158318904,0.0001237493551368218,0.1237493551368218
BDX,25,0.6476584187397537,0.004951110575843487,0.16815940754906794,0.029442959201665727,0.0001457753466874955,0.1457753466874955
AAP,25,0.6298694874264702,-0.007373501468387509,-0.1487328305261456,0.04957548002215508,-0.0003655448747393761,-0.3655448747393761
BAC,25,0.8935207454071336,-0.006594228754515883,-0.13637513018250932,0.048353601904474075,-0.0003188547120628969,-0.3188547120628969
HSY,25,0.3984778518777718,0.007058295763673288,0.1965292533946734,0.0359147335155174,0.0002534968114260315,0.2534968114260315
CSX,25,0.8397755069050863,-0.003537238064008229,-0.06728597618407561,0.05257021246643335,-0.00018595335656926797,-0.18595335656926798
VRSN,25,0.8838236021283891,-0.0019632994589240775,-0.04415941131228372,0.044459366657769527,-8.728705050330608e-05,-0.08728705050330608
MCD,25,0.3927268649128957,0.005955420656292317,0.2131319752751428,0.02794240821258361,0.0001664087950557725,0.1664087950557725
