Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PRGO,25,1.8318707794207525,0.00037184059821090574,0.00863482199294627,0.04306291415325758,1.601253975945218e-05,0.01601253975945218
APA,25,1.0257382743475258,0.006610022320187303,0.08329214248828555,0.07935949445791908,0.0005245680296856257,0.5245680296856257
OMC,25,0.3737948865323925,-0.0003051961185124465,-0.00722152411245139,0.0422620092047087,-1.2898201169814379e-05,-0.01289820116981438
SHW,25,1.2174157356480424,0.01394244226195238,0.648313479416874,0.02150571090160414,0.00029984213254785554,0.2998421325478555
MAR,25,0.7845323202200163,0.00977507631566484,0.28301531521176476,0.03453903654772424,0.00033762171812354156,0.3376217181235416
TRIP,25,0.7535958247828518,0.010568001017802904,0.13152262329000147,0.08035120311203751,0.0008491515962697003,0.8491515962697003
MSFT,25,0.45456546989813135,0.017360920858731782,0.7305884738348004,0.02376292739413982,0.0004125463018614509,0.4125463018614509
MXIM,25,0.2556254211950728,0.013425917422336515,0.3969937000921288,0.03381896846025721,0.00045405067785601644,0.45405067785601644
ALXN,25,0.9769796058885615,-0.004808166131379759,-0.08879237314993947,0.05415066588276041,-0.00026036539768915,-0.26036539768914996
AOS,25,0.9605901326326827,0.004847087704928685,0.16970725787555127,0.028561463814842397,0.0001384399200916881,0.1384399200916881
HII,25,1.1635438694001028,0.00873586096774329,0.13385136827397398,0.06526538413759263,0.0005701493218323674,0.5701493218323674
MDT,25,0.6410998997783427,0.008721363624772117,0.33815743654855107,0.02579083788246054,0.00022493127536048609,0.2249312753604861
DVA,25,0.9028766771644894,0.010218161197613297,0.15228298077287059,0.06709982393143224,0.0006856368172628451,0.6856368172628451
BLK,25,1.1153604876471446,0.008103543135058294,0.22087001316780888,0.03668919568950956,0.0002973124798605356,0.29731247986053555
MKC,25,0.38099325721068944,0.011546240631619208,0.3528905389694072,0.0327190427528582,0.00037778194086073735,0.37778194086073735
NUE,25,1.054899781593468,0.007911701645348247,0.19072606095202285,0.04148201669901019,0.0003281933397699224,0.3281933397699224
ANET,25,0.5238451489726795,0.02307237653978919,0.288938318052177,0.07985225599473013,0.0018423813178620521,1.842381317862052
LEN,25,1.8392191222874255,0.003981644441910728,0.09762233328847363,0.04078620442460624,0.00016239616415386816,0.16239616415386815
FFIV,25,-0.31469147410113485,0.01851290300713839,0.4834387261734278,0.03829420773481252,0.000708936953529793,0.7089369535297929
CHTR,25,1.368695209875356,-0.008534759735361743,-0.20879379789969565,0.04087650026588354,-0.00034887110859176644,-0.34887110859176645
GPC,25,0.7399815263820471,0.009868513482871875,0.24893084081118996,0.03964359518777741,0.00039122335362009594,0.3912233536200959
COF,25,1.1816185102537426,0.011205674717944933,0.28816259254525256,0.038886639028919805,0.0004357510278322174,0.43575102783221736
CPRI,25,0.5366049473189763,0.02307956270975221,0.4297778059185288,0.05370115066883492,0.0012393990744472274,1.2393990744472274
WBA,25,1.0616622943201093,-0.004426057162745665,-0.09415949131385608,0.04700595873009295,-0.00020805106032905502,-0.20805106032905502
PNR,25,0.8415669510981612,0.0037997184503620425,0.13147693274017638,0.028900266922647293,0.00010981287744637077,0.10981287744637076
CMS,25,-0.05109954023500185,0.0013265808181934869,0.04231426022784805,0.03135067967749632,4.158921029749499e-05,0.04158921029749499
SNA,25,1.211764855996531,0.009690361858102042,0.32800437564146695,0.02954339203295972,0.0002862861593151486,0.2862861593151486
KMX,25,0.5662442033686571,0.008024009166489574,0.18599513522258423,0.04314096256811812,0.0003461634790977634,0.3461634790977634
ADBE,25,0.5005596669813918,0.02226505616466641,0.5203284295744022,0.04279038949087965,0.0009527304253223867,0.9527304253223867
PNW,25,0.0012760755135473789,-0.0032696888603349406,-0.11293196483377432,0.02895273154192994,-9.46664237989164e-05,-0.0946664237989164
MLM,25,0.5592530282016072,0.001911202546183089,0.047911915052095855,0.039889921830613316,7.623772016971256e-05,0.07623772016971256
XRX,25,0.5103324008521506,-0.004225365701487172,-0.08182509964797331,0.05163899243221794,-0.00021819362748244932,-0.2181936274824493
GS,25,0.8596867342605966,0.005092871196734374,0.1556560753159008,0.03271874346310285,0.00016663234617657758,0.16663234617657757
RCL,25,1.1391589582907287,0.0017614577955824896,0.04369904282791999,0.04030884160366705,7.10023232736791e-05,0.0710023232736791
UNP,25,0.4999522105142725,0.016113083166351468,0.38584266884143287,0.04176076019465165,0.0006728946021064819,0.6728946021064819
ICE,25,0.8959537782209044,0.006689170310916803,0.2964119510757655,0.02256714105703178,0.00015095544996096864,0.15095544996096863
NWL,25,1.6501386276261782,-0.027738991340235032,-0.32832239973522653,0.08448705102851636,-0.002343585576842011,-2.3435855768420106
HIG,25,0.36596618898417627,-0.0014661642999869596,-0.07141328322363445,0.02053069448432428,-3.0101371306855443e-05,-0.030101371306855442
EL,25,1.096118897413762,0.012079845979131565,0.2899187832632376,0.041666310278914986,0.0005033226106879994,0.5033226106879993
CME,25,0.4435023636973999,0.01406586585837684,0.5150509413786574,0.02730965954692982,0.0003841340078250553,0.3841340078250553
MPC,25,0.5963768204220443,0.021016592507476374,0.39578433516524975,0.053101122606839475,0.0011160046555174867,1.1160046555174867
WELL,25,0.03260709264107702,-0.0011479379435400047,-0.02756134682594407,0.04165028475529457,-4.781194222984846e-05,-0.047811942229848456
ETFC,25,0.26545428687046135,0.015551888215028445,0.423121321314343,0.03675515137530666,0.0005716120055152182,0.5716120055152182
VLO,25,0.15067324437337992,0.024567598155035335,0.5237457193634004,0.04690749202665871,0.0011524044145714753,1.1524044145714754
JEC,25,0.8056179879578574,0.013318401627329555,0.35630654672556394,0.037379053934666305,0.000497829252751499,0.497829252751499
TTWO,25,-0.11231707158804617,0.013135022723195264,0.22313945680695266,0.058864635197884006,0.0007731883209168061,0.7731883209168061
RJF,25,0.4758500556995342,0.008130721814463837,0.18443314489596135,0.04408492746274198,0.0003584422814103721,0.3584422814103721
CI,25,1.0469909348998494,0.0024813502338414933,0.06236640858356404,0.039786646212227536,9.872460388247956e-05,0.09872460388247956
HBI,25,1.6658062724516773,-0.010476587800194169,-0.17028671870560833,0.06152322318398826,-0.0006445534494379944,-0.6445534494379944
AXP,25,0.46706916570109114,0.010045905668259567,0.34925916872794677,0.02876347013264743,0.00028895510764437754,0.28895510764437754
ESS,25,0.31193519289886634,-0.00168667174593187,-0.0602122067226483,0.02801212308495983,-4.7247256550967634e-05,-0.047247256550967634
VTR,25,-0.05510866437811818,-0.0036662590164802107,-0.08066474954555568,0.045450572116506466,-0.00016663356982632587,-0.16663356982632588
MAC,25,1.1099823833446811,0.007237549244225242,0.2010157270364325,0.03600489051741456,0.00026058716815272634,0.2605871681527263
BDX,25,0.5537888161148856,0.011204135365495896,0.4212428962383461,0.026597802516191073,0.0002980053798161321,0.2980053798161321
AAP,25,0.6661056079646257,0.021994798584886406,0.3633196472838698,0.060538423257086825,0.0013315304261862276,1.3315304261862275
BAC,25,0.5637045374362144,0.01255615614148568,0.3554372343584399,0.035325944858167146,0.0004435580794846599,0.44355807948465986
HSY,25,1.1009193122699468,-0.0001118076737804338,-0.00454721962229982,0.02458814024115367,-2.7491427629504667e-06,-0.0027491427629504667
CSX,25,0.4936596888305437,0.01756278692054319,0.41007020203757255,0.04282873233235807,0.0007521919000301837,0.7521919000301837
VRSN,25,0.7046135548180028,0.018216236094697674,0.5369217035810926,0.033927174061322764,0.0006180254127269584,0.6180254127269584
MCD,25,0.7892725368471697,0.0019836351335298466,0.07649936059126593,0.025930087757574303,5.143583309143654e-05,0.05143583309143654
C,25,0.6482466649923905,0.004186106406300119,0.13179925632224762,0.031761229335506555,0.00013295588559333126,0.13295588559333127
MO,25,0.9378065284487691,-0.0005645894759481883,-0.01544871815426841,0.03654604028051316,-2.0633509729956307e-05,-0.02063350972995631
ALB,25,-0.10205853984605531,-0.006289300336823782,-0.09803698324025471,0.06415232424493197,-0.00040347323448167914,-0.40347323448167915
RMD,25,0.9963912753994246,0.0171350441505783,0.48894274329045045,0.03504509349144678,0.0006004992242370847,0.6004992242370847
MHK,25,1.1182732774103648,-0.009103084687185506,-0.18842719567445287,0.04831088556300002,-0.00043977808259291676,-0.4397780825929168
ROST,25,0.6667365472979343,0.01998466185071136,0.5510701658383862,0.03626518561444372,0.0007247474714579398,0.7247474714579398
WMT,25,0.8544315277083046,0.009018320618133176,0.2871164412595069,0.03140997630986263,0.00028326523697030877,0.28326523697030875
BLL,25,0.7306110520719257,0.00343448330149701,0.09969005164331127,0.03445161523022892,0.00011832349721782128,0.11832349721782127
EW,25,0.7952673135856256,0.00992616935108608,0.29508890764668194,0.03363789384781266,0.0003338954309472451,0.33389543094724505
INTC,25,0.010386105461987026,0.014222075535588375,0.25846290076039596,0.05502559746001121,0.0007825782034671593,0.7825782034671592
COTY,25,2.4206202274396027,-0.008850585042056285,-0.1281500900978648,0.0690642124035756,-0.0006112586852404844,-0.6112586852404844
MCO,25,0.4482115195091288,0.011886172425577641,0.39539348915047834,0.03006162911563275,0.00035731770706217596,0.35731770706217597
AWK,25,0.17236740396761074,0.004142919350714449,0.15306923687204257,0.027065656270160283,0.0001121308311014329,0.1121308311014329
PKI,25,0.9299276730153347,0.012814740899934098,0.41393032394167706,0.030958690771685768,0.0003967276008403339,0.3967276008403339
DXC,25,0.7577886339772045,0.009145606909607968,0.25813561909733734,0.0354294651067095,0.0003240239608836368,0.32402396088363683
KMI,25,0.7182230436633773,-0.00012697198040707142,-0.003554833935286075,0.03571811868529756,-4.535200265887053e-06,-0.004535200265887053
XRAY,25,0.4759458998335487,-0.014051286324603276,-0.24024354900267822,0.058487673791593184,-0.0008218270509056708,-0.8218270509056708
AMG,25,1.1742449160989121,-0.00505472233263336,-0.12636088816695604,0.04000226973677757,-0.0002022003661945132,-0.2022003661945132
EIX,25,0.1438432082450401,-0.0054163157421236365,-0.1323744708956481,0.04091661863104528,-0.00022161732560579983,-0.22161732560579983
APD,25,0.6128884481243787,0.0072269676672802536,0.33922768298035577,0.02130418014174497,0.00015396462106230494,0.15396462106230493
IP,25,0.8977972233513106,0.0017005798711715596,0.05313726436277067,0.032003526932843564,5.4424553708490645e-05,0.05442455370849064
TSCO,25,0.7828138674935529,0.016851731552103028,0.2875030419991858,0.058614098254135175,0.0009877490489472768,0.9877490489472768
AMT,25,0.1538942811845463,0.0016476271119815256,0.04956420329011289,0.033242279762624484,5.4770881400974896e-05,0.0547708814009749
SPGI,25,0.5098244152033019,0.012969404997182398,0.5781808605771224,0.02243139799583946,0.00029092188526102754,0.2909218852610275
FTI,25,0.7056190640126596,0.008719535916052597,0.12870726297142152,0.06774703862662906,0.0005907227365110947,0.5907227365110947
MMM,25,1.1018804979505963,0.0030468793461502406,0.08906182574843681,0.03421083410928973,0.00010423628386216704,0.10423628386216705
BA,25,0.5241026394397148,0.016727014706385962,0.505608552745123,0.0330829346449328,0.0005533787343361967,0.5533787343361967
ABT,25,0.5409188045321973,0.012749092475021576,0.5084497954116461,0.02507443722088585,0.0003196763188881967,0.3196763188881967
HPQ,25,0.8579614337962217,0.01124188302748038,0.25901145920319785,0.04340303344903739,0.0004879318250718967,0.4879318250718967
BRK.B,25,0.7770242435196176,0.0072885346927874265,0.2786538817203563,0.026156228823332347,0.00019064058121134425,0.19064058121134425
DE,25,0.7860334254659805,0.010722158304110213,0.2864347245717314,0.03743316499122675,0.0004013643208598096,0.4013643208598096
V,25,0.48472468258166684,0.014204241100581962,0.6661085231196441,0.021324214610042823,0.00030289428560160064,0.30289428560160064
FOX,25,0.5107120476404193,0.020690080298719764,0.41254970434712385,0.0501517273693424,0.001037643266391196,1.037643266391196
WMB,25,0.6172069247342158,0.0039599324974057375,0.08724480148350518,0.045388750161285164,0.00017973638678030302,0.17973638678030301
CMG,25,-0.22328157646360391,0.018513946200594947,0.2880031049234051,0.06428384237565342,0.0011901475993103732,1.1901475993103732
APH,25,0.5154740644428497,0.00739823417406729,0.2854903193754555,0.02591413323664291,0.00019171882610266456,0.19171882610266455
JKHY,25,0.7400534119679891,0.018824460220125336,0.6598057483132204,0.028530306485279457,0.000537067619500127,0.5370676195001269
GOOGL,25,1.011565321906489,0.012712040268618897,0.3973791981710681,0.03198969731462008,0.00040665432044438023,0.4066543204443802
MOS,25,0.37108523350044453,0.01791690729710787,0.4446819676021991,0.04029150854422743,0.0007218992234475525,0.7218992234475525
STZ,25,0.4689695188032681,0.0032226525215125583,0.1267026360043728,0.025434770918273064,8.196742863386698e-05,0.08196742863386698
ISRG,25,0.9783922395839488,0.021093073970106315,0.44807558699676847,0.04707481188940213,0.0009929524893119994,0.9929524893119994
PFE,25,0.4994614830662185,0.01055453627514613,0.48876596225913355,0.021594253876357973,0.00022791733587273515,0.22791733587273516
WYNN,25,1.0383548128470121,0.0053795947026329324,0.08605838938236639,0.06251098517229776,0.00033628376468925885,0.33628376468925886
KEY,25,0.5317454694100167,0.009876203082055805,0.2702782328767612,0.03654087484935961,0.00036088510080826085,0.36088510080826086
MDLZ,25,0.9651308063132413,0.002311374128679159,0.1183467354296844,0.019530527143712045,4.5142355159442094e-05,0.045142355159442094
ORCL,25,0.9663918094820203,0.0014283697329377123,0.036077697772186106,0.0395914878481771,5.655128292430741e-05,0.05655128292430741
AMD,25,1.3495860962937773,0.030522151408417596,0.32309648110773054,0.09446760702491387,0.002883354604805315,2.883354604805315
SLB,25,0.8619431329521602,0.0028436075184696025,0.051670732626329034,0.055033233978583666,0.00015649291790719732,0.15649291790719733
GM,25,0.8648437329125365,0.004685528248914083,0.08713419307754018,0.05377370333531936,0.0002519582060263643,0.2519582060263643
SYMC,25,-0.1865790692468301,-0.0158556185680362,-0.24409848691251781,0.06495582487456662,-0.0010299147829832861,-1.0299147829832862
GD,25,0.5651894151244572,7.05341333301724e-05,0.0019201533988379784,0.03673359293734429,2.590972141938921e-06,0.002590972141938921
BIIB,25,1.1992734268974192,0.007295823009832395,0.1248183137409295,0.05845154281586808,0.00042645211103621377,0.4264521110362138
NI,25,-0.14779463500747397,0.001047975876875517,0.027424184046769794,0.03821356635764536,4.004689571219415e-05,0.04004689571219415
ED,25,0.12361327403130028,-0.0011565512746939172,-0.0402784830949377,0.028713873657254866,-3.3209067179698206e-05,-0.0332090671796982
AJG,25,0.11851043294757868,0.009888973354730723,0.4012434752882674,0.024645817225130293,0.00024372182984487694,0.24372182984487695
GPN,25,0.5212572888475809,0.011329552774027021,0.3624598307626955,0.03125740237252537,0.0003541323897585236,0.35413238975852357
CMA,25,0.39229412196439306,0.015563964945636475,0.4160246518161783,0.03741116031872423,0.0005822659877762102,0.5822659877762102
SCHW,25,0.21934967945058512,0.011353219411035809,0.2446919681931637,0.046398006010860963,0.0005267667424758628,0.5267667424758629
TJX,25,0.60397955478348,0.01754373283898395,0.567872716354046,0.030893776604766717,0.0005419921631412799,0.54199216314128
OXY,25,0.39311347316449036,0.014372460735297129,0.32025504010501743,0.044878171880087005,0.0006450097632184662,0.6450097632184661
TGT,25,1.213386836651179,0.021002079966459156,0.5023017174262902,0.04181168257610246,0.0008781323009955109,0.8781323009955109
ZTS,25,0.7871121815370975,0.015924769969855243,0.44769114861147213,0.03557088412233837,0.0005664581472726148,0.5664581472726148
PRU,25,1.2422814308925103,0.0020960743928408326,0.06058480705645137,0.034597360207613836,7.251864079106975e-05,0.07251864079106976
REG,25,0.9379285098236764,0.003323705645890918,0.10662887978210502,0.03117078274368891,0.00010360250659203804,0.10360250659203804
UAA,25,1.1151808061121116,0.010116048274607731,0.09459767561679353,0.10693759871634596,0.0010817859109851855,1.0817859109851855
PG,25,1.0910655146939587,-0.0017041449011528085,-0.0899561027158759,0.018944183326119714,-3.2283633421710966e-05,-0.032283633421710964
REGN,25,1.2642581116636022,-0.0072173526480362425,-0.15864186214478004,0.045494628911059605,-0.00032835078044266225,-0.32835078044266225
AAL,25,2.0604337888619466,-0.002536224204666337,-0.0484774059242903,0.05231765512839716,-0.00013268930326802678,-0.13268930326802678
LYB,25,0.3378019086212912,0.01208393115824824,0.2947412702922876,0.04099843617510675,0.0004954222803358242,0.49542228033582425
COG,25,0.8962129735362065,-0.0006299713750009425,-0.012520074257504501,0.05031690404099155,-3.169820922449393e-05,-0.03169820922449393
WCG,25,0.533779996738983,0.024361623057762443,0.4847652936413594,0.05025447031236056,0.0012242804627172412,1.2242804627172412
HRB,25,0.01138582270163798,-0.0022599900546877456,-0.03844048645113447,0.058791921313499605,-0.0001328691574644936,-0.1328691574644936
HOLX,25,0.9870608224678898,0.0022549696249037935,0.06871218143989635,0.032817610759109016,7.400271542370675e-05,0.07400271542370676
FTNT,25,0.11534878980007274,0.030724000739832134,0.6963540240996643,0.044121236722306674,0.001355580909698459,1.355580909698459
AKAM,25,0.8135002845084657,0.02029597426032615,0.43065590461588515,0.047128052913679976,0.0009565097488753376,0.9565097488753377
EXPE,25,0.6678469791640343,-0.0024813637353365437,-0.03550741756078753,0.06988296828651452,-0.0001734050632238309,-0.17340506322383092
EXPD,25,0.7319021791470093,0.012516474708624761,0.32408049860707416,0.03862149917203178,0.0004834050175959079,0.4834050175959079
DRE,25,-0.22552009951723345,-0.0019029808762932741,-0.08381906722158634,0.022703436573238193,-4.320420562500959e-05,-0.04320420562500959
SBAC,25,0.6115266001423811,0.0018113457433262805,0.04183210749441801,0.04330037026147877,7.843194135758143e-05,0.07843194135758143
CPRT,25,0.6973313426767922,0.028950921303837925,0.677457132881353,0.04273469109507223,0.0012372086788372595,1.2372086788372594
AON,25,0.09578862524624346,0.002725282158989354,0.1047400972195007,0.026019473261305662,7.091040626533687e-05,0.07091040626533687
STX,25,1.4028027203595497,0.026835326931181545,0.4478920321601373,0.059914722755297786,0.0016078311731295184,1.6078311731295185
DISCA,25,1.4827388538218658,0.011291111584428797,0.13911637419314546,0.0811630668921296,0.0009164212448134939,0.9164212448134939
BKNG,25,0.9093344424880848,0.0035905413103095012,0.07210781492393047,0.04979406620624009,0.00017878765172179136,0.17878765172179137
STT,25,1.1843863760283686,-0.0004177759259011715,-0.010567859715604668,0.03953269035964557,-1.6515806318365246e-05,-0.016515806318365245
CVS,25,1.2597925573952804,0.0016802899201678882,0.03219565519889467,0.052189958855863736,8.769426179948464e-05,0.08769426179948464
ANSS,25,0.8465164045433227,0.014928224205893811,0.3549966758367181,0.04205172955692717,0.0006277576470714204,0.6277576470714203
FCX,25,1.3149101266574579,0.00015303336533123457,0.0020406774188741483,0.07499145328695009,1.1476194467582044e-05,0.011476194467582043
AMGN,25,1.0093675090655594,0.007784671681159225,0.22543447331696534,0.03453186004171519,0.00026881919296449405,0.268819192964494
