Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PRGO,25,2.102671416672943,-0.0278251201742603,-0.36117007128468653,0.07704160002872329,-0.0021436917792165213,-2.143691779216521
APA,25,1.3171381677025615,-0.03285918357782794,-0.41419626833772893,0.07933239888833352,-0.002606797858741224,-2.606797858741224
OMC,25,0.7604378463231283,0.0012946688540882581,0.054510285907421026,0.023750909255678698,3.0749562469603744e-05,0.030749562469603742
SHW,25,0.799718148152132,0.002184688993933886,0.04287884222639578,0.050950279450153006,0.00011131051475260511,0.11131051475260512
MAR,25,1.0974121051789036,-0.004902286135884354,-0.12270929525159935,0.03995040576048341,-0.00019584832028257223,-0.19584832028257224
TRIP,25,1.7925864150849704,-0.023568682029810523,-0.30396152253313397,0.07753837338816912,-0.0018274772674944798,-1.8274772674944797
MSFT,25,0.9979412121738646,0.003740943839886256,0.13515300203817868,0.0276793247909469,0.00010354679956890374,0.10354679956890374
MXIM,25,1.1695865008037334,-0.011942206753372736,-0.2704980107936292,0.04414896330784404,-0.0005272360477693403,-0.5272360477693403
ALXN,25,1.5005664576598154,-0.010730906523286392,-0.17178604616575352,0.06246669483813788,-0.0006703242631267141,-0.6703242631267141
AOS,25,0.7729236775837527,-0.013738379197469999,-0.24555069705858887,0.055949257575074185,-0.0007686521163832899,-0.7686521163832899
HII,25,1.0395998353495544,-0.011765731852350084,-0.3433252018057128,0.03426993355124654,-0.0004032108487618222,-0.4032108487618222
MDT,25,0.4741346186006203,0.002986356175087512,0.0801497205679933,0.03725972035740412,0.00011127079597136769,0.11127079597136769
DVA,25,1.1475721001308654,-0.016927702955360065,-0.22855989676255753,0.07406243700287296,-0.0012537069337347012,-1.253706933734701
BLK,25,1.1492825644651175,-0.010382624408740725,-0.306482583648471,0.03387671914384987,-0.00035172925107098985,-0.35172925107098985
MKC,25,0.6087014437757838,0.008935053084305323,0.20460192996286192,0.043670424252240235,0.0003901975589079011,0.3901975589079011
NUE,25,1.1482343210434067,-0.01622784453274312,-0.4234529782004192,0.03832266005474289,-0.0006218941694495325,-0.6218941694495326
ANET,25,1.8503689458789323,-0.020613893039642665,-0.24965125321605675,0.0825707573027991,-0.0017021047592421941,-1.702104759242194
LEN,25,0.8464415586478656,-0.005462826966509356,-0.10438770513400401,0.05233209178702267,-0.00028588116222799025,-0.28588116222799026
FFIV,25,1.3857602104782945,-0.023357178708877532,-0.5009790696967001,0.04662306296152911,-0.0010889832135476845,-1.0889832135476845
CHTR,25,1.0835192859704392,0.005457117173055397,0.13082291731633583,0.041713770683311065,0.0002276369343487916,0.2276369343487916
GPC,25,0.6411857388381659,-0.0066374256021801935,-0.16579948227572602,0.04003284878261619,-0.0002657150554379449,-0.2657150554379449
COF,25,1.1109533011956032,-0.011039864990830203,-0.3623970924942633,0.03046344802284793,-0.0003363123533274144,-0.3363123533274144
CPRI,25,1.1320747328822134,-0.046493040236060906,-0.6635302972859108,0.070069204716401,-0.0032577303541884207,-3.257730354188421
WBA,25,1.1480007161353496,-0.01675352123008321,-0.3157070879225141,0.05306666169685467,-0.0008890534433478982,-0.8890534433478983
PNR,25,0.8718522788639046,-0.011889503213203458,-0.21726699518380277,0.05472300660827576,-0.0006506293629052487,-0.6506293629052488
CMS,25,0.23076368650942608,0.009611655719802839,0.3107530895858121,0.030930201635690106,0.0002972904494663359,0.2972904494663359
SNA,25,0.9364650563530352,-0.011355386343057217,-0.22812948063141522,0.0497760583666252,-0.0005652263733875947,-0.5652263733875946
KMX,25,0.8409047011562261,-0.0019943958518309217,-0.03972148319771063,0.050209501037611556,-0.00010013762059191285,-0.10013762059191285
ADBE,25,1.3319173532076032,-0.0040197808468370195,-0.11592545709792215,0.034675566070371526,-0.00013938817634291109,-0.1393881763429111
PNW,25,0.22094522155179197,0.007349624952631854,0.2724355823113159,0.026977478089603345,0.00019827434612642786,0.19827434612642786
MLM,25,0.8521934606500647,0.00443959782398687,0.1023638132439846,0.04337077413680428,0.0001925487944823823,0.1925487944823823
XRX,25,2.0369062440606323,-0.00790706424581155,-0.15597346465074208,0.05069493239454004,-0.00040084808738070123,-0.4008480873807012
GS,25,1.2999014642270368,-0.012813536478849717,-0.2598457353752564,0.04931209073085244,-0.0006318622734281247,-0.6318622734281247
RCL,25,1.141460703513686,-0.011550381572786636,-0.26780284617918676,0.043130167351015686,-0.0004981698902023754,-0.4981698902023754
UNP,25,1.156928428055709,-0.0024294697246139123,-0.05755152785658623,0.042213818035690645,-0.00010255719287807115,-0.10255719287807115
ICE,25,0.6382152054028728,0.006012069547541585,0.228707408264305,0.026287165742325914,0.00015804026865061602,0.15804026865061602
NWL,25,1.0106203757169439,-0.015526884455366475,-0.17574983116179152,0.08834651136064398,-0.0013717460739314407,-1.3717460739314407
HIG,25,0.46403222341679956,0.004510875565393344,0.1786195616274378,0.025254096048013295,0.00011391808478907979,0.11391808478907979
EL,25,1.1564123764062912,0.009887770297704093,0.21096784018242207,0.046868614141161155,0.0004634260907995273,0.4634260907995273
CME,25,0.2745410919459848,0.008804481199815644,0.25740919786279254,0.03420422142222252,0.00030115042446628973,0.3011504244662897
MPC,25,1.247158774732181,-0.027825351170142443,-0.4402047731726203,0.06321001694189061,-0.0017588409188787598,-1.7588409188787597
WELL,25,0.3506378869915473,0.011736967450689166,0.2992601190792242,0.03921995181583817,0.00046032329788009006,0.4603232978800901
ETFC,25,1.1772584374438502,-0.02097374348605474,-0.38129254033347415,0.0550069599256029,-0.001153701867427288,-1.153701867427288
VLO,25,0.9241514625126148,-0.02269248309359524,-0.3792745023758567,0.059831290928983275,-0.001357720557873931,-1.357720557873931
JEC,25,0.9861242277661111,0.0015150536184101405,0.030037536023842022,0.05043867836588129,7.641730216605372e-05,0.07641730216605372
