Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PPL,25,0.12176187929567299,0.009393548191069263,0.29440670939953084,0.031906705557859925,0.0002997171762760147,0.2997171762760147
DG,25,0.14777787681214705,0.00836629612497692,0.17438364952343025,0.04797637936722285,0.0004013845967904192,0.40138459679041916
BBBY,25,0.43486458003860007,-0.011028845254520792,-0.2607824480784125,0.04229136330219824,-0.0004664249014626638,-0.4664249014626638
VZ,25,0.12302427981027439,0.009353500608832856,0.3046209722801535,0.030705373102908485,0.0002872027260124945,0.2872027260124945
BRO,25,0.33231167416723983,0.006572284672752645,0.2128114364914374,0.030883136644853596,0.00020297276561749683,0.20297276561749683
SRE,25,0.2723906774771082,0.007769099510748509,0.18191359381470734,0.04270763579472747,0.0003317998723580427,0.3317998723580427
FFIV,25,0.27920419065744795,-0.00037903223305685166,-0.007695233852285306,0.04925545348362453,-1.8669404524126087e-05,-0.018669404524126087
ODFL,25,0.5784844402997598,0.0018267515974641148,0.03589673465573034,0.050889074312292726,9.296169779345078e-05,0.09296169779345079
MBI,25,0.9524926494306316,0.021878544719794526,0.2411513351697191,0.09072537253172037,0.0019849391201552623,1.9849391201552622
NYT,25,0.3912405779273645,0.003059379284798904,0.10239632217811559,0.029877823926890635,9.140759559679825e-05,0.09140759559679826
PAYC,25,0.8291483881097758,0.02239276748386388,0.22059548159576645,0.10151054464886025,0.0022731020234823106,2.2731020234823105
HOLX,25,0.3896033612968559,-0.00019608220367410946,-0.004244293048125819,0.04619902571541209,-9.058806769874854e-06,-0.009058806769874854
ATGE,25,0.08070775732532512,-0.010672528935647848,-0.09085214672693834,0.1174714007333782,-0.0012537169234380626,-1.2537169234380625
RL,25,0.5590639152675867,-0.004206993273467556,-0.05966149239487948,0.07051438213484292,-0.00029665353132400494,-0.29665353132400496
SYY,25,0.2891823093956492,0.017527544819585836,0.5399913324716366,0.032458937330269985,0.000568925478852435,0.5689254788524349
NOW,25,0.5702951749200984,0.002023317034712427,0.01859868509826743,0.1087881763695709,0.00022011297042385272,0.22011297042385272
WB,25,1.0464089021881189,0.042375774483755596,0.5154868911385827,0.08220533870445865,0.003483514894300885,3.4835148943008853
TRV,25,0.3635754365321957,0.006940887128813092,0.2279815156601588,0.030444955630348304,0.00021131500067197022,0.2113150006719702
APTV,25,0.7881719484683923,0.0012816507983258217,0.024830357443941277,0.05161628467167115,6.61540524560602e-05,0.0661540524560602
AJG,25,0.4566716768366321,0.005820748631274681,0.23419139966219088,0.02485466434579072,0.00014467275347155296,0.14467275347155295
SBUX,25,0.22295846886537207,0.002059940946580496,0.058444408831887944,0.035246159346154056,7.260500684684358e-05,0.07260500684684358
FE,25,0.2632530765271711,0.004286076209738117,0.12555325834168848,0.034137514759463444,0.00014631598987012011,0.14631598987012012
MLM,25,0.661888565458472,0.01562138480383898,0.25951893072925425,0.060193623486126904,0.000940307755214188,0.940307755214188
ED,25,-0.042382984681451706,0.01033218349320977,0.2910569752890188,0.03549883483448538,0.0003667804753050498,0.3667804753050498
FISV,25,0.2592333134725054,0.011285096668112813,0.4048438959883626,0.027875180482990924,0.0003145741063916442,0.31457410639164424
CRM,25,0.5429436760952366,0.00887861478588561,0.13329569473135183,0.0666084137509455,0.0005913904471935311,0.5913904471935312
OI,25,0.8732693042591178,0.002358769440406713,0.03511592959520584,0.06717092406771259,0.00015844072297480023,0.15844072297480025
ATO,25,0.04919895799312261,0.016041934952308372,0.5245580471365642,0.03058181080221231,0.0004905914196128914,0.4905914196128914
THC,25,0.925941266239579,-0.01781283695704847,-0.2192949885570157,0.08122774293320074,-0.001446896541258151,-1.446896541258151
BLDR,25,1.35654954823362,0.0032349648470333713,0.03409321590145414,0.09488588158958024,0.000306952491422063,0.30695249142206305
RHI,25,0.5861751413755792,-0.011628771231249951,-0.23852611125270318,0.04875261316330274,-0.0005669329854016726,-0.5669329854016726
MAA,25,0.06844939273571297,0.012542744603507615,0.3337498195085522,0.037581277562866854,0.00047137236634457004,0.47137236634457
HLT,25,0.7579535386656282,0.0007136228652428684,0.015399279712736287,0.04634131456503463,3.307022167902108e-05,0.03307022167902108
GE,25,0.43203753055206484,0.011888717786743549,0.3923973866361375,0.030297647720492406,0.0003602001833511082,0.3602001833511082
ABBV,25,0.4167452750674465,0.0025436014137071306,0.04338468946984478,0.05862901048249063,0.00014912883394751334,0.14912883394751333
KIM,25,0.24045033381802033,0.013135767170493445,0.3646638952258454,0.03602157313204297,0.00047317099777741876,0.4731709977774188
LLY,25,0.10813813261488034,0.0012429760375429833,0.03874191554704236,0.03208349458182314,3.98790149658463e-05,0.0398790149658463
PPG,25,0.6583482056288,0.004260064782966738,0.12812244104233889,0.03324995019068496,0.0001416469418427352,0.14164694184273519
AEE,25,0.15111990605877332,0.011914298126632259,0.3449816853741826,0.0345360308438098,0.000411472567583717,0.41147256758371703
KDP,25,0.10969752558807153,0.009767250005205801,0.2903180512626668,0.03364327489360567,0.0003286022768797102,0.32860227687971016
FTNT,25,0.4821105735632643,-0.0091180224100574,-0.1363521182174876,0.0668711460390645,-0.0006097326081704111,-0.6097326081704112
URBN,25,0.6629644907803902,0.0016693642462074724,0.019827336910869995,0.0841950814530353,0.000140552258684223,0.140552258684223
MKTX,25,0.3072517413106706,0.022669205721094342,0.5399217526370101,0.041986094485685355,0.000951791413321306,0.951791413321306
PCG,25,0.15199023004727044,0.010211899639434134,0.29775895199700547,0.03429586103438742,0.0003502258909311441,0.3502258909311441
COO,25,0.3535668812380304,0.0038167043301416993,0.0818997107600037,0.04660217105437708,0.00017786670805724515,0.17786670805724517
GPS,25,0.1947755538161505,-0.01030015903531715,-0.11265096594373085,0.09143427177057743,-0.000941787540515357,-0.941787540515357
KG,25,-0.016285936872589758,-0.00569916363815102,-0.20752257838993943,0.027462860583016505,-0.0001565153364343386,-0.1565153364343386
VNO,25,0.32516814108821335,0.00718007400743053,0.18389549872077648,0.03904431624143569,0.0002803410801830301,0.2803410801830301
CI,25,0.25090150273937223,-0.002364905935402735,-0.06295008961363183,0.037567951847531846,-8.88446723051522e-05,-0.0888446723051522
MDP,25,0.3981333606050452,0.00875169541504552,0.18371760041087684,0.047636673870509495,0.0004169016603005567,0.4169016603005567
CTLT,25,0.5975221848869047,-0.006916802965516841,-0.10074207366320494,0.06865853276596921,-0.000474897543043691,-0.47489754304369103
PENN,25,0.7762684054620795,-0.004367203450828275,-0.09044832902374308,0.048283959449177495,-0.00021086587432610045,-0.21086587432610043
VRTS,25,0.5951533702601224,-0.010531368739018991,-0.13829996626000068,0.07614874409455939,-0.0008019505030729998,-0.8019505030729998
TT,25,0.6498096024924809,0.009271843621188547,0.25305734041645334,0.03663929924312802,0.0003397138529722149,0.3397138529722149
IT,25,0.33419930961235744,0.007355887578276116,0.2315044526624657,0.03177428120141182,0.00023372804039811752,0.2337280403981175
FDS,25,0.42306429310047045,0.004939425509300623,0.131863930105666,0.03745850366618478,0.00018502348854898402,0.185023488548984
MDT,25,0.29718111418191434,0.007668603611484352,0.25051935058992414,0.030610823449072053,0.00023474227125206383,0.23474227125206382
RCL,25,0.436172449199212,-0.005004701197221976,-0.068638041541358,0.07291439389636989,-0.00036491475442787714,-0.36491475442787713
TGT,25,0.26224556733104964,0.0005710806684704891,0.01355547749099577,0.04212914438829835,2.4059139939359177e-05,0.024059139939359177
GOOGL,25,0.4396544807060779,0.010226204857955553,0.28419877861215315,0.035982578489231594,0.00036796521894834713,0.3679652189483471
T,25,0.12512985832398515,0.012571107464778871,0.5078138467327025,0.024755345971091476,0.00031120211453037163,0.3112021145303716
ALGN,25,0.36951192285023843,0.01687026094080987,0.35400954513264193,0.047654819404626056,0.0008039492384432111,0.8039492384432111
TFC,25,0.5839577737105403,0.001969408867026666,0.07130125158138927,0.02762095788428926,5.439695937308937e-05,0.054396959373089374
UAA,25,0.5234824563101687,-0.004893441789310638,-0.09878403246298985,0.049536768922082634,-0.00024240529515074364,-0.24240529515074363
NAV,25,1.7019977075236865,0.000722827442132843,0.005702123127658934,0.12676461485488957,9.162894230851483e-05,0.09162894230851483
DISCA,25,0.4650457799266613,-0.0071670461319738275,-0.16342425906634483,0.043855460461743594,-0.00031431410826827054,-0.31431410826827055
PBI,25,0.6537894128491198,0.004291855434694472,0.0867993712795787,0.04944569726053094,0.00021221378450986728,0.21221378450986728
BKNG,25,0.4819640363711346,0.006974853750554174,0.09599959892630679,0.07265503011016074,0.0005067582092604811,0.5067582092604811
AWK,25,0.05074311417207079,0.01971752221506458,0.6686153328501496,0.029490083828938574,0.000581471383021213,0.581471383021213
IAC,25,0.5687633251587008,-0.006361082103776645,-0.0966187569441625,0.06583692757973293,-0.0004187941017950782,-0.4187941017950782
ABMD,25,0.3080266353193993,0.019137188619115824,0.18388594888815893,0.10407096754714648,0.001991625735723624,1.9916257357236238
KLAC,25,0.44208544604169114,0.01921021567834303,0.3771951358142018,0.050929118258315954,0.0009783593460500875,0.9783593460500875
PWR,25,0.5810344707247902,0.0015516888931941513,0.02006108420273837,0.07734820698187106,0.00012002035368225164,0.12002035368225164
CMX,25,0.3258805132054817,-0.010407307917150242,-0.2066433430298555,0.05036362538737389,-0.0005241497572304052,-0.5241497572304052
MO,25,0.09234634086882634,0.01077348413892976,0.3656761268583528,0.029461819756975666,0.0003174064478557848,0.3174064478557848
STE,25,0.3905183004217422,0.004825607868833553,0.1354476548290694,0.035627105356112035,0.00017192243995021626,0.17192243995021625
DXC,25,0.7400619868544003,0.028222801586755816,0.362412453374245,0.07787481176208798,0.002197845360967367,2.197845360967367
EIX,25,0.0995420658207152,0.011918226185510937,0.3537737131987798,0.033688840467393,0.00040151122061798375,0.4015112206179837
HSY,25,0.11542455690885749,0.009101499637941681,0.1997737798593697,0.045559030040622256,0.0004146554954196976,0.4146554954196976
BR,25,0.21042592282011655,0.011223249187758903,0.31503339633379207,0.03562558547242834,0.00039983482321686675,0.39983482321686675
RIG,25,1.1410903229155172,0.004006772110247011,0.03730473052584512,0.10740654211323349,0.000430353537397375,0.430353537397375
GM,25,0.6323010253892133,0.006402472114645535,0.14750526374075923,0.043405041639042054,0.00027789956872899507,0.27789956872899507
DTE,25,0.105775129839336,0.009901564126740913,0.3049736008864482,0.03246695483792905,0.00032147363532775565,0.32147363532775564
SHW,25,0.6340191980016288,0.008114570553170584,0.20577044351028506,0.039435063728017826,0.0003199986068897788,0.3199986068897788
