Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BF.B,25,0.23466179968616957,-0.00468493493192969,-0.14469435941262546,0.03237814487688247,-0.000151689501964787,-0.151689501964787
EXPD,25,0.1562988055778695,0.003113191951482868,0.12680304239713558,0.02455139792097917,7.643321440524557e-05,0.07643321440524557
PHM,25,0.4749960467161464,-0.0012134807768434824,-0.024892910419900157,0.04874804739076989,-5.9154818417354344e-05,-0.05915481841735434
CXO,25,0.37920905622548867,0.005162797970382763,0.07054354729899781,0.07318597048288936,0.00037784437986955395,0.37784437986955394
COP,25,0.5781397820084953,-0.007324200577829413,-0.0970168614721748,0.07549409934199997,-0.0005529339260233872,-0.5529339260233872
KHC,25,0.006061806305648335,0.005602667817170464,0.1294999968247153,0.04326384520884548,0.0002423929531986431,0.24239295319864312
ALB,25,0.365684207465679,0.018531619420132227,0.29898636091416386,0.061981487595189934,0.0011486173392077064,1.1486173392077064
CBOE,25,0.152668019980987,-0.00016174463430028243,-0.004780864914488957,0.033831667949892674,-5.472090760323977e-06,-0.005472090760323976
ETSY,25,0.5953475533592457,0.011925847111245589,0.11157159181720587,0.10688963845549848,0.001274749485996592,1.274749485996592
GS,25,0.7080738309113032,0.002658268422477043,0.0647122306855815,0.04107829994909031,0.0001091971476037071,0.10919714760370709
ZBH,25,-0.2092653805956129,0.0004204570754092985,0.00742526051131618,0.05662522880759769,2.3808478098824883e-05,0.023808478098824883
DTE,25,-0.020615513175561498,0.008253452709958732,0.2786357519803026,0.029620939349312887,0.0002444750221441097,0.2444750221441097
ODFL,25,0.6082157101009908,0.01162544147242145,0.27611392791056877,0.042103785058560474,0.0004894750889657075,0.48947508896570746
AVGO,25,0.676115493581657,0.010224512683452593,0.2093772894194516,0.04883295944752408,0.0004992932132417361,0.49929321324173603
POOL,25,0.2838432343743073,0.008089289257722782,0.20717294634395475,0.039046069481932746,0.0003158549504164959,0.3158549504164959
SNA,25,0.4044846089191987,-0.0012693094623028557,-0.032448354004764327,0.0391178382150443,-4.9652642191187975e-05,-0.04965264219118797
INTC,25,0.2955337663065825,0.0012544508104744558,0.038181550486098864,0.03285489443209427,4.121484894839334e-05,0.04121484894839334
ADM,25,0.32662359209027114,0.007101493509279466,0.15684897299457257,0.04527599622552325,0.000321527193321715,0.321527193321715
ED,25,-0.1581903750217358,0.007701816059894693,0.2701604249910087,0.02850830598208831,0.0002195657288532397,0.2195657288532397
VRTX,25,0.522815775311679,-0.017154553788448653,-0.22453987856053906,0.0763986954051173,-0.0013105855296943897,-1.3105855296943896
