Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BF.B,25,0.06851543607680843,-0.004288375522994789,-0.12478119507627781,0.0343671618177189,-0.0001473792955339068,-0.1473792955339068
EXPD,25,0.2652127550164738,0.0033063150827928353,0.1434105526844144,0.023054893945417165,7.622674358392199e-05,0.076226743583922
PHM,25,0.5782155473439643,-0.0005529151852836265,-0.011480435167936755,0.04816151802571396,-2.662923466272835e-05,-0.026629234662728353
CXO,25,0.6520204680836621,0.005628579134882844,0.08028004680439546,0.07011180684282649,0.0003946298531044694,0.3946298531044694
COP,25,1.0049538096385702,-0.00661759438524122,-0.09721332521285653,0.06807291460045684,-0.00045047893744698823,-0.45047893744698825
KHC,25,0.048633005079382896,0.005597756707832788,0.12953934648192744,0.04321279101569154,0.00024189469077226373,0.24189469077226372
ALB,25,0.4860983827067026,0.019026925223166447,0.3113188207882495,0.06111716977146087,0.0011628718190931548,1.1628718190931548
CBOE,25,0.26050093854266704,2.6423693354494954e-05,0.0008058495696646464,0.032789858491196006,8.664291659086458e-07,0.0008664291659086458
ETSY,25,1.3845427213748975,0.012540402494144176,0.1345823540150881,0.09318013929774377,0.0011685164512541277,1.1685164512541277
GS,25,0.41645373847740413,0.0037870364065532226,0.07360787961537701,0.051448790894964104,0.000194838444192373,0.194838444192373
ZBH,25,0.4008315872404156,-8.256869946013189e-05,-0.0015042912429960268,0.05488877226705359,-4.53209454105397e-06,-0.00453209454105397
DTE,25,0.09509198253169286,0.008185915791669761,0.27893430652040535,0.029347110055359657,0.00024023297164203904,0.24023297164203905
ODFL,25,0.43460728922318664,0.012570157853734677,0.25850257975899554,0.0486268178269399,0.000611246776009434,0.611246776009434
AVGO,25,0.8265689898483606,0.011163628843233997,0.2349122642811081,0.047522545821085886,0.0005305240632321836,0.5305240632321836
POOL,25,0.24741882311837612,0.008515749504342697,0.2118889845277546,0.04018967537799139,0.0003422452081798241,0.3422452081798241
SNA,25,0.21385358910615662,-0.0006167292171867923,-0.014284567666197462,0.043174510534624046,-2.6626982084441604e-05,-0.026626982084441603
INTC,25,0.5933376182072918,0.0015899041980092336,0.06319449269944726,0.025158904361663466,4.000024766192156e-05,0.04000024766192156
ADM,25,0.5554318133497769,0.007504680108622191,0.18010540800327315,0.041668266332601206,0.000312707009507044,0.312707009507044
ED,25,-0.010446289378067401,0.0074229287426209175,0.25066691596961793,0.02961271819181999,0.00021981309701319394,0.21981309701319393
VRTX,25,0.44681872754808544,-0.01636616905726171,-0.20853258006812128,0.07848255199218931,-0.001284458713949502,-1.284458713949502
HSIC,25,0.05334722076457568,-0.002019668979275021,-0.05288797050271212,0.03818768162358303,-7.712647596558141e-05,-0.0771264759655814
AES,25,0.4167296109117096,0.008632559726640208,0.17485495867900788,0.04936983081210487,0.00042618801317961737,0.42618801317961735
CB,25,0.011055792552555578,0.00439942445579736,0.20651467799361098,0.02130320468520628,9.372183967895341e-05,0.09372183967895341
XEL,25,-0.02552775182637308,0.005931294556310469,0.2104896099129963,0.02817856215687847,0.00016713535232574945,0.16713535232574944
EVRG,25,0.18218406711100907,0.012119127596295581,0.4131213778242171,0.029335513112691697,0.00035552082651551283,0.3555208265155128
CVX,25,0.22084941269017244,0.008795920238408843,0.24886673804229703,0.035343896527120076,0.0003108820947671235,0.31088209476712353
KEY,25,0.39812597116523385,0.010736863209517977,0.17586154396907422,0.06105293384326301,0.0006555169992148657,0.6555169992148656
