Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
ADP,25,0.18861637804692657,0.007102392718646634,0.251353003448823,0.0282566455192278,0.00020068979338914257,0.20068979338914256
ARE,25,0.46106662301221313,0.010509262189515551,0.26508430481498646,0.039644980855620286,0.00041663949831003815,0.41663949831003816
KLAC,25,0.32788236132854603,0.006284297886535504,0.16961792946410498,0.03704972644336756,0.00023283151758477335,0.23283151758477336
TTWO,25,0.3375318901147123,0.013774363862910848,0.3681276245823001,0.03741736002165031,0.0005154003317277452,0.5154003317277451
ZBH,25,0.35496105719294846,0.002432006314010718,0.040174375516324405,0.060536256824266,0.00014722455882318933,0.14722455882318933
V,25,0.34335636008552195,0.000947422881334356,0.03488924431374636,0.027155156265768456,2.5727416392399042e-05,0.025727416392399043
MDLZ,25,0.08218703382988939,0.0011617064693648363,0.02428576303035353,0.047834876257043225,5.557008520907352e-05,0.05557008520907352
FB,25,-0.057386677056393734,0.007366994443413728,0.16325890697892095,0.04512460961388717,0.0003324327482867205,0.3324327482867205
DHR,25,0.12469840441255359,0.007191524097722329,0.25456536663872137,0.02825020619528549,0.00020316203861902023,0.20316203861902024
GD,25,0.1503201101323941,0.010439661720700174,0.36034429759667913,0.028971352648918355,0.00030245112124581853,0.3024511212458185
HON,25,0.4458364832308801,0.0015125123801611566,0.07970549684356448,0.018976261864720796,2.870183099957024e-05,0.02870183099957024
LIN,25,0.7891301129710118,-0.0005384264551929804,-0.023171442180072045,0.023236639783087782,-1.2511221589004139e-05,-0.012511221589004138
MNST,25,-0.4543757724283841,0.002884911141550606,0.04755777967871275,0.060661182272180716,0.00017500212059664625,0.17500212059664624
OKE,25,0.7017855458774646,0.026020025389346616,0.3252179465897435,0.08000796285135642,0.002081809224742195,2.081809224742195
AMD,25,1.8038283181316632,0.042660173967618426,0.3759693895791301,0.11346714692750208,0.004840528227536559,4.840528227536559
ROK,25,0.9808907721853031,0.009013744583427954,0.31199715936703715,0.02889047003413284,0.0002604113177828525,0.2604113177828525
VTR,25,0.4041384445814617,0.001309178037289761,0.022961931553688756,0.05701515285108695,7.464298590536173e-05,0.07464298590536173
FLS,25,1.4574530367266056,-0.003945912211426933,-0.1106054022756951,0.035675583020722164,-0.0001407727186912429,-0.14077271869124292
XRAY,25,0.32912155251394554,-0.005018611275102312,-0.14556389594757946,0.03447703321234007,-0.00017302682761152676,-0.17302682761152677
GPS,25,0.747430781046747,-0.008085910003966277,-0.08444359482327564,0.09575516083710726,-0.0007742676129441655,-0.7742676129441655
MCO,25,0.9713961450809093,-0.003911490242339276,-0.11702968874318756,0.033423059433429186,-0.00013073397084298398,-0.13073397084298397
UTX,25,0.5714530360727027,0.0028829261177001258,0.09806858923854055,0.029397038746909472,8.47494907865079e-05,0.0847494907865079
ZTS,25,0.3355994343501453,0.005559560420669997,0.17914288932050443,0.031034223249148285,0.00017253663926220143,0.17253663926220142
UNM,25,1.1771054604621245,0.006966740170747955,0.13366810650050526,0.05211968922984348,0.0003631043326444501,0.36310433264445013
PSX,25,0.8790458130937991,-0.006475923227256233,-0.21178083122690677,0.03057842010412067,-0.000198023501005074,-0.198023501005074
PNC,25,0.7975413848210908,0.005695735991564418,0.15862861422415664,0.03590610697459555,0.00020451170581216603,0.20451170581216604
TWTR,25,1.1885868056602071,-0.013110316994764611,-0.13837207963450826,0.094746837869271,-0.0012421610787177108,-1.2421610787177109
LNC,25,1.71418555845769,0.004690191776266978,0.07495129437469626,0.06257652806927905,0.0002934959173378723,0.2934959173378723
A,25,0.7038468951734429,0.0025097480025838012,0.07487496225061592,0.03351918888697879,8.412471735732416e-05,0.08412471735732416
CLX,25,-0.18839657883594046,0.0007350490902866943,0.024505311182174905,0.029995501172062938,2.2048165849218337e-05,0.022048165849218336
DUK,25,-0.18029036600864584,0.004644315459176528,0.1714287431148634,0.02709181304598769,0.00012582292614660097,0.12582292614660096
LLY,25,-0.36670301742796985,0.0027585033179465955,0.05786667550814891,0.04766998092983823,0.00013149780056140968,0.13149780056140967
BK,25,0.8661551132481704,-0.0003850681617660074,-0.009178935361023047,0.04195128809830612,-1.6154105391730924e-05,-0.016154105391730924
LNT,25,-0.22726901929657758,0.008385398330643213,0.25326771144985016,0.0331088328734854,0.0002776307519068696,0.27763075190686964
MCK,25,0.6823540015865739,-0.013269300507534328,-0.1890773285171324,0.07017922567237875,-0.0009312292348328615,-0.9312292348328615
PEP,25,-0.013204314557275417,0.0032115720214703648,0.1327080664532191,0.024200277400639212,7.772093381171446e-05,0.07772093381171447
CL,25,0.1121234388603817,5.644557324366436e-05,0.0022598747041326804,0.024977302122299594,1.409858136373395e-06,0.001409858136373395
HAL,25,1.0580478253335688,0.01308221393761105,0.2649157224073846,0.04938255011340308,0.0006460330853683379,0.6460330853683379
ADSK,25,1.2067258607646758,0.008905794961185716,0.23674574202664467,0.037617550731634315,0.0003350141937579369,0.3350141937579369
REGN,25,-0.04368832163063896,-0.007890031157141037,-0.12070468260482511,0.0653664049055346,-0.0005157429713349646,-0.5157429713349646
PSA,25,0.19471549166384186,-0.006888651453743401,-0.1616961844967063,0.04260243663253366,-0.00029347333704171413,-0.29347333704171413
VLO,25,0.832699707828998,-0.00785758517208215,-0.14151598959708903,0.0555243629674182,-0.0004362874111420925,-0.43628741114209246
BKNG,25,0.7499692465435023,0.007528258781645189,0.1899852569492043,0.039625489380252246,0.00029831093840387217,0.2983109384038722
K,25,-0.07622847091412387,0.0012358234300534443,0.05561741023136472,0.022220082253245902,2.7460098266276014e-05,0.027460098266276014
KMB,25,0.04460844831856147,-0.001321085161875949,-0.0363219832961316,0.03637150403118677,-4.80498542907121e-05,-0.048049854290712096
ATVI,25,0.02108957458781723,0.005105102361681641,0.08221204878482072,0.06209676607188781,0.00031701034712638683,0.3170103471263868
EA,25,0.33373218957196243,0.005735848835224223,0.13012107106879925,0.04408086090984828,0.00025284115470543424,0.2528411547054342
EW,25,0.020806208654101314,0.007603960439387012,0.11718729345986736,0.06488724344496537,0.0004934000321763909,0.49340003217639083
DVN,25,1.3038637959049288,0.007182580028580297,0.07713587751291323,0.093115943710861,0.0006688127176400373,0.6688127176400374
AEE,25,-0.09771612635247826,0.008400685467010796,0.28938218482683886,0.029029725765729555,0.00024386959535147314,0.24386959535147312
ACN,25,0.7129209028242849,-0.0033230065776886607,-0.08564209364612839,0.0388010899338737,-0.00012893627707175157,-0.12893627707175156
AFL,25,0.25999420113776234,0.005985809052341334,0.263018654034542,0.022758116051933043,0.00013622573707789543,0.13622573707789543
EVRG,25,0.08853616173865023,0.009400037136837866,0.34692417807803444,0.027095364724690634,0.00025469743464825865,0.25469743464825867
COP,25,1.4100097527926592,-0.00421446644279619,-0.06487018346103633,0.0649676972985219,-0.0002738041801303613,-0.2738041801303613
HUM,25,1.0837810309031848,-0.003465305334748833,-0.07491698113682921,0.04625527193120289,-0.00016028864058345533,-0.16028864058345532
HOG,25,0.8881001800457512,0.0077102120459708705,0.16333199871363935,0.04720576559825698,0.0003639664625549583,0.3639664625549583
DG,25,0.25491766672502525,-0.004158723172912822,-0.06639227084216269,0.06263866441320466,-0.00026049686521550393,-0.2604968652155039
MTD,25,0.5249128466588225,0.006096865289738366,0.28722186227515367,0.021227023742007745,0.0001294183042570992,0.12941830425709921
SNPS,25,0.2981570848891841,0.011564630934573545,0.4871261010677975,0.023740528190182106,0.00027455044671129527,0.27455044671129525
TIF,25,0.7584656979574397,0.0005996458597632062,0.013025466483415417,0.04603642107764056,2.760554929752276e-05,0.02760554929752276
ABC,25,0.5633401213875621,-0.008408230225328304,-0.14497853944940553,0.05799637834165518,-0.0004876469013318809,-0.4876469013318809
PM,25,0.030037505864454157,0.004083505689908672,0.1327578917023476,0.030759042928040575,0.0001256047268127988,0.1256047268127988
BAC,25,1.3192668020044862,0.006242245578223726,0.11791210556297382,0.05293981943940356,0.00033046335380757934,0.33046335380757935
MMM,25,0.25392502186934074,0.004564324056600978,0.22464753165441606,0.0203177129211571,9.273662586114988e-05,0.09273662586114988
AGN,25,-0.09056360487071849,-0.010982348680007687,-0.17739950615105704,0.06190743660050627,-0.0006798890546322297,-0.6798890546322297
MA,25,0.49006317705846186,0.0031428983101587735,0.11960970517787359,0.026276281723836014,8.258368142710007e-05,0.08258368142710007
IBM,25,0.6587869276505947,0.008572236752080388,0.32459745349088304,0.026408823174335704,0.00022638268459423277,0.22638268459423277
CE,25,1.2159687817278075,-0.00020536182455309013,-0.004636671639546763,0.044290784536375825,-9.095636323277929e-06,-0.00909563632327793
KMI,25,0.9660201044631339,0.0024683373223507825,0.039763107840765415,0.06207606639389052,0.0001532246715047651,0.1532246715047651
ISRG,25,0.1608577009384911,0.007828060882421096,0.23920962173605126,0.032724690694334764,0.0002561708711136516,0.2561708711136516
