Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
ADP,25,0.23315649593939347,0.004456457036267255,0.15556042981304635,0.028647754712577342,0.0001276674880621237,0.12766748806212372
ARE,25,0.02658570262828994,-0.006340579966126585,-0.14268943443163917,0.04443622606945213,-0.00028175144478624,-0.28175144478624004
KLAC,25,0.2916504399888551,0.009115435483126988,0.1624893078959051,0.05609867874485978,0.0005113638867874366,0.5113638867874366
TTWO,25,0.06771724203839852,0.0068979970404646485,0.12785362718686968,0.053952298360551,0.0003721627944173465,0.3721627944173465
ZBH,25,0.017874535178177137,-0.004922300452280905,-0.15619426396109173,0.03151396426124239,-0.00015512120053627767,-0.15512120053627768
V,25,0.11591026548625319,0.00827217386511747,0.24801037629145078,0.033354144245143914,0.00027591128031803777,0.27591128031803774
MDLZ,25,0.3134393236300041,0.013017931782803402,0.3404894055173446,0.03823300100343435,0.0004977145989145624,0.4977145989145624
FB,25,0.37847481479114814,0.02206167202845411,0.4889610780011448,0.04511948500817576,0.0009954112803431257,0.9954112803431258
DHR,25,0.26891664207148674,0.00587026464578133,0.22249461780163046,0.026383850107399374,0.0001548801825050605,0.1548801825050605
GD,25,0.30981426441683846,0.004974338954312274,0.17851537130301304,0.027865045558843234,0.00013861018158704014,0.13861018158704014
HON,25,0.2980227109060661,0.0068506555007016075,0.23960370664243558,0.028591609022664034,0.0001958712636250231,0.1958712636250231
LIN,25,0.1721076144212282,-0.00432697827974595,-0.1374466039727771,0.031481158171088444,-0.00013621828762754644,-0.13621828762754645
MNST,25,0.05895086948986797,0.006465204091738969,0.11937940202509612,0.05415678066790655,0.0003501346399695593,0.35013463996955935
OKE,25,1.137895780489639,-0.003033002261227203,-0.047830721105858565,0.06341117572772083,-0.00019232623936925281,-0.1923262393692528
AMD,25,0.8655863361592651,0.005842399369028401,0.04562810329351632,0.12804387969943506,0.0007480834819639278,0.7480834819639278
ROK,25,0.4378209580749981,0.0014994069198263765,0.03985573318102575,0.03762085903716869,5.6408976370143406e-05,0.05640897637014341
VTR,25,0.09540934006301194,-0.016590320562217792,-0.24908924694540616,0.06660392114740286,-0.0011049804025360902,-1.10498040253609
FLS,25,0.5973231922172282,-0.005881111114462656,-0.12408025619041133,0.04739763839170036,-0.00027875077794471085,-0.27875077794471087
XRAY,25,0.33149580150321967,0.011569654360736824,0.3099808801919173,0.037323767690361255,0.0004318230916179163,0.43182309161791627
GPS,25,0.3165020601853544,-0.014288092824610332,-0.3822852960349012,0.03737547055251082,-0.0005340241926177646,-0.5340241926177647
MCO,25,0.3905916108213009,0.0065676970601112935,0.17309976992532605,0.0379416856703192,0.0002491894974326222,0.2491894974326222
UTX,25,0.30757685630357207,-0.0065627126618464865,-0.1975761726773156,0.03321611393173816,-0.00021798781147715348,-0.2179878114771535
ZTS,25,0.17043502678752778,0.0026753452231923973,0.05045387634387589,0.053025563486107284,0.00014186168797964232,0.14186168797964233
UNM,25,0.42772504252220483,0.0032199216528649927,0.07897899902320839,0.04076933985854647,0.00013127408018354558,0.13127408018354558
PSX,25,0.5320547193307367,0.013262034730940897,0.4481188511265546,0.029594904783855045,0.0003924886551023745,0.3924886551023745
PNC,25,0.17220433739113883,0.0038117900307406277,0.11001949968250828,0.03464649486446133,0.00013206516372446005,0.13206516372446003
TWTR,25,0.7321555775386185,-0.02058303202212773,-0.2037533465351023,0.10101935684566397,-0.0020792846568090497,-2.0792846568090497
LNC,25,0.6196040441414389,-0.00033098221253681503,-0.006484951218158819,0.05103850459352972,-1.6892837174936864e-05,-0.016892837174936864
A,25,0.40487908670568085,0.005692234252161529,0.14701315386603594,0.03871921731131972,0.00022039885499637973,0.22039885499637973
CLX,25,0.0047587096530751095,0.008303940850770648,0.307714652865483,0.02698584800380209,0.00022408888563145972,0.2240888856314597
DUK,25,-0.17243024925425957,-0.006759510904448906,-0.16530178293457462,0.04089194190436698,-0.00027640952720665976,-0.27640952720665973
LLY,25,0.039478722449277526,0.005607287751286136,0.12580897517837736,0.04456985476064711,0.00024991600067597857,0.24991600067597858
BK,25,0.27936632181429677,0.004562519712826551,0.1154242115833831,0.039528272710189244,0.00018034852345422223,0.18034852345422223
LNT,25,-0.06773659457273647,-0.00174151550973989,-0.042888178573300705,0.04060595641205524,-7.071590287941615e-05,-0.07071590287941615
MCK,25,0.29834400830158914,-0.006661403865943721,-0.13667623763657974,0.04873856627262673,-0.00032466727378902997,-0.32466727378903
PEP,25,0.1741184776173038,0.005516805182370325,0.22338082290532063,0.024696861219410084,0.00013624777196352225,0.13624777196352225
CL,25,0.12718195188874118,0.0020608475684187944,0.07313000174156363,0.028180603300156988,5.807592778770318e-05,0.05807592778770318
HAL,25,0.7286885769504081,0.0014665040829061962,0.03647890330882815,0.040201430138698604,5.8955561437069714e-05,0.05895556143706972
ADSK,25,0.4902961262771265,0.001900521926960187,0.026840544143748774,0.07080787620331547,0.00013457192132588347,0.13457192132588347
REGN,25,0.07452765015647028,0.0018420116515441404,0.026936866554066168,0.06838255102340719,0.00012596145574742773,0.12596145574742773
PSA,25,-0.11180135091002899,0.008680620615864151,0.2659415386506325,0.032641085931550864,0.00028334488346161375,0.28334488346161374
VLO,25,0.1421897722132809,0.01215577705968356,0.23644859958385164,0.051409807802108645,0.0006249261623236131,0.6249261623236131
