Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AVGO,25,0.5170745356101311,0.0054581160680372606,0.11221402816651145,0.04864022936542395,0.0002654840174524383,0.26548401745243827
SWK,25,0.7390379088051169,0.007107055790876189,0.233310582879479,0.030461780615187412,0.00021649357432156774,0.21649357432156774
AMT,25,-0.1774959759538019,0.017044019686359616,0.4476623217613951,0.03807338446375684,0.0006489235143266099,0.6489235143266099
LRCX,25,0.5352589977028446,0.026723524254487988,0.46682140158872737,0.05724571359312181,0.0015298072156712634,1.5298072156712634
DVA,25,0.6870345712921698,0.009255443029289276,0.20575676174910817,0.04498244893927231,0.0004163324934753487,0.4163324934753487
TDG,25,0.33055664461332535,0.022184463605665988,0.4124395018438531,0.05378840655778137,0.0011932669476878665,1.1932669476878663
MKTX,25,0.09710092661337971,0.023017432863823975,0.330679234306154,0.06960652643375138,0.0016021635490728614,1.6021635490728614
WBA,25,0.2043753313547011,-0.0063998702881276305,-0.12760683911222181,0.0501530351558929,-0.0003209729195536195,-0.3209729195536195
DISCA,25,0.6892077271431143,0.005287357374455,0.13329485830348486,0.03966662661823594,0.0002097316307696828,0.2097316307696828
FIS,25,-0.024299222809924942,0.013750827032063661,0.499917902062803,0.02750617046383786,0.0003782325923626927,0.3782325923626927
HD,25,0.33351528951727416,0.008157932642989987,0.25756506263670237,0.03167328891378726,0.00025838855754063797,0.258388557540638
PEP,25,-0.07046167063103113,0.010647542608713551,0.4088684422149329,0.026041487944223337,0.00027727785248041827,0.27727785248041825
AMP,25,0.7630987987983464,0.013019658558354675,0.3258055611739631,0.03996143746423917,0.0005202842712854367,0.5202842712854368
IRM,25,0.215019627898062,0.0001776453271769879,0.005085194502637497,0.03493383135784679,6.205831901110413e-06,0.006205831901110413
FFIV,25,0.8160745396960868,-0.013498350105872872,-0.4150604556900148,0.032521407233152624,-0.0004389853407687605,-0.4389853407687605
NEM,25,0.10903587011168041,0.009139604394074593,0.1717911682992025,0.05320182920088461,0.000486243671937211,0.48624367193721096
EBAY,25,0.4902941740355229,0.005732853626148296,0.15628663304872079,0.03668166313597105,0.0002102906055222019,0.2102906055222019
ANTM,25,0.2632632749846891,0.004208776804164446,0.0757854593114586,0.055535413289077844,0.00023373615926075675,0.23373615926075675
PAYC,25,0.11026302178031266,0.03081339958833064,0.40402695249507914,0.076265703062733,0.002350005583356964,2.350005583356964
XLNX,25,0.9436970140487159,-0.002800416705069359,-0.04879901804605087,0.0573867429550867,-0.00016070679362094613,-0.16070679362094614
LYB,25,0.7610231766643953,-3.82725358761167e-05,-0.0010398729992287256,0.036805009750713276,-1.408621056104999e-06,-0.001408621056104999
ED,25,-0.15953491678980958,0.009401086680199166,0.4062438434677956,0.023141487142178497,0.00021755512653233452,0.21755512653233453
PGR,25,-0.01689389356910251,0.009452438034320559,0.23860664042683366,0.039615150766179344,0.00037445975783757687,0.37445975783757685
VAR,25,0.6812031092702215,0.0030850174084979306,0.06770055254749885,0.04556857060115538,0.00014057983358493136,0.14057983358493137
VRSK,25,0.03497022409513593,0.012684065983892448,0.417904917211346,0.03035155955697398,0.0003849811841346994,0.3849811841346994
IP,25,0.6209930636847774,0.0016266381398223591,0.05788296489576723,0.028102191080770108,4.571209582455638e-05,0.045712095824556376
TROW,25,0.37036822444513395,0.009411193349066422,0.3893453202948885,0.024171841443833005,0.00022748587343088925,0.22748587343088925
AIV,25,0.08009099163569597,0.00705531245062007,0.2511280421445491,0.028094482760149253,0.00019821535401141194,0.19821535401141194
RE,25,0.0068571272090732025,0.010454803827881309,0.3448968267439138,0.03031284435575283,0.000316914841204495,0.31691484120449503
UPS,25,0.3159092159028907,0.0067250099084022585,0.19155881556507884,0.035106762842337325,0.00023609332796664675,0.23609332796664675
