Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AVGO,25,0.10114631705107727,0.01532550421022944,0.4119296649660831,0.037204177105067904,0.0005701727728618399,0.57017277286184
SWK,25,0.1812567952028004,0.014724275816014362,0.7251424111116979,0.020305357389648386,0.00029898168274792826,0.29898168274792825
AMT,25,-0.11195723889218082,0.01392050639667873,0.5481899896040382,0.02539358007382371,0.0003534914938522365,0.3534914938522365
LRCX,25,-0.29223128918076763,0.025728957362606924,0.5515444715412927,0.04664892622476529,0.001200228233848382,1.200228233848382
DVA,25,0.35691868196149656,0.001426740656690152,0.024298524240138893,0.058717173215536676,8.37741782725242e-05,0.0837741782725242
TDG,25,0.37481349078178333,0.003878932922934749,0.06907091896364394,0.05615869864097882,0.00021783582506766368,0.21783582506766366
MKTX,25,0.14449765803171197,0.011614584341220797,0.20525770123747544,0.056585376681107614,0.0006572156299424729,0.657215629942473
WBA,25,0.28934746854148036,-0.006987696260085809,-0.18555898786621552,0.037657546748012034,-0.0002631394985750902,-0.26313949857509017
DISCA,25,0.5542492537035361,-0.013023447380844305,-0.21200647526420174,0.06142947928649127,-0.0008000235911202842,-0.8000235911202842
FIS,25,0.055404679786278214,0.00881099828087825,0.52895771072686,0.01665728299672716,0.0001467672918482655,0.1467672918482655
HD,25,0.20275510078961656,0.012900758610621493,0.5034166993089491,0.02562640180258351,0.00033060002371392537,0.3306000237139254
PEP,25,-0.06907771713319676,0.007018792212542022,0.33130721104388955,0.021185147737735822,0.0001486941499631724,0.1486941499631724
AMP,25,0.6190207993935852,0.012563317360212645,0.39571827107724783,0.031748135677465775,0.00039886190411109223,0.39886190411109224
IRM,25,-0.19202230327336844,0.010526197478972951,0.32877728610146384,0.032016194317403254,0.00033700878391015827,0.33700878391015826
FFIV,25,0.3625081036776354,-0.0070676081166006575,-0.24441544302887339,0.028916372995980225,-0.0002043695924890419,-0.2043695924890419
NEM,25,-0.2375722531286961,0.006363093205663444,0.17870397284809406,0.035606892808546245,0.00022656997770484716,0.22656997770484716
EBAY,25,0.11680701423291015,0.008685806302863704,0.23343793344081532,0.03720820423157944,0.00032318325483289263,0.3231832548328926
ANTM,25,0.22795326190774418,0.016130985247022125,0.4449032430740421,0.036257288518657886,0.0005848657861914951,0.5848657861914951
PAYC,25,-0.14344232109734867,0.02430991993328751,0.5581134085836085,0.04355731211508019,0.0010588747700268134,1.0588747700268133
XLNX,25,-0.036449126360670596,0.005396713305607327,0.12324624647415276,0.04378805407870273,0.00023631157407318822,0.23631157407318823
LYB,25,0.3509802190381284,0.008620363754873062,0.2985374930681038,0.02887531367092489,0.00024891570737943156,0.24891570737943156
ED,25,-0.0758686035324905,0.00783841931329985,0.3763091610204148,0.02082973290377753,0.00016327218068384715,0.16327218068384713
PGR,25,0.08805650250006512,0.018506236438179693,0.5577727376837945,0.033178811347124346,0.0006140149275276424,0.6140149275276424
VAR,25,-0.012007453554299415,0.009061915934209795,0.1903309410516429,0.04761136515240056,0.0004314501885240196,0.43145018852401956
VRSK,25,0.13829065932219695,0.005597345008906735,0.18265878313650835,0.030643722205921032,0.00017152348554363658,0.17152348554363658
IP,25,-0.006704353793670167,0.004918152016558199,0.1349156954117388,0.036453520115275466,0.0001792839534655869,0.1792839534655869
TROW,25,0.2322734215307361,0.012385019021113346,0.36039575173579563,0.03436505275509669,0.0004256118320334361,0.42561183203343605
AIV,25,0.008588140051275166,-0.0004552775504244993,-0.021979049705500357,0.020714159917048825,-9.430691986135339e-06,-0.009430691986135338
RE,25,0.1887796529143039,0.00019415229700922338,0.005098639627526947,0.038079235088712346,7.39317096082772e-06,0.0073931709608277205
UPS,25,-0.015649070766912097,0.002872408052254513,0.13200192547306372,0.021760349646116763,6.250460354337943e-05,0.06250460354337943
LEG,25,0.017685391597697137,-0.00010078948996028358,-0.0029060665520726442,0.034682443830613315,-3.4956258242636997e-06,-0.0034956258242637
SIVB,25,0.8367093833888195,0.005146409100259507,0.1118342589259811,0.04601818038304096,0.0002368283823006655,0.2368283823006655
KEYS,25,0.2545401731104916,0.0033130133311521214,0.09904700343080478,0.03344890018269584,0.00011081665221764795,0.11081665221764794
EA,25,-0.2597994003865865,0.01406351525666119,0.3570930489162757,0.03938333523808953,0.0005538681359790744,0.5538681359790744
WMB,25,0.15337968409557032,-0.0006066626817687122,-0.017686946725202754,0.034300023129727485,-2.0808544016609333e-05,-0.020808544016609334
CXO,25,0.10754124788704911,0.004272865686326807,0.08377804009690044,0.05100221587166123,0.00021792561812465373,0.21792561812465372
T,25,0.11181505774533178,-0.0017549339019846052,-0.04910778183067295,0.035736370826842466,-6.271496869791947e-05,-0.06271496869791947
COO,25,-0.038546273581560556,0.009576469103413575,0.28336535155370285,0.033795483642955766,0.00032364140494168473,0.32364140494168475
HFC,25,0.4041214248306383,0.014291395114393993,0.23823103073577145,0.05998964564043283,0.0008573357286199086,0.8573357286199086
TFX,25,0.12217493585974805,0.016916187241613416,0.40982149719638405,0.0412769641352105,0.0006982488540765824,0.6982488540765824
DRI,25,0.0996557181780085,0.011969061678544774,0.3423914750719581,0.034957242075111,0.0004184053865088241,0.4184053865088241
FCX,25,0.2836964669026379,0.012490571176736015,0.16768077037552362,0.07449018243870893,0.000930424925718745,0.930424925718745
EXR,25,-0.16918071576599514,0.008294422322775927,0.19425715645554095,0.04269815575455644,0.0003541565362319563,0.3541565362319563
HCA,25,0.2957966702020865,0.00427820875139623,0.10908326361444254,0.039219662207006054,0.0001677899020808173,0.1677899020808173
MAA,25,-0.24233680768386764,0.0047174578388923544,0.17086470782657323,0.027609316744804602,0.0001302457877042404,0.1302457877042404
CERN,25,-0.15765932942013022,0.015903418286715473,0.41851161008894006,0.037999945290253134,0.0006043290248231992,0.6043290248231992
CNC,25,0.09772124818665097,0.023053861617073627,0.5515881520237342,0.041795425685796174,0.0009635459599870295,0.9635459599870295
ADS,25,0.19999031043249546,0.0019301201736246242,0.04799043386002699,0.040218852349911606,7.762721828059452e-05,0.07762721828059452
BAX,25,-0.11513508859259569,0.016731524365566665,0.7430421095970619,0.022517599136662476,0.0003767537586091311,0.3767537586091311
NTRS,25,0.35345098142167997,0.002150819090165562,0.05892682784370237,0.03649982815756515,7.850452718905365e-05,0.07850452718905365
NFLX,25,-0.023072023024317826,0.017917916169694216,0.3129544694537017,0.05725406702442057,0.0010258735733176217,1.0258735733176216
AME,25,0.22524160293930723,0.01431082655909966,0.6088111954173588,0.023506181664890616,0.00033639288887293806,0.33639288887293806
