Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AVGO,25,0.5131622438161835,0.007526504407369182,0.16137707392710765,0.04663924202002092,0.00035103046062004537,0.3510304606200454
SWK,25,0.6605533429252833,0.010468131805278393,0.35409919169256776,0.029562710254269438,0.00030946634746294757,0.30946634746294754
AMT,25,-0.30289551054331115,0.017037843244158267,0.48646842890125763,0.03502353335167116,0.0005967254711023222,0.5967254711023222
LRCX,25,0.527518103630618,0.028885150906037566,0.5199953973459286,0.05554885880426674,0.0016045371692194183,1.6045371692194184
DVA,25,0.6867067333068845,0.011976654359856126,0.29352883888547915,0.040802308915645735,0.000488675150966765,0.48867515096676495
TDG,25,0.2630180267706445,0.023867920543820306,0.4400259560926668,0.054242074162538415,0.0012946455162434751,1.2946455162434751
MKTX,25,0.032808420619315055,0.02375880878568227,0.3406144174661011,0.06975279837661837,0.0016572433988963243,1.6572433988963242
WBA,25,0.3266244172430847,-0.00626980576657841,-0.1316207149059759,0.04763540276359451,-0.00029866472294047,-0.29866472294047
DISCA,25,0.5298137092740324,0.008900511695014037,0.20678582282548777,0.04304217558727623,0.0003830973871933998,0.3830973871933998
FIS,25,0.012837708189990742,0.013448414586986148,0.4886152895765681,0.027523523872207287,0.00037014775992825393,0.37014775992825394
HD,25,0.15295697695526045,0.010480731980147944,0.30150437828135973,0.03476145865572628,0.000364325531409661,0.364325531409661
PEP,25,-0.05831216353707289,0.01030117446096847,0.39516645030118047,0.026067937835100415,0.0002685303754770501,0.2685303754770501
AMP,25,0.7047659579001332,0.016364062896818167,0.4319206481886324,0.03788673443940448,0.0006199809053214619,0.6199809053214619
IRM,25,0.09877656766016009,0.0016742587036621625,0.046336944526011024,0.036132263807820246,6.0494757163260394e-05,0.060494757163260394
FFIV,25,0.683127842957511,-0.009529906769146286,-0.2742278249276819,0.034751786299072565,-0.0003311812834914568,-0.3311812834914568
NEM,25,0.0916193650352062,0.009667904471910365,0.18164206373131384,0.053225030993983825,0.000514574515164304,0.514574515164304
EBAY,25,0.3738098512511354,0.008320386697159862,0.2152263283786061,0.038658777296629865,0.00032165597634734483,0.32165597634734483
ANTM,25,0.42765106707131456,0.004337920422795533,0.0841671761386217,0.05153933661325483,0.0002235735408719717,0.22357354087197168
PAYC,25,0.1599626020419365,0.030973841556265185,0.4080156319034366,0.07591336981813393,0.002351328688749044,2.351328688749044
XLNX,25,0.9180089088525492,0.0010775379148125703,0.02046698493996953,0.05264761360664657,5.6729799785563845e-05,0.05672979978556385
LYB,25,0.6322130202562615,0.0036892974332070863,0.09508808046995298,0.03879873707591429,0.0001431400811058472,0.1431400811058472
ED,25,-0.12999346949873497,0.008605570071874489,0.36884111081768317,0.023331374457681294,0.00020077977776871903,0.20077977776871903
PGR,25,-0.05119483289533268,0.009576052558145061,0.2423399985117394,0.03951494848953372,0.0003783972235681697,0.37839722356816974
VAR,25,0.7963362936515529,0.005141957867938141,0.15091934277749713,0.03407090021269847,0.00017519113341642016,0.17519113341642018
VRSK,25,-0.004585518463841678,0.01304214830047127,0.4289965399990206,0.03040152328618092,0.0003965011752586022,0.3965011752586022
IP,25,0.48441720451708653,0.004843072158640515,0.15361080269167685,0.03152820032039927,0.00015269334918376667,0.15269334918376667
TROW,25,0.32735503539957966,0.0111160338515869,0.4620761085498013,0.024056716298260734,0.00026741527272948864,0.2674152727294886
AIV,25,-0.014290981084020401,0.007896456039718322,0.2783287793084136,0.028370964940597574,0.0002240300774578185,0.2240300774578185
RE,25,0.09321108213818775,0.010002396495445048,0.3352243776382682,0.029837915028477945,0.00029845065671223496,0.298450656712235
UPS,25,0.1772356141284101,0.008745523518265904,0.23523856338144855,0.03717725271126016,0.0003251345379308406,0.3251345379308406
LEG,25,0.8085155406142199,0.011263312152376165,0.2396215664106394,0.047004584441595006,0.0005294273071584086,0.5294273071584086
SIVB,25,0.9376032698374144,0.00583710193181367,0.13810385105728443,0.04226603304054486,0.0002467111431110648,0.24671114311106482
KEYS,25,0.7603548584497045,0.017395551191599405,0.3963410880799927,0.043890355339814016,0.0007634969231312231,0.7634969231312231
EA,25,0.250496529843002,0.011120438811318176,0.2331859846789521,0.04768913889326871,0.0005303241510270485,0.5303241510270484
WMB,25,0.5002963261925814,0.0033586805625444274,0.07390708480484084,0.0454446359427295,0.00015263401541275345,0.15263401541275345
CXO,25,1.024899939169903,-0.012736114114964937,-0.15608437480557544,0.08159762391866271,-0.0010392366497380806,-1.0392366497380807
T,25,0.010787568853856852,0.01602665333145436,0.4682790974573624,0.03422457551164477,0.0005485054071413129,0.5485054071413129
COO,25,0.23262534694158352,0.008785224680788128,0.2463192940693506,0.03566600299818442,0.00031333384980471315,0.3133338498047131
HFC,25,0.49697607628422663,-0.002846069749063788,-0.05997879789680146,0.04745126359419022,-0.00013504960587027662,-0.13504960587027662
TFX,25,0.16665118075354324,0.01442666967532099,0.36457364639993856,0.03957134537227324,0.0005708827282938279,0.5708827282938279
DRI,25,0.34071080080803723,0.0029893523746229345,0.08444049289263302,0.035401882109143155,0.00010582870034908827,0.10582870034908827
FCX,25,1.3443765571833677,0.002026261453566355,0.052899730673360845,0.03830381417398664,7.761354218531774e-05,0.07761354218531774
EXR,25,-0.30167873060521105,0.009008722203923045,0.3145643047797196,0.028638730037190956,0.00025799836317820003,0.2579983631782
HCA,25,0.599022077312358,0.005067171884705623,0.13344421721374608,0.037972210340064504,0.000192411716635303,0.192411716635303
MAA,25,-0.0696278807810688,0.01424038439537373,0.5546837957659382,0.02567297711610597,0.00036559306270698234,0.36559306270698233
CERN,25,0.12324466326764767,0.01302965462672672,0.33231092921146416,0.03920922690579152,0.0005108826847634243,0.5108826847634242
CNC,25,0.6330166820805656,0.0013218786149073328,0.020523599597167576,0.06440773747553342,8.513921080347324e-05,0.08513921080347324
ADS,25,0.39825430795377437,-0.014240243823668605,-0.2269099491180489,0.06275724744118726,-0.0008936785052648092,-0.8936785052648092
BAX,25,0.13132230482633378,0.009849754890129537,0.2537694186175412,0.03881379775304689,0.00038230639422257246,0.38230639422257245
NTRS,25,0.5841806062403939,0.008103818631936894,0.26804897610462536,0.030232604316211963,0.00024499954214969426,0.24499954214969424
NFLX,25,0.47867407323593847,0.00737543853594815,0.09940491795213864,0.07419591191151395,0.0005472273879219944,0.5472273879219944
AME,25,0.35569223807965455,0.014441238417940398,0.6704358406882751,0.021540075189170824,0.0003110653613471785,0.3110653613471785
JNJ,25,-0.01907503326236398,0.006641396109187639,0.24508705904325145,0.02709811009652536,0.0001799692829614018,0.1799692829614018
CFG,25,0.6947729683510495,0.010206427971075176,0.3034333552472694,0.03363647336252109,0.0003433082425755603,0.3433082425755603
PRU,25,0.683960027908527,0.0036832356249907657,0.10611706683401571,0.034709172943424293,0.00012784206229918597,0.12784206229918596
IEX,25,0.3671645764292212,0.011641902172197361,0.39278199692178717,0.02963960228176028,0.0003450613501870909,0.3450613501870909
MXIM,25,0.5358924640506536,0.005226741020111439,0.13346388861882516,0.03916221139816395,0.00020469073675305924,0.20469073675305924
RJF,25,0.5866872012735744,0.005508014556392809,0.15828144566565383,0.0347988643471685,0.00019167265137014285,0.19167265137014283
MYL,25,0.5166635881796658,-0.015835338826663884,-0.1955079178346061,0.08099589521514985,-0.001282597444300862,-1.282597444300862
JKHY,25,0.09262872706402082,0.006226257285232963,0.20145973444704973,0.0309057157368061,0.000192426937761628,0.192426937761628
HII,25,0.5318219949500992,0.009237214536388167,0.21515400717472252,0.042933035074205234,0.0003965816556787116,0.39658165567871156
CF,25,0.18492962276341396,0.00466709938509337,0.11321505807944061,0.041223309551442926,0.00019239328265905291,0.19239328265905292
OXY,25,0.5379499947728461,-0.016717045582223467,-0.40313332447156663,0.041467783900367025,-0.000693218833656228,-0.693218833656228
SCHW,25,0.8652998755949529,0.0023686850819181326,0.04710227010925926,0.05028812998659488,0.0001191167432968072,0.1191167432968072
NOW,25,0.42491897255619077,0.016211320343596868,0.2647615499589464,0.061229889106294226,0.0009926173469050478,0.9926173469050478
BKNG,25,0.3213020595170331,0.005770836093318956,0.13243818706069624,0.043573807686405355,0.000251457302120047,0.25145730212004697
FRC,25,0.40195574661289646,0.00941359530187917,0.22232136952186615,0.04234228730294551,0.00039859315682582585,0.39859315682582586
NCLH,25,0.41996273938056317,0.011356096040083634,0.2776238537974695,0.040904612066829334,0.00046451670311327783,0.4645167031132778
NSC,25,0.4444608316052985,0.009385930266493104,0.271161696913494,0.034613776109711406,0.0003248824888257562,0.3248824888257562
ZBH,25,0.18641740346831165,0.014430261722060758,0.33680981918684755,0.042843946049136626,0.0006182493546948925,0.6182493546948925
LVS,25,0.8831062920850732,0.00973678597236425,0.27924725126109584,0.03486797427151885,0.00033950200277168234,0.33950200277168235
AXP,25,0.19168753734097946,0.010800645955762186,0.4080982451215416,0.02646579857883361,0.00028584772038649583,0.2858477203864958
