Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PG,25,0.4605483151516137,-0.00511460272216915,-0.16632658184091204,0.030750362723507195,-0.00015727588889333867,-0.15727588889333868
ON,25,1.0257007022108708,0.014046396622960988,0.2252051846609845,0.0623715508331032,0.0008760955409909404,0.8760955409909404
DHR,25,0.3218788766657686,0.005135968262375234,0.21285799531198027,0.02412861332668093,0.00012392379226095737,0.12392379226095737
LB,25,0.5786177190399145,-0.01720343826849091,-0.21695592514396944,0.07929462289206855,-0.0013641401499469676,-1.3641401499469676
VAR,25,-0.05585540896396986,0.004380103169746689,0.1014105658442965,0.043191783156715645,0.00018918446631174183,0.18918446631174182
BSX,25,0.3398995333709679,0.0048971469140605805,0.12400744249946359,0.039490750033666436,0.00019339200466130736,0.19339200466130735
STE,25,0.2174502812993148,0.009143622064711717,0.3169822152165573,0.028845851993509912,0.0002637555687632657,0.2637555687632657
UNP,25,0.5991562383878957,0.008534423835197803,0.2123059102801662,0.04019871054901619,0.0003430728334537411,0.3430728334537411
BBBY,25,0.6257925954734153,-0.01938893495939667,-0.2347801079160482,0.08258338038727579,-0.0016012037910560048,-1.6012037910560049
CI,25,0.532933076883886,-0.0017260961247558498,-0.04036345187129324,0.04276383819351835,-7.381449538551823e-05,-0.07381449538551824
FLS,25,0.35288541032230475,-0.006679475882185519,-0.1429277726037248,0.046733225883990634,-0.00031215345518884345,-0.31215345518884346
PCAR,25,0.6049196251771778,-0.003815196934617954,-0.09366577377077032,0.040732028157424334,-0.0001554007089669775,-0.1554007089669775
ADBE,25,0.4961090579317661,0.018978690147817483,0.43444573757188637,0.04368483450635107,0.0008290809382547223,0.8290809382547223
EC,25,0.4515760018404206,0.03143037678039073,0.46440568740842375,0.06767870771735217,0.0021271672835663164,2.1271672835663162
INTU,25,0.3744322785347669,0.015957294006397255,0.5744239568470536,0.02777964570625673,0.00044328797392828974,0.4432879739282897
MCD,25,0.37761431713776655,0.0001674621087522268,0.006073537217353944,0.02757241830571756,4.617335312873963e-06,0.004617335312873963
MHK,25,0.5195695253722808,-0.007608877909830218,-0.2025974390632774,0.03755663420530075,-0.00028576384437228685,-0.28576384437228686
GM,25,0.8907937700037121,0.003614555468264134,0.07777190794540322,0.04647636355792626,0.00016799139404333427,0.16799139404333427
SRCL,25,0.03319767736728725,-0.006799652129801528,-0.13042263433395104,0.052135522062764166,-0.0003545034136323889,-0.3545034136323889
SNV,25,0.2850856667343978,0.006718229245630705,0.23432058924012547,0.0286711008512617,0.00019261902824337378,0.1926190282433738
HUM,25,0.29879394189500263,0.007404729620135661,0.1867010513942838,0.039660888703288634,0.0002936781573421452,0.2936781573421452
AME,25,0.3754638097787297,0.005380075147657228,0.19159205698286152,0.028080888280971335,0.000151077289164593,0.15107728916459298
FMC,25,0.4116844009555383,0.006124672002159421,0.11558012018969992,0.05299070456153782,0.00032455068460275226,0.32455068460275227
