Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WHR,25,0.5735862488403969,-0.0036242073057148323,-0.06834819306284017,0.053025649154801964,-0.0001921759450571048,-0.1921759450571048
RTN,25,0.6014408232408455,0.007792759443948518,0.26131311169379046,0.029821540118814084,0.00023239208839397808,0.2323920883939781
FCX,25,3.019883870164212,-0.027509436515067508,-0.1425005478509538,0.19304793511278684,-0.005310639915350081,-5.310639915350081
HBAN,25,0.30300305017060003,-0.0018647301124471074,-0.034726692401672705,0.0536973141835209,-0.00010013099871554458,-0.10013099871554458
FRT,25,0.5073200616961886,0.004570818744258993,0.16594478838044646,0.027544213885041656,0.00012589960912162722,0.12589960912162723
CMA,25,0.7136717379797481,-0.00229432187275667,-0.03403781881973048,0.06740507918288628,-0.0001546489475041913,-0.1546489475041913
NUE,25,1.0204372274466302,-0.00010018584457550895,-0.0022573979362994303,0.04438111817349509,-4.446359807417075e-06,-0.004446359807417075
ALL,25,0.5920157931020658,-0.00035324196464081874,-0.01062937205667409,0.03323262773731033,-1.1739158712104467e-05,-0.011739158712104467
REG,25,0.7255486320629949,0.006714226078672298,0.22599878342258678,0.029709124876648625,0.00019947378102132612,0.19947378102132612
ALGN,25,1.0635685387276481,0.0073748600777755096,0.17507369754102364,0.04212431782362634,0.00031066094982098926,0.31066094982098924
IRM,25,1.1055875331190543,0.00014869763840014236,0.0029376614055099193,0.050617691379014264,7.526731169326666e-06,0.0075267311693266664
RE,25,0.8089519187627441,-0.0017754290790703362,-0.07076118940820005,0.025090435787171683,-4.454628930309163e-05,-0.04454628930309163
CTXS,25,0.8170536300031002,0.008385244086017107,0.14084766423036318,0.05953413662794317,0.0004992082670755949,0.49920826707559496
AMZN,25,0.6017827785633985,0.018915102059427324,0.28440327330551113,0.06650803220224677,0.0012580062168771767,1.2580062168771766
NFLX,25,-0.01729264838767379,0.005806839576350117,0.06019559689025542,0.09646618484300036,0.0005601636599258403,0.5601636599258404
FTNT,25,0.4275058670026107,-0.006654757572954006,-0.08844982909044881,0.0752376532706338,-0.000500688342874038,-0.500688342874038
JNJ,25,0.7142914053643544,0.004429469239773037,0.24306602868706456,0.018223316782271366,8.071962113371076e-05,0.08071962113371076
UHS,25,0.5247927571369939,-3.2448640005470304e-05,-0.0007568340227839139,0.04287418248734679,-1.3912089130607555e-06,-0.0013912089130607556
DUK,25,0.5988705468839672,0.0014608968223353866,0.0474937949639804,0.03075974079231487,4.4936807579352964e-05,0.044936807579352964
JWN,25,0.9159586487100186,-0.024764963591237095,-0.3764250995233608,0.06578988389083282,-0.0016292840792281906,-1.6292840792281906
NKE,25,0.8822099711095481,0.00207175098407995,0.05339497135603983,0.03880048872515411,8.038495069912104e-05,0.08038495069912104
HIG,25,0.4936376097693518,0.0032054830143280096,0.08269973086738874,0.038760501161341,0.00012424612809951966,0.12424612809951965
APA,25,2.014994020199612,-0.004143284162756342,-0.049326486566956415,0.08399714739731552,-0.0003480240505280075,-0.3480240505280075
MPC,25,1.2109989238607328,-0.017610085651915946,-0.18705289768667896,0.09414494974257784,-0.0016579006286621177,-1.6579006286621176
ISRG,25,0.2847278534268369,0.008893240647260946,0.2518007533128477,0.03531856251522654,0.0003140964757632395,0.3140964757632395
ILMN,25,0.016179442575520286,-0.014494633660767288,-0.16053496740379422,0.09028957301438807,-0.0013087142842306552,-1.3087142842306552
IEX,25,0.6210152539422077,0.002417957339508002,0.07511345612631032,0.03219073471259238,7.783582326246776e-05,0.07783582326246777
MA,25,0.6897319501794289,0.00038750111787404055,0.012122493305672485,0.03196546354805714,1.2386652858234036e-05,0.012386652858234036
KMX,25,0.5579415452953869,-0.013029536348450946,-0.21993942043759446,0.05924147805121612,-0.0007718889916042794,-0.7718889916042794
A,25,0.7015909889319859,0.003144525339049298,0.0843317303979622,0.037287570457884056,0.00011725171013640246,0.11725171013640245
RL,25,0.7365182924415024,-0.014439533671250929,-0.21288145721323645,0.06782898736355096,-0.0009794189469228478,-0.9794189469228478
GOOG,25,0.7900854560565996,0.010438239551016332,0.2046017456187434,0.05101735334393009,0.0005325313554627863,0.5325313554627863
IPG,25,0.7140699837628226,0.0047336359041416955,0.11974802857923073,0.03952996938909693,0.0001871204823898514,0.1871204823898514
J,25,1.3658433343152718,0.0026091783591379205,0.04818746213782269,0.05414641575593493,0.00014127765621526996,0.14127765621526997
WEC,25,0.6020242299828658,0.008495569119218723,0.2713658818863047,0.031306695816602864,0.0002659681982043053,0.2659681982043053
WU,25,0.90702510399679,-0.005917135024266176,-0.15570282206793537,0.03800274744978255,-0.00022486738795345044,-0.22486738795345043
ABMD,25,0.15766190382924947,0.01937515600557519,0.20832719801981403,0.09300348773342795,0.0018019570838977651,1.8019570838977652
AON,25,0.8037127166993002,0.0010694463044999176,0.03551926066476098,0.030108912305174363,3.219986499728082e-05,0.03219986499728082
WMT,25,0.7362449781254942,-0.0025722094665515827,-0.06412314653217378,0.04011358777069645,-0.00010318055020113321,-0.10318055020113322
MXIM,25,1.023034306822604,0.0008531107012767474,0.016472794248195727,0.05178907041652567,4.418181018151307e-05,0.04418181018151307
LYB,25,0.8812503567780823,-0.009237177601578751,-0.1595325548512878,0.05790152116719633,-0.0005348466344229639,-0.5348466344229639
RF,25,0.6394223491752347,-0.0013617403705545065,-0.021705655060446635,0.0627366631765909,-8.543104696144416e-05,-0.08543104696144416
QCOM,25,0.62558733552435,-0.009058192628382637,-0.12471788362967352,0.07262946070572565,-0.0006578916455680105,-0.6578916455680105
WDC,25,0.904380651533718,-0.03204879051188069,-0.2949919331770115,0.10864293869571559,-0.0034818747828540856,-3.4818747828540855
CE,25,1.1833751239876624,-0.0008295438641821348,-0.017076249797473523,0.04857880822900987,-4.0298252295655734e-05,-0.040298252295655736
VRTX,25,0.615795512134617,-0.015436573970670758,-0.18186495127634944,0.08487932315894339,-0.0013102459505234972,-1.3102459505234971
LLY,25,-0.25089375718044976,-0.00021426341436854893,-0.005141891361102903,0.04167015584759278,-8.928389869174784e-06,-0.008928389869174784
SNPS,25,0.9657177980262682,-0.0010154036601337988,-0.026418452098981374,0.038435395697272896,-3.902744146970176e-05,-0.03902744146970176
PEG,25,0.6653919212873111,0.0013286102394489117,0.042078597568638146,0.031574489555686765,4.195019012905815e-05,0.04195019012905815
MMC,25,0.6954151614594528,0.0041555082778565195,0.14407274574465068,0.028843125439016702,0.00011985784652108786,0.11985784652108786
PEAK,25,0.01801698077023795,-0.0047317463963092166,-0.06916642794878015,0.06841102738185668,-0.0003237036322819115,-0.3237036322819115
ZION,25,0.6033930960327857,-0.002048967756568403,-0.031226681807910297,0.06561592964544063,-0.00013444492416076867,-0.13444492416076867
CDW,25,0.6854868285610257,0.0038077714848558752,0.08903692482300465,0.04276620618271908,0.00016284394041802473,0.16284394041802472
PFE,25,0.30296683086188864,0.0005674464840678328,0.016021318089562146,0.035418214712154235,2.009794141037151e-05,0.02009794141037151
BLL,25,0.6326798474192042,-0.0011824563856267043,-0.04258330851697691,0.02776807220498821,-3.283453429533171e-05,-0.03283453429533171
EXPD,25,0.4344096415565408,0.0014839183452471896,0.04531105442651395,0.03274958757920382,4.8597713808060046e-05,0.04859771380806004
SCHW,25,0.7799081741462149,-0.0030588463987066645,-0.04594783714031852,0.06657215201153775,-0.0002036339874346449,-0.2036339874346449
EVRG,25,0.5840049067360864,0.015004950615588796,0.4335879662357328,0.03460647385087001,0.0005192684311119696,0.5192684311119696
SHW,25,0.9651056773378736,-0.0016647348642817115,-0.04484664692300503,0.037120609421253094,-6.179597268694419e-05,-0.06179597268694419
FISV,25,0.864978047757959,0.008401038635629738,0.3493719355864706,0.024046117561009578,0.00020201236266693617,0.20201236266693617
CINF,25,0.77619062827949,0.012181387690380381,0.4038021476368993,0.03016672338586455,0.00036747255291168045,0.36747255291168046
ETR,25,0.8300016073739335,-0.0004330658220225989,-0.015235752741103507,0.028424314136725252,-1.23095989670495e-05,-0.012309598967049501
LYV,25,0.4737950694865666,-0.008855760483364707,-0.2447861232416546,0.036177542934581454,-0.0003203796551052965,-0.3203796551052965
MU,25,1.2060006251272406,-0.03731738595248802,-0.2882645484654034,0.12945534284791435,-0.004830934992667279,-4.830934992667279
QRVO,25,0.955746691991684,-0.020960913679548217,-0.1836164850761656,0.11415594667795466,-0.0023928129443237167,-2.3928129443237167
MYL,25,0.7532371867806883,-0.023142854874589492,-0.2977372702552797,0.07772911619276561,-0.0017988736555792787,-1.7988736555792786
MCO,25,0.5446378059073959,-0.004864829742935088,-0.12950054989383866,0.037566093324878966,-0.00018275264813274645,-0.18275264813274644
NOV,25,0.8623878160603374,-0.016378633147421103,-0.2701025530451662,0.06063857213775498,-0.0009931769276277196,-0.9931769276277196
SBUX,25,0.5994225155612336,0.0014642675845376284,0.04631764748342146,0.03161360008756351,4.629076983875518e-05,0.04629076983875518
FLT,25,0.9005403921137979,-0.003152210072250316,-0.05803041703338452,0.054319962416207866,-0.00017122793265262904,-0.17122793265262903
CVS,25,0.5378937533364379,-0.0028163894949007843,-0.10143521067509803,0.02776540292228325,-7.819818911200608e-05,-0.07819818911200609
GD,25,0.6634701743581083,9.522477628907391e-05,0.0035393678020755504,0.026904459105163456,2.561971099467728e-06,0.002561971099467728
ECL,25,0.6386071581316943,0.00015073264318935745,0.004349514014292045,0.034655054034557854,5.2236478944989114e-06,0.005223647894498911
WM,25,0.49793946843445774,0.008326652658086594,0.33052197646142445,0.025192432730894086,0.00020976863696236695,0.20976863696236694
DISCK,25,0.7140265653640393,-0.009225853608130743,-0.2173679646535963,0.04244348343985887,-0.0003915773648352594,-0.3915773648352594
CB,25,0.5847788177256918,0.006574490355954347,0.22895481318837776,0.028715231029212022,0.00018878800947055548,0.1887880094705555
BEN,25,0.6555560663880694,-0.013517782528794448,-0.2583252113901247,0.05232854530942313,-0.0007073658955409486,-0.7073658955409486
DISCA,25,0.6757830584359227,-0.010530593749101714,-0.24714161362378356,0.042609553262576524,-0.0004487038952389049,-0.44870389523890486
GPS,25,1.184974890250142,-0.030977276950749418,-0.4126999664527411,0.07506004232810295,-0.0023251557191326195,-2.3251557191326193
LRCX,25,1.02665228656676,-0.002796458481154471,-0.05743766069209081,0.0486868449630217,-0.00013615074051749485,-0.13615074051749484
VAR,25,0.4624078313249189,-0.0029354588342258067,-0.09529985552019363,0.030802342964767616,-9.041900977078023e-05,-0.09041900977078023
TXN,25,1.1567487640159158,0.0020084677682874245,0.043235659948385595,0.04645396348026416,9.330128835931168e-05,0.09330128835931169
AMGN,25,0.5213044044198802,-0.0006042119153103784,-0.013460770366944387,0.044886874884526785,-2.712118464627725e-05,-0.02712118464627725
K,25,0.4749885428241134,0.007297063575205503,0.33883413613794955,0.02153579818839342,0.0001571480885235023,0.1571480885235023
CBOE,25,0.39310969345549246,0.0036711728655871227,0.10852187135580413,0.03382887541213392,0.00012419164948635343,0.12419164948635343
CRM,25,0.1656128768342499,0.004882272551464434,0.10093018468736359,0.04837276942063985,0.0002361690443807081,0.2361690443807081
HAS,25,0.6851943514286585,0.0066779445723187,0.17948634588841814,0.03720586398516464,0.000248458697458158,0.24845869745815802
FITB,25,0.48194277742419117,-0.0030155715698945715,-0.05175801272085497,0.05826289324820813,-0.00017569592445909884,-0.17569592445909885
AAL,25,0.842146855937597,-0.014978695043121736,-0.23995522217457466,0.06242287584899604,-0.0009350132210567605,-0.9350132210567605
USB,25,0.544037544084687,-0.0005247301157746898,-0.01576150670595411,0.03329187529872803,-1.7469249579858094e-05,-0.017469249579858095
AVB,25,0.4311839837805459,0.0028921113193757842,0.07945923199622991,0.036397423517924334,0.00010526540055230334,0.10526540055230334
WELL,25,0.15923929765002268,0.0003943535485251684,0.0066961678904704745,0.05889242249830463,2.3224435793449894e-05,0.023224435793449894
DHI,25,0.4806538837936907,0.005183039019031313,0.10237408771143885,0.050628426928117885,0.00026240911224061065,0.26240911224061064
AMCR,25,0.12599002769235354,0.005543163001506154,0.11553513906582025,0.04797815665715536,0.00026595074286240976,0.2659507428624098
CPRI,25,2.261723482025559,-0.010301484244626489,-0.1283592411830847,0.08025510395416725,-0.000826746688934715,-0.826746688934715
SYY,25,0.38673072909035844,0.01120955122362709,0.4504679886366233,0.02488423485440925,0.0002789411052612671,0.2789411052612671
HOG,25,0.8305418165576766,-0.007127859211532293,-0.1324379956821966,0.053820349476116976,-0.0003836238737812276,-0.3836238737812276
CHRW,25,0.6542082972098596,0.0070892437271135094,0.1737121388034934,0.040810295561054616,0.0002893141318078547,0.2893141318078547
STZ,25,0.3784090670952429,0.010586657221162922,0.3576891146182609,0.02959737042168978,0.000313337215302216,0.31333721530221603
DISH,25,0.5691810420728612,-0.017583919592247137,-0.296390245477467,0.05932691733467979,-0.0010431997440689023,-1.0431997440689023
KO,25,0.6328687233171175,0.003403877208841176,0.14632913943253392,0.023261786558996047,7.918026510509465e-05,0.07918026510509465
M,25,0.9652278841765957,-0.030962931185786014,-0.3641534461337291,0.0850271541146295,-0.002632689921774495,-2.632689921774495
ESS,25,0.3046393566299004,0.0005228237729065729,0.011384323849197776,0.045924885819495984,2.4010622074452458e-05,0.024010622074452457
AEE,25,0.6786740362288616,0.007044391438394182,0.2404434888274618,0.029297493031508616,0.0002063830090775725,0.20638300907757248
FB,25,1.26214583771762,0.01310340556767822,0.2790052822881687,0.04696472217377038,0.0006153978020162436,0.6153978020162436
PSX,25,1.1296792073187676,-0.001021477812774802,-0.01763129867854272,0.05793548344898382,-5.9179810915518725e-05,-0.05917981091551872
DOV,25,1.1506648765612943,-0.006255357330837643,-0.1305935823433078,0.04789942368219441,-0.00029962801107331303,-0.29962801107331305
FRC,25,0.6108898958075488,0.00592313988900557,0.14231885903213057,0.04161879830464587,0.00024651396437072533,0.24651396437072534
SWK,25,0.5369013521949622,0.00345936524852781,0.0924073125497947,0.03743605514621684,0.0001295049882147932,0.1295049882147932
AMP,25,0.37504614972253764,-0.008452722523795881,-0.17555775715264016,0.04814781562996724,-0.00040698012564699545,-0.4069801256469954
EXR,25,0.6144330589850958,0.01091050850968549,0.2702236873417585,0.04037584053794182,0.00044052095177491855,0.44052095177491857
EQR,25,0.650358794853877,0.0007742942512608925,0.02027976285865369,0.038180636364319676,2.956304724637531e-05,0.02956304724637531
KMB,25,0.7460678418642953,0.0059331351907587464,0.19530017565003388,0.030379569147907817,0.00018024609079154058,0.18024609079154058
REGN,25,0.19878320323083243,-0.011106782660992388,-0.1561592521568167,0.07112471728437099,-0.0007899667767020373,-0.7899667767020373
DAL,25,0.8583645226876173,-0.0028844435379321138,-0.05393717573803548,0.05347783784492926,-0.00015425380379438763,-0.15425380379438763
HOLX,25,0.3771924704964558,-0.0034532615822939266,-0.07550971181702809,0.04573268125644185,-0.00015792691123816418,-0.15792691123816419
BR,25,0.7468519553133101,0.006115322396960104,0.1728859888735323,0.0353719953641444,0.00021631115547552122,0.2163111554755212
JNPR,25,0.5754049037558956,-0.007357152801672847,-0.14612722877091983,0.050347583154447414,-0.00037041486246219943,-0.37041486246219946
NRG,25,0.691330945032327,-0.019089357267801678,-0.20286532951620548,0.09409866788635642,-0.0017962830897068742,-1.7962830897068742
O,25,0.5967394188328236,0.010969372752555846,0.3263316124465601,0.03361418978172758,0.00036872657749092367,0.3687265774909237
