Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WHR,25,0.8625459020504187,-0.002858449152763153,-0.06443888769268577,0.044359070355083206,-0.0001267981470738487,-0.1267981470738487
RTN,25,0.5139768401640556,0.00882372451199745,0.3090288697906272,0.028553075050805725,0.0002519444682186973,0.2519444682186973
FCX,25,2.684881584156082,-0.02239370473461448,-0.12046757408805175,0.18588989530283517,-0.00416276342856009,-4.1627634285600905
HBAN,25,0.8576762044864948,-0.0016949875458566331,-0.03958132933243002,0.04282290601260543,-7.258429236875534e-05,-0.07258429236875534
FRT,25,0.368092560023663,0.005478668174586699,0.19530631754258237,0.028051669006519425,0.00015368578623005806,0.15368578623005805
CMA,25,1.0209594335045844,-0.001311035032662576,-0.022465749787765957,0.05835705663278236,-7.650814564865162e-05,-0.07650814564865162
NUE,25,0.9857132532450471,0.0015826228763704776,0.041837668946961955,0.03782770207338236,5.986698666186187e-05,0.059866986661861875
ALL,25,0.6251813473353045,0.0005919218317668472,0.02061207682795253,0.028717233916192658,1.699835770294979e-05,0.016998357702949787
REG,25,0.4569070436499123,0.008053196531112942,0.24903214119715933,0.03233798052090476,0.0002604241125541481,0.2604241125541481
ALGN,25,0.8915964787945071,0.009208090434920596,0.23085662354532274,0.03988662007400808,0.00036727960478478565,0.36727960478478566
IRM,25,0.8006622362470734,0.002128029285669178,0.040954916422730164,0.05196028881377749,0.00011057301628754709,0.1105730162875471
RE,25,0.586798683616165,-0.00032772364644831174,-0.01237328405249603,0.02648639157218741,-8.68021682729509e-06,-0.00868021682729509
CTXS,25,1.0806503239851277,0.009562479002152235,0.19689092209421866,0.04856739406998298,0.00046442468598346525,0.46442468598346526
AMZN,25,1.050074214650809,0.019633751760229252,0.35511277425143,0.05528877918181562,0.001085526165581899,1.0855261655818988
NFLX,25,1.2736917849510594,0.005024751803476921,0.06091302695918276,0.0824905944477847,0.00041449476322138947,0.41449476322138945
FTNT,25,0.4968761504173403,-0.005998761829610835,-0.08126922182464233,0.07381345231229837,-0.0004427893202428151,-0.4427893202428151
JNJ,25,0.5126348283853348,0.005710980879364636,0.28663918639339636,0.019923936260154717,0.00011378521902342334,0.11378521902342334
UHS,25,0.303337039649791,0.0009518878374705514,0.021555685747171132,0.044159478322116134,4.203487032386682e-05,0.04203487032386682
DUK,25,0.23818379904314788,0.0026472319819788883,0.0767680657772322,0.03448350502487196,9.128583735257076e-05,0.09128583735257076
JWN,25,0.4850172440865585,-0.023020990301736273,-0.3344266327149854,0.06883719192710312,-0.0015847003277525995,-1.5847003277525995
NKE,25,0.6709396229637434,0.0036324554574823837,0.09291261350928652,0.03909539641912369,0.0001420122860850831,0.1420122860850831
HIG,25,0.5934269298658683,0.0039514585812121545,0.11484118698613786,0.03440802629190103,0.00013596189075370578,0.13596189075370577
APA,25,1.795273037294475,-0.0007320749715932781,-0.009590440317095671,0.07633382278478916,-5.5882081146780855e-05,-0.05588208114678085
MPC,25,1.7052416231070213,-0.015925715412307834,-0.2103707362121468,0.0757030930207311,-0.0012056259152796308,-1.205625915279631
ISRG,25,0.2675155247123815,0.009367180516446043,0.26909297374347013,0.03481020104737443,0.0003260734370245354,0.3260734370245354
ILMN,25,0.4977603047093528,-0.014749508999385538,-0.16732270947944972,0.08815007266659787,-0.0013001702900924744,-1.3001702900924743
IEX,25,0.6965290603759053,0.003385637334269517,0.1334617419656533,0.025367849125937668,8.58863370908909e-05,0.0858863370908909
