Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WHR,25,1.1394667116654051,0.0033185842378859525,0.06870923025268197,0.048298958170273146,0.00016028416129018142,0.16028416129018142
RTN,25,0.8953898686085785,-0.017500131868698192,-0.2670312831275078,0.06553588652136258,-0.0011468866562558855,-1.1468866562558855
FCX,25,1.6281713979368682,-0.0038143745436171926,-0.05863999630148606,0.06504731896650083,-0.0002481148375963686,-0.24811483759636857
HBAN,25,1.256198822973823,-0.011999580520388537,-0.34936543588120106,0.034346787884502974,-0.0004121470468367989,-0.41214704683679887
FRT,25,0.7841246360888998,-0.016910901505425,-0.30100504264194883,0.05618145582212334,-0.0009500790658393137,-0.9500790658393137
CMA,25,1.5616317316580866,-0.02336210760885327,-0.5512113333063764,0.0423832134740743,-0.0009901611939903236,-0.9901611939903237
NUE,25,1.0304726013704053,-0.006099340206220697,-0.16602739462549151,0.03673695066997224,-0.00022407116027530806,-0.22407116027530805
ALL,25,0.6781948122182438,0.0007900271265018326,0.018027282094604687,0.04382397315113167,3.4622127580482015e-05,0.03462212758048201
REG,25,0.737542035659551,-0.012946535895133731,-0.23278301137984675,0.05561632620177789,-0.0007200387635267841,-0.7200387635267841
ALGN,25,1.144557378308115,-0.007747931499034081,-0.0802231220361715,0.09657978027258332,-0.0007482935217437386,-0.7482935217437386
IRM,25,0.5896550466490259,-0.004846125243433967,-0.12146315287562023,0.03989790425081802,-0.00019335024095000058,-0.19335024095000058
RE,25,0.9112733941724481,-0.007230416707614617,-0.14555172805001912,0.04967592487208308,-0.00035917763716131803,-0.359177637161318
CTXS,25,0.0740982753156074,0.015475458848361571,0.23960309935787438,0.06458789093227554,0.0009995272482248956,0.9995272482248956
AMZN,25,0.49952794112805815,0.010807670652477341,0.22818947938076062,0.047362703494509,0.000511880500579591,0.511880500579591
NFLX,25,0.5292109487142298,0.006900269831244955,0.0933837230766059,0.07389156915048702,0.000509871765392456,0.5098717653924559
FTNT,25,0.794618535763303,0.021216824725811684,0.20291936589393408,0.10455790965216062,0.0022183868427871458,2.2183868427871456
JNJ,25,0.2919892991067395,0.004771468545154307,0.1371248254582037,0.03479653322591593,0.0001660305637678746,0.1660305637678746
UHS,25,1.1967251493188726,-0.004050897767621115,-0.06442867111729923,0.06287414744665501,-0.0002546967435327356,-0.2546967435327356
DUK,25,0.5390698807315305,0.00023870219769991702,0.005783772579968667,0.04127102067025086,9.851483335307583e-06,0.009851483335307583
JWN,25,1.836811263654375,-0.019807626957519846,-0.2821165137891228,0.07021080294621004,-0.001390709393146464,-1.3907093931464638
NKE,25,0.9290111835548651,0.009037091209422872,0.1489816661502685,0.060659082710940566,0.0005481816631386959,0.5481816631386959
HIG,25,1.1495596127892973,-0.012289329694764001,-0.2202478261194925,0.055797734358098004,-0.0006857167537475273,-0.6857167537475274
APA,25,3.5933750870881647,-0.03196628283397808,-0.14864608881955843,0.21504960599926692,-0.0068743365287081155,-6.874336528708115
MPC,25,2.067610658614374,-0.011700554983129918,-0.12140741442398922,0.09637430332111556,-0.0011276328349695529,-1.1276328349695528
ISRG,25,0.8571421124056255,0.006410968137782976,0.11996123846851423,0.053441996928579885,0.00034261493952862133,0.3426149395286213
ILMN,25,0.8065445053255744,0.005902420554783349,0.07239792743646813,0.08152747963624984,0.00048120947158468197,0.48120947158468197
IEX,25,0.8926389075971253,0.0016416638145578875,0.042150254532213584,0.03894789800861668,6.39393548138372e-05,0.06393935481383721
MA,25,0.7154883015378021,0.0062671928429483366,0.1703149948335904,0.03679765747620649,0.00023061801557214566,0.23061801557214565
KMX,25,1.3247407029153755,0.004631510213273041,0.0866914327689357,0.053425235520304586,0.0002474395239588083,0.24743952395880833
A,25,0.6597624981066533,0.009655524499555992,0.22939098379402523,0.042091996554781255,0.00040642030396991684,0.40642030396991685
RL,25,1.316018910098218,-0.010838570413498463,-0.21510756408785608,0.05038674701867611,-0.0005461203054690548,-0.5461203054690548
GOOG,25,0.5873525711797271,0.009032928074647324,0.18531622846152693,0.04874331918816613,0.0004402948963462814,0.44029489634628144
IPG,25,0.9824703997376222,-0.006143107826328561,-0.18356553082445315,0.033465475782614766,-0.0002055820261919897,-0.2055820261919897
J,25,0.6778489632312922,0.004972818701388171,0.1556625867730479,0.03194613943193951,0.0001588623596043029,0.1588623596043029
WEC,25,0.15737180242871923,0.0036437262827355584,0.09360215649853892,0.038927802724207906,0.00014184225791534123,0.14184225791534122
WU,25,0.36791743244805103,0.0029796888569862063,0.06676474177512329,0.0446296769486862,0.00013298255109489443,0.13298255109489443
ABMD,25,0.46184274535991754,-0.009443159081142322,-0.08768881934897112,0.10768943123252488,-0.0010169284304864688,-1.0169284304864687
AON,25,0.558558051144385,0.003841197285596714,0.06831983083113388,0.05622375288210243,0.00021596652695679227,0.21596652695679228
WMT,25,0.2690637158046886,0.007759004829115277,0.23668493491662584,0.03278199701154807,0.000254355673120644,0.254355673120644
MXIM,25,0.9500757491075184,0.002766640309837068,0.06480356122161082,0.042692720240727185,0.00011811540075459271,0.1181154007545927
LYB,25,2.008900060608146,-0.0054754260872904945,-0.06152786262994392,0.08899100104000289,-0.00048726364862852734,-0.48726364862852733
RF,25,1.6032199624815895,-0.006488148781299342,-0.173609293814299,0.037372128177880756,-0.00024247592789187984,-0.24247592789187983
QCOM,25,0.6681376590022731,0.008196291046644842,0.16031185013779198,0.051127168949768396,0.0004190531571032849,0.4190531571032849
WDC,25,1.505810115595478,0.006236228642156778,0.05955166630628982,0.10471963303398128,0.0006530555749226612,0.6530555749226612
CE,25,1.1531226832686925,-0.002339924616181892,-0.06151737212111734,0.038036810343182,-8.900326884305357e-05,-0.08900326884305357
VRTX,25,0.41718403399702403,0.020192049692667007,0.38192541493586796,0.05286909145875409,0.0010675353219413194,1.0675353219413195
LLY,25,0.12828349341831707,0.010027740212877894,0.24242977354036643,0.041363484634894476,0.00041478227821808826,0.4147822782180883
SNPS,25,0.7167156794134351,0.014668221124606182,0.2894263555471736,0.050680322795328185,0.0007433901814282931,0.743390181428293
PEG,25,0.7692119989433363,-0.006029088683013868,-0.13108891345063253,0.0459923614004505,-0.00027729202562454,-0.27729202562454
MMC,25,0.5239745804502511,0.00442064301556474,0.09917843232336455,0.0445726244305973,0.00019703966087451024,0.19703966087451025
PEAK,25,1.015592985742119,-0.006728805406542673,-0.10478830322780137,0.06421332533569886,-0.00043207897069093406,-0.43207897069093404
ZION,25,1.327139754605999,-0.009450449101723922,-0.29597719846261433,0.03192965252327582,-0.00030174955600694895,-0.30174955600694897
CDW,25,0.9306302515140537,0.0023935061575473086,0.061280605366468184,0.03905813500427655,9.348588663505001e-05,0.09348588663505002
PFE,25,0.49684570364648967,-0.0032467147953988613,-0.08378650838927172,0.038749851948891814,-0.00012580971764198246,-0.12580971764198245
