Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WHR,25,0.7405947811439342,-0.009027491577005293,-0.13085756938574075,0.06898715618348478,-0.0006227809713679574,-0.6227809713679574
RTN,25,0.6870308749585009,-0.011718388936335492,-0.33427694081899695,0.035055929695972425,-0.00041079901870223805,-0.41079901870223806
FCX,25,1.2083938408923394,-0.017163478198198016,-0.3099846574149914,0.05536879902807719,-0.0009503211749788104,-0.9503211749788104
HBAN,25,1.113265682092227,-0.010121133958540562,-0.22219434686452946,0.045550816667317626,-0.00046102591741084385,-0.46102591741084387
FRT,25,0.3146016646811484,0.004189902276075864,0.1307891697562393,0.03203554456293951,0.00013422580107959,0.13422580107959
CMA,25,1.1226728401471184,-0.015238199384612926,-0.368067625247921,0.04140054256157102,-0.0006308697221843727,-0.6308697221843726
NUE,25,0.9362134498081592,-0.009629338907029605,-0.2647740194670237,0.03636814112809467,-0.0003502011563411056,-0.3502011563411056
ALL,25,0.5767435229575754,-0.00384412709333345,-0.12990486197823445,0.02959186465228325,-0.00011375488865209848,-0.11375488865209847
REG,25,0.40969374388956437,0.003132741735023281,0.10087305952845028,0.03105627755981488,9.729129684609905e-05,0.09729129684609905
ALGN,25,1.6803121813728137,-0.0038652892333999028,-0.04607761867934651,0.08388647990466684,-0.00032424550760332604,-0.32424550760332604
IRM,25,0.16146036505320113,-0.0008557888701176292,-0.01909477618464264,0.04481795763628352,-3.8354709326534845e-05,-0.03835470932653485
RE,25,0.30070774739000283,-0.0019285576046012322,-0.06505035062897527,0.029647151567269152,-5.717623960982226e-05,-0.05717623960982226
CTXS,25,0.3002171072241991,-0.003223795073899958,-0.1255705136947859,0.02567318536050411,-8.276508849651366e-05,-0.08276508849651366
AMZN,25,0.9386259200581486,0.0010152411105050965,0.031684325411299126,0.03204237733725098,3.253073875109402e-05,0.03253073875109402
NFLX,25,0.728358282725633,0.0011283057313545355,0.015258581851148737,0.07394564857739984,8.343329909860859e-05,0.0834332990986086
FTNT,25,1.207966017266106,0.011109311775616549,0.2725923385503952,0.040754306722977564,0.00045275229958466334,0.45275229958466334
JNJ,25,0.4853871487823413,0.0012081198745662611,0.03968347125004784,0.030443906153114177,3.677988808300732e-05,0.03677988808300732
UHS,25,0.5782026846202519,-0.00019071513081453384,-0.004439536311486771,0.042958344618351504,-8.192806313464732e-06,-0.008192806313464732
DUK,25,-0.29477376983433146,0.008578948165886845,0.3108854304214979,0.027595208158373723,0.00023673786041754596,0.23673786041754596
JWN,25,0.295672247342202,-0.009783851122806695,-0.15274643813127906,0.06405289211652773,-0.0006266839604533059,-0.6266839604533059
NKE,25,0.7096697925008423,0.0049484390496942815,0.15722612665826843,0.031473389028082666,0.00015574414729278382,0.15574414729278382
HIG,25,0.5984888365689381,-0.005417935512785522,-0.24080233141323237,0.02249951435681075,-0.00012190091785419266,-0.12190091785419266
APA,25,1.3204147656626064,-0.01788625670032405,-0.28213028914101146,0.06339715155994585,-0.0011339377268705408,-1.1339377268705408
MPC,25,0.9288186797534275,-0.014576245153496403,-0.353111507880355,0.04127943957701679,-0.0006016992310735386,-0.6016992310735386
ISRG,25,0.9309210945467989,-0.0015919493523453426,-0.038113911846342885,0.04176819631538539,-6.64928530729109e-05,-0.06649285307291089
ILMN,25,0.9943835120765274,0.002385509186600023,0.04651758808383373,0.05128187605730701,0.00012233338644078963,0.12233338644078963
IEX,25,0.9480215628281595,-0.0005726569643106924,-0.020587429922537984,0.027815854939900932,-1.5928943049590245e-05,-0.015928943049590246
MA,25,0.9529432808866852,0.00565867616466748,0.3104317077893194,0.018228409091856853,0.00010314866404789836,0.10314866404789835
KMX,25,0.694288960914532,0.0029540440131153893,0.059305235431918644,0.04981084707953953,0.00014714343460351992,0.14714343460351992
A,25,1.0147396069498469,-0.0012648003712850955,-0.030920375972230296,0.040905077364551366,-5.173675703813012e-05,-0.05173675703813012
RL,25,0.8572933711605157,0.0013381453974348747,0.020981509071352024,0.06377736667482928,8.534338967643916e-05,0.08534338967643916
GOOG,25,1.0695180464645304,0.0008602850839308437,0.039054437902553016,0.022027844468723138,1.8950226027591056e-05,0.018950226027591055
IPG,25,0.5971235854383364,-0.003439205131208357,-0.09024722772672414,0.038108706692049826,-0.00013106365959901202,-0.13106365959901203
J,25,1.1065374083201283,0.0035292572098535764,0.08790409628939687,0.04014895049070974,0.00014169597298739164,0.14169597298739164
WEC,25,-0.23679120108449214,0.010403522310747542,0.334800347607262,0.03107380976483157,0.0003232770731683501,0.3232770731683501
WU,25,0.39455424723159144,-0.002247841769002692,-0.09163548082796294,0.024530255624705073,-5.5140133197525286e-05,-0.05514013319752529
ABMD,25,1.5012641784978589,-0.015769433923592032,-0.22725200339993143,0.06939183676123663,-0.0010942699846430055,-1.0942699846430055
AON,25,0.741099141397137,0.0035288971497114754,0.12044485864747762,0.02929886081762925,0.00010339266642912509,0.10339266642912509
WMT,25,0.11749476072434623,0.005498220613662742,0.19781492133842096,0.027794771883039138,0.00015282178771937937,0.15282178771937938
MXIM,25,0.8325133057461594,-0.0031931415229527822,-0.09138391439368221,0.0349420523747398,-0.00011157491833497253,-0.11157491833497253
LYB,25,0.9942956648990696,-0.013186398723884996,-0.3848576729282438,0.034263052685306813,-0.0004518062742059341,-0.4518062742059341
RF,25,1.3311085103905491,-0.016520328565186856,-0.3529343277986672,0.04680850590031283,-0.0007732918971186556,-0.7732918971186555
QCOM,25,1.1641618855436684,0.013825016749122166,0.1468484455678984,0.09414479462589807,0.0013015533625457074,1.3015533625457074
WDC,25,1.1090697217518952,-0.025104978268143053,-0.3736670627310632,0.06718541924636179,-0.0016866884901159927,-1.6866884901159926
