Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BF.B,25,1.1483616119412356,0.007916779502407335,0.20130423607563216,0.03932743620672203,0.000311346640843609,0.311346640843609
EXPD,25,0.7080036214922218,0.011147362610359661,0.32659355017020014,0.034132219097867525,0.0003804842229801724,0.3804842229801724
PHM,25,1.9238406699609214,0.0113583328897096,0.14698587784251663,0.0772749944173489,0.0008777151106426998,0.8777151106426998
CXO,25,2.1356988516077546,-0.009666451007458809,-0.12134414776192187,0.07966145204154763,-0.0007700435233426497,-0.7700435233426497
COP,25,2.040665522724621,-0.015285025982313807,-0.2023557010557558,0.0755354353871269,-0.0011545610924776205,-1.1545610924776206
KHC,25,1.007656973988709,0.0075966359741898234,0.12624701291384827,0.06017279774669849,0.00045711084003021807,0.45711084003021807
ALB,25,1.4692032204518328,0.02213114621709031,0.43771879263983976,0.05056019204389079,0.0011189550028875132,1.1189550028875133
CBOE,25,1.4142375751603689,-0.00957727540929205,-0.20609544970311575,0.046470096370823756,-0.00044505691123972207,-0.4450569112397221
ETSY,25,1.100061734220506,0.043784594146958164,0.3655624689825737,0.119773220344032,0.005244221842437634,5.244221842437634
GS,25,1.4765679474264248,0.0023704616278026284,0.055396635544514204,0.04279071471583926,0.00010143374726014622,0.10143374726014621
ZBH,25,1.7768617587929114,0.006818236753747309,0.18486202724086556,0.036882840978820934,0.00025147594194441426,0.25147594194441425
DTE,25,1.1516671276972272,0.005064410060740119,0.14330868838040467,0.03533916971800714,0.00017897204665807793,0.17897204665807792
ODFL,25,0.5540277257212125,0.019095106430239796,0.33657856828626176,0.056732983705603354,0.0010833223619635562,1.0833223619635561
AVGO,25,1.340685936769563,0.014968641036559482,0.360032556089023,0.04157579858655416,0.0006223332048504263,0.6223332048504263
POOL,25,0.9930842005088735,0.027254276255305018,0.5928024668197983,0.04597530843877181,0.001253023757113143,1.253023757113143
SNA,25,1.1359948866317606,0.0036398076137141968,0.0843003625538764,0.04317665432800474,0.00015715471515777768,0.15715471515777768
