Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.8938552646216965,-0.004090442191553721,-0.162098995406533,0.025234222959218084,-0.00010321913026345926,-0.10321913026345926
LLY,25,0.05332626719054805,-0.0014540634165083996,-0.03504824450391448,0.0414874821004515,-6.0325429965313586e-05,-0.060325429965313586
CBRE,25,2.1418033858649856,-0.01858740665621398,-0.3670461557389294,0.050640515819581906,-0.000941275860819006,-0.941275860819006
GPN,25,1.3199435256450824,0.002428936998089281,0.04589609577665286,0.052922518941684586,0.00012854546428953847,0.12854546428953847
TDG,25,0.47693536142371634,0.008919433805893972,0.1941027193125618,0.04595213213644417,0.00040986700083070693,0.40986700083070693
DOV,25,1.636413430130475,-0.00027767658302116707,-0.012123006267616487,0.022904927778756422,-6.360162079951694e-06,-0.006360162079951694
CDW,25,1.0228355614430196,-0.001979278445385495,-0.05809926344100046,0.03406718653835334,-6.742844801028967e-05,-0.06742844801028966
NOC,25,0.5399494522700793,0.008094304211796226,0.254806495718253,0.0317664751402034,0.0002571275135212685,0.2571275135212685
MAA,25,0.1044238913426582,0.007286339329576868,0.16252737633015477,0.044831458515490634,0.0003266572193837132,0.32665721938371317
AES,25,1.2124455142064547,0.005063718447220179,0.1250018330842658,0.04050915352422586,0.00020512694798189684,0.20512694798189685
FDX,25,1.5898047389436751,-0.0023607957018094775,-0.07416683513228814,0.03183088098067862,-7.514620700399514e-05,-0.07514620700399514
ROP,25,1.0723981145678505,-0.0008477345402727494,-0.027771227572303863,0.030525641621913457,-2.587764076688351e-05,-0.02587764076688351
HII,25,0.22963753465743061,0.014296587542977145,0.3640675580813852,0.03926905110227159,0.0005614134268132689,0.5614134268132689
MLM,25,1.0016184518493625,0.0004874039831745036,0.010361897453347422,0.04703810140651867,2.292655798650342e-05,0.02292655798650342
SBAC,25,1.1805399839695103,-0.004264514799374704,-0.10009189998009337,0.042605993094574544,-0.0001816938880938696,-0.1816938880938696
UNM,25,1.295553706676909,-0.00420447243262612,-0.09355969350132438,0.04493892909735327,-0.00018894448854156161,-0.18894448854156162
WAB,25,1.5224179797048791,-0.013294888060796095,-0.2730669314633153,0.04868728699425904,-0.0006472920305725275,-0.6472920305725275
J,25,1.293608702650404,0.005572088129857069,0.1279319503339964,0.04355509405828508,0.00024269282259697844,0.24269282259697844
STX,25,1.2015782471146488,-0.009058801068499503,-0.07993365012603343,0.11332900542157477,-0.0010266249154049474,-1.0266249154049474
ZBRA,25,2.144274751580328,-0.017859832810406973,-0.21440886956877045,0.08329801302682831,-0.0014876885860982557,-1.4876885860982556
DHR,25,0.7581767143079584,0.002615183577617004,0.10911861310099936,0.023966429771210614,6.267661355178125e-05,0.06267661355178125
CPRT,25,1.1719104471814108,0.011442851200142788,0.3460604055082366,0.033066051527441895,0.00037836990740477175,0.3783699074047717
PAYX,25,0.9115432740353405,0.0024556796742253315,0.0723733153968821,0.03393073345830339,8.332301248511303e-05,0.08332301248511303
WST,25,0.8612259271793927,0.007801298316389768,0.2105763833531101,0.037047356366207373,0.0002890174788463853,0.2890174788463853
LEN,25,1.2295136105482383,-0.012806640546838258,-0.3662587213742201,0.03496610401190485,-0.00044779832540382456,-0.4477983254038246
TWTR,25,2.2909592764744167,-0.01787793562029746,-0.1949029553360254,0.09172737062644706,-0.001639896026678785,-1.639896026678785
WRK,25,2.2285961731384094,-0.012336566328053834,-0.2498652104633154,0.04937288510544792,-0.0006090918719107394,-0.6090918719107394
CXO,25,1.6043583944402402,0.0007330227547666032,0.014951237426025377,0.049027564333280024,3.5938320267077785e-05,0.035938320267077786
AAPL,25,0.910279627311189,-0.0035332629987016445,-0.08796210755203837,0.040168012079648804,-0.0001419241508124238,-0.1419241508124238
GD,25,0.6354752117644603,0.0015613714034215641,0.05639460085128524,0.02768654055268449,4.322897267863303e-05,0.04322897267863303
PEAK,25,0.8200864922185152,-0.000713626175910015,-0.010360468134537143,0.06887972306300583,-4.915437336719371e-05,-0.049154373367193714
ALLE,25,1.062381581693171,0.00013034334631959604,0.0034018243680286942,0.038315718925585815,4.9941990214019325e-06,0.004994199021401933
HAL,25,1.5497875363102451,-0.0012534471485816448,-0.03210076613347486,0.03904726583066013,-4.8943684015350426e-05,-0.048943684015350424
ITW,25,1.0854734644042863,0.009249630480082687,0.4488664317565834,0.020606643370245797,0.00019060383660961935,0.19060383660961935
PRU,25,1.3702439805135669,-0.004778079987688039,-0.12352998128561293,0.038679516810098666,-0.00018481382520377554,-0.18481382520377554
HCA,25,0.40387636904158275,-0.003514876756108835,-0.1007785881337622,0.03487721768282347,-0.00012258912175110428,-0.12258912175110427
ADI,25,1.2527912978084246,-0.0009898743035194812,-0.03314217121996274,0.029867515225533676,-2.9565085831732647e-05,-0.029565085831732646
FITB,25,1.4597966490475947,-0.005232776460312813,-0.10316333629886769,0.0507232186166729,-0.0002654232643686266,-0.26542326436862657
BRK.B,25,0.7268535415917066,-0.0002732810992025431,-0.019383015026202682,0.014098998470212789,-3.852989799594725e-06,-0.003852989799594725
DLTR,25,0.1785929486898567,0.005361977168610392,0.09433496209054328,0.056839765976308264,0.0003047735274341227,0.30477352743412267
FTNT,25,1.193574998380465,-0.014630613476365004,-0.18961672222708148,0.07715887767980532,-0.0011288817156033587,-1.1288817156033586
LNC,25,1.9721624932654755,-0.012813694366336252,-0.21737213173448156,0.058948192963337566,-0.0007553441280800209,-0.7553441280800209
