Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.9611607743681515,0.009079111387349778,0.3298296331866672,0.027526669752597554,0.00024991770080662513,0.24991770080662512
LLY,25,1.056459105844838,0.0038221126542183183,0.1307985730502235,0.029221363544621543,0.00011168734337741185,0.11168734337741185
CBRE,25,1.0275713280368328,0.00028129075271007484,0.01058989893199174,0.026562175382080812,7.471694306842531e-06,0.0074716943068425315
GPN,25,1.2930387135560724,0.00410765838927243,0.1385529153523313,0.02964685642901786,0.0001217791585262105,0.12177915852621049
TDG,25,0.6007504770340185,0.011629420761476234,0.3730642362081731,0.031172703338378745,0.0003625204833946813,0.3625204833946813
DOV,25,0.8360799363313393,0.003518976403712652,0.11092044786994626,0.031725227145121486,0.0001116403257261066,0.1116403257261066
CDW,25,1.0511501267878154,0.006106620324855847,0.2517696256557059,0.024254793678752298,0.0001481148160538539,0.1481148160538539
NOC,25,0.5129718065238524,0.0014761146480533325,0.03974398656460089,0.037140578377914304,5.4823751780812184e-05,0.05482375178081218
MAA,25,0.4961693985258808,-0.004454652490591249,-0.11399388361695496,0.03907799567176675,-0.0001740788907465498,-0.1740788907465498
AES,25,0.7985934794232645,0.005848030012172057,0.1631179497869201,0.035851541904562315,0.00020966089304052458,0.20966089304052457
FDX,25,1.2445159202462337,-0.004161074024517781,-0.11386888633520678,0.0365426777975893,-0.00015205678736987147,-0.15205678736987147
ROP,25,0.8149624594365114,0.0031559435290361374,0.13021105671153863,0.024237139370027663,7.64910431571858e-05,0.0764910431571858
HII,25,0.9660033980590376,-0.00015784147739986414,-0.003074341179899285,0.0513415617082015,-8.103827952038818e-06,-0.008103827952038819
MLM,25,0.9153112622337493,-0.008795772303966876,-0.221501058551156,0.03970984320120294,-0.0003492787390240082,-0.3492787390240082
SBAC,25,0.3906172136059495,0.0015857283856734795,0.0373763347878538,0.04242600015956605,6.727611274361145e-05,0.06727611274361145
UNM,25,1.1890771551960129,-0.016713659183838114,-0.3177137031806118,0.0526060381296706,-0.000879239392311307,-0.879239392311307
WAB,25,1.4622179611766517,0.005615637745750291,0.1514074716349617,0.03708956820367098,0.00020828157917811456,0.20828157917811457
J,25,1.087023699473337,0.005100088031337896,0.13331964346132946,0.03825458798813261,0.00019510176634203756,0.19510176634203755
STX,25,1.5329585989516445,0.006762655966130279,0.13580476924115398,0.049796895969990276,0.0003367592756262236,0.3367592756262236
ZBRA,25,1.3610807570791144,0.012023066263355243,0.2197644128106849,0.05470888625499371,0.0006577685646381542,0.6577685646381543
DHR,25,1.0963521430258683,0.003277186922447547,0.15575929305441427,0.021040073167914716,6.895225263322963e-05,0.06895225263322963
CPRT,25,1.1733692040792854,0.009164721436545155,0.13904067194628683,0.06591396106087291,0.0006040830919021846,0.6040830919021846
PAYX,25,0.9952562855432887,0.0037018702474380626,0.1506233556818317,0.024577000231343175,9.098086592768768e-05,0.09098086592768768
WST,25,0.7158657165807727,0.005842844093267891,0.12837076767877958,0.04551537860931361,0.0002659392610602797,0.2659392610602797
LEN,25,0.8785727378097015,-0.0088440924552208,-0.1905731889124758,0.04640785257197228,-0.00041043533879477924,-0.4104353387947792
TWTR,25,-0.22495816941927987,0.02353513302018863,0.19409946134546874,0.12125295380546948,0.002853704396902511,2.8537043969025113
WRK,25,1.3813104741944693,-0.00907462836605664,-0.2959876362171126,0.030658808867949555,-0.0002782172966226039,-0.2782172966226039
CXO,25,1.0160366940096037,-0.00024420322255542127,-0.0033801316018632374,0.07224666117165633,-1.7642867476988105e-05,-0.017642867476988105
AAPL,25,1.057769839954219,0.009666904118335394,0.24982406696491136,0.038694847281039356,0.0003740593785394385,0.3740593785394385
GD,25,1.032788626284763,-0.005918417452537801,-0.14976221835791437,0.03951876192427564,-0.00023388853027531928,-0.23388853027531928
PEAK,25,0.1248278414536047,-0.0015631330875040526,-0.03650711081615143,0.042817222523467764,-6.692901724145622e-05,-0.06692901724145622
ALLE,25,0.9839462893530534,-0.0036734288782310585,-0.09808341222418863,0.03745209097981548,-0.00013757759255539112,-0.13757759255539112
HAL,25,1.08362893388754,-0.010592467229444706,-0.18842650869067945,0.05621537703505018,-0.0005954595390346475,-0.5954595390346475
ITW,25,1.0878773679984568,-0.006997810590525828,-0.2927560823717569,0.023903211621884066,-0.00016727014743520038,-0.16727014743520038
PRU,25,1.5461199090096158,-0.009567200061469914,-0.36964738825888444,0.025881963096055956,-0.0002476179189235486,-0.2476179189235486
HCA,25,0.29592755854526936,0.02079148418090003,0.45154201559862206,0.0460455139558523,0.0009573545750145147,0.9573545750145147
ADI,25,1.268812829985579,-0.0037767067982756074,-0.14098759552336318,0.02678751122931071,-0.00010116857576862193,-0.10116857576862193
FITB,25,0.9768055457712705,-0.004743333398119718,-0.17275148153598008,0.02745755553553266,-0.00013024034020241902,-0.13024034020241904
BRK.B,25,1.2890723044377974,-0.0006986536147677571,-0.03495945833671094,0.019984680770471226,-1.3962369460269408e-05,-0.013962369460269408
DLTR,25,0.8775991280624295,-0.00727672674094375,-0.12888596911607467,0.056458641625996786,-0.0004108341072772507,-0.4108341072772507
FTNT,25,0.7541384066194243,0.03326569891044228,0.801761062984636,0.04149078877266424,0.0013802200868682077,1.3802200868682077
LNC,25,1.3323619218999339,-0.010074697105165092,-0.3635137097583253,0.027714765178631227,-0.00027921786451548633,-0.27921786451548636
PNC,25,1.0669491663861628,-0.004463697824132967,-0.16567188542254524,0.026943001298912788,-0.0001202654162735687,-0.12026541627356871
GIS,25,0.935697202439561,-0.011182868118853093,-0.2605270928361977,0.04292401222887074,-0.00048001356788749885,-0.4800135678874988
PFE,25,0.8970922862313979,0.004584743164515542,0.19579430994646535,0.02341612054900429,0.00010735689862651934,0.10735689862651934
EXPD,25,1.0658783656038266,0.0021378188103603228,0.06702995174791034,0.03189348574202083,6.81824937472509e-05,0.0681824937472509
XRAY,25,0.8771705709106971,-0.022927264352081488,-0.38550109212223466,0.05947392840280648,-0.0013635744785479118,-1.3635744785479118
AMZN,25,0.9471160277267123,0.024130091902271136,0.6550837843971778,0.036835123196456716,0.0008888349079619799,0.88883490796198
BKR,25,0.9394852653493069,-0.007682950530572869,-0.11617395805813155,0.06613315633722702,-0.0005080977685695568,-0.5080977685695568
MRO,25,0.9024293401821356,0.015951793622245768,0.23335232882438517,0.06835926473333236,0.001090452883194581,1.090452883194581
COO,25,1.1432214770082145,-0.0005660838501125648,-0.014389712652057591,0.03933948257344946,-2.2269445756614417e-05,-0.022269445756614416
HWM,25,1.8108085705394823,-0.01501991570647158,-0.21843062637941424,0.06876286515052138,-0.0010328124382963033,-1.0328124382963033
PXD,25,0.7667412741182009,0.0018139592659713174,0.032085696969787234,0.05653482508668554,0.00010255186981606092,0.10255186981606092
WEC,25,0.31718902283768347,0.0014433158417171445,0.045250590093109944,0.03189606674183262,4.603609841695436e-05,0.04603609841695436
TIF,25,0.8723643465157821,0.00847592790432196,0.14820195954994247,0.057191739772277865,0.00048475306303257003,0.48475306303257004
WMT,25,0.43203084496110766,0.005901435440935961,0.16081532807838533,0.03669697106273015,0.00021656480560459712,0.21656480560459712
JKHY,25,0.9438345236488614,0.012530914693838102,0.5837273182631081,0.021467069129339503,0.0002690020119864787,0.2690020119864787
CTSH,25,0.8141230362115948,-0.002016311314844344,-0.0664253246352489,0.030354557180054476,-6.120423709923347e-05,-0.06120423709923347
DXCM,25,0.27437432734335737,0.04160105804532293,0.5367175697627359,0.0775101475878893,0.0032245041489053295,3.2245041489053294
LYB,25,1.3158797981231727,-0.00464887814060432,-0.1325017339487958,0.0350854136173104,-0.00016310781241957547,-0.16310781241957548
DRI,25,0.8008742776914463,0.010359491422837482,0.19992354920601088,0.0518172644692425,0.0005368005068240191,0.5368005068240191
MCHP,25,1.3959781041684738,-0.012650167248686537,-0.23570562991789923,0.053669347028718964,-0.0006789262160410927,-0.6789262160410927
MS,25,1.3937857865258991,-0.007524992685195452,-0.24859214239311797,0.030270436598497145,-0.0002277848139813637,-0.22778481398136372
NDAQ,25,1.0069399980889722,-0.0006824560577456014,-0.021805583006475164,0.031297308471089545,-2.1359037757227788e-05,-0.02135903775722779
XEL,25,0.2559826803839546,-0.0007634083903152911,-0.022605291632588825,0.03377122501771782,-2.578123652975145e-05,-0.02578123652975145
