Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.590446992317004,0.001928786677492982,0.052384795018654985,0.03681959005100837,7.101713476113808e-05,0.07101713476113808
LLY,25,-0.038901309160967526,0.0037246080061865625,0.08729873755624867,0.042665084403846136,0.00015891071495519076,0.15891071495519077
CBRE,25,1.4658805661263206,0.0015098084386762634,0.0372055835718805,0.04058015743146029,6.126826413283003e-05,0.06126826413283003
GPN,25,-0.2530243849878372,0.010594991918074703,0.3431842957587749,0.030872601249568685,0.0003270949607291232,0.3270949607291232
TDG,25,0.26616655034566583,3.581052408258619e-05,0.0006469017950326574,0.05535697127069863,1.9823621528283853e-06,0.0019823621528283855
DOV,25,0.4316306276588136,0.007263163916487981,0.215507539350384,0.03370259777630856,0.0002447874920607924,0.2447874920607924
CDW,25,1.000990087595041,0.00744149810066015,0.2061693210844575,0.03609410974201992,0.00026859424909026023,0.26859424909026025
NOC,25,0.43603149294578086,0.009077356308992007,0.34351195405722945,0.02642515406459395,0.0002398705389643277,0.2398705389643277
MAA,25,0.4673041822930101,0.001809111947679476,0.06795010595681922,0.026624122541164637,4.81660181857034e-05,0.048166018185703395
AES,25,0.6977524440122852,-0.009545969649375666,-0.33939799394631304,0.028126181708916273,-0.00026849167694613976,-0.26849167694613973
FDX,25,0.6109628291838137,0.004846506723623755,0.1817613125387976,0.026664127013218235,0.00012922787084911996,0.12922787084911996
ROP,25,0.7515205756415931,0.005959936351289168,0.276051770409054,0.021589922580310658,0.00012867456440791232,0.1286745644079123
HII,25,0.48017514392455185,0.012118500890992256,0.41072696511333456,0.029505004346739982,0.0003575564214646989,0.3575564214646989
MLM,25,0.8917676227783591,-0.0022772642744390784,-0.03463506364141337,0.06575025523314296,-0.00014973070727768753,-0.14973070727768753
SBAC,25,-0.2073807391049891,0.0114837352650635,0.2787330262870872,0.041199765302428054,0.00047312719771583264,0.4731271977158326
UNM,25,0.6730578496964579,0.011331915099162558,0.344937155814839,0.03285211496683613,0.00037227737763211456,0.37227737763211455
WAB,25,0.011065274527033396,-0.001667378027981521,-0.030455747799815844,0.05474756485840098,-9.128488673039105e-05,-0.09128488673039105
J,25,1.0560241384603952,-0.0030445120667185127,-0.07775349227922822,0.03915595270994473,-0.00011921077050928618,-0.11921077050928618
STX,25,1.042180449186994,-0.010553775037733753,-0.19462719329146788,0.05422559334721914,-0.0005722847134741828,-0.5722847134741827
ZBRA,25,1.2782635065090566,0.007741155912435507,0.21122490204881073,0.03664887916788641,0.0002837046876546183,0.2837046876546183
DHR,25,0.35702104853180705,0.0016172013771834975,0.06081075014185514,0.0265940047345412,4.300786108152448e-05,0.04300786108152448
CPRT,25,0.4774069488083843,0.007017382604367976,0.2981098103215869,0.023539589645835378,0.0001651863068946457,0.16518630689464572
PAYX,25,0.8257673066038312,-0.0028019700902724063,-0.10574300537227795,0.02649792371994548,-7.424638971760697e-05,-0.07424638971760697
WST,25,0.605848285621322,0.00609620795527905,0.13570154047657768,0.044923645920815956,0.00027386388764261745,0.27386388764261743
LEN,25,0.14977707131027065,0.0068374857404538605,0.1823148572792316,0.037503722090962865,0.00025643116501090305,0.2564311650109031
TWTR,25,-0.040995509848532716,-0.01191552051680664,-0.11094355280943252,0.10740164899238355,-0.0012797465521076114,-1.2797465521076115
WRK,25,0.9528894231926185,0.0009486997070272214,0.03191548302143567,0.029725375185142528,2.8200454729418953e-05,0.028200454729418952
CXO,25,0.13920402666304751,-0.0014799729117133658,-0.025537756612025352,0.05795234617501478,-8.576790250925756e-05,-0.08576790250925756
AAPL,25,-0.41594167441697577,0.016582699737253313,0.5094027888991113,0.03255321741188497,0.000539820229822815,0.539820229822815
GD,25,0.5345522589232272,0.008043510932482775,0.32015611276578554,0.0251237149995231,0.00020208287626324555,0.20208287626324556
PEAK,25,-0.036725547458754476,-0.007297909762103749,-0.16665664449246304,0.04379009180419322,-0.0003195761384612411,-0.31957613846124105
ALLE,25,0.6410189457189233,0.004383191753319247,0.13454921675887313,0.03257686561768995,0.00014279064872444792,0.1427906487244479
HAL,25,-0.1055298255933787,0.0026625756635458827,0.05796150420682865,0.04593696626721077,0.00012231064844020354,0.12231064844020353
ITW,25,0.735285291074582,0.003657913006711925,0.13741988963772153,0.026618512184482458,9.736820193893823e-05,0.09736820193893823
PRU,25,1.0107281945543058,0.00504041156487862,0.14404571398043922,0.03499174967165692,0.0001763728197203572,0.1763728197203572
HCA,25,-0.4791412644504514,0.005153366403924142,0.13455158461973632,0.03830030258274814,0.00019737549259006332,0.19737549259006332
ADI,25,0.7097365761874747,0.0069799022908986754,0.17210375970834477,0.04055636148058096,0.00028307944040882187,0.2830794404088219
FITB,25,1.0512542083967558,0.005200772048932822,0.13053785946889201,0.03984110104220147,0.00020720448469898974,0.20720448469898975
BRK.B,25,0.553061863443707,0.005565350640250042,0.260674652649394,0.021349795937909654,0.00011881910049225325,0.11881910049225325
DLTR,25,0.8514739867425328,-0.0023765223848706725,-0.048231355466348706,0.04927338993258827,-0.00011709931415325727,-0.11709931415325726
FTNT,25,0.02431132814353264,0.0017168559777539767,0.030862459692414825,0.05562926593877203,9.550743776504644e-05,0.09550743776504644
LNC,25,1.072263165392377,0.011799077119341613,0.25708279888011887,0.045896019378735955,0.0005415306721205027,0.5415306721205028
PNC,25,0.9353279737100213,0.010223378547594149,0.3397281092138357,0.03009282502779076,0.00030765034182562035,0.30765034182562034
GIS,25,0.15866500925780083,-0.007663449314093957,-0.3040253182418812,0.025206615549027894,-0.00019316962063982787,-0.19316962063982787
PFE,25,0.05168742710830081,0.003658876453056294,0.13008917407000123,0.028125910393492437,0.00010290923125952076,0.10290923125952076
EXPD,25,0.6689356830790018,0.0013836873344013787,0.05934539412995214,0.023315833599005784,3.226182364195442e-05,0.032261823641954415
XRAY,25,1.2790054883853832,-0.009081756674783465,-0.248485835679117,0.036548387758050006,-0.00033192356447424493,-0.3319235644742449
AMZN,25,0.1759708000410994,0.00414872767489937,0.10371336374118112,0.0400018621057611,0.00016595683236567948,0.16595683236567949
BKR,25,0.35163215435943973,5.3787271842541985e-05,0.001218448497455875,0.04414406678234658,2.3743889202574033e-06,0.002374388920257403
MRO,25,0.6907232859725324,-0.010532450135976963,-0.15042229481799496,0.07001920924501791,-0.0007374738299336883,-0.7374738299336883
COO,25,0.09730156042859552,0.010899734274732679,0.29430437144698973,0.03703558401508809,0.00040367802447399735,0.40367802447399737
HWM,25,0.7155033847788721,0.0014196069811998804,0.01815731355960437,0.0781837564538271,0.00011099020647828414,0.11099020647828414
PXD,25,0.1967335035626062,-0.010062197199502089,-0.18211498620792216,0.05525189007792031,-0.0005559554136092469,-0.5559554136092469
WEC,25,0.2851701328934201,0.0008299809201047018,0.03693891655814849,0.02246901093588283,1.8648850370406637e-05,0.018648850370406637
TIF,25,0.6605431132671206,0.004209704861377243,0.08133749722350261,0.051756016659937766,0.00021787755493886157,0.21787755493886157
WMT,25,0.32534132784849773,0.00319583594249855,0.12348243191764983,0.025880895710167467,8.271109673460973e-05,0.08271109673460973
JKHY,25,0.6817160698762988,0.0022290605141648545,0.0957058096988483,0.023290754460767896,5.191650111360667e-05,0.05191650111360667
CTSH,25,0.4150903105614287,0.0077507362364739995,0.25501478603447736,0.030393281726911785,0.00023557031002613822,0.2355703100261382
DXCM,25,0.5711790988820993,-0.014861204008587644,-0.1761969278789666,0.08434428560977023,-0.0012534576354053784,-1.2534576354053784
LYB,25,0.6567614590731299,0.005231762911029261,0.1562598117881953,0.0334811801649981,0.0001751655966047256,0.1751655966047256
DRI,25,0.7341430092654284,0.006326499093480661,0.16242483426655266,0.03895031890935071,0.0002464191572707899,0.24641915727078992
MCHP,25,0.40513883431020614,0.012155055549536635,0.3119826748475087,0.03896067483708125,0.0004735691668921568,0.4735691668921568
MS,25,1.0429188180822522,0.010402548048496106,0.288830437182587,0.036016107408790965,0.0003746592878397446,0.3746592878397446
NDAQ,25,0.06720570448476908,0.005619028201253335,0.21925961039051958,0.025627283525886866,0.0001440004288534733,0.1440004288534733
XEL,25,0.1628616677871337,0.004742455863270835,0.19965104521919766,0.023753724194451743,0.00011265098858049595,0.11265098858049595
MHK,25,0.6259596546352286,0.0035939212213347074,0.1346803608840608,0.026684820249542725,9.590314178233372e-05,0.09590314178233372
PSX,25,0.4855133191396002,0.003487557651503361,0.11850343080162305,0.02943001420221831,0.00010263887121479904,0.10263887121479903
BF.B,25,0.27438939915413146,0.0030248056935902913,0.08835362440761758,0.03423521914206274,0.00010355488578222271,0.1035548857822227
PKI,25,0.3745604041872724,0.006056920081456263,0.20437104848095106,0.02963687922764077,0.00017950820894559137,0.17950820894559136
BIO,25,0.5384960126347005,0.00896624349456025,0.3331610216779243,0.026912642569658578,0.00024130530636162645,0.24130530636162645
FRT,25,0.3863499968376193,-0.01071503798363315,-0.2960728722365237,0.03619054289807825,-0.0003877830418012134,-0.3877830418012134
OKE,25,0.6365623821343167,0.0005743612538323256,0.013619298259588308,0.04217260264698012,2.4222308933691955e-05,0.024222308933691955
TSN,25,-0.4296432717490517,-0.0010620549335642417,-0.025888163285269186,0.04102473094986114,-4.3570517903445666e-05,-0.04357051790344567
EBAY,25,0.11808641479357852,0.005662256329373989,0.14171897325487337,0.03995411622966495,0.0002262304475059644,0.22623044750596438
FISV,25,0.8231493107619048,0.003855889246270645,0.18676819024039032,0.020645321033028748,7.96060713570607e-05,0.0796060713570607
VLO,25,0.4657410988372399,0.013219973640225764,0.42833019020074364,0.03086397817074257,0.0004080209778497202,0.4080209778497202
ANSS,25,0.6873850711630487,0.006164067216663568,0.15246182687691215,0.040430233212671904,0.0002492146751082934,0.24921467510829343
ATO,25,0.5698530759496628,0.001239034006297335,0.0577089319360275,0.02147040266957029,2.6602559036494675e-05,0.026602559036494677
ACN,25,0.6584501328248213,0.0004859685171693393,0.021255766039674877,0.022862903000637872,1.1110651069406425e-05,0.011110651069406424
IT,25,1.136922344730867,0.004845857932631899,0.12822234423849874,0.037792616890691126,0.00018313765235467388,0.18313765235467389
COG,25,0.06624333130183802,0.0015783656448225976,0.030802611952349537,0.05124129237040901,8.087749547376387e-05,0.08087749547376387
PNR,25,0.21283267431892366,0.0017817906572689906,0.04051094128055028,0.04398294882682587,7.836840729877845e-05,0.07836840729877845
