Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.27291308146473864,0.011223182767675585,0.2858681214270992,0.03926000112096329,0.00044062216803971934,0.4406221680397193
LLY,25,0.01867889609565774,0.003640946333761281,0.10912100731920706,0.03336613566176653,0.00012148430930949038,0.12148430930949038
CBRE,25,0.4459097373553509,0.0050949973089506224,0.14151504332100837,0.03600322050139424,0.00018343631156815955,0.18343631156815954
GPN,25,0.2942922046465446,0.013044523657695735,0.3744019011755442,0.03484096532827061,0.0004544837964815828,0.45448379648158277
TDG,25,0.3764082547321783,0.021499580029165258,0.3506988047467052,0.06130497092709937,0.0013180311286328224,1.3180311286328223
DOV,25,0.5108417053381203,0.007075052475189433,0.19255634429619573,0.036742764830985694,0.0002599569892627686,0.2599569892627686
CDW,25,0.4758519597913233,0.014064630544787283,0.3339670615137729,0.04211382548038275,0.0005923153962092321,0.5923153962092321
NOC,25,0.35201505975784064,0.010741723735978807,0.19027041965108613,0.05645503781237648,0.0006064244196847855,0.6064244196847854
MAA,25,0.03304520893924421,0.009684976663522164,0.40656791281804894,0.023821301086926837,0.00023070874512162156,0.23070874512162157
AES,25,0.2831280167868129,0.008008564431435225,0.17338544057238298,0.04618937094716382,0.0003699105532778237,0.36991055327782374
FDX,25,0.6650082718518395,-0.013174363761014166,-0.2567214674557165,0.0513177331509555,-0.0006760784839213435,-0.6760784839213435
ROP,25,0.2639631764085915,0.00987623185610867,0.32494938985214755,0.030393138637996427,0.00030016968402370755,0.30016968402370753
MLM,25,0.3706917945869235,0.012117852582987764,0.2350592522777695,0.051552331871915,0.0006247035579331276,0.6247035579331276
HII,25,0.4908738639610024,-0.0030273877621121927,-0.0730461243306956,0.0414448786961859,-0.00012546971856705751,-0.12546971856705752
ANF,25,0.23049510841071,-0.012937926842017281,-0.10339959987555354,0.12512550200956973,-0.0016188645910704994,-1.6188645910704995
SBAC,25,0.03784935419193997,0.02125707691055379,0.562050407705844,0.0378205880097483,0.000803955148125588,0.803955148125588
UNM,25,0.5194931419595478,-0.010922772338786114,-0.20134456044579468,0.05424915535141416,-0.0005925511734749373,-0.5925511734749372
WAB,25,0.6226377728478336,-0.01437406486935406,-0.2884346127024198,0.049834743253175,-0.0007163278322687421,-0.7163278322687421
J,25,0.18894937232023604,0.00937748133890748,0.18055603239447734,0.05193668256078886,0.0004870352715185591,0.4870352715185591
STX,25,0.6302140979595731,0.003069686195766277,0.06427651166823337,0.04775751073130144,0.00014660057143603587,0.14660057143603586
ZBRA,25,0.554450315684282,0.010015847505031964,0.133376100482413,0.0750947693687645,0.0007521377584230907,0.7521377584230906
HP,25,0.7766692990782121,-0.016071740626349793,-0.27458668436568784,0.0585306627795026,-0.0009406896308805115,-0.9406896308805115
BG,25,0.14851463628778044,-0.005595262690311892,-0.14406339200669754,0.03883889315928204,-0.00021731380982714055,-0.21731380982714055
WST,25,0.379849797304805,0.010910049391635666,0.23318337264242697,0.04678742428331538,0.0005104531098383847,0.5104531098383848
