Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.7331121551819566,-0.005494846074157965,-0.1569909088353384,0.035001046333971435,-0.00019232536203964395,-0.19232536203964395
LLY,25,-0.3262306219330503,0.0038872520950352673,0.09437931410175443,0.04118754339371711,0.0001601063643465828,0.1601063643465828
CBRE,25,1.4273924963363291,-0.003312318707829087,-0.0754806236328494,0.04388303313365254,-0.000145354591604881,-0.14535459160488098
GPN,25,0.14474463367307747,0.007211385682355319,0.20124410785697747,0.035834021473465406,0.0002584129493949615,0.2584129493949615
TDG,25,0.34714340074593303,-0.0011930006067050467,-0.022179808802202723,0.053787686690363504,-6.416874285486463e-05,-0.06416874285486462
DOV,25,1.0255891352700137,-0.0009215536879801358,-0.0331987012214931,0.027758727121033118,-2.558115735202229e-05,-0.02558115735202229
CDW,25,1.24339915490121,0.004255300852509872,0.12241267950507506,0.03476192882726215,0.00014792246537353613,0.14792246537353612
NOC,25,0.5144028214468933,0.006216991901589603,0.27606274013430565,0.022520213696948062,0.00014000798617599337,0.14000798617599336
MAA,25,0.31623433591555705,0.00418769998334995,0.12342893522242103,0.03392802486551183,0.00014208038916440057,0.14208038916440058
AES,25,0.6126567352048398,-0.00551875588124575,-0.1521797963668935,0.036264708016433826,-0.00020013607064735408,-0.2001360706473541
FDX,25,0.8259375892643969,0.0039858787020881255,0.14720388964888415,0.02707726481681552,0.00010792669314414512,0.10792669314414512
ROP,25,0.6433293951181669,0.005815263948015676,0.26810204199941,0.021690487340743466,0.00012613590904751588,0.12613590904751587
MLM,25,1.3534103302827245,-0.006928648293227393,-0.12705410610621942,0.054533052929709516,-0.0003778403441059109,-0.37784034410591094
HII,25,0.6400284066081332,0.004779886311138353,0.14245376641597549,0.03355394828368899,0.00016038405808584922,0.1603840580858492
ANF,25,-0.08140460977795512,-0.012047541052312885,-0.11032960120954516,0.1091959086250245,-0.0013155421919045893,-1.3155421919045893
SBAC,25,0.0805798294554108,0.01104420783965335,0.27956111782723153,0.03950552181751777,0.00043630719376662626,0.43630719376662624
UNM,25,0.5735430053732776,0.008856935550567286,0.2459409199152594,0.03601245190763295,0.00031895996556380893,0.3189599655638089
WAB,25,0.7615601518617096,-0.008846081886639018,-0.18206804503883908,0.0485866802422795,-0.00042980175202315057,-0.4298017520231506
J,25,1.2737880399334756,-0.009580641379389868,-0.3219532579958531,0.029757864352822513,-0.00028509942658092204,-0.285099426580922
STX,25,0.887388506769153,-0.006724123310739919,-0.09653611534475548,0.06965396615273292,-0.00046836185749308076,-0.46836185749308074
ZBRA,25,1.2745701971687415,0.005915109774983947,0.1611129179700029,0.03671406271770996,0.00021716771126089986,0.21716771126089987
HP,25,0.7544644857188368,-0.0171192413587284,-0.2571863129493281,0.06656357860731611,-0.001139517967879335,-1.139517967879335
BG,25,1.2453479661202225,-0.0007333909408425068,-0.014736764540680338,0.04976607577721731,-3.649798913629289e-05,-0.036497989136292895
WST,25,0.3854885266454262,-0.0013825699904379202,-0.02926093360089261,0.047249688246302046,-6.532600102688453e-05,-0.06532600102688453
PAYX,25,0.6250718981866431,-0.0060258924801304655,-0.196104672240323,0.030727939376915175,-0.00018516325882125798,-0.18516325882125798
BALL,25,0.4096036285715847,-0.0030462713781169116,-0.10968218010130698,0.027773621706855663,-8.460598887224098e-05,-0.08460598887224098
DHR,25,0.4315911792509023,-0.0021730266283906067,-0.08650441109490005,0.025120414102428584,-5.4587328760776236e-05,-0.05458732876077624
BSC,25,-38.45472595893823,0.2832618688170422,0.109588977267992,2.5847660583997016,0.7321656641571594,732.1656641571594
LEN,25,0.6540476013801396,-0.0015477452263189017,-0.04029937272452944,0.03840618654038799,-5.9442991878998766e-05,-0.05944299187899876
CPRT,25,0.645817430323735,0.0036860237801859055,0.15440987258853964,0.02387168461700734,8.799159717138713e-05,0.08799159717138713
WOR,25,1.560635687301675,-0.0037299033423377455,-0.054176820668564246,0.06884684808575336,-0.0002567920887844705,-0.25679208878447046
GP,25,1.3666198473676845,-0.03219597267444284,-0.4614156851547312,0.06977650242567336,-0.002246522365415174,-2.2465223654151742
KBH,25,0.920569671214855,0.005664594944750023,0.11899245323789295,0.04760465719137003,0.0002696611004727925,0.2696611004727925
TWTR,25,1.3948662555710933,-0.013483679120111867,-0.1224093363560051,0.11015237498630873,-0.0014852592786336236,-1.4852592786336236
WRK,25,1.1106850133645603,-0.001493377340758128,-0.0664369779829016,0.022478104605276713,-3.356829208071117e-05,-0.033568292080711166
CXO,25,0.6263440639382223,-0.012170017354045937,-0.28338686329395496,0.04294488887941878,-0.0005226400429301009,-0.5226400429301009
AAPL,25,-0.26850302700788475,0.01942302787959865,0.5729391255371843,0.033900683360361776,0.0006584539180457528,0.6584539180457528
