Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.31123842109326993,0.006193482603219052,0.3103031244213835,0.01995945936660459,0.0001236185643567231,0.1236185643567231
LLY,25,0.6548741551883053,0.009679389637385941,0.225525902189843,0.04291919262222054,0.00041543158831249265,0.41543158831249266
CBRE,25,2.0496784294948536,-0.009060044838310938,-0.16892489086463028,0.05363356928595739,-0.00048592254256943026,-0.48592254256943024
GPN,25,1.4169248526916784,-0.001054896952982609,-0.019057264355412235,0.05535405991694815,-5.839282914160538e-05,-0.05839282914160538
TDG,25,1.3091171985977161,-0.0037091127250233236,-0.039476500799525756,0.09395748483026344,-0.000348498902595116,-0.34849890259511596
DOV,25,1.6292388511550515,0.0032402428022447177,0.0759970204144127,0.04263644527871795,0.0001381524349276666,0.1381524349276666
CDW,25,0.8742984275672655,-0.0019085816285667188,-0.03406832111428967,0.05602218031713281,-0.00010692290414553172,-0.10692290414553172
NOC,25,0.9271768102296998,-0.004321096062697564,-0.13170736557053658,0.032808309876818376,-0.0001417678586324815,-0.14176785863248148
MAA,25,1.5230144647409154,-0.0059225489264082675,-0.10739620958330401,0.05514672211791911,-0.0003266091598744169,-0.32660915987441685
AES,25,1.1628360791060341,0.004447915125194235,0.06903896167945155,0.06442615904112146,0.0002865620872571735,0.2865620872571735
FDX,25,0.6417067195209856,0.012419825994513668,0.13730216913167903,0.09045615282743633,0.0011234496782498947,1.1234496782498946
ROP,25,1.1542383455775427,0.0034982164473370066,0.08623289989954226,0.040567074184125584,0.0001419124061312486,0.1419124061312486
MLM,25,1.551963222692366,-0.01198282376443879,-0.23772986341422192,0.05040521031873832,-0.0006039967520589128,-0.6039967520589129
HII,25,1.2664452688655314,-0.015209840171508957,-0.25853709411963577,0.05883039810322435,-0.0008948009523762861,-0.8948009523762861
ANF,25,1.2993847552515814,-0.008778399724751529,-0.08909752049254141,0.09852574657772202,-0.0008648983866388139,-0.8648983866388139
SBAC,25,1.0549030092541558,0.003577057919221638,0.07104803533053602,0.05034703496838624,0.0001800942601429947,0.1800942601429947
UNM,25,2.4115584092192672,-0.015885165527910285,-0.23043145072135088,0.06893662075286508,-0.001095069631594037,-1.095069631594037
WAB,25,1.4669538610471142,-0.004916673473226237,-0.07453835794691942,0.06596165529602248,-0.0003243119208440466,-0.3243119208440466
J,25,1.4827651511371496,-0.0033835601235848276,-0.06283723648377101,0.05384641834875568,-0.0001821925939227161,-0.18219259392271608
STX,25,0.8241454528494082,-0.00313835941663097,-0.05714168612596073,0.054922415304877466,-0.0001723662792561791,-0.17236627925617912
ZBRA,25,0.7388243207206409,0.010496294313898554,0.1606537080119156,0.06533490228012695,0.0006857743633020142,0.6857743633020142
HP,25,2.0003761302371834,-0.03347925385350384,-0.2157991659859004,0.15514079352693727,-0.005193998009522358,-5.193998009522358
BG,25,1.2869096678811407,-0.007133041117546313,-0.1632993577347054,0.043680766516758646,-0.0003115767036099796,-0.31157670360997963
WST,25,0.8114052148258567,0.022935085552601795,0.42856730712376245,0.05351571426790742,0.0012273874851430491,1.227387485143049
PAYX,25,1.5364118752218288,-0.005030447369191285,-0.1245861349249913,0.040377264871568015,-0.000203115705848319,-0.203115705848319
BALL,25,1.2694376983490725,-0.0032356407047202207,-0.055981942454641234,0.05779793559935623,-0.00018701335307407492,-0.18701335307407493
DHR,25,0.8565375827161658,0.012690432826216597,0.41560297331747864,0.03053499046197244,0.00038750224530682576,0.38750224530682575
BSC,25,0.31015282317777026,-0.0031897997487002035,-0.055788616965362386,0.05717653389186296,-0.00018238169343981313,-0.18238169343981311
LEN,25,2.2899997930063174,0.010044707760304928,0.11829100666505973,0.08491522765332835,0.0008529486461774469,0.8529486461774469
CPRT,25,1.0886290229558215,0.009959131366809358,0.16538190068259473,0.06021899207654642,0.0005997288528671777,0.5997288528671777
WOR,25,1.3413131390811108,0.00677492537414615,0.09004825136911246,0.07523661227329534,0.0005097224335551443,0.5097224335551442
GP,25,1.8640743655615681,0.07839815945931446,0.3123737552521731,0.2509755001537347,0.019676017281433693,19.676017281433694
KBH,25,3.5459415680356767,0.0015126734245487286,0.01444207230601068,0.10474074582213284,0.00015843854267255363,0.15843854267255364
TWTR,25,1.0010903399955016,-0.00420893836673481,-0.050499903531390763,0.08334547340508347,-0.00035079596070833156,-0.3507959607083316
WRK,25,1.02334705457933,-0.005065474458776267,-0.061800570290511295,0.08196484975728464,-0.0004151908529629595,-0.4151908529629595
CXO,25,1.5516552329918505,-0.01763453590779886,-0.19796536860927127,0.08907889309975495,-0.0015708649389946047,-1.5708649389946048
AAPL,25,0.8876108128860488,0.032879410531833,0.8356539582859464,0.039345724633763096,0.0012936642329059514,1.2936642329059513
FICO,25,1.5168207849873823,0.0034123503419562374,0.048970575817575634,0.06968164627403745,0.00023777818949128525,0.23777818949128526
GD,25,1.5210870785563289,-0.012142265569213578,-0.3405462079765355,0.03565526581946322,-0.000432935706520826,-0.432935706520826
PEAK,25,1.4736718735735808,-0.009982828570027826,-0.16336473225701406,0.06110761136817652,-0.0006100268086123898,-0.6100268086123898
ALLE,25,1.3614628237799635,-0.0001472531578047753,-0.002751212157077221,0.053523010730372474,-7.88143234526622e-06,-0.007881432345266219
ASH,25,1.7691895141895608,-0.0031317907531729656,-0.0607168337143395,0.05158027126228966,-0.000161538616585392,-0.161538616585392
MTW,25,0.6304845208517339,-0.011392856824350114,-0.09578803013586797,0.11893820979709283,-0.0013550459951627947,-1.3550459951627947
HAL,25,2.9123949625703647,-0.01241717830254635,-0.08031115522703007,0.15461336930647387,-0.0019198617746359332,-1.9198617746359332
PRU,25,1.9186262753823815,-0.008449045929836242,-0.12059424465026657,0.07006176749428784,-0.0005919550914847458,-0.5919550914847458
ITW,25,1.3303723679112454,0.009159258492178683,0.2585965781757669,0.03541910166326012,0.0003244127076945554,0.3244127076945554
