Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.2382188958278095,0.004440160089288559,0.23357900290628555,0.019009243271194198,8.440408330033356e-05,0.08440408330033357
LLY,25,0.42010821131964177,0.006873098051765241,0.14631221101758324,0.04697556002990932,0.00032286763012215087,0.32286763012215086
CBRE,25,1.3979896081231387,-0.018747752568596614,-0.26907959614611376,0.06967363128647011,-0.0013062239999143733,-1.3062239999143734
GPN,25,1.1337374233788078,-0.009572786479005875,-0.24519351544318976,0.03904176038955584,-0.00037373843597372726,-0.37373843597372725
TDG,25,1.1019640442104883,-0.012171878986053337,-0.14886585516373593,0.08176407526538318,-0.000995222429536801,-0.995222429536801
DOV,25,1.178639678873517,-0.005193893931477489,-0.11684529360821903,0.04445103239581525,-0.0002308739474085341,-0.2308739474085341
CDW,25,0.6954175233176961,-0.007119367274258587,-0.13980814144745907,0.050922408384450904,-0.00036253532777869084,-0.36253532777869085
NOC,25,0.6141773338927983,-0.008505219840849435,-0.2099192626777017,0.04051662402181678,-0.0003446027945145929,-0.3446027945145929
MAA,25,1.1190301997011562,-0.013994366114012675,-0.2594864483987489,0.053931009501150304,-0.0007547302918573934,-0.7547302918573934
AES,25,0.8672380292010459,-0.0018548110724535471,-0.029636204382710026,0.06258598599541502,-0.00011608517980471842,-0.11608517980471843
FDX,25,0.525369215214212,0.008432526528888769,0.09560857917520231,0.08819842948859433,0.0007437355964688971,0.7437355964688971
ROP,25,0.869618776268665,-0.0028535980535271043,-0.07890804336178836,0.03616358905826037,-0.00010319634734520588,-0.10319634734520589
MLM,25,1.0756230309394799,-0.019504213691184664,-0.3336851655005757,0.05845094630420727,-0.001140039747169219,-1.1400397471692192
HII,25,0.8105705114761779,-0.0206165463103044,-0.2961532879703722,0.06961444342420038,-0.0014352093967210928,-1.4352093967210928
ANF,25,1.0358666383911435,-0.016548096567676418,-0.1798229715389189,0.09202437500647646,-0.0015228282441872407,-1.5228282441872407
SBAC,25,0.7456085028031904,-0.001693019116383451,-0.03206260149368346,0.05280354798150072,-8.939741614555152e-05,-0.08939741614555151
UNM,25,1.7497798164236023,-0.028425610361015437,-0.4031978739683484,0.07050039743822381,-0.0020040168278756807,-2.004016827875681
WAB,25,1.1166463269557967,-0.013113688832267763,-0.21778605452471878,0.06021362966001736,-0.0007896228028228766,-0.7896228028228766
J,25,1.0655498106332753,-0.010981887453010894,-0.19603991561613154,0.05601862976984074,-0.0006151902874042765,-0.6151902874042765
STX,25,0.5114644337233129,-0.006482480025678396,-0.1062737435791486,0.060997945563576524,-0.00039541796372330294,-0.39541796372330296
ZBRA,25,0.6341464337537828,0.005587052796707427,0.09474299740058727,0.058970614715560976,0.0003294719378701311,0.32947193787013107
HP,25,1.5252748735253738,-0.04468507008593424,-0.29681871604963656,0.15054667266487878,-0.006727188619234309,-6.727188619234309
BG,25,0.9314570032165485,-0.013800128024928186,-0.30854658916661554,0.044726237493671016,-0.0006172278034860032,-0.6172278034860033
WST,25,0.6905391922642771,0.017607826918474623,0.39694524437545686,0.04435832691780528,0.0007810537427618292,0.7810537427618293
PAYX,25,1.113011613907127,-0.013000647242715668,-0.3110544949984955,0.04179540065086842,-0.0005433672602299091,-0.5433672602299091
BALL,25,0.9122110151271242,-0.009740387048810051,-0.1642676729083662,0.059295824165254675,-0.0005775642777477647,-0.5775642777477648
DHR,25,0.5888781664012355,0.008591183385536032,0.24407106756315608,0.03519951574478597,0.0003024054948455192,0.3024054948455192
BSC,25,0.3055902773465759,-0.005679221494157139,-0.10420150016208564,0.05450230068975109,-0.0003095306375582499,-0.3095306375582499
LEN,25,1.840526505398416,-0.0038110175204765263,-0.0698664842312069,0.05454714892858856,-0.00020788014025889336,-0.20788014025889337
CPRT,25,0.9242384656486045,0.00283603099126287,0.06275730712849079,0.04519045065869881,0.0001281615185772054,0.1281615185772054
WOR,25,1.0106565777068504,-0.0006073817525156511,-0.00842049487842984,0.07213136060108961,-4.381127221322819e-05,-0.04381127221322819
GP,25,1.6306633565615958,0.06567797482625196,0.2744899423662759,0.23927279178270255,0.015714952395311364,15.714952395311364
KBH,25,2.709463077464745,-0.0184132472530022,-0.23126271365176662,0.07962047561514264,-0.001466071503903254,-1.466071503903254
TWTR,25,0.7738420687658487,-0.009931348896133112,-0.12336915975818794,0.08050106619514343,-0.0007994841748946763,-0.7994841748946763
WRK,25,0.6174502510572007,-0.009025938544184492,-0.10116404099747514,0.08922081853580524,-0.0008053016249660146,-0.8053016249660147
CXO,25,1.2072279918319313,-0.02658895375844929,-0.32525649955305475,0.08174764776410622,-0.0021735844262618207,-2.1735844262618205
AAPL,25,0.6923770695769093,0.027737603299087366,0.8285468474539595,0.03347741094462216,0.000928583144262455,0.928583144262455
FICO,25,1.1836404116932453,-0.005379289027608876,-0.0896546720429585,0.06000009709512251,-0.0003227578639592597,-0.3227578639592597
GD,25,1.051000329918692,-0.019478940574083392,-0.419060817139609,0.046482371477823074,-0.0009054273517589845,-0.9054273517589845
PEAK,25,1.1251644499583455,-0.018254430899775815,-0.33619795002334557,0.05429667521324335,-0.000991154905767721,-0.991154905767721
ALLE,25,0.9736022718288037,-0.00707199089298282,-0.12636914819310377,0.055962954519374955,-0.00039576950470543144,-0.39576950470543143
