Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.5343742428421233,-0.004120160154696536,-0.10997286582228864,0.0374652431205579,-0.00015436280189134118,-0.1543628018913412
LLY,25,-0.029303821726886115,0.0017988506230990498,0.04287943542016252,0.04195135979456494,7.546422970630558e-05,0.07546422970630558
CBRE,25,1.6091478115815108,-0.00466373757102337,-0.10868934662512751,0.04290887484224859,-0.00020011573173213425,-0.20011573173213426
GPN,25,-0.21146415699061727,0.009727814648520626,0.27253322662933216,0.03569405011210344,0.00034722510354554914,0.34722510354554914
TDG,25,0.27298452863787404,-0.0006833420066337439,-0.01262884281810643,0.05410962955798387,-3.697538284036124e-05,-0.03697538284036124
DOV,25,0.2901849057221356,0.004241058269147504,0.11500642009625546,0.0368767088445838,0.000156396270984267,0.156396270984267
CDW,25,1.1063234956704797,0.005170335947524713,0.13267519925339658,0.03896987512828136,0.00020148734624630236,0.20148734624630235
NOC,25,0.37588842255720656,0.007174952278503399,0.29421273606488035,0.024386953380975202,0.00017497522672658421,0.17497522672658422
MAA,25,0.11907776497185951,0.005569905313415569,0.16052042755746393,0.034699043593200155,0.000193270387280204,0.193270387280204
AES,25,0.008381736025019931,-0.0012663536495611926,-0.0322635194250402,0.03925032582088229,-4.97047933497402e-05,-0.0497047933497402
FDX,25,0.5545241897721601,0.005871136790803685,0.1868232895109526,0.03142615038078262,0.00018450722769394206,0.18450722769394207
ROP,25,0.6077290581901076,0.00603852304633958,0.26168830242223123,0.023075250175288647,0.00013934042998353194,0.13934042998353194
MLM,25,0.7981914718644343,-0.00305696021493997,-0.0499046055150425,0.061256074131645535,-0.00018725738154385386,-0.18725738154385385
HII,25,0.8731185273585486,0.0031002332283098285,0.09869633969027614,0.03141183592055008,9.738401748310561e-05,0.09738401748310561
ANF,25,0.57613332831546,-0.016701045507181395,-0.15400695313668197,0.10844345120157745,-0.00181111901347335,-1.81111901347335
SBAC,25,-0.3234514316470442,0.013902231452007481,0.3575604654785986,0.0388807846342833,0.0005405296670214625,0.5405296670214624
UNM,25,1.274581259831505,0.0038659203735708463,0.14896225634000898,0.025952348390499768,0.00010032971238484161,0.1003297123848416
WAB,25,0.13849472431069482,-0.00446727863988366,-0.08598240705075437,0.05195572900450065,-0.00023210071840138968,-0.23210071840138968
J,25,0.9594823571919698,-0.007411699498241945,-0.19843749132032876,0.03735029831775877,-0.0002768291873009196,-0.2768291873009196
STX,25,0.3129882746893161,-0.0026956524590645986,-0.037114419598936146,0.07263086660640834,-0.0001957875741715575,-0.19578757417155748
ZBRA,25,0.960804089882813,0.008080194869749212,0.18748856602786398,0.043097000744825996,0.00034823216431992103,0.34823216431992104
HP,25,0.3948828183329346,-0.014606302293165266,-0.21319388305682926,0.06851182634199589,-0.001000704446208035,-1.000704446208035
BG,25,1.3182407686383975,-0.0013055920633996496,-0.02595566499106884,0.05030085200471244,-6.567239315959291e-05,-0.06567239315959292
WST,25,0.4806546938993903,-0.002073915808004097,-0.04416534147379214,0.046957993277030714,-9.738692456938411e-05,-0.09738692456938411
PAYX,25,0.8616901381642142,-0.007729862646565914,-0.27266306887596664,0.02834950357755343,-0.00021913776875281702,-0.219137768752817
BALL,25,-0.038471558998530914,0.00010892862813120856,0.003690018702106111,0.029519803807237233,3.215551731424779e-06,0.003215551731424779
DHR,25,0.3262122150162033,-0.0014460367961421437,-0.05508316193904277,0.02625188433703907,-3.79611907194261e-05,-0.0379611907194261
BSC,25,-19.473888941597043,0.15055261830890035,0.05542763589811908,2.716201329344615,0.40893122198694754,408.93122198694755
LEN,25,0.6691944957563811,-0.0016843960655626,-0.04340831042460902,0.03880353897874087,-6.536052838569612e-05,-0.06536052838569612
CPRT,25,0.5228824972347219,0.004527738013643985,0.17334389776113932,0.026119973486941086,0.00011826439687219619,0.11826439687219618
WOR,25,0.9636092249495936,0.0004285911504843436,0.005660052269527253,0.07572211882066965,3.2453830022462975e-05,0.03245383002246297
GP,25,0.45034993401713225,-0.025767652712464728,-0.33580007971427855,0.0767351000464014,-0.0019772834088519074,-1.9772834088519073
