Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.5364085489814882,0.005315193124977072,0.13956487097773101,0.0380840328066879,0.0002024239893455088,0.20242398934550881
LLY,25,0.13017378558207232,0.002458400691383115,0.07442591563024444,0.03303151423217554,8.120469742581156e-05,0.08120469742581156
CBRE,25,0.9466704253251238,-0.005142833114920161,-0.17390793402503119,0.029572159221786486,-0.00015208467972549516,-0.15208467972549516
GPN,25,0.754603222294747,0.005206830094872868,0.1864328647921137,0.0279287136454126,0.00014542006672002087,0.14542006672002086
TDG,25,0.9697606031019055,0.011436631442886822,0.207559318470721,0.05510054439931161,0.0006301646185973486,0.6301646185973486
DOV,25,0.8829743683672127,-0.002975421935107527,-0.08096318244342149,0.03675030853915364,-0.0001093476741493672,-0.1093476741493672
CDW,25,0.9623380342217857,0.003538177064704086,0.09371773401974781,0.03775354901302389,0.00013357874122906272,0.13357874122906271
NOC,25,0.9581558792081508,0.0009042565785051353,0.01837406189612015,0.049213754890859336,4.450186161299883e-05,0.04450186161299883
MAA,25,0.29676893603230364,0.007039408715213639,0.3322234199744232,0.021188779273163767,0.00014915647748024713,0.14915647748024713
AES,25,0.2633026456005832,0.004320595366663411,0.08872452087511826,0.04869674498152259,0.00021039893073875624,0.21039893073875623
FDX,25,1.2091441095450253,-0.0267550274781633,-0.5418922455388645,0.04937333519426498,-0.0013209849398111268,-1.3209849398111269
ROP,25,0.6765155972841915,0.002848936746445049,0.11877900135320754,0.023985188577005285,6.833228510744439e-05,0.0683322851074444
MLM,25,1.1154415495647654,0.0008721076337030436,0.022569268887960802,0.038641377265359926,3.369944008991963e-05,0.03369944008991963
HII,25,0.9627730763458119,-0.013636816254516104,-0.3607531968282807,0.03780095748120912,-0.0005154847114160246,-0.5154847114160246
ANF,25,-0.0992486542956637,-0.013329128353602818,-0.10582504501491394,0.12595438397143457,-0.001678862150654225,-1.678862150654225
SBAC,25,0.5355621481136277,0.016597850749897874,0.5157606130054464,0.032181307240928464,0.0005341405345215384,0.5341405345215383
UNM,25,0.7838501383431338,-0.020193602714653154,-0.3563308535117686,0.056670935215510934,-0.0011443903512098747,-1.1443903512098748
WAB,25,0.7830974608433499,-0.024183486131251798,-0.42448337754254206,0.056971573943029395,-0.0013777712683268376,-1.3777712683268375
J,25,0.7685622007437983,0.0019800300460578553,0.04404163470888459,0.044958141520991736,8.901847102648485e-05,0.08901847102648484
STX,25,1.0563113881552426,-0.009054636811116725,-0.18558115169245637,0.048790713542515345,-0.0004417821908827108,-0.44178219088271076
ZBRA,25,1.2799252878877472,-0.003570147853499319,-0.05244414335201125,0.06807524397025741,-0.00024303868613685694,-0.24303868613685695
HP,25,0.676545890782973,-0.02580764038900133,-0.3543100442614471,0.0728391441535249,-0.0018798064385567993,-1.8798064385567994
BG,25,0.10541887768604996,-0.007257542648114516,-0.18229235082336634,0.039812655963533936,-0.00028894204859005823,-0.28894204859005823
WST,25,0.8802567679559264,0.0015741629645039537,0.038077837859552356,0.041340660420640274,6.507693656230636e-05,0.06507693656230636
PAYX,25,0.740124322972037,-0.0005425018412698306,-0.02536187261581105,0.021390448942308196,-1.1604357936790497e-05,-0.011604357936790497
BALL,25,0.54504047951076,0.021882965149775325,0.6721145210723005,0.03255838769092944,0.0007124740631734829,0.7124740631734828
DHR,25,0.5855166067171991,0.008040643885823135,0.28215622501432286,0.02849713447015027,0.00022913531004089348,0.2291353100408935
BSC,25,1.8434827123286526,0.20118037583477275,0.11330532388114894,1.7755597790426856,0.3572077836649135,357.2077836649135
LEN,25,0.8769900719170659,-0.007690135147603446,-0.1756897769020678,0.04377110201403492,-0.0003366056900474659,-0.33660569004746593
CPRT,25,1.019753896544165,-0.002133381577041728,-0.04571023826756153,0.0466718542256143,-9.956887397130266e-05,-0.09956887397130265
WOR,25,0.846954051809028,-0.017290097351086137,-0.42327182881673875,0.040848684400804094,-0.0007062777299536965,-0.7062777299536965
GP,25,0.9448372044469163,-0.017145419063081223,-0.17446280493335845,0.09827549814775965,-0.0016849745993764017,-1.6849745993764016
KBH,25,0.9976757605434642,-0.0031495303698537746,-0.085065949491141,0.03702457197849505,-0.00011661001387710721,-0.1166100138771072
TWTR,25,0.2998145851784073,0.0052056144141704765,0.05847125698884333,0.08902860451869093,0.00046344858695598033,0.46344858695598035
WRK,25,1.2583773821921698,-0.02770309830011862,-0.48874072788783335,0.05668260637872708,-0.001570283816416807,-1.570283816416807
CXO,25,0.5992783205336364,-0.030132336233408184,-0.32356849985474007,0.09312506083545068,-0.0028060756448503917,-2.8060756448503916
AAPL,25,0.5080447221305988,-0.007077640798282865,-0.1468701816684432,0.04818977356656719,-0.0003410699074547491,-0.3410699074547491
FICO,25,0.9392033922672883,0.009113583047312336,0.24926879730618998,0.03656126697685969,0.00033320414290856885,0.33320414290856887
GD,25,0.9996169076803151,-0.007890692109762624,-0.2265587192955555,0.034828463606685914,-0.0002748206829764312,-0.2748206829764312
PEAK,25,0.2807321625989736,0.00961626265682947,0.28386553397736924,0.03387611916843738,0.00032576165971774933,0.32576165971774934
ALLE,25,0.718194893187981,-0.0016143507970022009,-0.04295605661762238,0.03758144774257342,-6.066964011571997e-05,-0.06066964011571997
ASH,25,0.9518034204529857,-0.012953783941284878,-0.38655881005327924,0.03351051277165165,-0.000434087942205643,-0.434087942205643
MTW,25,1.5208345989429888,-0.037382732585420575,-0.47596956683701763,0.07854017397339448,-0.0029360463208598147,-2.936046320859815
HAL,25,0.9803197537413779,-0.037186657070177674,-0.5953044906709285,0.06246661608123776,-0.0023229246305474347,-2.3229246305474347
PRU,25,0.6764227166815868,-0.012077844471597017,-0.27792307487870743,0.04345750879759836,-0.0005248730323804521,-0.5248730323804521
ITW,25,0.7592819505951341,-0.0021284182391118397,-0.0942643677614761,0.02257924483721706,-4.8058076536904635e-05,-0.04805807653690464
HCA,25,0.5735275957305,-0.008678693984258018,-0.187832157940855,0.046204516198928965,-0.00040099485678119694,-0.40099485678119695
ELV,25,0.32536713125564043,-0.0027656320727751085,-0.0518749126508962,0.05331347912597071,-0.00014744546778201086,-0.14744546778201087
ADI,25,0.8710113004675308,-0.0021995513373185872,-0.0528735479097283,0.041600222120027015,-9.150182419685569e-05,-0.0915018241968557
FITB,25,0.6757155916313217,-0.008564641181320212,-0.19074470533542132,0.0449010690297245,-0.00038456154489728003,-0.38456154489728
VTRS,25,1.194393678501949,-0.037865665013513204,-0.5636091738521174,0.06718425953699715,-0.0025439766658088636,-2.543976665808864
RRD,25,2.2229755212479345,-0.048013272958160824,-0.33671796084365074,0.14259195689431894,-0.0068463065480052375,-6.846306548005238
BRK.B,25,0.4515246304317359,-0.004790360609521616,-0.21162483749886596,0.02263609822995038,-0.00010843507331401626,-0.10843507331401626
DLTR,25,0.19005617237312225,0.007696437565096757,0.15403264282065246,0.04996627613575445,0.0003845623246392182,0.3845623246392182
FTNT,25,0.7267898403068682,-0.008285915521367516,-0.1399325779016963,0.05921362734550945,-0.0004906391138986288,-0.4906391138986288
RVTY,25,0.6866258602463227,-0.010043764244185929,-0.2039558239773958,0.0492448023710226,-0.0004946031852660792,-0.4946031852660792
LNC,25,1.0269380478320873,-0.016233327339613017,-0.33995327247176155,0.0477516431054843,-0.0007751680535357017,-0.7751680535357017
JCP,25,0.998332137386381,-0.04297485775060682,-0.24978924935487617,0.17204446493032347,-0.007393586407159914,-7.393586407159914
PNC,25,0.7646687370390483,-0.009423394042760339,-0.2656257430912612,0.03547620773910734,-0.0003343062846684323,-0.3343062846684323
GIS,25,0.5498332753009699,0.003350492489155682,0.0764506048962916,0.04382558507811368,0.00014683729363707324,0.14683729363707324
PFE,25,0.0021003459815970653,-0.004843560682068453,-0.1094571380767598,0.04425075209505089,-0.0002143312029995467,-0.2143312029995467
XRAY,25,0.34271728004351565,0.008159545530093196,0.15888778064847947,0.05135414124856606,0.0004190264536765118,0.4190264536765118
EXPD,25,0.7173752326615642,-0.006654999236738951,-0.20935415490952944,0.03178823577499501,-0.00021155068481986961,-0.2115506848198696
AMZN,25,1.0450433346419472,-0.013703438252146753,-0.2665696601751789,0.05140659384545639,-0.000704447084514399,-0.7044470845143991
BKR,25,0.6466620045779484,-0.020895719013326878,-0.3608212777491045,0.05791154874147036,-0.0012101034501283484,-1.2101034501283483
MRO,25,0.8670982818992485,-0.03056393289236532,-0.4487187762947593,0.06811378196549579,-0.0020818250610386167,-2.0818250610386166
COO,25,0.5147910044182583,0.003379686574375473,0.08783560375156989,0.03847741041246122,0.00013004158738773024,0.13004158738773022
HWM,25,0.8562558879267604,-0.0010675068508990606,-0.019005232591708755,0.05616910215372857,-5.996090135795443e-05,-0.05996090135795443
PXD,25,1.0724903750640316,-0.02270452906219654,-0.38884041380136725,0.05839035310201778,-0.0013257254689566806,-1.3257254689566806
PDCO,25,0.7143890155588326,-0.01603579924522248,-0.25725428859262095,0.06233442922545879,-0.0009995823931249863,-0.9995823931249863
WEC,25,0.07125329949496853,0.014545031256253473,0.5164185182237747,0.028165200787689054,0.00040966372579559224,0.40966372579559224
SUN,25,0.622831660534138,0.0050545326663893105,0.13550692350881424,0.03730091817825479,0.00018853870941830367,0.18853870941830367
TIF,25,1.1568284081276936,-0.024360744462800572,-0.4704649371324489,0.0517801488274191,-0.0012614029738305392,-1.2614029738305392
WMT,25,0.1984232711493952,0.006211055789455426,0.19943681042607808,0.031142975944040054,0.00019343076103810105,0.19343076103810106
JKHY,25,0.49323552964168305,-0.0072271386157974704,-0.25677209568716763,0.028146121549759394,-0.00020341592193719545,-0.20341592193719546
CTSH,25,0.6874906607738536,-0.015033639931590808,-0.32166737700898496,0.04673660124125948,-0.000702621234687435,-0.702621234687435
LM,25,0.8682729823494943,-0.0006372425705445202,-0.016027540206703553,0.03975922458007574,-2.5336270474264333e-05,-0.025336270474264334
DXCM,25,0.6441952631194,0.00153935073331708,0.017300993801788307,0.08897470000584394,0.00013696326970066307,0.13696326970066308
LYB,25,0.7294452002022651,-0.019337138857548855,-0.419625076151775,0.046081943040398206,-0.0008910929313978371,-0.8910929313978371
COL,25,0.39209585854249845,-0.030990622158936894,-0.20384820138878015,0.15202794014273124,-0.004711440450564859,-4.711440450564859
MS,25,0.5816745343498817,-0.010245036243278802,-0.303209853442347,0.033788599304958984,-0.00034616542448892974,-0.34616542448892973
NDAQ,25,0.6233723236317054,-0.0025874522809610128,-0.07165638998439292,0.03610916320965334,-9.343073671041102e-05,-0.09343073671041102
XEL,25,0.0926407184808535,0.012011045010641938,0.463770337842921,0.025898691724243215,0.00031107035201662515,0.31107035201662514
MCHP,25,1.2116129097817088,-0.009248935314163953,-0.2020530194055876,0.0457747938703072,-0.00042336810752565996,-0.42336810752565995
MHK,25,1.2727448287355418,-0.029683702075744358,-0.4022748990740009,0.07378959548327141,-0.00219034836861512,-2.19034836861512
DRI,25,0.6043126865542866,-0.0022674921906431773,-0.06581619231384045,0.03445188958715176,-7.81193905917676e-05,-0.0781193905917676
CNX,25,0.5295047577552695,-0.03213473940495642,-0.3783714790237219,0.08492907416772219,-0.0027291736662839686,-2.7291736662839687
MMI,25,0.9632465434012395,-0.008391148681692473,-0.1564924301618054,0.05362015704540112,-0.00044993471010366096,-0.449934710103661
PSX,25,0.6488663175509835,-0.011301243222615547,-0.304327226930646,0.037135169720424056,-0.0004196735851236204,-0.4196735851236204
MUR,25,0.6267902870338772,-0.024668089969083516,-0.3268409002217405,0.07547430554850328,-0.001861806959624578,-1.861806959624578
PKI,25,0.6868385778842903,-0.010045028107593054,-0.2040023400467847,0.049239769040342315,-0.0004946148640216288,-0.49461486402162874
BF.B,25,0.3686353563864632,0.0018067008591714831,0.055851323582878136,0.0323483982701056,5.84438789474211e-05,0.058443878947421105
BIO,25,0.7169296596927288,-0.00447183250860393,-0.09068361955668208,0.04931246161616649,-0.0002205170689344568,-0.2205170689344568
FRT,25,0.3825433208328057,-0.002349165793067385,-0.08090040599157931,0.02903775035828501,-6.821448984931336e-05,-0.06821448984931336
OKE,25,0.7121856291115225,-0.0007047561962746978,-0.02024711368078302,0.0348077364204063,-2.453096792057781e-05,-0.02453096792057781
TSN,25,0.4221876172249108,0.013073653688495382,0.29273725939317946,0.04466002624878023,0.0005838697168956662,0.5838697168956662
BRO,25,0.5127061964792278,0.0037877029794253086,0.22648708487968008,0.01672370405331281,6.334442366976005e-05,0.06334442366976005
FISV,25,0.517082051327117,0.007269251704940967,0.21242454639872388,0.034220394150196176,0.00024875665852006545,0.24875665852006545
EBAY,25,1.1128272143085525,-0.0027499995939216882,-0.07859764205855778,0.034988321810886513,-9.621787077193926e-05,-0.09621787077193926
VLO,25,0.9278456530278093,-0.023961390528092534,-0.5929541198114381,0.040410193179385205,-0.0009682844200869102,-0.9682844200869102
ANSS,25,1.175542231698168,-0.005589926885831084,-0.1384553750559174,0.04037349134024955,-0.0002256848647177294,-0.2256848647177294
ATO,25,0.18944488138476953,0.006373339648756699,0.2945338963618814,0.021638730643504765,0.00013791097995901548,0.13791097995901547
ACN,25,0.8607776374020509,-0.00012050041243655708,-0.004543362099438996,0.026522299961835794,-3.195948084167295e-06,-0.003195948084167295
FLR,25,1.5696110608118405,-0.059480240327125386,-0.5234726537630048,0.11362626089357147,-0.00675851730542228,-6.75851730542228
AXON,25,1.1742121170162134,-0.014956104531576166,-0.18300856148480465,0.08172352380802678,-0.001222265564761602,-1.222265564761602
IT,25,0.7082331064279302,-0.010443407158733157,-0.19251147493627457,0.054248232019364816,-0.0005665363746196518,-0.5665363746196518
PNR,25,0.6199692369926914,-0.012070683177319831,-0.340931687125492,0.03540499059823908,-0.00042736242440733125,-0.42736242440733124
COG,25,0.0012583481174921844,-0.013238394287071957,-0.2083221703117271,0.06354769762268903,-0.0008412694771647826,-0.8412694771647826
MTD,25,0.8574400177301615,-0.002472325576537435,-0.05293071701303739,0.046708711237153186,-0.00011547914143871532,-0.11547914143871532
RHI,25,0.9113467186365996,-0.021960697390714146,-0.6743676687463752,0.03256487285569054,-0.0007151473183509012,-0.7151473183509012
EW,25,0.7064885338060336,0.011336629106755803,0.1853426943284031,0.06116577266686742,0.0006934136787524177,0.6934136787524177
IDXX,25,0.7037855833438876,-0.00060028961722422,-0.01458356291745075,0.04116206859888204,-2.4709162403379986e-05,-0.024709162403379985
AAL,25,1.3155274582761793,-0.027713048972648452,-0.3994058848524292,0.06938568014061122,-0.0019228887517372798,-1.92288875173728
NWS,25,0.7115543701357631,-0.0036891038113751567,-0.06772452087246118,0.054472202443816134,-0.00020095360964948123,-0.20095360964948122
GOOGL,25,0.5260473575392622,-0.005740829892735703,-0.14493704041811784,0.039609128737377416,-0.00022738927028075306,-0.22738927028075306
HIG,25,0.4834775155700398,0.002751465029400305,0.12206323859054041,0.022541307777602555,6.202162006702254e-05,0.06202162006702254
SRCL,25,1.2128384850530827,-0.022814813041131518,-0.4790466615075249,0.04762545045055729,-0.0010865657480291374,-1.0865657480291373
SO,25,0.14931737898662886,0.012083644825945133,0.47351259965904524,0.025519162182053894,0.00030836449206363023,0.3083644920636302
DDR,25,0.5637396355152782,-0.00506733621586581,-0.12437476550061423,0.040742478552377934,-0.00020645583709260072,-0.20645583709260074
SSP,25,0.5200511431187997,-0.010719922938973978,-0.1096857270781272,0.09773307087929833,-0.00104769098841536,-1.04769098841536
KLAC,25,1.1509825389678432,0.0011667046019961432,0.02470231426697052,0.047230578859412564,5.5104133710218393e-05,0.05510413371021839
AWK,25,0.19818545636382123,0.014089030017056017,0.46159520420185784,0.03052247919563483,0.0004300321255822669,0.43003212558226694
JEF,25,0.8842722097364387,-0.014906853362299407,-0.30304357741938737,0.0491904612836244,-0.0007332749931788551,-0.7332749931788551
DPZ,25,0.5215842069728625,-0.014967700685917879,-0.2600756955176783,0.0575513242639794,-0.0008614109956614467,-0.8614109956614467
URI,25,1.7513786397759756,-0.027605127151468102,-0.4331646572946499,0.06372894622538508,-0.0017592456637808283,-1.7592456637808283
ROK,25,0.9910319415680627,-0.014102094528506689,-0.42242195798525484,0.03338390503127903,-0.000470782984481787,-0.470782984481787
ALGN,25,1.495772384686523,-0.04233510924900337,-0.3996720598050837,0.10592461547011768,-0.004484330168086104,-4.484330168086104
DGX,25,0.7879180513727446,-0.008550998630148864,-0.3625036611017127,0.023588723501883724,-0.00020170714235156806,-0.20170714235156806
COV,25,0.0,0.0,,0.0,0.0,0.0
LIN,25,0.08374709713015409,0.007198218088834357,0.17231535636884138,0.04177351479589873,0.00030069486983802784,0.30069486983802785
R,25,1.2701605163102672,-0.02768789398561759,-0.4530017327739786,0.06112094498197478,-0.0016923102449616831,-1.6923102449616831
ITT,25,1.1151244789022947,-0.010402308967004966,-0.27540321948211033,0.03777119594522634,-0.0003929076502755296,-0.3929076502755296
AYI,25,1.2219209225594088,-0.017924966513672484,-0.3355894474651266,0.053413379500066645,-0.0009574330389207749,-0.9574330389207748
ABC,25,0.5612766296757157,-0.007494584077362355,-0.16742427695436024,0.04476402236101861,-0.00033548772922558246,-0.33548772922558245
MET,25,0.7167872779546962,-0.005884091489648671,-0.14035622533695563,0.04192255438276877,-0.0002466761454679833,-0.24667614546798328
ABMD,25,0.47588227263191707,-0.03375148460286547,-0.3969145503998497,0.08503463672184454,-0.002870045232027595,-2.870045232027595
