Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
COST,25,0.7320918584278142,0.010891142504153668,0.37652781252186385,0.02892520058799442,0.0003150284815650767,0.3150284815650767
LLY,25,0.07720295350153762,0.0036592903328903376,0.11015862662698668,0.03321837285863442,0.00012155567067594772,0.12155567067594772
CBRE,25,0.6246875640371516,0.0036863181187624526,0.09897938581476999,0.03724329150375845,0.0001372906202726565,0.13729062027265648
GPN,25,0.6488350092044283,0.012473358547838282,0.44726419144399043,0.027888122470900476,0.0003478585508055673,0.3478585508055673
TDG,25,0.690776974029974,0.02055821012336153,0.35022545296942464,0.058699931569954455,0.0012067655274420666,1.2067655274420666
DOV,25,0.8126468898435796,0.005608257744469859,0.16269108860694173,0.03447181890840557,0.00019332684535902804,0.19332684535902805
CDW,25,0.7478563613048375,0.012684466523067556,0.311395480763266,0.04073426657309372,0.0005166924406881171,0.516692440688117
NOC,25,0.7546058330617551,0.010025953878434534,0.1956678260194549,0.051239665112023436,0.000513726519159578,0.513726519159578
MAA,25,0.06901943474746391,0.009615027551576073,0.4052298454723608,0.02372734303508224,0.00022813905700801238,0.22813905700801237
AES,25,0.44243199236692315,0.007183533766874653,0.15685985197861463,0.04579587240624207,0.00032897619581372307,0.32897619581372306
FDX,25,0.8020040181543127,-0.015471669204337691,-0.2709155655288843,0.05710882345993568,-0.0008835688252210448,-0.8835688252210447
ROP,25,0.5037559255543054,0.009245385982205614,0.3413015633813049,0.027088613045339594,0.00025044468332677483,0.25044468332677483
MLM,25,0.47804183544882156,0.010884242246951396,0.20575077660448304,0.052900127166345005,0.0005757777989730335,0.5757777989730335
HII,25,0.8841211200087276,-0.0042803713208074134,-0.12142808295768542,0.035250258560855424,-0.00015088419579493157,-0.15088419579493156
ANF,25,0.7611769605769799,-0.013001812048942612,-0.10694572296925398,0.12157393197183329,-0.0015806814135487116,-1.5806814135487115
SBAC,25,0.29887611445404116,0.02151013820092138,0.6042819246096562,0.03559619661768988,0.0007656791086736794,0.7656791086736794
UNM,25,0.737117553512843,-0.012549745948521809,-0.22760199494755123,0.05513899801894874,-0.000691980416993854,-0.6919804169938539
WAB,25,0.5915299338619993,-0.016766560021688068,-0.2858915851828236,0.05864656705781002,-0.0009833011866407259,-0.9833011866407259
J,25,0.7069726738366913,0.009450903942168914,0.21685910546132692,0.043580849058949565,0.00041187841817429485,0.4118784181742948
STX,25,0.8282998605437875,0.0009960357401548594,0.0193881414372333,0.051373451311947635,5.1169793601805396e-05,0.051169793601805395
ZBRA,25,1.0212112471432893,0.00863480767645863,0.12277136053686404,0.07033242637940705,0.0006073069752048655,0.6073069752048655
HP,25,1.1533628685684931,-0.018426345601382833,-0.31490033416513863,0.058514849310130526,-0.001078214836201303,-1.0782148362013029
BG,25,0.3515088906921203,-0.005847012729037543,-0.1581771287702602,0.03696496942696354,-0.00021613464676793946,-0.21613464676793945
WST,25,0.7288811146677601,0.010008253167593465,0.23689943146784043,0.04224684333593306,0.0004228171036376769,0.42281710363767694
PAYX,25,0.4751094646848088,0.006340158399669336,0.22484855168214612,0.02819746159019965,0.00017877637295045777,0.17877637295045778
BALL,25,0.33254326843648824,0.026925201168645295,0.756874442786743,0.035574197841202235,0.0009578424332875573,0.9578424332875572
DHR,25,0.5055743365892723,0.013682158037200881,0.48173718121710973,0.028401706512735613,0.0003885966370334462,0.38859663703344616
BSC,25,-11.8173026040457,0.19861869794713383,0.11677995879528603,1.7007943828384988,0.3378095657951817,337.8095657951817
LEN,25,0.5706901958463481,0.0004769892404685264,0.009791228343705676,0.04871597553693665,2.3236996170046726e-05,0.023236996170046726
CPRT,25,0.44674722963926317,0.007034589828711425,0.12333945226880817,0.0570343851809891,0.00040121350588099555,0.4012135058809955
WOR,25,0.762753438083748,-0.009081958412651438,-0.22933648996517178,0.039601017762287506,-0.00035965479641576607,-0.3596547964157661
GP,25,1.0572648747646434,-0.007675885079224718,-0.08188620407040548,0.0937384406367771,-0.0007195254978336293,-0.7195254978336293
KBH,25,0.6872414180943167,0.0061991214663298135,0.14349209984106462,0.043201831133533576,0.00026781339876464364,0.26781339876464366
TWTR,25,0.5601968619483275,0.008551058034340626,0.09902381651875627,0.08635354942839388,0.0007384142126334979,0.7384142126334979
WRK,25,0.9288881864573111,-0.01581749039115605,-0.25692787689635604,0.061563932190732175,-0.0009737869058686887,-0.9737869058686887
CXO,25,1.406979197092282,-0.023009999722824095,-0.3124799321986526,0.07363672784016084,-0.0016943810871917744,-1.6943810871917744
AAPL,25,0.5470680214039828,-0.0020182952109953863,-0.04387931050154408,0.045996511520489,-9.283453892429707e-05,-0.09283453892429708
FICO,25,0.7115792532233195,0.01801226060881095,0.44896839132064714,0.04011921764876949,0.0007226378037112438,0.7226378037112438
GD,25,0.8228901548523707,0.001679721899013862,0.04613166376397796,0.03641147450496848,6.116115110138048e-05,0.06116115110138048
PEAK,25,0.06792824738721258,0.012056699508568339,0.3411572329441732,0.035340594729648574,0.00042609093110946677,0.4260909311094668
ALLE,25,0.628667876573073,0.005318461632128477,0.14296075251623297,0.037202249837937684,0.00019785873839192944,0.19785873839192944
ASH,25,0.679357781099116,-0.003999031186684487,-0.10277576782073083,0.03891025356930338,-0.0001556033175054456,-0.15560331750544562
MTW,25,1.287958613858581,-0.022767574709332317,-0.2878442673170559,0.07909684956224677,-0.0018008434316812726,-1.8008434316812727
HAL,25,1.238334933722016,-0.02714723882658819,-0.5613703528085964,0.04835887518955646,-0.0013128099341560596,-1.3128099341560597
PRU,25,0.6645354609298009,-0.005438478994130299,-0.13225703207640604,0.04112052802597628,-0.00022363312789681824,-0.22363312789681825
ITW,25,0.5035115951574954,0.004956803897992451,0.1715552485098935,0.028893338682707773,0.00014321861380846198,0.143218613808462
HCA,25,0.6608164609227232,-0.002901708084673076,-0.06903259825141166,0.042033881936549285,-0.00012197005504547863,-0.12197005504547863
ELV,25,0.17615461851022174,0.00021048807097010145,0.003887656703244554,0.05414265894270774,1.1396383838042665e-05,0.011396383838042664
ADI,25,0.7943268414100547,0.006256752172181994,0.15667475250414475,0.03993465489608145,0.00024986123876639596,0.24986123876639596
FITB,25,0.474332008522085,-0.002219450197757215,-0.047024361428494005,0.04719788063751055,-0.00010475334551464422,-0.10475334551464421
